総合順位	No.	氏名	年齢	性別	居住地	総合記録	SWIM	Ｓ順	バイク	Ｂ順	スプリット	通過	ラン	Ｒ順	男子順位	女子順位	年齢区分	年齢別順
53	227	棚橋 良光	44	男	新潟県	2:25:10	0:28:09	81	1:11:13	64	1:39:22	66	0:45:48	51	48		40-44男子	7
54	389	小野 俊巳	55	男	新潟県	2:25:19	0:27:24	65	1:08:00	28	1:35:24	38	0:49:55	87	49		55-59男子	3
55	133	吾妻  敬也	24	男	福島県	2:25:31	0:31:40	180	1:10:34	56	1:42:14	86	0:43:17	28	50		20-24男子	11
56	517	高橋  克昭	66	男	埼玉県	2:25:37	0:27:22	64	1:09:26	42	1:36:48	46	0:48:49	74	51		65-69男子	1
57	163	瀬賀 豊	35	男	新潟県	2:25:55	0:31:51	187	1:06:49	16	1:38:40	56	0:47:15	61	52		35-39男子	4
58	387	足立 健児	55	男	神奈川県	2:26:06	0:26:29	52	1:08:55	39	1:35:24	37	0:50:42	97	53		55-59男子	4
59	406	藤井 彰	55	男	新潟県	2:26:27	0:28:50	93	1:14:24	115	1:43:14	95	0:43:13	26	54		55-59男子	5
60	212	佐藤 貴弘	42	男	山形県	2:26:36	0:27:11	62	1:15:56	141	1:43:07	93	0:43:29	30	55		40-44男子	8
61	273	井手  伸一	48	男	大阪府	2:27:11	0:27:39	74	1:11:23	67	1:39:02	63	0:48:09	67	56		45-49男子	9
62	299	飯島 隆介	50	男	東京都	2:27:27	0:27:57	79	1:13:34	99	1:41:31	78	0:45:56	53	57		50-54男子	7
63	139	中山 祥貴	26	男	新潟県	2:27:46	0:26:30	53	1:09:49	44	1:36:19	42	0:51:27	109	58		25-29男子	5
64	101	菅  遼太朗	18	男	神奈川県	2:27:56	0:27:56	78	1:10:51	61	1:38:47	57	0:49:09	79	59		10代男子	2
65	165	小林 優介	35	男	新潟県	2:28:04	0:31:02	160	1:15:29	133	1:46:31	134	0:41:33	12	60		35-39男子	5
66	103	山口  蒼太朗	18	男	東京都	2:28:09	0:29:40	121	1:11:42	72	1:41:22	77	0:46:47	60	61		10代男子	3
67	451	境 広志	59	男	東京都	2:28:18	0:27:36	73	1:14:17	114	1:41:53	82	0:46:25	57	62		55-59男子	6
68	457	斎藤 安弘	60	男	東京都	2:28:27	0:27:33	72	1:09:58	45	1:37:31	49	0:50:56	101	63		60-64男子	2
69	536	松葉 桂二	69	男	岐阜県	2:28:38	0:29:12	108	1:10:01	47	1:39:13	65	0:49:25	82	64		65-69男子	2
70	346	永山 史朗	52	男	岩手県	2:29:20	0:26:11	49	1:14:05	112	1:40:16	70	0:49:04	78	65		50-54男子	8
71	427	牟田 智	57	男	千葉県	2:29:26	0:28:53	96	1:08:46	37	1:37:39	50	0:51:47	116	66		55-59男子	7
72	275	田中 康志	48	男	東京都	2:30:01	0:25:29	40	1:12:52	88	1:38:21	54	0:51:40	113	67		45-49男子	10
73	397	大平  晃司	55	男	埼玉県	2:30:23	0:28:17	83	1:13:19	93	1:41:36	80	0:48:47	73	68		55-59男子	8
74	318	五十嵐 克己	51	男	新潟県	2:30:33	0:29:27	114	1:15:18	128	1:44:45	114	0:45:48	52	69		50-54男子	9
75	338	三浦 崇	52	男	宮城県	2:30:50	0:30:34	150	1:08:25	32	1:38:59	61	0:51:51	117	70		50-54男子	10
76	340	佐藤  清	52	男	東京都	2:30:55	0:26:50	56	1:13:25	98	1:40:15	69	0:50:40	96	71		50-54男子	11
77	607	大谷 真子	22	女	大阪府	2:31:02	0:25:17	38	1:15:34	135	1:40:51	73	0:50:11	91		6	20-24女子	1
78	306	荒川 哲夫	50	男	埼玉県	2:31:04	0:27:29	68	1:14:55	125	1:42:24	89	0:48:40	69	72		50-54男子	12
79	142	西川 諒	27	男	新潟県	2:31:12	0:30:19	139	1:18:03	173	1:48:22	151	0:42:50	24	73		25-29男子	6
80	188	松井 裕之	39	男	新潟県	2:31:23	0:31:53	190	1:13:52	105	1:45:45	124	0:45:38	49	74		35-39男子	6
81	260	須釜  幸夫	47	男	福島県	2:31:45	0:31:14	165	1:12:53	89	1:44:07	106	0:47:38	63	75		45-49男子	11
82	472	本間 洋行	61	男	新潟県	2:31:51	0:28:38	90	1:11:53	73	1:40:31	71	0:51:20	107	76		60-64男子	3
83	603	小泉  秋桜佳	21	女	京都府	2:32:01	0:27:12	63	1:15:10	127	1:42:22	88	0:49:39	84		7	20-24女子	2
84	154	綾野 陽仁	33	男	新潟県	2:32:04	0:31:39	178	1:16:48	156	1:48:27	152	0:43:37	32	77		30-34男子	4
85	120	伴 駿介	22	男	東京都	2:32:34	0:28:38	89	1:10:25	53	1:39:03	64	0:53:31	134	78		20-24男子	12
86	209	木村 龍太郎	42	男	新潟県	2:33:02	0:29:53	129	1:19:16	194	1:49:09	158	0:43:53	35	79		40-44男子	9
87	668	福田 恵美子	62	女	富山県	2:33:21	0:29:06	105	1:15:36	136	1:44:42	112	0:48:39	68		8	60-64女子	1
88	129	宮﨑  颯	23	男	福島県	2:33:37	0:33:00	225	1:10:38	57	1:43:38	99	0:49:59	89	80		20-24男子	13
89	264	古川 文和	48	男	福島県	2:33:39	0:31:39	179	1:11:32	70	1:43:11	94	0:50:28	94	81		45-49男子	12
90	604	川口  鼓子	21	女	東京都	2:33:47	0:35:05	290	1:16:32	151	1:51:37	190	0:42:10	20		9	20-24女子	3
91	365	平野  真史	53	男	新潟県	2:34:11	0:34:45	279	1:15:31	134	1:50:16	175	0:43:55	36	82		50-54男子	13
92	606	鈴木 陽南子	22	女	宮城県	2:34:16	0:24:32	24	1:19:20	195	1:43:52	101	0:50:24	93		10	20-24女子	4
93	421	佐藤  久	56	男	新潟県	2:34:33	0:30:15	134	1:12:59	91	1:43:14	96	0:51:19	106	83		55-59男子	9
94	512	椎名 克行	65	男	新潟県	2:34:44	0:30:55	158	1:12:58	90	1:43:53	102	0:50:51	100	84		65-69男子	3
95	466	後藤 善史	60	男	宮城県	2:34:47	0:30:15	135	1:10:44	60	1:40:59	74	0:53:48	140	85		60-64男子	4
96	287	石井 仁平	49	男	新潟県	2:34:53	0:31:51	188	1:12:15	77	1:44:06	104	0:50:47	99	86		45-49男子	13
97	274	ＦＲＩＳＣＨ ＪＡＳＯＮ	48	男	長野県	2:34:55	0:31:22	168	1:13:57	108	1:45:19	119	0:49:36	83	87		45-49男子	14
98	191	矢口 貴志	39	男	東京都	2:34:59	0:22:11	12	1:22:34	230	1:44:45	113	0:50:14	92	88		35-39男子	7
99	266	岩井 啓訓	48	男	福島県	2:35:00	0:31:52	189	1:07:51	27	1:39:43	67	0:55:17	165	89		45-49男子	15
100	216	瀬戸 亮平	43	男	宮城県	2:35:15	0:29:43	124	1:16:45	155	1:46:28	131	0:48:47	72	90		40-44男子	10
101	643	青木 智恵子	50	女	新潟県	2:35:15	0:31:59	193	1:10:07	48	1:42:06	84	0:53:09	133		11	50-54女子	1
102	290	津嶋 辰郎	49	男	神奈川県	2:35:18	0:33:33	234	1:12:06	76	1:45:39	123	0:49:39	85	91		45-49男子	16
103	325	小野 孝	51	男	新潟県	2:35:30	0:29:30	115	1:13:53	106	1:43:23	97	0:52:07	119	92		50-54男子	14
104	616	石井  千尋	33	女	沖縄県	2:35:34	0:27:31	71	1:13:45	102	1:41:16	76	0:54:18	147		12	30-34女子	2
105	263	入間川  祐一	48	男	宮城県	2:35:53	0:35:22	298	1:11:08	63	1:46:30	132	0:49:23	80	93		45-49男子	17
106	250	佐藤 隆光	47	男	新潟県	2:36:01	0:29:50	127	1:14:30	116	1:44:20	111	0:51:41	114	94		45-49男子	18
107	617	高橋 夏美	34	女	東京都	2:36:03	0:29:53	128	1:19:24	196	1:49:17	163	0:46:46	59		13	30-34女子	3
108	279	漆山  敬人	49	男	山形県	2:36:04	0:31:15	167	1:14:53	121	1:46:08	129	0:49:56	88	95		45-49男子	19
109	296	山田  拓	49	男	岐阜県	2:36:10	0:34:43	277	1:11:34	71	1:46:17	130	0:49:53	86	96		45-49男子	20
110	407	高橋 一仁	56	男	新潟県	2:36:10	0:28:06	80	1:17:00	158	1:45:06	117	0:51:04	105	97		55-59男子	10
111	540	小宅 錬	71	男	秋田県	2:37:03	0:28:23	85	1:12:17	78	1:40:40	72	0:56:23	186	98		70-74男子	1
112	122	石部  尚平	22	男	東京都	2:37:10	0:29:35	117	1:14:35	118	1:44:10	107	0:53:00	128	99		20-24男子	14
113	157	永田 健	34	男	東京都	2:37:26	0:30:53	157	1:17:37	166	1:48:30	153	0:48:56	75	100		30-34男子	5
114	447	佐藤 浩之	58	男	福島県	2:37:31	0:29:00	100	1:13:46	103	1:42:46	92	0:54:45	158	101		55-59男子	11
115	109	大久保  稜	20	男	東京都	2:37:50	0:33:22	230	1:08:33	36	1:41:55	83	0:55:55	174	102		20-24男子	15
116	347	伊藤  寿広	53	男	新潟県	2:37:53	0:29:57	131	1:12:48	87	1:42:45	91	0:55:08	163	103		50-54男子	15
117	628	日下部 奈央子	46	女	東京都	2:38:12	0:32:06	199	1:13:24	97	1:45:30	122	0:52:42	122		14	45-49女子	1
118	249	舘 洋光	47	男	東京都	2:38:12	0:24:55	31	1:20:31	209	1:45:26	120	0:52:46	125	104		45-49男子	21
119	489	西山 由樹	62	男	岐阜県	2:38:13	0:28:41	91	1:14:54	124	1:43:35	98	0:54:38	154	105		60-64男子	5
120	180	森 隆之	37	男	青森県	2:38:15	0:29:00	99	1:16:58	157	1:45:58	127	0:52:17	120	106		35-39男子	8
121	355	吉野  功哉	53	男	埼玉県	2:38:15	0:25:30	41	1:06:48	15	1:32:18	16	1:05:57	319	107		50-54男子	16
122	343	袖山 正樹	52	男	新潟県	2:38:30	0:33:57	249	1:10:57	62	1:44:54	115	0:53:36	137	108		50-54男子	17
123	648	木村 文	52	女	東京都	2:38:37	0:29:24	111	1:18:31	180	1:47:55	146	0:50:42	98		15	50-54女子	2
124	110	山下 琥次郎	20	男	京都府	2:38:38	0:29:03	102	1:20:10	206	1:49:13	161	0:49:25	81	109		20-24男子	16
125	461	草嶋 圭一	60	男	宮城県	2:38:38	0:29:42	122	1:12:37	82	1:42:19	87	0:56:19	183	110		60-64男子	6
126	194	二木 俊幸	39	男	岩手県	2:38:41	0:29:03	103	1:12:44	86	1:41:47	81	0:56:54	192	111		35-39男子	9
127	454	坂田 千代次	59	男	千葉県	2:38:41	0:31:02	161	1:13:15	92	1:44:17	110	0:54:24	150	112		55-59男子	12
128	651	川田 真希	53	女	東京都	2:39:33	0:32:25	211	1:12:32	80	1:44:57	116	0:54:36	153		16	50-54女子	3
129	170	佐藤 健作	36	男	新潟県	2:39:45	0:33:08	227	1:14:16	113	1:47:24	142	0:52:21	121	113		35-39男子	10
130	636	丸山 亜樹	48	女	新潟県	2:39:54	0:30:25	142	1:16:25	150	1:46:50	137	0:53:04	130		17	45-49女子	2
131	230	西村 裕之	45	男	新潟県	2:40:03	0:32:21	206	1:14:34	117	1:46:55	138	0:53:08	132	114		45-49男子	22
132	420	高橋 賢一	56	男	福島県	2:40:15	0:31:26	171	1:12:40	83	1:44:06	105	0:56:09	178	115		55-59男子	13
133	662	保科 佳子	59	女	新潟県	2:40:53	0:34:32	272	1:14:39	119	1:49:11	159	0:51:42	115		18	55-59女子	1
134	106	高橋 蓮汰朗	19	男	千葉県	2:41:09	0:31:40	183	1:15:55	140	1:47:35	145	0:53:34	135	116		10代男子	4
135	258	宮武 拓也	47	男	東京都	2:41:12	0:29:10	107	1:14:54	122	1:44:04	103	0:57:08	197	117		45-49男子	23
136	459	畑野  仁一	60	男	東京都	2:41:30	0:35:48	313	1:11:21	65	1:47:09	140	0:54:21	148	118		60-64男子	7
137	348	本間 紀彦	53	男	新潟県	2:41:32	0:27:29	69	1:12:33	81	1:40:02	68	1:01:30	258	119		50-54男子	18
138	155	浅尾 洋伸	33	男	東京都	2:41:58	0:33:38	238	1:14:40	120	1:48:18	150	0:53:40	138	120		30-34男子	6
139	364	菅野 一真	53	男	宮城県	2:41:59	0:32:55	222	1:18:02	171	1:50:57	184	0:51:02	103	121		50-54男子	19
140	282	青沼 伸	49	男	埼玉県	2:42:07	0:33:23	231	1:14:04	111	1:47:27	143	0:54:40	156	122		45-49男子	24
141	371	辰喜 太輔	54	男	新潟県	2:42:16	0:30:32	147	1:16:36	152	1:47:08	139	0:55:08	164	123		50-54男子	20
142	256	志賀 充	47	男	福島県	2:42:19	0:33:56	248	1:15:19	130	1:49:15	162	0:53:04	131	124		45-49男子	25
143	138	秦 岳杜	26	男	長野県	2:42:40	0:34:35	274	1:13:43	100	1:48:18	149	0:54:22	149	125		25-29男子	7
144	269	谷井 彰	48	男	富山県	2:42:40	0:32:26	212	1:18:08	175	1:50:34	180	0:52:06	118	126		45-49男子	26
145	151	安藤 佑介	32	男	富山県	2:43:00	0:26:29	51	1:17:42	167	1:44:11	109	0:58:49	217	127		30-34男子	7
146	491	花澤 義昭	63	男	神奈川県	2:43:06	0:29:09	106	1:19:02	187	1:48:11	148	0:54:55	160	128		60-64男子	8
147	111	荒木  悠仁	20	男	福島県	2:43:49	0:27:30	70	1:19:01	186	1:46:31	133	0:57:18	200	129		20-24男子	17
148	222	草深 悠介	44	男	大阪府	2:43:58	0:30:29	145	1:17:27	163	1:47:56	147	0:56:02	175	130		40-44男子	11
149	214	河野 雅之	42	男	東京都	2:44:10	0:31:40	182	1:15:07	126	1:46:47	136	0:57:23	201	131		40-44男子	12
150	374	伊藤  浩昭	54	男	新潟県	2:44:24	0:31:36	176	1:15:56	142	1:47:32	144	0:56:52	191	132		50-54男子	21
151	116	新井 拓希	21	男	福島県	2:44:32	0:31:58	191	1:10:10	49	1:42:08	85	1:02:24	275	133		20-24男子	18
152	661	小澤 真理子	58	女	富山県	2:44:39	0:34:20	263	1:16:04	146	1:50:24	177	0:54:15	145		19	55-59女子	2
153	182	大塚 智也	37	男	茨城県	2:45:22	0:33:00	226	1:20:52	216	1:53:52	208	0:51:30	111	134		35-39男子	11
154	336	関 雄一郎	52	男	新潟県	2:45:24	0:27:40	76	1:22:41	232	1:50:21	176	0:55:03	162	135		50-54男子	22
155	450	中  健一	59	男	富山県	2:45:26	0:31:23	169	1:18:15	176	1:49:38	165	0:55:48	172	136		55-59男子	14
156	515	綿野 潔治	66	男	神奈川県	2:45:30	0:30:26	143	1:13:44	101	1:44:10	108	1:01:20	255	137		65-69男子	4
157	435	倉田 庄一郎	57	男	長野県	2:45:30	0:34:52	281	1:15:53	139	1:50:45	183	0:54:45	159	138		55-59男子	15
158	627	島田  浩美	45	女	長野県	2:45:32	0:36:29	331	1:19:03	188	1:55:32	226	0:50:00	90		20	45-49女子	3
159	148	尾島 慎満	29	男	埼玉県	2:45:49	0:34:21	264	1:23:44	249	1:58:05	256	0:47:44	64	139		25-29男子	8
160	601	松下 奈央	21	女	京都府	2:45:56	0:26:37	54	1:23:01	238	1:49:38	167	0:56:18	182		21	20-24女子	5
161	526	荻原  弘	68	男	長野県	2:46:00	0:30:41	153	1:18:21	178	1:49:02	157	0:56:58	195	140		65-69男子	5
162	127	若月 雄也	23	男	福島県	2:46:02	0:39:02	379	1:15:59	143	1:55:01	220	0:51:01	102	141		20-24男子	19
163	221	中村 望	44	男	新潟県	2:46:12	0:28:54	98	1:19:47	202	1:48:41	154	0:57:31	206	142		40-44男子	13
164	423	本田 忠晴	56	男	山形県	2:46:18	0:32:38	216	1:17:19	161	1:49:57	171	0:56:21	184	143		55-59男子	16
165	235	三枝 洋介	45	男	東京都	2:46:20	0:32:02	197	1:15:19	129	1:47:21	141	0:58:59	220	144		45-49男子	27
166	639	近藤  薫	48	女	東京都	2:46:20	0:30:13	133	1:19:16	193	1:49:29	164	0:56:51	190		22	45-49女子	4
167	393	瀧  康太郎	55	男	神奈川県	2:46:23	0:36:40	337	1:16:40	153	1:53:20	202	0:53:03	129	145		55-59男子	17
168	113	辻 大雅	20	男	大阪府	2:46:25	0:24:45	28	1:24:56	263	1:49:41	168	0:56:44	189	146		20-24男子	20
169	655	柴田 佳代子	55	女	東京都	2:46:30	0:30:52	156	1:21:21	222	1:52:13	192	0:54:17	146		23	55-59女子	3
170	360	小山 茂雄	53	男	新潟県	2:46:36	0:34:25	267	1:18:36	181	1:53:01	200	0:53:35	136	147		50-54男子	23
171	417	山崎 教雄	56	男	宮城県	2:46:40	0:29:49	126	1:15:20	131	1:45:09	118	1:01:31	260	148		55-59男子	18
172	640	横山 紀子	49	女	山形県	2:46:42	0:37:20	355	1:17:53	170	1:55:13	222	0:51:29	110		24	45-49女子	5
173	236	日向 博章	45	男	青森県	2:46:46	0:32:59	224	1:16:02	144	1:49:01	156	0:57:45	209	149		45-49男子	28
174	184	佐久間 啓	38	男	新潟県	2:47:01	0:32:13	205	1:17:50	169	1:50:03	173	0:56:58	194	150		35-39男子	12
175	329	羽尾 和久	51	男	新潟県	2:47:03	0:36:20	327	1:16:10	148	1:52:30	195	0:54:33	151	151		50-54男子	24
176	482	小西  正宣	62	男	長野県	2:47:07	0:33:38	237	1:20:46	215	1:54:24	212	0:52:43	123	152		60-64男子	9
177	440	安茂 義洋	58	男	東京都	2:47:11	0:28:54	97	1:25:32	268	1:54:26	213	0:52:45	124	153		55-59男子	19
178	647	篠原 三陽	52	女	神奈川県	2:47:11	0:30:35	151	1:20:42	213	1:51:17	188	0:55:54	173		25	50-54女子	4
179	335	伊藤 知行	52	男	東京都	2:47:15	0:35:29	303	1:13:24	96	1:48:53	155	0:58:22	216	154		50-54男子	25
180	471	須貝 淳一	61	男	新潟県	2:47:16	0:31:40	181	1:18:02	172	1:49:42	169	0:57:34	207	155		60-64男子	10
181	104	久保田  敦也	19	男	東京都	2:47:52	0:34:24	266	1:16:15	149	1:50:39	182	0:57:13	198	156		10代男子	5
182	241	佐藤 和幸	46	男	東京都	2:48:13	0:27:05	58	1:15:28	132	1:42:33	90	1:05:40	315	157		45-49男子	29
183	232	尾形 英樹	45	男	東京都	2:48:15	0:30:40	152	1:16:04	145	1:46:44	135	1:01:31	261	158		45-49男子	30
184	323	石嶋 聡	51	男	新潟県	2:48:15	0:32:04	198	1:14:01	109	1:46:05	128	1:02:10	273	159		50-54男子	26
185	190	大滝 拓也	39	男	新潟県	2:48:41	0:34:18	262	1:14:54	123	1:49:12	160	0:59:29	231	160		35-39男子	13
186	314	向 哲夫	51	男	新潟県	2:48:41	0:34:05	257	1:20:26	208	1:54:31	214	0:54:10	144	161		50-54男子	27
187	558	井口 智裕	51	男	新潟県	2:48:44	0:36:13	324	1:19:43	199	1:55:56	231	0:52:48	126	162		50-54男子	28
188	112	島田  翼	20	男	埼玉県	2:48:53	0:20:47	1	1:12:44	84	1:33:31	23	1:15:22	396	163		20-24男子	21
189	173	根本 貴史	36	男	長野県	2:48:53	0:32:33	213	1:18:53	182	1:51:26	189	0:57:27	204	164		35-39男子	14
190	380	山田 亨	54	男	新潟県	2:49:23	0:34:08	259	1:19:52	204	1:54:00	209	0:55:23	167	165		50-54男子	29
191	132	梶井 翼	24	男	新潟県	2:49:31	0:38:55	377	1:21:34	224	2:00:29	280	0:49:02	76	166		20-24男子	22
192	217	勧山 法紹	43	男	静岡県	2:49:37	0:31:50	186	1:26:21	281	1:58:11	257	0:51:26	108	167		40-44男子	14
193	337	佐々木 恒次	52	男	宮城県	2:50:07	0:30:17	137	1:13:22	94	1:43:39	100	1:06:28	321	168		50-54男子	30
194	300	酒見 大輔	50	男	千葉県	2:50:07	0:36:07	322	1:14:02	110	1:50:09	174	0:59:58	236	169		50-54男子	31
195	297	澤 将史	49	男	東京都	2:50:14	0:34:53	282	1:19:41	198	1:54:34	216	0:55:40	171	170		45-49男子	31
196	339	渡辺  哲	52	男	新潟県	2:50:15	0:28:13	82	1:17:43	168	1:45:56	125	1:04:19	296	171		50-54男子	32
197	480	中川  泰司	62	男	石川県	2:50:43	0:32:21	207	1:17:17	160	1:49:38	166	1:01:05	251	172		60-64男子	11
198	414	工藤 勇一	56	男	新潟県	2:50:45	0:32:38	215	1:21:53	226	1:54:31	215	0:56:14	179	173		55-59男子	20
199	342	沖津 英雄	52	男	東京都	2:50:48	0:29:34	116	1:20:13	207	1:49:47	170	1:01:01	250	174		50-54男子	33
200	479	須田 修弘	62	男	東京都	2:51:14	0:35:12	293	1:21:23	223	1:56:35	237	0:54:39	155	175		60-64男子	12
201	534	村山 尚志	69	男	東京都	2:51:16	0:29:15	109	1:22:47	235	1:52:02	191	0:59:14	225	176		65-69男子	6
