Overall_Rank	Gender_Rank	Div_Rank	Bib	Name	Gender	Division	Country	Club	Penalty	Swim	T1	Bike	T2	Run	Total_Time
33	30	4	94	Jesus Sanchez	M	M35-39	ESP	TRIALCOY		00:58:01	00:01:52	04:42:22	00:02:00	03:08:35	08:52:48
34	31	9	111	Daniel Beynon	M	M30-34	GBR	Cardiff		00:50:57	00:02:01	04:42:46	00:01:27	03:15:57	08:53:06
35	32	10	45	Egoitz Zalakain	M	M30-34	ESP	Tolosa		00:54:52	00:02:05	04:38:45	00:01:30	03:16:43	08:53:52
36	33	11	146	Alberto Codinach	M	M30-34	ESP	CLUB TRIATLON GUADALAJARA		00:55:39	00:02:04	04:49:21	00:01:18	03:05:40	08:54:00
37	34	3	28	Lothar Leder	M	M40-44	DEU	Darmstadt		00:53:14	00:01:38	04:40:54	00:01:26	03:18:16	08:55:26
38	35	12	192	Christian Schinkel	M	M30-34	DEU	POST SV NÜRNBERG		01:00:57	00:02:59	04:46:54	00:01:10	03:04:01	08:55:59
39	36	13	269	Robert Klöpper	M	M30-34	DEU	SCC BERLIN TRIATHLON		00:52:45	00:02:19	04:52:55	00:01:39	03:07:18	08:56:54
40	37	4	142	Stéphane Dr. Briquez	M	M40-44	FRA	LILLE TRIATHLON		01:01:05	00:02:00	04:51:52	00:01:36	03:01:59	08:58:32
41	38	14	131	Christian Gross	M	M30-34	DEU	KRAICHGAU TRIATHLON E.V.		01:05:14	00:01:42	04:48:55	00:01:37	03:02:02	08:59:28
42	39	6	38	Christian Sämmler	M	M25-29	DEU	SOFTWARE AG TEAM DSW DARMSTADT		00:53:10	00:01:40	04:58:25	00:01:32	03:07:51	09:02:37
43	40	7	165	Hannes Melzer	M	M25-29	DEU	IFA NONSTOP BAMBERG		00:56:51	00:04:17	04:48:31	00:01:35	03:11:33	09:02:44
44	41	15	86	Andreas Prof. Borch	M	M30-34	DNK	Frederiksberg		00:49:03	00:01:31	04:45:20	00:02:48	03:25:23	09:04:01
45	4		59	Katja Konschak	F	W35-39	DEU	SV NORDHAUSEN 90 TRIATHLON		00:51:42	00:01:40	05:03:26	00:01:28	03:06:00	09:04:14
46	42	16	223	Eoin Reville	M	M30-34	IRL	Dublin		01:00:38	00:02:29	04:55:32	00:01:44	03:03:58	09:04:20
47	43	8	166	Daniel Keller	M	M25-29	CHE	SALILEZ-TRIATHLON		00:56:40	00:02:04	04:53:57	00:00:58	03:11:17	09:04:54
48	44	5	132	Martin Janousek	M	M35-39	DEU	EINTRACHT FRANKFURT TRIATHLON		00:48:44	00:01:54	04:45:05	00:02:01	03:27:20	09:05:02
49	45	5	39	Justin Granger	M	M40-44	AUS	Noosa		00:54:52	00:01:45	04:59:15	00:02:23	03:07:58	09:06:11
50	46	1	189	Robin Pesch	M	M20-24	DEU	KTT 01		00:53:04	00:02:42	04:39:50	00:02:21	03:28:30	09:06:24
51	47	9	1152	Thomas Heuschmidt	M	M25-29	DEU	BUNNYHOPSHOPBRUCHSAL/ TV FORST TRIATHLON		01:06:17	00:03:10	04:35:18	00:01:29	03:21:16	09:07:30
52	5		57	Joanna Lawn	F	W35-39	NZL	Auckland		00:54:48	00:02:01	04:53:15	00:01:38	03:17:20	09:09:00
53	48	10	161	Chris Gerhardt	M	M25-29	DEU	SSC KARLSRUHE		00:55:44	00:01:48	04:57:09	00:00:59	03:13:24	09:09:01
54	49	6	169	Manuel Kollorz	M	M40-44	DEU	RSV TRIA BÜHLERTAL		00:58:55	00:02:06	04:49:29	00:01:20	03:17:55	09:09:43
55	50	7	185	Rainer Habermann	M	M40-44	DEU	POST SV NÜRNBERG		01:02:02	00:02:14	04:45:24	00:01:19	03:18:52	09:09:50
56	51	6	27	Alexander Schrüfer	M	M35-39	DEU	RADFREUNDE HILPOLTSTEIN		00:58:05	00:01:51	04:40:44	00:01:17	03:28:10	09:10:05
57	52	17	97	Darren Jenkins	M	M30-34	GBR	Surrey		01:02:57	00:02:19	04:42:08	00:01:42	03:21:16	09:10:20
58	53	18	244	Stefan Treiber	M	M30-34	DEU	TV 06 THALMÄSSING		00:56:00	00:02:22	05:00:40	00:02:23	03:09:27	09:10:50
59	54	7	184	Carlos Dr. Pomar Roy	M	M35-39	ESP	CLUB TRIATLON GUADALAJARA		00:56:17	00:01:45	04:49:08	00:02:02	03:22:13	09:11:22
60	55	19	238	Matthias Ewender	M	M30-34	DEU	Landshut		01:00:07	00:02:20	04:57:25	00:00:57	03:10:58	09:11:45
61	56	8	341	Marcus Offenhuber	M	M40-44	AUT	FUN BALL DORTELWEIL		01:01:35	00:02:18	04:49:50	00:01:25	03:16:41	09:11:47
62	57	11	48	Matthias Grosser	M	M25-29	DEU	TEAM MEMMERT		00:56:52	00:01:55	04:56:58	00:01:17	03:15:10	09:12:11
63	58	8	224	Ruaidhri Geraghty	M	M35-39	IRL	GALWAY TRIATHLON CLUB		01:04:07	00:03:13	04:55:22	00:02:09	03:08:50	09:13:39
64	59	9	100	Max Eggen	M	M35-39	DEU	EQUIPE RED		00:54:53	00:02:36	04:50:09	00:02:16	03:23:56	09:13:47
65	60	20	202	Patrick Bauer	M	M30-34	DEU	TRI - SPORT SAAR-HOCHWALD		00:55:57	00:02:00	04:51:31	00:01:12	03:23:44	09:14:23
66	61	10	252	Danny Hannover	M	M35-39	DEU	TRI TEAM BERLIN		01:05:36	00:02:11	04:52:05	00:01:16	03:14:46	09:15:52
67	62	21	129	Johannes Dr. Eble	M	M30-34	DEU	TRI TEAM FREIBURG		00:56:33	00:02:01	05:01:58	00:01:32	03:13:59	09:16:02
68	63	9	157	Michael Schroers	M	M40-44	DEU	DÜLKENER SV 06		01:00:40	00:02:13	04:52:57	00:01:08	03:19:36	09:16:32
69	64	12	348	Stefan Krisa	M	M25-29	DEU	Augsburg		00:59:15	00:02:24	04:49:50	00:02:40	03:22:39	09:16:45
70	65	13	151	Stephen Baumgartner	M	M25-29	DEU	TV DETTINGEN		00:56:06	00:01:57	05:02:50	00:01:35	03:14:39	09:17:05
71	66	10	199	Julian Friedrich	M	M40-44	DEU	SC 53 LANDSHUT		00:59:56	00:02:41	04:57:17	00:01:53	03:15:48	09:17:33
72	67	11	40	Arnaud Selukov	M	M40-44	FRA	BPTC		00:59:40	00:01:52	04:48:27	00:01:19	03:26:22	09:17:37
73	68	22	1915	Marko Gränitz	M	M30-34	DEU	TRADERS MEDIA GMBH		01:07:09	00:02:08	04:46:12	00:01:32	03:20:49	09:17:48
74	69	12	145	Matthias Ziegler	M	M40-44	DEU	TEAM MAGIC		01:08:19	00:02:12	04:48:47	00:01:07	03:17:26	09:17:49
75	70	11	218	Alexander Dr. Kobler	M	M35-39	DEU	RECARO / ANTWERP'S FINEST		01:01:08	00:02:26	04:59:31	00:02:12	03:12:40	09:17:56
76	71	2	29	Juergen Zaeck	M	M45-49	DEU	THANYAPURA		00:54:51	00:01:47	04:39:11	00:01:42	03:41:12	09:18:41
77	6		61	Yvette Grice	F	W30-34	GBR	BODYWORKS XTC		00:54:38	00:01:53	05:10:44	00:01:59	03:09:30	09:18:42
78	72	12	7	Maik Petzold	M	M35-39	DEU	BAUTZENER LV "ROT-WEISS 90" E. V.		00:46:07	00:01:30	04:43:29	00:01:28	03:46:49	09:19:21
79	73	13	148	Jochen Müller	M	M35-39	DEU	SV KIRCHZARTEN		00:55:56	00:02:14	04:50:56	00:02:00	03:28:19	09:19:23
80	74	3	183	Daniel Enzler	M	M45-49	CHE	Appenzell		01:09:20	00:02:28	04:59:28	00:01:37	03:06:54	09:19:45
81	7		60	Belinda Granger	F	W40-44	AUS	Noosa		00:53:12	00:02:18	04:54:33	00:01:17	03:28:53	09:20:11
82	75	2	213	Simon Falk	M	M20-24	AUT	IRONTEAM EFERDING CELL ACTIVE		00:58:33	00:02:25	04:52:47	00:01:20	03:25:30	09:20:34
83	76	13	207	Thomas Dr. Van Der Wal	M	M40-44	NLD	TTV DE KIKKER		01:04:11	00:02:20	05:01:13	00:01:42	03:11:12	09:20:36
84	77	23	89	Philipp Rowoldt	M	M30-34	DEU	Münster		00:56:59	00:02:01	04:54:39	00:01:56	03:25:14	09:20:48
85	78	14	135	Matthias Röser	M	M40-44	DEU	TEAM MEMMERT		01:08:47	00:02:02	04:55:08	00:02:15	03:13:18	09:21:29
86	79	15	482	Roberto Toribio Noriega	M	M40-44	ESP	COMPLUTUM TRIATLÓN		01:09:00	00:02:56	04:50:53	00:01:29	03:17:35	09:21:51
87	80	16	164	Torsten Jungbluth	M	M40-44	DEU	TK TRIATHLON GREVENBROICH		01:10:46	00:01:47	04:47:56	00:01:31	03:19:56	09:21:54
88	81	24	172	Wim Dr. Laloo	M	M30-34	BEL	SMO SPECIALIZED		00:57:02	00:03:06	04:55:43	00:01:42	03:24:51	09:22:21
89	82	17	105	Ulf Bartels	M	M40-44	DEU	WSV 21 WOLFENBÜTTEL		00:53:07	00:01:53	04:58:14	00:01:20	03:27:57	09:22:29
90	83	14	206	Stephan Gersching	M	M35-39	DEU	TEAM MEMMERT		00:58:15	00:02:31	04:56:13	00:01:14	03:24:33	09:22:43
91	84	15	144	Michael Wachtendonk	M	M35-39	DEU	SG DEUTSCHE BANK / DB AUSDAUER		00:59:01	00:02:10	04:46:26	00:01:29	03:33:50	09:22:54
92	85	18	154	Mark White	M	M40-44	GBR	BIKE SCIENCE - BOARDMAN ELITE		00:58:35	00:03:20	05:02:10	00:01:56	03:17:06	09:23:06
93	86	25	96	Wolfgang Achrainer	M	M30-34	AUT	TEAM METASPORTS		00:56:05	00:02:18	04:58:38	00:01:39	03:24:42	09:23:20
94	87	16	153	Bernhard Schad	M	M35-39	DEU	Bad Wurzach		00:53:01	00:02:27	04:59:32	00:01:26	03:27:00	09:23:23
95	88	19	255	Hans-Peter Ziob	M	M40-44	DEU	SC DHFK LEIPZIG		01:00:43	00:02:14	05:01:03	00:01:20	03:18:06	09:23:25
96	89	26	138	Michael Walker	M	M30-34	DEU	VFL SINDELFINGEN		00:54:49	00:02:18	05:04:29	00:01:38	03:20:20	09:23:32
97	90	17	233	Morten Hornnes	M	M35-39	NOR	ROYAL SPORT		00:59:35	00:02:00	04:55:40	00:02:17	03:24:08	09:23:37
98	91	1	261	Gerhard Bochtler	M	M50-54	DEU	FIT4TRI TG BAD WALDSEE		01:00:37	00:01:58	04:52:46	00:01:31	03:26:54	09:23:45
99	92	2	26	Thomas Geiger	M	M50-54	DEU	ASC KRONACH-FRANKENWALD		01:04:57	00:02:02	04:48:59	00:01:30	03:26:34	09:24:00
100	93	27	1032	Roger Olivet	M	M30-34	ESP	NADAPEDALEACORRE.COM		01:03:40	00:04:04	04:59:46	00:02:32	03:14:06	09:24:06
101	94	20	310	Joseba Madariaga	M	M40-44	ESP	ARITZATXU TRIATLOI TALDEA		00:59:37	00:02:30	05:03:50	00:01:43	03:16:44	09:24:22
102	95	14	1197	Adrian Hoffmann	M	M25-29	DEU	TEAM FINSTERWALDER VFL KAUFERING		00:58:34	00:02:49	04:55:05	00:01:46	03:26:12	09:24:25
103	96	28	259	Tomas Ekl	M	M30-34	CZE	IRON STARS BEROUN		01:03:19	00:02:41	04:55:41	00:01:17	03:22:27	09:25:23
104	97	21	377	Stavro Petri	M	M40-44	DEU	TRI CLUB WUPPERTAL		01:01:55	00:02:58	04:59:41	00:01:13	03:19:42	09:25:27
105	98	29	1209	Jan Meyries	M	M30-34	DEU	21RUN.COM		01:04:28	00:01:46	05:05:10	00:02:27	03:12:04	09:25:53
106	99	18	1536	Oliver Raksch	M	M35-39	DEU	Boostedt		01:02:42	00:02:50	04:57:09	00:02:09	03:21:19	09:26:06
107	100	4	155	Frank Gehse	M	M45-49	DEU	SG WASSERRATTEN NORDERSTEDT		00:55:53	00:02:02	04:59:19	00:01:20	03:27:41	09:26:13
108	101	30	267	Matthias Kulstrunk	M	M30-34	CHE	Baden		01:02:01	00:03:36	04:48:12	00:03:15	03:29:20	09:26:22
109	102	19	1273	Juan Jose Cordero	M	M35-39	ESP	Lahr		01:04:34	00:03:48	05:05:56	00:02:32	03:09:40	09:26:29
110	103	22	182	Jochen Becker	M	M40-44	DEU	SISU BERLIN		01:00:31	00:02:20	04:52:58	00:02:22	03:28:24	09:26:33
111	104	31	215	Martin Hausmann	M	M30-34	DEU	WSV BAD TÖLZ		01:01:01	00:02:41	04:53:08	00:01:51	03:28:00	09:26:39
112	105	23	186	Jens Gydesen	M	M40-44	DNK	RØDEKRO TRI		00:56:51	00:01:57	04:49:06	00:01:33	03:37:28	09:26:53
113	106	3	159	Rainer Breuer	M	M50-54	DEU	TEAM ARNDT		01:16:32	00:02:24	04:48:05	00:01:54	03:18:10	09:27:04
114	107	32	408	Rene Gruner	M	M30-34	DEU	TSV COTTBUS		01:03:10	00:02:54	04:51:08	00:01:50	03:28:37	09:27:38
115	108	20	1179	Matthew Davies	M	M35-39	GBR	Pontyclun		01:03:17	00:02:19	05:00:47	00:04:00	03:17:35	09:27:56
116	109	33	340	Thomas Schwarz	M	M30-34	DEU	Göttingen		01:01:38	00:02:10	04:54:39	00:01:33	03:28:26	09:28:24
117	110	34	124	Stephan Braun	M	M30-34	DEU	ASC KRONACH-FRANKENWALD		00:57:12	00:01:59	05:02:57	00:01:26	03:25:00	09:28:32
118	111	35	1178	Alan Scott	M	M30-34	GBR	CLAPHAM CHASERS		00:57:07	00:02:29	05:09:01	00:01:39	03:18:46	09:28:59
119	112	21	90	Luis Fernando Fuentes Bringas	M	M35-39	ESP	Malaga		00:54:46	00:01:55	05:00:22	00:02:07	03:29:56	09:29:04
120	113	36	344	Stefan Bürge	M	M30-34	DEU	MCDONALD'S 3ATHLON TEAM-LTV ERFURT		01:01:56	00:02:31	04:49:57	00:01:35	03:33:34	09:29:32
121	114	24	481	Joe Duckworth	M	M40-44	GBR	CHORLEY AC & TRI		01:09:06	00:02:52	05:06:40	00:02:12	03:08:57	09:29:45
122	115	37	1503	Dirk Dr. Heshe	M	M30-34	DEU	TRI FINISH MÜNSTER		00:58:43	00:02:38	04:55:19	00:01:56	03:31:38	09:30:12
123	116	38	109	Fabian Mottl	M	M30-34	DEU	TSV NEUBURG		01:05:05	00:02:23	04:56:26	00:01:55	03:24:28	09:30:15
124	117	22	264	Sergio Moreno	M	M35-39	ESP	ECOSPORT ALCOBENDAS		01:00:51	00:00:25	05:11:10	00:02:12	03:15:57	09:30:34
125	118	39	231	Georg Thielmann Von	M	M30-34	DEU	BAYERNLB SC		01:08:39	00:02:34	04:58:55	00:02:44	03:18:01	09:30:52
126	119	40	1216	Matthias Erlebach	M	M30-34	DEU	TRI-FORCE FULDA		00:59:10	00:01:48	05:01:26	00:02:22	03:26:20	09:31:04
127	120	25	297	Michael Blumhofer	M	M40-44	DEU	TV FORST TRIATHLON		00:56:20	00:02:25	04:57:12	00:01:37	03:33:37	09:31:10
128	121	23	257	Julian Sparrer	M	M35-39	DEU	BADERMAINZL TRITEAM ROSENHEIM		01:02:12	00:02:25	05:02:58	00:01:04	03:22:49	09:31:27
129	122	41	301	Clyde Rosanowski	M	M30-34	NZL	SPARKS ELITE		01:03:03	00:03:08	05:07:20	00:01:32	03:16:29	09:31:30
130	123	24	330	Henning Mühlenhaupt	M	M35-39	DEU	TRIATHLON HEIDEKREIS		01:02:04	00:02:27	05:08:27	00:02:37	03:16:20	09:31:53
131	124	25	498	Tino Hedrich	M	M35-39	DEU	DAV RAVENSBURG		01:00:02	00:02:45	05:00:39	00:01:22	03:27:08	09:31:53
132	125	3	300	Robert Wendland	M	M20-24	DEU	TV 48 ERLANGEN		01:05:10	00:02:11	05:00:24	00:01:03	03:23:10	09:31:56
133	126	26	194	Alvin Cooney	M	M35-39	IRL	MERSEY TRI		01:00:59	00:02:12	05:07:56	00:01:55	03:18:58	09:31:58
134	127	42	294	Markus Langheinrich	M	M30-34	DEU	GEALAN TRI TEAM IFL HOF		00:56:50	00:02:40	05:10:24	00:01:38	03:20:52	09:32:21
135	128	5	425	Sven Günthner	M	M45-49	DEU	TRIA ECHTERDINGEN		01:03:28	00:02:27	04:57:36	00:02:05	03:26:49	09:32:23
136	129	27	24	Chris Goodfellow	M	M35-39	GBR	Oxford		00:54:47	00:01:54	04:48:37	00:01:43	03:45:30	09:32:28
137	130	43	476	Wolfgang Sturm	M	M30-34	DEU	SOPREMA TEAM SV MANNHEIM		01:07:05	00:02:48	05:00:22	00:01:27	03:20:55	09:32:35
138	131	44	448	Benedikt Appold	M	M30-34	DEU	TEAM SOLECTRIX		01:20:19	00:02:44	05:01:07	00:01:18	03:07:09	09:32:36
139	132	15	1023	Martin Treimer	M	M25-29	DEU	TSV HARBURG		01:11:24	00:02:59	04:57:14	00:01:44	03:19:28	09:32:46
140	133	45	951	Jörn Dr. Basel	M	M30-34	DEU	SCC BERLIN TRIATHLON		01:03:26	00:02:02	05:11:33	00:02:22	03:13:32	09:32:53
141	134	26	227	Vidar Thorsteinsson	M	M40-44	ISL	THRIKO		00:57:01	00:02:06	04:53:07	00:01:08	03:39:54	09:33:14
142	135	46	120	Peter Strzezyk	M	M30-34	DEU	SG POSEIDON EPPELHEIM		00:56:33	00:02:20	04:47:07	00:01:36	03:45:43	09:33:17
143	136	47	353	Hanno Blaß	M	M30-34	DEU	LTF MARPINGEN		00:59:32	00:02:28	04:51:37	00:01:14	03:38:47	09:33:37
144	137	16	2105	Philipp-Johannes Müller	M	M25-29	DEU	TSV COTTBUS		01:02:32	00:02:03	04:59:25	00:02:05	03:27:38	09:33:41
145	138	27	386	Thomas Dr. Hartung	M	M40-44	DEU	PSV BONN TRIATHLON		01:02:53	00:01:57	04:59:23	00:01:14	03:28:17	09:33:42
146	139	28	369	Michael Weber	M	M35-39	DEU	TV BURGLENGENFELD		01:06:16	00:02:22	04:56:54	00:01:44	03:26:49	09:34:04
147	140	48	1210	Matthias Fehrenbach	M	M30-34	DEU	Stuttgart		01:11:50	00:03:29	05:10:51	00:01:40	03:06:15	09:34:04
148	141	29	226	Michael Sams	M	M35-39	AUS	Randwick		01:00:33	00:02:34	05:03:10	00:01:27	03:26:29	09:34:12
149	142	28	249	Carlos Dr. Sanchez Herguedas	M	M40-44	ESP	SR2 TRIATLON		00:56:53	00:02:28	05:11:52	00:02:38	03:20:24	09:34:13
150	143	17	8	Georg Potrebitsch	M	M25-29	DEU	POWERHORSE TRIATHLON TEAM/SV GLADBECK 13		00:48:29	00:01:31	04:29:18	00:01:27	04:13:33	09:34:16
151	144	29	177	Lee Charles	M	M40-44	GBR	Maidenhead		01:00:44	00:02:17	04:56:30	00:02:12	03:33:01	09:34:42
152	145	30	323	Alexandre Outhier	M	M35-39	FRA	DIJON TRI		00:59:21	00:03:52	05:01:08	00:02:54	03:27:46	09:34:59
153	146	6	127	Stefan Schröter	M	M45-49	DEU	Norderstedt		01:01:10	00:02:13	04:43:09	00:01:59	03:46:31	09:35:00
154	147	30	436	Stefan Leijdekkers	M	M40-44	NLD	TRITONS		01:04:58	00:02:32	04:54:16	00:03:02	03:30:47	09:35:34
155	148	49	222	Søren Kriegbaum Rohde	M	M30-34	DNK	FFD KRALUPY TRI		01:02:24	00:02:25	05:02:08	00:01:30	03:27:20	09:35:45
156	149	50	1239	Benjamin Sauvage	M	M30-34	FRA	ROANNE TRIATHLON		01:07:43	00:04:25	04:56:26	00:03:22	03:24:02	09:35:57
157	150	7	444	Thomas Baierl	M	M45-49	DEU	AMMERSEE TRIAGATORS		00:58:40	00:02:41	04:57:52	00:01:43	03:35:30	09:36:23
158	151	18	458	Christian Kurrat	M	M25-29	DEU	TLV RANGSDORF		01:09:05	00:02:41	05:01:30	00:01:27	03:21:51	09:36:33
159	152	51	88	Henning Schoelen	M	M30-34	DEU	TV GOCH		00:57:25	00:02:44	05:12:35	00:01:47	03:22:17	09:36:46
160	153	8	170	Christian Pickl	M	M45-49	DEU	TEAM MEMMERT		01:00:44	00:02:30	04:51:22	00:01:40	03:40:40	09:36:53
161	154	31	352	Tim Male	M	M35-39	GBR	THAMES TURBO TRIATHLON CLUB		00:55:55	00:02:12	04:53:27	00:02:14	03:43:18	09:37:05
162	155	9	147	Helmut Schmidt	M	M45-49	DEU	TEAM WERTBAU TSV HOF		01:04:35	00:03:19	04:50:15	00:01:48	03:37:16	09:37:11
163	156	19	219	Daniel Bräunlein	M	M25-29	DEU	LA CARRERA TRITEAM ROTHSEE		01:05:24	00:01:58	05:04:58	00:01:26	03:23:52	09:37:35
164	157	10	149	Achim Groenhagen	M	M45-49	DEU	1.TC OLDENBURG "DIE BÄREN"		01:09:41	00:02:21	04:48:36	00:00:59	03:36:02	09:37:37
165	8		62	Celia Kuch	F	W35-39	DEU	TSG WEINHEIM TEAM RADSPORT WAGNER		01:03:02	00:01:58	05:04:17	00:02:33	03:25:50	09:37:38
166	158	4	963	Jan Selnes	M	M50-54	DEU	WSV BAD TÖLZ		01:05:59	00:03:06	05:02:16	00:03:02	03:23:25	09:37:47
167	159	4	1012	Daniel Treimer	M	M20-24	DEU	TSV HARBURG		01:00:20	00:02:35	05:11:02	00:02:12	03:21:40	09:37:48
168	160	31	282	Frank Burkhardt	M	M40-44	DEU	SCC BERLIN TRIATHLON		00:57:43	00:01:43	05:09:15	00:02:58	03:26:16	09:37:53
169	161	20	99	Till Schramm	M	M25-29	DEU	SV BERGISCH GLADBACH		00:54:48	00:01:42	04:39:12	00:01:56	04:00:21	09:37:57
170	162	32	4	Cameron Brown	M	M40-44	NZL	AUCKLAND CITY		00:48:39	00:01:40	04:28:58	00:01:25	04:17:18	09:37:57
171	163	32	438	René Nielsen	M	M35-39	DNK	KVIK TRI TEAM		01:02:12	00:02:09	04:55:30	00:02:01	03:36:08	09:37:58
172	164	11	453	Christian Schulze Icking-Riddebrock	M	M45-49	DEU	Ahaus		01:12:26	00:03:47	04:59:24	00:02:31	03:20:13	09:38:19
173	165	52	1277	Alexander Riwny	M	M30-34	DEU	TRIATHLON TEAM BUXTEHUDE		01:04:47	00:01:57	05:03:46	00:02:14	03:25:55	09:38:38
174	166	21	1555	Christoffer Lund	M	M25-29	DNK	Aalborg		01:02:04	00:02:24	04:51:33	00:01:45	03:40:59	09:38:42
175	167	33	381	Markus Schmelzeisen	M	M40-44	DEU	TRIATHLON TEAM RHEIN-NAHE		01:01:07	00:02:18	05:07:45	00:01:55	03:26:10	09:39:13
176	168	34	271	Morten Norgaard	M	M40-44	DNK	BMC		01:05:32	00:03:16	04:53:32	00:02:54	03:34:05	09:39:18
177	169	35	277	Anthony Foster	M	M40-44	GBR	TORBAY TRI		01:06:26	00:02:40	04:53:20	00:03:10	03:33:53	09:39:26
