総合 順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子 順位	女子 順位	年齢区分	年齡 別順
75	284	高橋 柱	45	男	奈良県	4:14:25	0:41:18	170	1:51:57	108	2:33:15	114	1:41:10	69		74		40～49歳男子	24
76	216	越野 章	43	男	名古屋市	4:14:41	0:30:37	10	1:54:15	133	2:24:52	47	1:49:49	123		75		40～49歳男子	25
77	84	友利 博道	34	男	名古屋市	4:15:04	0:42:34	215	1:46:41	46	2:29:15	79	1:45:49	100		76		30～39歳男子	35
78	66	平野 暁宏	33	男	東京都	4:15:44	0:39:38	116	1:50:32	90	2:30:10	85	1:45:34	96		77		30～39歳男子	36
79	78	宮本 悠樹	33	男	安城市	4:16:06	0:41:52	189	1:57:06	175	2:38:58	176	1:37:08	37		78		30～39歳男子	37
80	43	石田 真義	30	男	清須市	4:16:19	0:38:10	88	1:48:28	61	2:26:38	60	1:49:41	122		79		30～39歳男子	38
81	94	佐藤 康治	35	男	東京都	4:16:21	0:41:30	177	1:54:38	140	2:36:08	140	1:40:13	63		80		30～39歳男子	39
82	211	神野 茂	43	男	名古屋市	4:16:29	0:43:45	256	1:51:15	101	2:35:00	130	1:41:29	72		81		40～49歳男子	26
83	121	岩元 広哉	38	男	名古屋市	4:16:57	0:38:04	84	1:51:43	106	2:29:47	81	1:47:10	105		82		30～39歳男子	40
84	77	浅井 大	33	男	名古屋市	4:17:04	0:40:58	158	1:48:10	58	2:29:08	77	1:47:56	112		83		30～39歳男子	41
85	99	五条 貴仁	35	男	岐阜県	4:17:34	0:35:48	48	1:51:11	99	2:26:59	61	1:50:35	134		84		30～39歳男子	42
86	24	平松 良樹	28	男	豊橋市	4:18:06	0:53:47	422	1:44:26	31	2:38:13	172	1:39:53	59		85		18～29歳男子	5
87	365	本庄 俊和	50	男	豊川市	4:18:06	0:50:46	394	1:52:29	115	2:43:15	211	1:34:51	26		86		50～59歳男子	10
88	312	伊藤 明広	47	男	名古屋市	4:18:27	0:40:01	129	1:51:15	100	2:31:16	100	1:47:11	106		87		40～49歳男子	27
89	146	安藤 英一	40	男	名古屋市	4:18:35	0:42:09	202	1:49:06	65	2:31:15	99	1:47:20	107		88		40～49歳男子	28
90	129	原口 高之	38	男	神奈川県	4:18:44	0:40:08	133	1:49:58	76	2:30:06	84	1:48:38	119		89		30～39歳男子	43
91	172	羽田野 敏夫	41	男	豊橋市	4:18:58	0:35:02	42	1:52:47	118	2:27:49	69	1:51:09	138		90		40～49歳男子	29
92	323	藤井 克人	47	男	春日井市	4:19:17	0:41:53	190	1:52:34	116	2:34:27	125	1:44:50	90		91		40～49歳男子	30
93	122	仲谷 昌彦	38	男	田原市	4:19:20	0:40:50	152	1:57:04	174	2:37:54	168	1:41:26	70		92		30～39歳男子	44
94	145	土持 康博	40	男	豊橋市	4:19:33	0:40:29	141	2:03:37	263	2:44:06	223	1:35:27	29		93		40～49歳男子	31
95	3	斎藤 渉	34	男	三重県	4:20:07	0:32:58	19	1:39:54	9	2:12:52	10	2:07:15	258		94		30～39歳男子	45
96	446	高津 晴敏	59	男	豊橋市	4:20:15	0:42:02	198	1:55:11	149	2:37:13	159	1:43:02	79		95		50～59歳男子	11
97	295	浦崎 宏幸	46	男	岐阜県	4:20:21	0:40:45	148	1:55:28	153	2:36:13	143	1:44:08	84		96		40～49歳男子	32
98	391	小西 正宣	52	男	兵庫県	4:20:41	0:44:11	268	1:54:10	130	2:38:21	174	1:42:20	76		97		50～59歳男子	12
99	364	谷原 武	50	男	奈良県	4:20:41	0:49:02	370	1:54:11	131	2:43:13	210	1:37:28	41		98		50～59歳男子	13
100	432	寺木 忠利	56	男	名古屋市	4:20:43	0:35:10	43	1:54:52	144	2:30:02	82	1:50:41	135		99		50～59歳男子	14
101	468	本庄 愉美	45	女	豊川市	4:20:48	0:42:02	199	1:53:07	123	2:35:09	134	1:45:39	98			2	40～49歳女子	
102	367	高橋 良	50	男	神奈川県	4:20:55	0:42:25	211	2:01:58	242	2:44:23	226	1:36:32	33		100		50～59歳男子	15
103	81	高田 裕基	34	男	大阪府	4:21:00	0:38:15	90	1:50:56	96	2:29:11	78	1:51:49	141		101		30～39歳男子	46
104	96	星谷 雄太	35	男	神奈川県	4:21:10	0:33:16	22	1:59:15	207	2:32:31	113	1:48:39	120		102		30～39歳男子	47
105	342	田中 真一	49	男	東京都	4:21:15	0:38:19	92	1:47:13	49	2:25:32	49	1:55:43	161		103		40～49歳男子	33
106	246	岡本 直記	45	男	神奈川県	4:21:39	0:31:50	14	1:59:03	204	2:30:53	94	1:50:46	136		104		40～49歳男子	34
107	173	馬杉 秀昭	41	男	豊田市	4:21:57	0:38:18	91	1:58:09	185	2:36:27	149	1:45:30	95		105		40～49歳男子	35
108	248	平野 寛	45	男	兵庫県	4:22:05	0:36:11	58	1:44:08	30	2:20:19	29	2:01:46	216		106		40～49歳男子	36
109	37	上野 礼人	30	男	岐阜県	4:22:09	0:38:20	93	1:58:20	193	2:36:40	152	1:45:29	94		107		30～39歳男子	48
110	226	黒川 真治	44	男	稲沢市	4:22:28	0:36:54	67	1:54:35	136	2:31:29	105	1:50:59	137		108		40～49歳男子	37
111	322	宇佐美 雅人	47	男	一宮市	4:22:29	0:43:29	246	1:44:43	33	2:28:12	71	1:54:17	155		109		40～49歳男子	38
112	476	永長 直美	38	女	大阪府	4:22:30	0:40:05	132	1:58:04	183	2:38:09	171	1:44:21	86			3	30～39歳女子	
113	369	檀林 重正	50	男	田原市	4:22:47	0:40:24	139	1:49:40	73	2:30:04	83	1:52:43	145		110		50～59歳男子	16
114	356	藤山 幸一	50	男	三重県	4:23:03	0:49:36	382	1:55:58	156	2:45:34	248	1:37:29	42		111		50～59歳男子	17
115	202	植田 倫臣	42	男	東京都	4:23:22	0:44:26	275	1:46:12	41	2:30:38	93	1:52:44	146		112		40～49歳男子	39
116	296	福積 延治	46	男	豊田市	4:23:26	0:35:52	51	1:57:38	180	2:33:30	116	1:49:56	126		113		40～49歳男子	40
117	159	野呂 英次	40	男	三重県	4:23:39	0:41:20	171	1:55:26	152	2:36:46	155	1:46:53	104		114		40～49歳男子	41
118	149	中島 三智	40	男	名古屋市	4:23:40	0:45:32	310	1:50:20	82	2:35:52	139	1:47:48	111		115		40～49歳男子	42
119	496	川田 清美	52	女	長崎県	4:23:41	0:43:18	241	1:56:27	165	2:39:45	184	1:43:56	82			4	50～59歳女子	1
120	332	長坂 武久	48	男	岡崎市	4:23:45	0:40:56	155	1:50:29	89	2:31:25	103	1:52:20	144		116		40～49歳男子	43
121	23	高本 政博	28	男	名古屋市	4:24:08	0:33:47	27	2:00:50	232	2:34:37	127	1:49:31	121		117		18～29歳男子	6
122	259	小松 尚史	31	男	神奈川県	4:24:14	0:48:27	364	1:48:05	54	2:36:32	151	1:47:42	110		118		30～39歳男子	49
123	208	野田 貴弘	43	男	静岡県	4:24:22	0:34:36	35	1:59:15	208	2:33:51	120	1:48:31	117	120	119		40～49歳男子	44
124	109	彦坂 浩二	37	男	豊橋市	4:24:24	0:37:58	80	1:58:27	197	2:36:25	147	1:47:59	114		120		30～39歳男子	50
125	147	高武 康介	40	男	東京都	4:24:49	0:40:23	138	1:47:53	52	2:28:16	72	1:56:33	164		121		40～49歳男子	45
126	167	中島 興明	41	男	瀬戸市	4:24:51	0:39:31	115	2:05:59	298	2:45:30	246	1:39:21	53		122		40～49歳男子	46
127	61	佐藤 悠一	33	男	東京都	4:25:35	0:34:29	34	1:56:02	158	2:30:31	91	1:55:04	158		123		30～39歳男子	51
128	372	阪井 誠治	51	男	三重県	4:25:59	0:45:18	300	1:56:00	157	2:41:18	197	1:44:41	89		124		50～59歳男子	18
129	179	藏田 康弘	41	男	名古屋市	4:26:02	0:44:14	270	1:42:02	18	2:26:16	58	1:59:46	197		125		40～49歳男子	47
130	227	吉田 幸司	44	男	大阪府	4:26:26	0:36:57	68	1:59:23	211	2:36:20	145	1:50:06	127		126		40～49歳男子	48
131	192	中村 道夫	42	男	豊明市	4:26:27	0:48:02	354	1:54:08	128	2:42:10	203	1:44:17	85		127		40～49歳男子	49
132	215	西形 栄治	43	男	東京都	4:26:31	0:40:59	160	2:00:51	233	2:41:50	200	1:44:41	88		128		40～49歳男子	50
133	194	田中 良典	42	男	豊田市	4:26:45	0:43:05	236	1:58:12	186	2:41:17	196	1:45:28	93		129		40～49歳男子	51
134	409	山本 裕章	54	男	三重県	4:27:52	0:37:00	69	2:00:17	223	2:37:17	160	1:50:35	133		130		50～59歳男子	19
135	324	榊原 信幸	47	男	常滑市	4:28:24	0:38:47	103	1:53:36	125	2:32:23	110	1:56:01	162		131		40～49歳男子	52
136	33	金澤 聖士	29	男	大阪府	4:28:39	0:39:39	117	1:50:52	94	2:30:31	90	1:58:08	179		132		18～29歳男子	7
137	279	中山 裕充	44	男	埼玉県	4:28:43	0:41:14	169	1:55:11	150	2:36:25	148	1:52:18	143		133		40～49歳男子	53
138	287	宮本 努	45	男	大府市	4:28:46	0:42:22	208	2:02:51	255	2:45:13	240	1:43:33	81		134		40～49歳男子	54
139	373	坂本 俊雄	51	男	豊川市	4:29:19	0:47:28	350	1:56:31	166	2:43:59	220	1:45:20	92		135		50～59歳男子	20
140	225	杉浦 啓二	44	男	名古屋市	4:29:28	0:33:57	28	1:52:01	109	2:25:58	55	2:03:30	233		136		40～49歳男子	55
141	123	平山 卓男	38	男	名古屋市	4:29:43	0:41:34	181	1:54:38	139	2:36:12	142	1:53:31	152		137		30～39歳男子	52
142	344	峠 和久	49	男	大阪府	4:29:45	0:39:59	128	1:59:37	214	2:39:36	181	1:50:09	130		138		40～49歳男子	56
143	191	安居 敏則	42	男	滋賀県	4:30:04	0:39:54	121	1:51:08	98	2:31:02	95	1:59:02	190		139		40～49歳男子	57
144	209	吉田 憲治	43	男	豊橋市	4:30:34	0:40:21	136	1:51:33	104	2:31:54	108	1:58:40	185		140		40～49歳男子	58
145	341	三村 安信	49	男	名古屋市	4:30:49	0:41:04	163	1:59:36	213	2:40:40	190	1:50:09	129		141		40～49歳男子	59
146	339	釘宮 幸弘	49	男	尾張旭市	4:30:52	0:40:10	134	1:55:17	151	2:35:27	137	1:55:25	160		142		40～49歳男子	60
147	453	斉藤 明	63	男	静岡県	4:31:06	0:40:35	144	1:58:38	199	2:39:13	179	1:51:53	142		143		60歳以上男子	1
148	335	安藤 彰啓	48	男	大阪府	4:31:11	0:35:52	52	1:51:32	103	2:27:24	65	2:03:47	234		144		40～49歳男子	61
149	382	石川 誠	51	男	豊橋市	4:31:37	0:41:26	173	1:52:56	121	2:34:22	124	1:57:15	172		145		50～59歳男子	21
150	207	若竹 真一	43	男	奈良県	4:31:53	0:38:02	82	1:59:51	219	2:37:53	166	1:54:00	154		146		40～49歳男子	62
151	185	西田 考宏	42	男	安城市	4:32:04	0:35:53	53	1:54:37	138	2:30:30	89	2:01:34	213		147		40～49歳男子	63
152	74	深山 孝司	33	男	名古屋市	4:32:07	0:42:59	232	1:56:19	162	2:39:18	180	1:52:49	147		148		30～39歳男子	53
153	362	小松 信男	50	男	長野県	4:32:21	0:40:23	137	1:57:01	173	2:37:24	162	1:54:57	156		149		50～59歳男子	22
154	235	島津 達也	44	男	静岡県	4:32:34	0:42:47	225	2:09:04	330	2:51:51	299	1:40:43	66		150		40～49歳男子	64
155	253	寺井 涼祐	29	男	知多市	4:32:35	0:43:37	252	1:48:07	56	2:31:44	107	2:00:51	207		151		18～29歳男子	8
156	206	岡崎 博幸	43	男	江南市	4:32:51	0:34:08	32	1:52:24	111	2:26:32	59	2:06:19	252		152		40～49歳男子	65
157	82	伊藤 俊太	34	男	瀬戸市	4:32:53	0:39:56	124	1:50:15	79	2:30:11	86	2:02:42	224		153		30～39歳男子	54
158	233	井上 清孝	44	男	神奈川県	4:33:01	0:36:14	60	1:57:10	176	2:33:24	115	1:59:37	193		154		40～49歳男子	66
159	160	青木 健	40	男	東京都	4:33:06	0:54:54	429	1:58:15	188	2:53:09	308	1:39:57	60		155		40～49歳男子	67
160	311	林 守英	47	男	豊川市	4:33:09	0:44:01	261	2:01:47	239	2:45:48	250	1:47:21	108		156		40～49歳男子	68
161	36	丹羽 正憲	29	男	岡崎市	4:33:14	0:38:46	102	1:57:26	177	2:36:12	141	1:57:02	170		157		18～29歳男子	9
162	485	中村 美紀	42	女	三重県	4:33:15	0:45:57	320	1:58:47	201	2:44:44	233	1:48:31	118			5	40～49歳女子	1
163	278	村田 幸紀	44	男	みよし市	4:33:41	0:38:38	98	1:54:56	145	2:33:34	117	2:00:07	202		158		40～49歳男子	69
164	214	土方 利春	43	男	一宮市	4:33:51	0:40:31	142	1:54:15	134	2:34:46	129	1:59:05	191		159		40～49歳男子	70
165	231	小笠原 成年	44	男	田原市	4:34:13	0:47:30	351	2:05:48	294	2:53:18	314	1:40:55	67		160		40～49歳男子	71
166	64	小林 徹	33	男	豊橋市	4:34:38	0:41:39	184	1:56:19	163	2:37:58	169	1:56:40	166		161		30～39歳男子	55
167	183	麻生 徹	41	男	京都府	4:34:48	0:42:43	219	1:52:26	113	2:35:09	133	1:59:39	194		162		40～49歳男子	72
168	218	平松 一人	43	男	奈良県	4:34:49	0:43:44	255	2:01:13	237	2:44:57	237	1:49:52	125		163		40～49歳男子	73
169	116	今井 伸一	37	男	田原市	4:34:53	0:49:02	371	1:46:25	44	2:35:27	136	1:59:26	192		164		30～39歳男子	56
170	190	齊藤 順一	42	男	愛西市	4:35:04	0:40:36	145	1:47:58	53	2:28:34	74	2:06:30	253		165		40～49歳男子	74
171	321	金子 智隆	47	男	大府市	4:35:23	0:35:14	44	1:55:49	154	2:31:03	96	2:04:20	240		166		40～49歳男子	75
172	319	菱井 義之	47	男	兵庫県	4:35:40	0:42:38	216	1:50:59	97	2:33:37	118	2:02:03	221		167		40～49歳男子	76
173	310	増田 敬雅	47	男	名古屋市	4:35:45	0:37:26	73	1:55:00	147	2:32:26	112	2:03:19	230		168		40～49歳男子	77
174	463	中田 浩司	71	男	豊橋市	4:35:47	0:38:10	87	2:04:29	273	2:42:39	205	1:53:08	148		169		60歳以上男子	2
175	426	樋代 敏彦	55	男	長野県	4:35:58	0:44:03	263	1:58:44	200	2:42:47	206	1:53:11	149		170		50～59歳男子	23
176	396	山本 篤司	52	男	兵庫県	4:36:21	0:44:32	281	1:49:59	77	2:34:31	126	2:01:50	217		171		50～59歳男子	24
177	483	久恒 佐知子	42	女	大府市	4:37:11	0:42:28	214	1:54:35	137	2:37:03	157	2:00:08	203			6	40～49歳女子	2
178	469	中山 いずみ	47	女	岐阜県	4:37:37	0:37:04	71	2:10:15	338	2:47:19	263	1:50:18	131			7	40～49歳女子	3
179	281	杉江 可成	45	男	豊川市	4:37:51	0:43:07	237	1:54:56	146	2:38:03	170	1:59:48	198		172		40～49歳男子	78
180	204	加納 英作	42	男	豊山町	4:38:06	0:41:53	191	1:56:24	164	2:38:17	173	1:59:49	199		173		40～49歳男子	79
181	124	矢野 龍太郎	38	男	埼玉県	4:38:23	0:41:50	188	1:57:54	182	2:39:44	182	1:58:39	184		174		30～39歳男子	57
182	180	松田 雅也	41	男	春日井市	4:38:44	0:38:09	86	1:49:15	67	2:27:24	64	2:11:20	287		175		40～49歳男子	80
183	471	西村 慈	30	女	大阪府	4:39:00	0:38:32	97	2:05:29	288	2:44:01	221	1:54:59	157			8	30～39歳女子	1
184	155	片山 智之	40	男	三重県	4:39:13	0:46:06	325	1:59:14	206	2:45:20	243	1:53:53	153		176		40～49歳男子	81
185	104	中村 恵也	36	男	名古屋市	4:39:26	0:40:20	135	1:55:06	148	2:35:26	135	2:04:00	239		177		30～39歳男子	58
186	138	小森 一人	39	男	大阪府	4:39:47	0:46:43	337	2:08:32	324	2:55:15	327	1:44:32	87		178		30～39歳男子	59
187	290	関根 正一	45	男	千葉県	4:40:05	0:45:12	299	1:56:07	161	2:41:19	198	1:58:46	186		179		40～49歳男子	82
188	268	津田 忠臣	39	男	大阪府	4:40:08	0:40:57	157	1:58:07	184	2:39:04	177	2:01:04	210		180		30～39歳男子	60
189	26	上村 裕三郎	28	男	神奈川県	4:40:15	0:41:22	172	1:49:48	74	2:31:10	97	2:07:05	256	120	181		18～29歳男子	10
190	385	山岸 賢一	51	男	名古屋市	4:40:19	0:48:13	358	2:00:30	224	2:48:43	272	1:51:36	139		182		50～59歳男子	25
191	384	吉村 貴由	51	男	東京都	4:40:46	0:44:22	272	1:59:22	210	2:43:44	217	1:57:02	169		183		50～59歳男子	26
192	481	岩佐 亜生	40	女	岡山県	4:41:01	0:44:52	289	2:02:42	252	2:47:34	265	1:53:27	151			9	40～49歳女子	4
193	479	千葉 眞左子	39	女	東京都	4:41:45	0:42:41	218	2:00:42	227	2:43:23	213	1:58:22	182			10	30～39歳女子	2
