総合 順位	No.	氏名	総合記録	スイムラップ	Ｓ順	バイクラップ	Ｂ順	スプリット	通過	ランラップ	Ｒ順	年齢区分	年齡 別順
22	40	CallaghanTatiana	1:32:15	0:17:43	33	0:50:04	18	1:07:47	23	0:24:28	21	40-49歳	9
23	39	原澤 靖子	1:32:37	0:18:35	41	0:49:34	15	1:08:09	24	0:24:28	20	40-49歳	10
24	34	神野彩子	1:33:05	0:15:42	26	0:49:41	17	1:05:23	19	0:27:42	42	40-49歳	11
25	22	大山 彩子	1:33:28	0:18:42	42	0:51:01	23	1:09:43	29	0:23:45	17	30-39歳	3
26	47	桑嶋寿江	1:33:40	0:13:17	10	0:53:03	30	1:06:20	21	0:27:20	37	50-59歳	1
27	17	甲田以与	1:34:26	0:18:44	44	0:45:52	8	1:04:36	14	0:29:50	47	30-39歳	4
28	41	都築 由紀子	1:34:37	0:19:00	46	0:52:24	28	1:11:24	35	0:23:13	13	40-49歳	12
29	42	力竹みゆき	1:35:14	0:15:08	23	0:55:18	40	1:10:26	32	0:24:48	23	40-49歳	13
30	48	矢田昌美	1:35:37	0:15:55	30	0:54:43	38	1:10:38	34	0:24:59	24	50-59歳	2
31	15	家 祐季	1:35:46	0:18:27	39	0:53:20	32	1:11:47	37	0:23:59	19	30-39歳	5
32	6	杉森美咲	1:35:58	0:15:53	29	0:52:37	29	1:08:30	25	0:27:28	40	29歳以下	9
33	51	林廣子	1:36:53	0:13:45	15	0:55:35	41	1:09:20	27	0:27:33	41	60-69歳	1
34	2	坂元ひより	1:37:24	0:15:52	28	0:54:19	35	1:10:11	31	0:27:13	36	29歳以下	10
35	29	落合理子	1:39:32	0:19:54	52	0:53:56	34	1:13:50	43	0:25:42	32	30-39歳	6
36	26	西田若尚	1:39:42	0:18:45	45	0:54:56	39	1:13:41	41	0:26:01	33	30-39歳	7
37	20	米山 恵美	1:39:46	0:19:40	50	0:54:43	37	1:14:23	45	0:25:23	30	30-39歳	8
38	46	三浦 美穂子	1:40:28	0:19:15	47	0:51:12	24	1:10:27	33	0:30:01	48	50-59歳	3
39	56	松島 和代	1:40:36	0:18:11	38	0:53:13	31	1:11:24	36	0:29:12	45	60-69歳	2
40	14	崔有京	1:40:44	0:20:12	53	0:51:44	25	1:11:56	38	0:28:48	44	30-39歳	9
41	16	鳥光唯	1:40:58	0:18:43	43	0:57:06	45	1:15:49	47	0:25:09	25	30-39歳	10
42	25	井上 悦子	1:41:35	0:14:43	19	0:59:31	48	1:14:14	44	0:27:21	38	30-39歳	11
43	28	岡友加里	1:42:24	0:17:54	35	1:01:10	50	1:19:04	50	0:23:20	14	30-39歳	12
44	53	山田 一子	1:42:31	0:15:36	24	0:54:23	36	1:09:59	30	0:32:32	51	60-69歳	3
45	38	生野 和子	1:42:42	0:19:43	51	0:55:37	42	1:15:20	46	0:27:22	39	40-49歳	14
46	55	松田節子	1:43:05	0:15:49	27	0:56:07	44	1:11:56	39	0:31:09	49	60-69歳	4
47	50	三浦康子	1:45:45	0:17:47	34	0:55:59	43	1:13:46	42	0:31:59	50	50-59歳	4
48	27	神谷真希	1:47:49	0:19:20	48	0:59:42	49	1:19:02	49	0:28:47	43	30-39歳	13
49	49	伊藤 菜穂子	1:48:07	0:19:24	49	1:02:12	53	1:21:36	53	0:26:31	35	50-59歳	5
50	54	石崎節代	1:48:41	0:13:40	14	0:58:34	47	1:12:14	40	0:36:27	54	60-69歳	5
51	19	松永恵理紗	1:49:41	0:18:34	40	1:01:49	52	1:20:23	52	0:29:18	46	30-39歳	14
52	30	長谷 綾子	1:51:25	0:31:22	54	0:53:50	33	1:25:12	54	0:26:13	34	30-39歳	15
53	18	杉山夏美	1:52:59	0:17:39	32	1:01:48	51	1:19:27	51	0:33:32	52	30-39歳	16
54	52	土肥和代	1:53:02	0:15:04	22	1:03:37	54	1:18:41	48	0:34:21	53	60-69歳	6
DNS	9	小川芙海										29歳以下	
DNS	45	藤田礼										50-59歳	
DNS	57	渡部静子										70歳以上	
