順位	氏名	№	年齢	総合記録	スイム	バイク	ラン	順位表示
36	阿部 寛史	401	24	2:59:04	0:32:12	1:20:34	1:06:18	
37	小野 嶺	366	33	2:59:25	0:40:00	1:20:21	0:59:04	
38	前田 吉敏	391	68	3:00:10	0:36:14	1:26:52	0:57:04	60歳代1位
39	桑原 圭太郎	488	20	3:00:18	0:34:44	1:28:03	0:57:31	
40	髙畑 春希	508	19	3:00:31	0:34:19	1:22:48	1:03:24	
41	Odunlami Jean-	Phi4li6p3p	e 46	3:01:10	0:32:03	1:20:38	1:08:29	
42	西山 慎也	497	34	3:01:27	0:41:02	1:28:31	0:51:54	
43	若林 克彦	396	53	3:02:02	0:43:41	1:25:39	0:52:42	
44	石毛 樹	341	26	3:02:04	0:29:55	1:16:59	1:15:10	
45	橋本 悠樹	419	38	3:02:12	0:45:58	1:26:16	0:49:58	
46	宝示 賢悟	367	43	3:02:20	0:36:47	1:30:53	0:54:40	
47	小池 風椰	498	19	3:02:48	0:34:20	1:27:51	1:00:37	
48	亀井 秀文	302	55	3:03:48	0:47:36	1:22:25	0:53:47	
49	中塚 雄太	313	29	3:04:04	0:39:55	1:25:02	0:59:07	
50	石田 隼大	507	20	3:04:14	0:41:34	1:27:02	0:55:38	
51	岩崎 雅弥	377	24	3:04:19	0:32:28	1:30:40	1:01:11	
52	田中 大	358	36	3:05:07	0:30:42	1:20:48	1:13:37	
53	三根 寛介	322	15	3:05:19	0:33:31	1:24:34	1:07:14	
54	安田 圭宏	356	54	3:05:21	0:45:02	1:27:44	0:52:35	
55	上田 一輝	346	35	3:05:45	0:30:47	1:29:24	1:05:34	
56	乾 靖	363	43	3:07:12	0:32:42	1:27:34	1:06:56	
57	春井 康之	486	45	3:07:21	0:37:16	1:24:56	1:05:09	
58	佐伯 領真	417	35	3:07:32	0:39:14	1:23:08	1:05:10	
59	池本 嵩洋	398	30	3:07:50	0:40:01	1:28:36	0:59:13	
60	平方 遥翔	352	21	3:08:33	0:35:52	1:24:38	1:08:03	
61	西尾 昭宏	305	41	3:08:41	0:36:20	1:25:31	1:06:50	
62	松富 圭介	441	56	3:09:19	0:40:34	1:29:42	0:59:03	
63	杉本 昌弘	426	43	3:09:28	0:32:54	1:36:36	0:59:58	
64	大塚 庄志	383	46	3:09:46	0:39:21	1:20:38	1:09:47	
65	禰宜田 行弘	362	55	3:10:23	0:36:35	1:28:20	1:05:28	
66	佐藤 哲夫	410	53	3:10:38	0:45:44	1:18:50	1:06:04	
67	中西 晋	485	59	3:10:56	0:37:22	1:23:27	1:10:07	
68	今中 慎	412	49	3:11:47	0:35:32	1:26:59	1:09:16	
69	須藤 航	312	46	3:12:09	0:33:54	1:23:04	1:15:11	
70	永松 慶子	556	44	3:12:18	0:32:10	1:36:55	1:03:13	秒総合2位
71	寺下 宗孝	462	24	3:12:48	0:40:59	1:33:55	0:57:54	
72	半田 護都	387	20	3:12:59	0:43:33	1:19:00	1:10:26	
73	田中 幸介	404	35	3:13:08	0:40:48	1:28:51	1:03:29	
74	生田 博幸	505	52	3:13:14	0:44:21	1:23:23	1:05:30	
75	伊藤 直樹	337	40	3:13:35	0:43:35	1:32:06	0:57:54	
76	釜谷 朋宏	304	57	3:13:38	0:39:23	1:29:20	1:04:55	
77	重山 芳子	558	45	3:13:39	0:43:53	1:28:51	1:00:55	秒総合3位
78	宮本 直樹	494	53	3:13:50	0:43:48	1:27:03	1:02:59	
79	多田 優輝	467	32	3:14:44	0:45:34	1:20:40	1:08:30	
80	長谷 則之	506	53	3:14:53	0:42:25	1:30:41	1:01:47	
81	濵﨑 学	347	55	3:15:23	0:36:19	1:32:39	1:06:25	
82	竹浪 憲広	328	51	3:15:43	0:41:56	1:31:07	1:02:40	
83	大谷 光二	303	59	3:17:01	0:37:23	1:26:30	1:13:08	
84	三苫 幸雄	393	62	3:17:03	0:33:45	1:20:51	1:22:27	秒60歳代2位
85	滝澤 宏行	460	48	3:17:34	0:40:29	1:27:47	1:09:18	
86	安島 広道	466	49	3:17:46	0:42:02	1:22:16	1:13:28	
87	上野 勝之	345	40	3:17:59	0:47:11	1:29:37	1:01:11	
88	安齋 和真	512	54	3:18:37	0:40:31	1:37:09	1:00:57	
89	服部 雄司	332	55	3:18:44	0:34:24	1:33:24	1:10:56	
90	高原 義正	339	37	3:18:53	0:48:27	1:32:45	0:57:41	
91	松井 博史	326	51	3:19:00	0:37:07	1:21:59	1:19:54	
92	國富 洋太	360	42	3:19:02	0:38:44	1:26:55	1:13:23	
93	溜 太軌	414	27	3:19:18	0:36:43	1:28:49	1:13:46	
94	高橋 智善	344	44	3:19:21	0:44:52	1:25:00	1:09:29	
95	三原 健一郎	443	49	3:20:05	0:49:43	1:30:05	1:00:17	
96	春井 久永	365	51	3:20:21	0:38:42	1:33:56	1:07:43	
97	堀田 亘馬	468	34	3:20:36	0:42:08	1:27:36	1:10:52	
98	木村 貴則	354	52	3:20:45	0:42:31	1:35:06	1:03:08	
99	武田 玲司	447	41	3:21:10	0:30:49	1:34:22	1:15:59	
100	前田 猛	504	47	3:22:48	0:46:42	1:26:42	1:09:24	
101	澄村 尚宏	440	46	3:22:54	0:39:56	1:30:08	1:12:50	
102	前川 直輝	431	28	3:22:58	0:48:44	1:27:30	1:06:44	
103	田所 琢海	475	24	3:23:27	0:36:57	1:36:30	1:10:00	
104	青山 拓也	350	30	3:24:57	0:33:23	1:32:48	1:18:46	
105	山川 学志	374	35	3:24:58	0:35:21	1:29:09	1:20:28	
106	前田 祐樹	457	37	3:25:07	0:48:55	1:40:47	0:55:25	
107	原 有輝	315	43	3:25:44	0:49:05	1:38:39	0:58:00	
108	寺口 遼	324	27	3:26:00	0:45:56	1:32:57	1:07:07	
109	五十嵐 芳暢	448	53	3:26:06	0:47:54	1:36:37	1:01:35	
110	藤枝 周平	348	29	3:26:44	0:45:25	1:32:03	1:09:16	
111	居川 信太朗	386	25	3:27:35	0:33:14	1:43:43	1:10:38	
112	薮田 佳祐	319	43	3:27:38	0:50:05	1:45:19	0:52:14	
113	關根 大海	389	29	3:28:48	0:43:03	1:21:30	1:24:15	
114	廣中 巧太	355	18	3:29:32	0:28:46	1:21:33	1:39:13	
115	長門 剛史	445	35	3:29:39	0:45:59	1:40:50	1:02:50	
116	深谷 和範	364	43	3:30:18	0:46:21	1:33:31	1:10:26	
117	山口 峻輝	334	27	3:30:33	0:40:22	1:40:49	1:09:22	
118	横野 瑞希	555	33	3:30:38	0:40:06	1:28:59	1:21:33	秒総合4位
119	冨樫 颯斗	402	24	3:30:55	0:39:26	1:31:51	1:19:38	
120	塩山 貞則	325	50	3:31:04	0:46:55	1:33:04	1:11:05	
121	石川 雅也	509	43	3:31:20	0:38:19	1:44:33	1:08:28	
122	室谷 彰宏	375	50	3:32:20	0:48:49	1:30:14	1:13:17	
123	大西 拓史	481	44	3:34:00	0:39:20	1:27:45	1:26:55	
124	中村 公彦	434	50	3:34:13	0:40:12	1:29:50	1:24:11	
125	中村 亮太	438	39	3:34:53	0:43:10	1:33:36	1:18:07	
126	中嶋 寛	428	40	3:35:25	0:44:50	1:31:43	1:18:52	
127	松崎 員久	471	53	3:38:07	0:48:15	1:33:07	1:16:45	
128	堀内 峰	390	48	3:38:38	0:43:30	1:30:57	1:24:11	
129	牧野 拓海	429	29	3:39:03	0:35:36	1:42:06	1:21:21	
130	岩永 浩司	397	52	3:39:33	0:44:05	1:36:23	1:19:05	
131	時田 周効	331	53	3:39:38	0:51:14	1:38:37	1:09:47	
132	辻 啓至	351	61	3:40:26	0:34:03	1:51:55	1:14:28	秒60歳代3位
133	三倉 陽平	450	44	3:40:48	0:38:51	1:35:43	1:26:14	
134	馬場 智章	382	22	3:41:14	0:49:27	1:26:24	1:25:23	
135	福田 紘幸	454	34	3:41:21	0:39:54	1:45:36	1:15:51	
136	土肥 賢治	406	26	3:41:47	0:46:32	1:36:59	1:18:16	
137	伊香 稔	400	52	3:41:53	0:55:19	1:50:07	0:56:27	
138	家田 啓史	379	54	3:42:07	0:40:44	1:37:50	1:23:33	
139	濱田 陽子	559	50	3:43:57	0:53:23	1:34:16	1:16:18	秒総合5位
140	山田 幹太	353	20	3:44:00	0:49:54	1:32:26	1:21:40	
141	中井 達雄	323	51	3:44:27	0:40:27	1:28:01	1:35:59	
142	吉中 秀一	340	61	3:44:51	0:45:54	1:43:50	1:15:07	
143	仲井 啓人	372	25	3:45:52	1:00:17	秒1時間23分21秒	1:22:14	
144	宮脇 拳矢朗	500	24	3:46:31	0:40:20	1:55:12	1:10:59	
145	高島 洋之	473	58	3:46:38	0:52:22	1:34:26	1:19:50	
146	松本 孝太	458	36	3:47:39	0:58:54	1:33:07	1:15:38	
147	松山 周平	424	26	3:49:07	0:51:55	1:40:53	1:16:19	
148	辻 哲也	368	44	3:49:33	0:38:49	1:37:58	1:32:46	
149	河合 優吉	469	58	3:50:08	0:44:31	1:47:45	1:17:52	
150	箱谷 幸恵	552	58	3:51:05	0:39:03	1:42:55	1:29:07	秒総合6位
151	溝渕 雅春	465	50	3:51:25	0:43:08	1:47:18	1:20:59	
152	佐々木 悟	423	51	3:52:00	0:56:02	1:47:17	1:08:41	
153	鏡 鈴	554	24	3:53:46	0:39:34	1:39:56	1:34:16	秒総合7位
154	田中 宏治	413	58	3:54:24	0:46:23	1:45:02	1:22:59	
155	北垣 徹	309	58	3:54:30	0:48:42	1:36:08	1:29:40	
156	加藤 駿一	515	26	3:55:17	0:45:07	1:41:20	1:28:50	
157	小松 城久雄	446	60	3:55:25	0:41:31	1:51:08	1:22:46	
158	中平 憲作	433	47	3:55:59	0:35:47	1:45:32	1:34:40	
159	三宅 大貴	487	37	3:56:26	0:48:11	1:41:19	1:26:56	
160	日向 圭佑	329	28	3:56:56	0:52:47	1:55:26	1:08:43	
161	浅田 政弘	392	63	3:57:42	0:47:48	1:34:19	1:35:35	
162	安田 一徳	330	52	3:58:01	0:58:25	1:45:42	1:13:54	
163	高鍋 直樹	408	44	3:58:09	0:58:47	1:38:08	1:21:14	
164	別府 正人	427	40	3:58:25	0:50:36	1:45:39	1:22:10	
165	阿部 正純	361	46	3:58:42	0:51:34	1:44:42	1:22:26	
166	羽川 直宏	489	41	3:58:50	0:41:31	1:44:32	1:32:47	
167	宮脇 弘和	495	61	4:00:55	0:44:48	1:36:08	1:39:59	
168	永原 哲也	371	53	4:02:34	0:41:54	2:06:36	1:14:04	
169	渡邉 泰宏	308	53	4:03:32	0:44:33	1:41:58	1:37:01	
170	芦田 裕司	484	30	4:03:38	0:55:17	1:44:26	1:23:55	
171	阿久津 望	453	47	4:04:30	0:46:07	1:31:32	1:46:51	
172	飯野 達哉	327	32	4:05:00	0:44:02	1:45:48	1:35:10	
173	柳井 裕一	418	54	4:08:13	0:42:05	1:43:27	1:42:41	
174	村上 茂	318	65	4:09:08	0:52:36	1:52:07	1:24:25	
175	土井 康平	395	27	4:09:22	0:50:59	1:46:13	1:32:10	
176	植田 恵子	553	61	4:10:33	0:52:27	1:52:43	1:25:23	秒総合8位
177	山地 普	436	56	4:10:59	0:51:36	2:00:59	1:18:24	
178	岸田 安弘	416	62	4:13:07	0:55:27	1:48:21	1:29:19	
179	中川 敦至	511	54	4:16:10	0:47:56	1:48:16	1:39:58	
180	西田 昌明	306	54	4:16:11	0:52:01	1:54:21	1:29:49	
181	松山 誠司	451	47	4:17:59	0:58:35	1:43:08	1:36:16	
182	今井 和秀	437	42	4:18:54	0:56:35	1:54:51	1:27:28	
183	武田 大輝	415	31	4:20:16	0:51:57	1:56:56	1:31:23	
184	岩田 操	336	50	4:20:49	0:59:20	1:48:30	1:32:59	
185	梶谷 和弘	442	56	4:21:09	0:54:54	1:43:38	1:42:37	
186	児玉 浩仁	301	56	4:21:21	0:54:03	1:49:01	1:38:17	
187	安部 隆	476	62	4:21:24	0:51:09	1:54:13	1:36:02	
188	船越 隆之	385	46	4:22:17	0:48:13	2:01:20	1:32:44	
189	川畑 幸太郎	311	55	4:22:49	0:44:19	1:38:07	2:00:23	
190	柄本 大志	470	41	4:24:31	0:59:58	1:48:46	1:35:47	
191	三宅 雅之	333	52	4:24:44	0:55:48	1:43:03	1:45:53	
192	中山 善吾	343	73	4:34:18	0:51:41	2:03:55	1:38:42	秒70歳以上1位
193	甲斐 昭成	376	57	4:35:43	0:57:39	1:54:27	1:43:37	
