順位	ナンバー	氏名	年齢	所属	記録	スイム記録	バイク記録	ラン記録
50	286	三宅 弘記	34	TEAM Ys TRINE	2:48:14	0:35:53	1:17:12	0:55:09
51	458	高橋 佳那	28	チームアクオード	2:49:09	0:40:21	1:19:00	0:49:48
52	345	香本 昌輝	29	渋川ベース	2:49:16	0:36:56	1:17:36	0:54:44
53	394	西村 大輔	34		2:49:24	0:37:15	1:19:23	0:52:46
54	336	冨田 斗真	21	奈良医大水泳部	2:49:53	0:30:30	1:22:53	0:56:30
55	358	生田 圭二	32		2:49:58	0:39:11	1:20:27	0:50:20
56	288	中野 洋明	39		2:50:09	0:30:24	1:19:31	1:00:14
57	468	吉田 加奈	47	生涯トライアスロン！	2:50:14	0:35:48	1:21:25	0:53:01
58	278	牧野 弘	35		2:50:15	0:28:46	1:23:28	0:58:01
59	353	塩原 卓	28		2:50:17	0:38:45	1:20:45	0:50:47
60	298	山下 良平	43		2:50:23	0:28:11	1:19:37	1:02:35
61	342	今井 博隆	52	Ｔｅａｍ Ｒｏｃｋ	2:51:23	0:34:13	1:20:42	0:56:28
62	275	西橋 雅人	35	西橋まさと	2:52:06	0:42:41	1:15:17	0:54:08
63	420	笠井 慎二	48		2:52:38	0:40:50	1:19:23	0:52:25
64	299	藤岡 亮一	31	SUSHI LABEL	2:53:04	0:38:47	1:20:00	0:54:17
65	356	三浦 翔太	31		2:53:08	0:26:21	1:28:56	0:57:51
66	236	松富 圭介	50		2:53:10	0:36:31	1:21:43	0:54:56
67	421	神田 良太	26		2:53:55	0:36:53	1:23:22	0:53:40
68	308	板東 将庸	42		2:54:33	0:27:30	1:22:39	1:04:24
69	237	道清 晃由	40		2:54:38	0:42:31	1:20:07	0:52:00
70	327	上野 泰司	47		2:54:52	0:39:18	1:22:48	0:52:46
71	294	治田 直樹	30		2:55:02	0:37:30	1:27:40	0:49:52
72	285	井本 浩史	32	大腿四頭筋ズ	2:55:17	0:37:49	1:22:37	0:54:51
73	213	伊藤 広太	32		2:55:21	0:34:29	1:27:25	0:53:27
74	368	堂林 洋利	42		2:55:58	0:38:29	1:22:20	0:55:09
75	457	朝倉 法子	35		2:56:07	0:29:30	1:29:36	0:57:01
76	374	川畑 貴史	45		2:56:15	0:41:21	1:21:54	0:53:00
77	324	中塚 篤志	37		2:56:36	0:36:40	1:18:36	1:01:20
78	340	坂部 勇志	57	タカトラ	2:56:44	0:39:46	1:18:49	0:58:09
79	215	酒井 祐人	41	打ちハゲまでがトライアスロン	2:57:08	0:41:57	1:25:42	0:49:29
80	231	墨 真太郎	41		2:57:17	0:32:52	1:28:37	0:55:48
81	311	矢野 秀一	54	走学ゼミ	2:57:33	0:36:37	1:25:41	0:55:15
82	400	井関 毅	51	熊取南中学校	2:57:43	0:38:40	1:26:50	0:52:13
83	279	小松原 隆聡	41	nont-dell	2:57:45	0:37:08	1:20:48	0:59:49
84	318	亀井 教郎	46	アイアンタートルズ	2:58:04	0:32:44	1:22:53	1:02:27
85	382	中川 亨	49		2:58:11	0:38:36	1:25:50	0:53:45
86	283	瀬間 竜一	49	AST	2:58:15	0:37:29	1:26:27	0:54:19
87	208	山陰 篤史	36	打ち上げまでがトライアスロン	2:58:29	0:29:30	1:22:23	1:06:36
88	238	川勝 誠一朗	23		2:58:29	0:39:13	1:31:16	0:48:00
89	295	東 芳忠	47		2:58:40	0:42:44	1:24:39	0:51:17
90	396	大久保 洋平	40		2:58:43	0:40:14	1:24:24	0:54:05
91	293	永井 友一郎	41		2:58:54	0:38:31	1:27:13	0:53:10
92	241	船越 極	44	チームほそかわスポール	2:59:07	0:40:05	1:21:18	0:57:44
93	413	岩橋 誠	53		2:59:12	0:44:00	1:22:26	0:52:46
94	223	冨鶴 勇輝	33	Ys TRINE	2:59:18	0:39:41	1:24:54	0:54:43
95	397	竹林 潤治	55	OBA	2:59:50	0:36:57	1:28:37	0:54:16
96	245	廣山 是慶	27		2:59:51	0:39:26	1:26:29	0:53:56
97	410	山井 浩気	25		2:59:53	0:37:20	1:26:06	0:56:27
98	272	石川 大介	42		2:59:56	0:41:07	1:23:42	0:55:07
99	360	馬場 正輝	37	チーム伊織	3:00:11	0:41:17	1:24:43	0:54:11
100	401	松本 晃	30		3:00:46	0:42:35	1:21:02	0:57:09
101	306	衣笠 圭一郎	44		3:00:48	0:35:28	1:26:59	0:58:21
102	416	空 秀俊	42	アイアンタートルズ	3:00:48	0:43:41	1:28:09	0:48:58
103	347	中内 晋二郎	35		3:01:13	0:44:07	1:19:07	0:57:59
104	419	中屋 政利	51	はりま十水堂	3:01:40	0:35:58	1:29:31	0:56:11
105	367	山本 宏之	42		3:03:04	0:34:21	1:36:53	0:51:50
106	332	永原 哲也	47		3:03:06	0:38:58	1:22:17	1:01:51
107	270	木村 朋宏	29		3:03:18	0:35:01	1:18:54	1:09:23
108	263	岡本 邦裕	46		3:03:24	0:40:13	1:27:43	0:55:28
109	392	笹倉 英男	65	type1	3:03:54	0:38:43	1:26:42	0:58:29
110	209	高松 大地	29		3:03:57	0:36:43	1:26:40	1:00:34
111	415	荒井 直人	51	千里らんらん	3:04:48	0:45:45	1:28:27	0:50:36
112	317	堀内 峰	42		3:05:11	0:40:26	1:21:02	1:03:43
113	249	栗本 健児	33		3:05:24	0:37:26	1:30:50	0:57:08
114	462	若園 依未	26		3:05:25	0:32:40	1:37:31	0:55:14
115	320	松本 健二	35		3:05:31	0:42:23	1:23:31	0:59:37
116	376	林 健	46		3:05:41	0:39:14	1:29:30	0:56:57
117	300	枝村 龍樹	42	枝村龍樹	3:05:53	0:41:24	1:21:42	1:02:47
118	369	平塚 洋介	42		3:06:39	0:45:10	1:22:15	0:59:14
119	463	清水 絢子	42	チームAST	3:06:40	0:35:17	1:26:45	1:04:38
120	335	山口 徹也	50		3:06:46	0:42:57	1:22:31	1:01:18
121	313	稲葉 萬久	45		3:07:13	0:43:36	1:24:56	0:58:41
122	226	阿南 快	19	関西福祉大学	3:07:49	0:43:45	1:26:51	0:57:13
123	418	船越 寛之	41		3:07:54	0:39:07	1:30:00	0:58:47
124	235	松嶋 良太	23		3:08:19	0:30:12	1:33:34	1:04:33
125	337	岩本 真一	52		3:08:49	0:36:30	1:27:06	1:05:13
126	339	高橋 和宏	52		3:11:14	0:42:50	1:22:49	1:05:35
127	341	須方 崇夫	43		3:11:25	0:41:59	1:29:12	1:00:14
128	351	田中 宏征	26		3:11:40	0:44:21	1:33:04	0:54:15
129	304	石田 晋也	31		3:11:45	0:50:19	1:25:16	0:56:10
130	224	伊津野 英昭	49	内平野自転車同好会	3:12:09	0:44:43	1:21:21	1:06:05
131	407	重永 拓郎	42		3:12:24	0:47:26	1:25:25	0:59:33
132	364	横山 輝弘	41		3:12:45	0:49:57	1:34:59	0:47:49
133	252	岩見 具征	23		3:13:07	0:36:15	1:39:51	0:57:01
134	338	山口 祐	36		3:13:13	0:46:29	1:32:27	0:54:17
135	406	馬淵 武	43	ヒューマンリンク・ボディラボ	3:13:52	0:45:34	1:25:08	1:03:10
136	381	大森 潤一	48		3:14:00	0:37:46	1:29:47	1:06:27
137	331	上坪 正人	52	姫路ラビトルズ	3:14:39	0:39:10	1:29:45	1:05:44
138	291	松本 淳	27		3:14:49	0:40:16	1:29:40	1:04:53
139	205	三瀬 耕平	38	打ち上げまでかトライアスロン！！	3:14:53	0:38:02	1:24:15	1:12:36
140	228	土屋 雄嗣	50		3:15:19	0:36:58	1:29:39	1:08:42
141	348	岡田 健三	22		3:15:30	0:46:01	1:29:10	1:00:19
142	378	高柳 淳一	47		3:15:47	0:31:56	1:31:38	1:12:13
143	269	吉川 達也	28		3:16:15	0:44:52	1:24:45	1:06:38
144	210	三木 健	51		3:16:26	0:52:32	1:38:17	0:45:37
145	266	近藤 良平	37		3:16:32	0:43:43	1:39:10	0:53:39
146	284	新田 隼也	36		3:17:10	0:39:48	1:22:14	1:15:08
147	297	齋藤 槙吾	31		3:17:10	0:44:05	1:25:14	1:07:51
148	315	益田 剛	25		3:17:30	0:36:08	1:28:37	1:12:45
149	383	田中 隆広	49		3:18:00	0:43:15	1:31:02	1:03:43
150	330	佐藤 誠	58		3:18:23	0:46:39	1:31:27	1:00:17
151	334	志方 達哉	42		3:19:11	0:48:23	1:32:36	0:58:12
152	455	坂口 朝佳	36		3:19:32	0:38:50	1:35:29	1:05:13
153	254	松本 浩孝	29		3:19:43	0:54:04	1:30:29	0:55:10
154	393	長谷川 誠治	50		3:20:27	0:45:01	1:28:52	1:06:34
155	305	堀田 克明	28		3:20:33	0:39:13	1:37:00	1:04:20
156	296	伊藤 圭	24		3:20:48	0:42:52	1:28:54	1:09:02
157	387	長田 耕治	56	海ガメBROS	3:21:16	0:43:34	1:34:15	1:03:27
158	232	宿利 保章	44	Choose to Fight!!	3:21:47	0:46:37	1:31:30	1:03:40
159	290	丸山 知紀	45		3:22:16	0:44:35	1:35:01	1:02:40
160	265	田港 朝和	24		3:23:14	0:44:07	1:29:52	1:09:15
161	361	大槻 光	38	OMRUN	3:23:45	0:46:25	1:37:36	0:59:44
162	326	宮野 直規	49		3:24:05	0:50:08	1:38:44	0:55:13
163	259	齋藤 和孝	54		3:24:51	0:51:01	1:25:52	1:07:58
164	375	山原 寛基	45		3:26:13	0:41:50	1:32:35	1:11:48
165	461	口羽 祥子	43		3:26:32	0:35:17	1:31:24	1:19:51
166	417	田中 淳	30	共栄社化学株式会社	3:26:40	0:49:45	1:33:57	1:02:58
167	344	田中 千暁	23		3:26:46	0:42:44	1:31:17	1:12:45
168	343	田中 雅之	47		3:26:50	0:47:08	1:35:42	1:04:00
169	377	野村 健一郎	47		3:27:30	0:51:03	1:38:21	0:58:06
170	225	神田 隆司	39	打ち上げまでがトライアスロン	3:27:41	0:48:30	1:30:37	1:08:34
171	321	井原 理博	43		3:27:48	0:47:33	1:24:32	1:15:43
172	262	橋 由博	43	ストラーダトライアスロンクラブ	3:27:53	0:38:55	1:29:12	1:19:46
173	256	妹尾 吾一	55		3:28:32	0:58:08	1:34:32	0:55:52
174	467	北谷 藍	33	チーム アクオード	3:29:21	0:31:48	1:30:47	1:26:46
175	207	齋藤 尋	22	打ち上げまでがトライアスロン	3:29:30	0:48:35	1:16:43	1:24:12
176	363	阿部 正純	40		3:30:56	0:50:15	1:38:21	1:02:20
177	346	彦坂 達也	37	くじら	3:31:49	0:43:52	1:37:15	1:10:42
178	227	田中 惟仁	26	コメノブPhoenix	3:33:26	0:43:58	1:29:31	1:19:57
179	280	若狭 孝太郎	56		3:34:07	0:46:40	1:24:39	1:22:48
180	328	大西 正浩	48		3:34:32	0:45:28	1:37:18	1:11:46
181	243	鎌倉 裕介	29		3:34:59	1:03:09	1:33:27	0:58:23
182	206	田野原 寿	41	打ち上げまでがトライアスロン	3:35:26	0:56:49	1:28:59	1:09:38
183	329	前川 博輝	48		3:37:16	0:54:22	1:36:53	1:06:01
184	390	寺本 卓司	63	クラブ フリーク	3:42:33	0:39:23	1:40:43	1:22:27
185	379	松本 悦典	47		3:43:02	0:47:02	1:42:28	1:13:32
186	389	久原 忠	60		3:44:26	0:44:02	1:40:47	1:19:37
187	333	宮本 一平	40		3:44:46	0:46:20	1:30:31	1:27:55
188	253	浜口 義一	57		3:45:19	0:49:50	1:26:06	1:29:23
189	246	竹田 典裕	49	MRC	3:45:46	0:59:34	1:39:01	1:07:11
190	385	原口 知則	53		3:46:22	0:46:33	1:34:28	1:25:21
191	465	森本 弥生	50		3:48:02	0:52:46	1:37:36	1:17:40
192	309	辻野 亮	31		3:49:19	0:43:52	1:33:52	1:31:35
193	349	小林 亮	23		3:50:20	0:50:00	1:53:13	1:07:07
194	212	山本 修	42		3:52:36	0:39:16	1:45:02	1:28:18
195	274	廣瀬 康彦	49		3:53:34	0:47:07	1:44:18	1:22:09
196	314	上原 康史	35		3:55:40	1:04:14	1:39:04	1:12:22
197	454	河井 優子	25		3:56:20	0:45:17	1:51:41	1:19:22
198	258	加田 隆裕	45		3:56:39	0:46:03	1:38:56	1:31:40
199	240	横山 孝	69		3:56:49	0:42:29	1:55:02	1:19:18
200	459	井上 絵葉	44		4:00:01	0:51:25	1:44:41	1:23:55
201	386	松澤 隆	56		4:13:16	1:21:59	1:28:54	1:22:23
202	221	嶋田 圭次	52		4:14:58	0:54:41	1:45:55	1:34:22
203	323	安原 康司	39		4:20:53	0:47:37	1:42:58	1:50:18
204	312	大塚 仁	51		4:31:38	0:44:58	2:16:44	1:29:56
205	451	春名 美咲季	37		4:34:00	1:18:53	2:00:41	1:14:26
206	411	石毛 健二	43		4:37:58	0:50:56	2:45:47	1:01:15
207	204	大歳 正宏	52	打ち上げまでがトライアスロン?	4:47:21	0:43:39	2:01:22	2:02:20
208	391	下岡 耕三	64		4:58:14	1:03:17	2:07:37	1:47:20
