順位	ナンバー	氏名	年齢	所属	記録	スイム記録	バイク記録	ラン記録
44	5	毛利 力	63		1:54:10	0:21:54	1:03:07	0:29:09
45	32	春井 久永	45		1:54:22	0:23:13	1:04:16	0:26:53
46	191	益岡 智世	29		1:54:38	0:23:48	1:07:14	0:23:36
47	55	大澤 拓児	41		1:55:00	0:31:01	0:58:46	0:25:13
48	119	中田 博之	52		1:55:24	0:29:22	1:03:52	0:22:10
49	133	山本 昭弘	48		1:56:08	0:29:15	1:01:32	0:25:21
50	108	高尾 昌幸	33		1:56:10	0:26:26	1:03:10	0:26:34
51	188	奥田 抄子	27		1:56:21	0:22:21	1:07:44	0:26:16
52	72	松島 弘樹	47		1:56:37	0:24:27	1:04:27	0:27:43
53	14	森脇 幹夫	62		1:56:47	0:24:43	1:06:17	0:25:47
54	38	De la Toba Fonseca Ar	ma4n1do		1:56:58	0:32:38	0:58:16	0:26:04
55	43	高垣 理記	33		1:57:08	0:26:07	1:08:08	0:22:53
56	100	坂田 憲治	25		1:57:10	0:31:30	1:03:31	0:22:09
57	140	大原 憲二	44	自然隊	1:57:24	0:27:59	1:06:01	0:23:24
58	27	井原 善文	45		1:58:26	0:29:42	1:05:05	0:23:39
59	73	中山 工	49		1:58:52	0:37:24	1:00:36	0:20:52
60	23	吉田 悠	53		1:58:58	0:27:58	1:04:39	0:26:21
61	128	藤山 裕一	45	みっちゃんSC	1:59:02	0:29:45	1:03:30	0:25:47
62	143	尼崎 佳三	64		1:59:06	0:31:43	1:05:36	0:21:47
63	106	三木 昌	32		1:59:46	0:30:53	1:02:06	0:26:47
64	51	原 聖雅	64		2:00:35	0:27:58	1:04:43	0:27:54
65	66	沢田 好章	66		2:00:37	0:30:35	1:05:12	0:24:50
66	137	村上 裕之	39		2:00:58	0:28:12	1:05:01	0:27:45
67	50	三角 典生	51		2:01:02	0:34:53	1:01:55	0:24:14
68	30	久保田 悠生	27		2:01:10	0:30:50	1:06:29	0:23:51
69	60	池田 英之介	51		2:01:31	0:29:00	1:00:58	0:31:33
70	62	山嵜 清張	55	TEAM SAKI	2:01:53	0:27:59	1:07:41	0:26:13
71	36	坂元 靖昌	37		2:02:25	0:26:44	1:09:50	0:25:51
72	2	堅田 嘉博	45		2:02:25	0:32:47	1:05:35	0:24:03
73	142	戸田 貴英	41		2:03:06	0:30:44	1:08:09	0:24:13
74	123	斉藤 貴司	53	えびらぶ	2:03:14	0:30:49	1:06:28	0:25:57
75	194	矢野 知子	49		2:03:23	0:26:54	1:08:57	0:27:32
76	35	青木 伸也	38		2:03:29	0:26:37	1:08:06	0:28:46
77	84	桶本 幸見	62		2:04:08	0:31:03	1:07:15	0:25:50
78	7	深坂 健太郎	61		2:04:09	0:22:50	1:07:19	0:34:00
79	45	阪中 友哉	25		2:04:18	0:31:00	1:10:01	0:23:17
80	53	塩谷 健太郎	32		2:04:33	0:26:28	1:07:35	0:30:30
81	116	岸本 啓司	46	キシモトズ	2:04:49	0:35:14	1:06:27	0:23:08
82	56	森園 航大	20	愛知大学	2:05:26	0:29:11	1:09:54	0:26:21
83	124	松田 英成	54		2:05:36	0:36:04	1:05:24	0:24:08
84	70	吉川 一義	61		2:05:59	0:28:34	1:09:57	0:27:28
85	13	小池 裕司	25		2:06:18	0:28:42	1:14:33	0:23:03
86	111	中野 秀昭	38		2:06:34	0:26:42	1:12:19	0:27:33
87	81	小原 光	71	津マリン製作所	2:06:46	0:30:40	1:03:48	0:32:18
88	42	山田 通成	30		2:06:47	0:29:27	1:16:16	0:21:04
89	6	松井 直人	51		2:06:51	0:29:16	1:11:11	0:26:24
90	114	宗形 充弘	42		2:07:06	0:31:26	1:10:39	0:25:01
91	88	西原 直明	30	くじら	2:07:15	0:36:45	1:06:46	0:23:44
92	21	土持 航	39		2:07:24	0:31:53	1:02:02	0:33:29
93	138	藤本 貴士	46	Ｒｕｎｃｏｍ	2:07:34	0:36:58	1:06:58	0:23:38
94	18	平井 浩司	50		2:07:41	0:36:21	1:06:48	0:24:32
95	87	増田 喜久	46		2:08:05	0:31:39	1:11:46	0:24:40
96	12	大辻 裕一	45	コーンズ	2:08:06	0:30:47	1:11:46	0:25:33
97	121	川合 智二	52	KAWAI DC	2:08:30	0:29:25	1:09:36	0:29:29
98	183	弓狩 加代子	40		2:09:01	0:30:11	1:07:57	0:30:53
99	118	横山 満春	49	石田軍団	2:09:47	0:25:38	1:16:33	0:27:36
100	46	関 堅司	43		2:09:49	0:31:18	1:06:44	0:31:47
101	109	名取 和彦	34		2:10:06	0:33:41	1:10:32	0:25:53
102	144	杉本 太一	44		2:10:11	0:29:26	1:13:59	0:26:46
103	125	国本 恭	55		2:10:32	0:31:27	1:13:30	0:25:35
104	78	福井 宏昭	56		2:10:43	0:31:43	1:11:47	0:27:13
105	135	篠原 充	46	㈱中原建材店	2:10:43	0:33:51	1:08:58	0:27:54
106	190	今井 ゆかり	37	サイクロン	2:10:53	0:39:34	1:04:07	0:27:12
107	136	平岩 秀元	46		2:10:54	0:37:03	1:09:01	0:24:50
108	186	明石 利枝	50		2:11:06	0:32:48	1:14:52	0:23:26
109	9	湊 康行	55		2:11:26	0:29:18	1:05:32	0:36:36
110	31	中野 航	39		2:11:37	0:24:22	1:05:18	0:41:57
111	44	梶原 亮平	33		2:12:46	0:43:18	1:05:10	0:24:18
112	20	門場 靖司	62	門場靖司	2:13:10	0:34:11	1:09:30	0:29:29
113	67	川畑 慎次	62		2:13:58	0:32:31	1:11:12	0:30:15
114	52	土佐 大樹	38		2:15:33	0:38:21	1:11:33	0:25:39
115	126	林 龍一	67		2:15:39	0:34:40	1:13:22	0:27:37
116	192	齊藤 けい	39		2:16:02	0:42:06	1:08:36	0:25:20
117	195	井上 夏美	30		2:16:15	0:39:26	1:11:35	0:25:14
118	39	柴田 嘉宏	47		2:16:32	0:31:15	1:15:10	0:30:07
119	127	宮下 孝司	69		2:16:38	0:34:15	1:11:45	0:30:38
120	141	前家 正起	56	兵庫県姫路農業改良普及センター	2:16:41	0:38:21	1:09:02	0:29:18
121	80	佐藤 有一	69	ゆうテック	2:17:53	0:37:29	1:12:28	0:27:56
122	48	野上 慶太	28		2:19:01	0:48:49	1:04:34	0:25:38
123	40	松岡 智之	42		2:21:21	0:39:17	1:16:40	0:25:24
124	34	田中 隆之	45		2:21:40	0:34:49	1:16:58	0:29:53
125	75	中野 朋一	36		2:22:45	0:44:04	1:07:58	0:30:43
126	134	松浦 努	47		2:23:10	0:43:15	1:06:29	0:33:26
127	57	森岡 将臣	49		2:23:28	0:43:00	1:14:30	0:25:58
128	131	矢葺 広和	43		2:24:18	0:36:12	1:18:09	0:29:57
129	103	大野 正紀	28		2:26:12	0:32:01	1:13:15	0:40:56
130	193	泉 有為	33	Team nont-dell	2:26:20	0:41:05	1:15:05	0:30:10
131	115	片山 明	43		2:26:34	0:37:20	1:16:57	0:32:17
132	89	大出 英毅	44	くじら	2:27:25	0:32:37	1:27:09	0:27:39
133	182	山田 里陽	65		2:27:53	0:38:18	1:19:20	0:30:15
134	91	竹内 康哲	54		2:28:38	0:38:24	1:17:50	0:32:24
135	181	湊 恵美	51		2:30:52	0:34:46	1:15:56	0:40:10
136	187	宮池 結子	25		2:32:48	0:43:25	1:13:17	0:36:06
137	3	堀川 巳清	66	シロッコ	2:33:24	0:42:39	1:19:40	0:31:05
138	189	田中 敏子	69		2:35:46	0:40:27	1:19:21	0:35:58
139	25	中崎 一平	40		2:39:40	0:46:11	1:19:35	0:33:54
140	184	平岡 玲子	62		2:51:49	0:38:29	1:31:54	0:41:26
