Pos	StartNum	Name	Affiliation	YOB	U23	Time	Swim	T1	Bike	T2	Split	Run
34	32	堀田 光輝	フリート/千葉	1997		1:55:54	0:19:37	0:00:44	0:59:43	0:00:35	1:20:39	0:35:15
35	37	外山 高広	東京ヴェルディ/東京	1983		1:56:05	0:19:14	0:00:45	0:58:08	0:00:33	1:18:40	0:37:25
36	29	山根 慧希	明星大学・ロンドスポーツ	2003	14	1:56:07	0:19:11	0:00:39	0:58:12	0:00:27	1:18:29	0:37:38
37	57	岡田 空大	同志社大学	2002	15	1:56:14	0:19:26	0:00:44	0:57:50	0:00:36	1:18:36	0:37:38
38	56	山本 稜弥	タナチョー・東京ヴェルディ/東京	2001	16	1:57:20	0:18:47	0:00:44	1:00:39	0:00:29	1:20:39	0:36:41
39	42	関 麟太郎	新潟大学・アクシートライアスロンチーム	2004	17	1:57:21	0:18:47	0:00:43	0:58:28	0:00:29	1:18:27	0:38:54
40	33	前田 能宣	愛知県トライアスロン協会	1999		1:57:23	0:19:36	0:00:43	0:59:44	0:00:40	1:20:43	0:36:40
41	41	高橋 正俊	岡山県トライアスロン協会	1992		1:58:22	0:19:32	0:00:50	0:59:45	0:00:29	1:20:36	0:37:46
42	46	武田 空我	東海大学	2003	18	1:58:37	0:19:01	0:00:47	0:58:17	0:00:33	1:18:38	0:39:59
43	26	山浦 健	立命館大学	2003	19	1:59:15	0:19:33	0:00:43	0:59:54	0:00:34	1:20:44	0:38:31
44	55	本木 颯人	日本体育大学	2002	20	2:00:00	0:19:34	0:00:43	0:59:49	0:00:34	1:20:40	0:39:20
LAP	11	安藤 勘太	INPEX/東京	2001			0:18:36	0:00:39				
LAP	34	中島 大海	北海道大学	2001			0:20:02	0:00:47				
LAP	35	長谷川 大翔	東海大学	2004			0:20:05	0:00:40				
LAP	38	近藤 浄士	福島大学	2003			0:20:24	0:00:43				
LAP	39	田中 聡	福岡県トライアスロン協会	1999			0:21:41	0:00:39				
LAP	40	芝 龍一	横浜国立大学	2001			0:20:01	0:00:43				
LAP	44	小林 幸誠	立命館大学	2001			0:19:28	0:00:42				
LAP	47	吉澤 太賀	立命館大学	2005			0:20:00	0:00:43				
LAP	48	大山 波琉	流通経済大学	2005			0:20:09	0:00:43				
LAP	49	大嶋 力	立命館大学	2003			0:20:26	0:00:40				
LAP	50	倉本 倫太郎	早稲田大学 ・ I-STORM	2005			0:20:05	0:00:41				
LAP	51	林田 悠希	同志社大学	2004			0:20:01	0:00:43				
LAP	53	本木 蔵人	日本体育大学	2005			0:20:27	0:00:39				
LAP	58	大場 龍成	立命館大学	2002			0:24:19	0:00:44				
LAP	59	岡田 俊介	広島大学	2001			0:24:23	0:00:48				
