順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
30	182	渡邊 涼太	2:36:56	0:32:50	159	1:21:17	48	1:54:07	63	0:42:49	9	31
31	214	佐復 真人	2:36:59	0:27:19	50	1:15:36	20	1:42:55	23	0:54:04	60	32
32	438	山下 徹	2:37:13	0:28:39	81	1:17:16	26	1:45:55	32	0:51:18	42	33
33	151	今井 隆昭	2:37:33	0:26:05	31	1:22:32	56	1:48:37	43	0:48:56	33	34
34	161	斎藤 勉	2:37:59	0:27:40	58	1:20:01	39	1:47:41	37	0:50:18	37	35
OPEN	2	佐藤 謙太郎	2:38:11	0:21:45		1:21:48		1:43:33		0:54:38		OPEN
35	162	金子 敏文	2:38:56	0:28:14	70	1:21:38	52	1:49:52	48	0:49:04	34	36
36	269	小泉 亘	2:39:32	0:26:29	36	1:20:34	43	1:47:03	36	0:52:29	47	37
37	287	向井 勇人	2:39:49	0:36:05	243	1:15:40	22	1:51:45	52	0:48:04	27	38
38	328	高山 祥平	2:40:00	0:33:43	180	1:18:41	33	1:52:24	56	0:47:36	24	39
39	260	土谷 祐行	2:40:02	0:28:45	83	1:15:39	21	1:44:24	26	0:55:38	72	40
40	181	藤田 隆司	2:40:05	0:25:36	26	1:22:50	58	1:48:26	41	0:51:39	45	41
41	118	高橋 良太	2:40:59	0:23:24	9	1:21:46	53	1:45:10	30	0:55:49	74	42
42	203	後藤 壱	2:41:15	0:31:54	136	1:23:52	60	1:55:46	72	0:45:29	15	43
43	148	高橋 克昭	2:42:04	0:28:25	78	1:20:20	42	1:48:45	44	0:53:19	50	44
44	170	豊田 翔大	2:42:07	0:29:34	92	1:18:41	32	1:48:15	39	0:53:52	57	45
45	179	浅川 大道	2:42:08	0:29:57	103	1:17:04	25	1:47:01	34	0:55:07	69	46
46	130	野中 剛志	2:43:30	0:26:11	32	1:23:20	59	1:49:31	46	0:53:59	59	47
47	188	武田 一洋	2:43:55	0:32:44	157	1:22:39	57	1:55:23	71	0:48:32	31	48
48	251	秦 健一郎	2:45:10	0:29:54	102	1:21:54	54	1:51:48	53	0:53:22	52	49
49	189	橋爪 幹幸	2:45:14	0:29:41	99	1:21:19	50	1:51:00	51	0:54:14	61	50
50	185	大城 駿	2:46:59	0:27:44	59	1:21:18	49	1:49:02	45	0:57:57	92	52
51	175	竹井 修	2:47:07	0:27:00	42	1:27:25	89	1:54:25	65	0:52:42	48	53
52	120	小林 正徳	2:47:20	0:24:38	19	1:25:55	72	1:50:33	49	0:56:47	81	54
53	234	古屋 裕崇	2:47:58	0:36:56	257	1:24:05	61	2:01:01	101	0:46:57	21	55
54	217	清水 紀孝	2:48:23	0:31:53	135	1:25:40	71	1:57:33	83	0:50:50	38	56
55	262	竹倉 朗	2:48:33	0:32:59	164	1:25:29	68	1:58:28	88	0:50:05	36	57
56	443	保坂 憲司	2:49:33	0:28:47	84	1:27:19	86	1:56:06	73	0:53:27	53	58
57	190	佐々木 裕一	2:49:45	0:27:13	47	1:25:05	66	1:52:18	55	0:57:27	85	59
58	238	大沼 宣雄	2:50:40	0:31:17	126	1:25:33	69	1:56:50	80	0:53:50	56	60
59	114	小柴 有	2:50:54	0:27:11	46	1:25:26	67	1:52:37	58	0:58:17	96	61
60	143	吉野 公貴	2:51:25	0:31:24	129	1:25:35	70	1:56:59	81	0:54:26	62	63
61	176	籾山 宏隆	2:51:30	0:27:37	56	1:26:27	75	1:54:04	61	0:57:26	84	64
62	137	髙井 健太郎	2:51:32	0:37:01	260	1:26:52	81	2:03:53	116	0:47:39	25	65
63	155	北村 光	2:51:49	0:30:18	109	1:22:18	55	1:52:36	57	0:59:13	103	66
64	145	佐久間 洸一	2:52:38	0:27:05	44	1:21:12	46	1:48:17	40	1:04:21	163	67
65	158	山元 賢次郎	2:53:48	0:27:18	48	1:27:44	92	1:55:02	67	0:58:46	99	68
66	255	小平 泰弘	2:54:05	0:28:21	75	1:30:10	114	1:58:31	90	0:55:34	71	69
67	245	江野 史人	2:54:22	0:32:13	144	1:26:17	73	1:58:30	89	0:55:52	75	70
68	121	小林 弘純	2:54:46	0:24:48	21	1:25:00	65	1:49:48	47	1:04:58	173	71
69	127	橋本 良浩	2:54:49	0:30:31	111	1:26:54	82	1:57:25	82	0:57:24	83	72
70	321	大隅 潤也	2:55:29	0:33:17	169	1:28:53	100	2:02:10	106	0:53:19	51	74
71	271	山川 真広	2:55:48	0:30:04	105	1:28:02	94	1:58:06	86	0:57:42	89	75
72	154	酒井 高志	2:56:24	0:27:01	43	1:27:42	90	1:54:43	66	1:01:41	133	77
73	480	松下 祐介	2:56:40	0:35:20	226	1:18:14	31	1:53:34	59	1:03:06	156	78
74	315	福薗 孝一	2:56:45	0:32:27	149	1:29:46	107	2:02:13	108	0:54:32	64	79
75	294	木代 雅彦	2:57:16	0:33:58	190	1:27:22	87	2:01:20	102	0:55:56	76	80
76	153	木内 悠斗	2:57:24	0:28:22	77	1:20:10	40	1:48:32	42	1:08:52	222	81
77	370	川浦 秀仁	2:57:29	0:32:18	145	1:27:05	83	1:59:23	93	0:58:06	94	82
78	174	山内 誠治	2:58:15	0:30:13	107	1:30:12	115	2:00:25	98	0:57:50	90	83
79	333	皆川 健次	2:58:22	0:36:04	242	1:31:15	122	2:07:19	151	0:51:03	40	84
80	329	小川 均	2:58:25	0:28:31	79	1:29:29	104	1:58:00	84	1:00:25	117	85
81	211	佃 昌幸	2:58:28	0:33:40	178	1:20:16	41	1:53:56	60	1:04:32	165	86
82	124	北谷 友嵩	2:58:31	0:24:09	17	1:32:23	131	1:56:32	77	1:01:59	138	87
83	317	覚張 正樹	2:58:36	0:35:30	231	1:29:19	103	2:04:49	129	0:53:47	55	88
84	169	青柳 暢幸	2:59:02	0:29:02	86	1:35:23	155	2:04:25	124	0:54:37	65	89
85	274	小西 正宣	2:59:24	0:34:38	207	1:29:51	108	2:04:29	126	0:54:55	67	90
86	302	渡辺 泰成	2:59:36	0:34:03	194	1:31:02	119	2:05:05	135	0:54:31	63	91
87	252	佐仲 智和	3:00:03	0:33:18	171	1:31:34	124	2:04:52	131	0:55:11	70	93
88	254	池田 征央	3:00:15	0:31:29	130	1:29:59	111	2:01:28	104	0:58:47	100	94
89	351	鹿野 颯太	3:00:15	0:32:10	142	1:26:25	74	1:58:35	91	1:01:40	132	95
90	210	田辺 順志	3:00:27	0:28:01	64	1:31:02	118	1:59:03	92	1:01:24	129	97
91	295	中島 敏彦	3:00:37	0:33:46	183	1:34:02	147	2:07:48	155	0:52:49	49	98
92	233	岡田 慎也	3:00:45	0:32:43	154	1:27:22	88	2:00:05	97	1:00:40	123	99
93	265	渡邊 隆志	3:00:54	0:34:40	210	1:29:32	105	2:04:12	119	0:56:42	80	100
94	208	福田 泰史	3:01:05	0:32:11	143	1:32:27	135	2:04:38	127	0:56:27	79	101
95	123	城田 広樹	3:01:10	0:28:22	76	1:32:14	128	2:00:36	100	1:00:34	120	102
96	149	小倉 拓也	3:01:25	0:27:26	51	1:27:52	93	1:55:18	68	1:06:07	196	103
97	279	柿原 裕介	3:01:40	0:36:34	250	1:24:52	64	2:01:26	103	1:00:14	115	104
98	187	富澤 勇	3:01:48	0:33:01	165	1:33:05	139	2:06:06	140	0:55:42	73	105
99	242	福田 正	3:02:29	0:30:01	104	1:26:32	77	1:56:33	78	1:05:56	194	106
100	134	遠藤 慧	3:02:36	0:27:00	41	1:28:19	96	1:55:19	69	1:07:17	209	107
101	259	早川 寛	3:02:57	0:31:13	122	1:31:19	123	2:02:32	109	1:00:25	118	108
102	299	松田 臣二	3:03:13	0:38:23	286	1:19:38	37	1:58:01	85	1:05:12	180	110
103	112	亀山 崇	3:03:15	0:25:43	27	1:28:33	98	1:54:16	64	1:08:59	226	111
104	147	林 慶祐	3:03:18	0:28:04	65	1:32:24	133	2:00:28	99	1:02:50	151	112
105	323	伊藤 信一	3:03:58	0:37:37	274	1:26:46	80	2:04:23	123	0:59:35	106	113
106	318	野畑 潤	3:04:21	0:35:33	233	1:26:39	79	2:02:12	107	1:02:09	140	114
107	108	山川 雅之	3:04:36	0:29:05	87	1:27:17	85	1:56:22	76	1:08:14	216	115
108	357	安藤 哲雄	3:04:45	0:35:55	238	1:27:44	91	2:03:39	114	1:01:06	126	116
109	489	鈴木 卓史	3:05:09	0:36:56	258	1:19:14	35	1:56:10	74	1:08:59	228	117
110	478	中村 聡志	3:05:17	0:41:19	330	1:29:00	101	2:10:19	177	0:54:58	68	118
111	144	小西 始	3:05:20	0:22:49	8	1:40:36	217	2:03:25	111	1:01:55	137	119
112	281	城下 純一	3:05:27	0:28:19	73	1:36:28	172	2:04:47	128	1:00:40	122	120
113	141	松本 喜久	3:05:48	0:28:18	72	1:29:55	109	1:58:13	87	1:07:35	212	121
114	157	高本 直彰	3:06:09	0:29:40	97	1:35:54	166	2:05:34	137	1:00:35	121	122
115	129	副島 邦洋	3:06:14	0:28:38	80	1:31:03	120	1:59:41	94	1:06:33	198	123
116	230	坂本 大武	3:06:45	0:27:50	62	1:39:13	201	2:07:03	149	0:59:42	107	124
117	473	宮嶋 健一	3:06:48	0:39:53	311	1:24:35	63	2:04:28	125	1:02:20	143	125
118	290	駒井 浩	3:07:08	0:38:37	294	1:28:30	97	2:07:07	150	1:00:01	112	126
119	168	髙瀬 倫治	3:07:12	0:28:40	82	1:38:08	191	2:06:48	146	1:00:24	116	127
120	282	中 健一	3:07:13	0:34:13	201	1:33:18	141	2:07:31	154	0:59:42	108	128
121	487	宮﨑 慎	3:07:34	0:34:42	211	1:36:29	173	2:11:11	186	0:56:23	78	129
122	349	平田 国治	3:07:48	0:34:48	215	1:30:10	113	2:04:58	132	1:02:50	152	130
123	215	田代 賢二郎	3:07:58	0:32:57	162	1:29:56	110	2:02:53	110	1:05:05	175	131
124	445	西口 雅喜	3:08:24	0:38:27	290	1:32:22	130	2:10:49	182	0:57:35	86	134
125	253	加藤 俊吾	3:08:34	0:34:45	213	1:29:37	106	2:04:22	122	1:04:12	161	135
126	201	赤瀬 一夫	3:08:55	0:32:04	139	1:33:46	144	2:05:50	139	1:03:05	155	136
127	341	林 宏紀	3:09:01	0:32:39	153	1:29:10	102	2:01:49	105	1:07:12	208	137
128	180	岡本 祥太	3:09:04	0:37:23	266	1:35:33	163	2:12:56	200	0:56:08	77	138
129	195	北島 一広	3:09:06	0:34:09	197	1:32:06	126	2:06:15	142	1:02:51	153	139
130	320	大塚 亮	3:09:06	0:33:49	185	1:32:31	137	2:06:20	143	1:02:46	149	140
131	244	宮本 善章	3:09:14	0:32:44	156	1:30:42	117	2:03:26	112	1:05:48	192	141
132	308	小田切 泰寿	3:09:32	0:26:55	39	1:40:30	215	2:07:25	153	1:02:07	139	142
133	380	土谷 竜介	3:09:40	0:34:11	198	1:33:57	146	2:08:08	158	1:01:32	131	143
134	220	若松 浩司	3:09:52	0:35:30	232	1:35:31	162	2:11:01	184	0:58:51	101	144
135	156	松清 大	3:10:47	0:29:19	90	1:35:59	169	2:05:18	136	1:05:29	189	147
136	142	中里 賢一	3:10:58	0:25:26	25	1:38:03	190	2:03:29	113	1:07:29	211	149
137	165	中川 泰司	3:11:17	0:34:37	205	1:34:09	148	2:08:46	160	1:02:31	146	150
138	377	深澤 万歓	3:11:18	0:27:39	57	1:44:15	240	2:11:54	191	0:59:24	105	151
139	347	武藤 浩行	3:11:36	0:32:09	140	1:34:51	153	2:07:00	148	1:04:36	166	152
140	231	塩原 圭介	3:11:38	0:34:51	217	1:35:31	161	2:10:22	179	1:01:16	127	153
141	257	正木 一之	3:11:39	0:34:12	199	1:32:25	134	2:06:37	144	1:05:02	174	154
142	467	遠藤 孔仁	3:11:58	0:32:25	148	1:37:38	188	2:10:03	172	1:01:55	136	155
143	335	久保 幹夫	3:12:01	0:37:32	272	1:36:53	178	2:14:25	207	0:57:36	87	156
144	339	清水 誠太	3:12:11	0:36:47	254	1:35:30	160	2:12:17	194	0:59:54	111	157
145	413	玉舎 久幸	3:12:44	0:36:29	249	1:33:47	145	2:10:16	175	1:02:28	145	158
146	440	五十嵐 亘	3:12:56	0:37:09	262	1:32:23	132	2:09:32	167	1:03:24	157	159
147	461	前殿 翔太	3:13:30	0:32:33	150	1:38:36	193	2:11:09	185	1:02:21	144	160
148	326	新井 崇康	3:13:37	0:36:47	255	1:37:34	185	2:14:21	206	0:59:16	104	161
149	196	小倉 一彦	3:13:47	0:31:17	125	1:37:35	186	2:08:52	162	1:04:55	172	162
150	385	平山 容丈	3:13:54	0:34:59	219	1:35:57	168	2:10:56	183	1:02:58	154	163
151	452	千田 大介	3:14:08	0:39:55	313	1:35:55	167	2:15:50	217	0:58:18	97	164
152	173	紫芝 弘之	3:14:08	0:35:28	229	1:41:21	223	2:16:49	227	0:57:19	82	165
153	286	大前 秀行	3:14:09	0:32:09	141	1:36:51	177	2:09:00	163	1:05:09	176	166
154	414	諏訪 正行	3:14:37	0:40:44	326	1:27:10	84	2:07:54	156	1:06:43	201	167
155	266	寺井 邦季	3:14:39	0:24:45	20	1:32:03	125	1:56:48	79	1:17:51	294	168
156	275	梅澤 晃治	3:14:43	0:32:01	137	1:44:37	246	2:16:38	225	0:58:05	93	169
157	345	西村 真太郎	3:14:49	0:45:54	360	1:24:19	62	2:10:13	173	1:04:36	167	170
158	138	松川 拓哉	3:14:55	0:24:51	22	1:44:10	239	2:09:01	164	1:05:54	193	171
159	276	中山 明彦	3:15:16	0:29:39	95	1:40:08	210	2:09:47	170	1:05:29	190	172
160	193	川西 大介	3:15:21	0:30:42	114	1:35:29	159	2:06:11	141	1:09:10	229	173
161	186	石田 雅彦	3:15:26	0:30:54	116	1:37:53	189	2:08:47	161	1:06:39	200	174
162	212	松橋 正人	3:15:37	0:27:48	61	1:36:26	171	2:04:14	121	1:11:23	248	175
163	406	柳川 将基	3:15:37	0:36:37	251	1:33:44	143	2:10:21	178	1:05:16	182	176
164	373	吉田 智昭	3:15:55	0:31:23	128	1:39:11	199	2:10:34	180	1:05:21	185	177
165	283	橋本 拓也	3:16:37	0:31:16	124	1:44:32	244	2:15:48	214	1:00:49	124	179
166	228	小此木 宏仁	3:16:46	0:33:46	182	1:37:38	187	2:11:24	189	1:05:22	186	180
167	342	中江 俊博	3:17:34	0:35:23	228	1:39:32	205	2:14:55	210	1:02:39	148	181
168	297	綿貫 聡志	3:17:48	0:33:43	181	1:33:11	140	2:06:54	147	1:10:54	244	182
169	213	高橋 頼孝	3:18:08	0:30:24	110	1:36:56	179	2:07:20	152	1:10:48	242	183
170	235	吉澤 拓朗	3:18:27	0:42:02	337	1:31:11	121	2:13:13	202	1:05:14	181	184
171	378	山岸 悠佑	3:18:30	0:34:33	204	1:38:46	195	2:13:19	203	1:05:11	179	185
172	354	河野 世佳	3:18:33	0:35:38	235	1:40:44	218	2:16:22	222	1:02:11	141	186
173	369	山本 祐紀	3:18:59	0:36:56	259	1:40:13	212	2:17:09	228	1:01:50	135	187
174	280	宇田川 敦志	3:19:06	0:37:13	263	1:41:47	224	2:19:00	239	1:00:06	114	189
175	166	片山 康	3:19:09	0:34:42	212	1:39:10	197	2:13:52	204	1:05:17	183	190
176	285	山田 竜輔	3:19:35	0:30:31	112	1:39:26	203	2:09:57	171	1:09:38	235	191
177	241	仲田 徳実	3:20:21	0:28:07	67	1:36:44	174	2:04:51	130	1:15:30	282	193
178	207	櫻木 太	3:20:35	0:32:33	151	1:35:24	156	2:07:57	157	1:12:38	261	194
179	248	新藤 健司	3:20:39	0:36:39	252	1:42:13	226	2:18:52	237	1:01:47	134	195
180	232	久保 祥馬	3:20:43	0:33:57	189	0:22:07	2	0:56:04	2	2:24:39	356	196
181	239	白土 秀樹	3:20:46	0:37:21	265	1:41:58	225	2:19:19	241	1:01:27	130	197
182	192	川瀬 直人	3:20:52	0:31:13	123	1:41:13	222	2:12:26	197	1:08:26	220	198
183	331	千田 茂雄	3:21:05	0:33:43	179	1:40:14	214	2:13:57	205	1:07:08	206	200
184	446	平井 健人	3:21:21	0:39:48	310	1:48:04	280	2:27:52	292	0:53:29	54	201
185	226	河越 諒	3:21:47	0:27:19	49	1:32:28	136	1:59:47	95	1:22:00	318	202
186	382	高丸 和久	3:22:05	0:35:28	230	1:37:21	182	2:12:49	199	1:09:16	231	203
187	288	山岸 城太郎	3:22:06	0:34:46	214	1:34:35	151	2:09:21	165	1:12:45	262	204
188	264	遠山 功	3:22:22	0:32:02	138	1:39:30	204	2:11:32	190	1:10:50	243	205
189	350	齊藤 幸一	3:22:30	0:40:09	318	1:39:50	207	2:19:59	246	1:02:31	147	207
190	205	古瀬 直幸	3:22:46	0:31:33	133	1:35:09	154	2:06:42	145	1:16:04	286	208
191	465	高橋 浩	3:22:46	0:42:07	338	1:43:02	232	2:25:09	278	0:57:37	88	209
192	227	岡 航平	3:23:05	0:28:05	66	1:35:36	164	2:03:41	115	1:19:24	305	210
193	322	小野 智弘	3:23:11	0:38:54	298	1:30:37	116	2:09:31	166	1:13:40	271	211
194	394	大久保 克彦	3:23:24	0:38:28	292	1:40:05	209	2:18:33	235	1:04:51	170	212
195	337	西野谷 旅	3:23:29	0:29:49	100	1:45:44	258	2:15:33	213	1:07:56	215	213
196	325	吉田 裕紀	3:23:38	0:36:16	246	1:38:52	196	2:15:08	211	1:08:30	221	214
197	338	小松 宏哉	3:23:58	0:40:13	319	1:32:06	127	2:12:19	196	1:11:39	254	215
198	330	中林 毅	3:24:47	0:32:45	158	1:43:07	233	2:15:52	218	1:08:55	224	216
199	358	加野 浩之	3:24:55	0:37:53	278	1:39:56	208	2:17:49	232	1:07:06	205	217
200	469	熊野 善康	3:25:33	0:32:58	163	1:39:13	200	2:12:11	193	1:13:22	270	218
201	327	飯塚 寿雄	3:25:37	0:34:51	218	1:41:12	221	2:16:03	220	1:09:34	234	219
202	312	松井 正典	3:26:00	0:36:14	245	1:33:29	142	2:09:43	168	1:16:17	287	220
203	263	三苫 正輝	3:26:35	0:32:43	155	1:43:54	234	2:16:37	224	1:09:58	236	221
204	278	野崎 恵太	3:26:49	0:38:31	293	1:45:28	252	2:23:59	269	1:02:50	150	222
205	206	佐久間 俊彰	3:27:16	0:29:35	93	1:34:25	149	2:04:00	117	1:23:16	326	223
206	432	岡本 真尚	3:27:31	0:36:50	256	1:45:30	253	2:22:20	261	1:05:11	178	224
207	167	小川原 泰文	3:27:52	0:34:38	208	1:44:59	249	2:19:37	245	1:08:15	217	226
208	105	千葉 寿夫	3:28:10	0:24:27	18	1:59:04	332	2:23:31	265	1:04:39	169	227
209	194	矢口 照彦	3:28:11	0:31:33	132	1:36:49	176	2:08:22	159	1:19:49	307	228
210	352	錦織 吾郎	3:28:15	0:39:09	305	1:40:10	211	2:19:19	242	1:08:56	225	229
211	237	秤屋 尚生	3:28:31	0:36:11	244	1:36:48	175	2:12:59	201	1:15:32	283	230
212	353	須田 修弘	3:28:33	0:38:01	280	1:50:30	295	2:28:31	293	1:00:02	113	231
213	303	村田 克也	3:28:35	0:33:20	172	1:43:00	231	2:16:20	221	1:12:15	257	232
214	361	内山 順造	3:28:43	0:38:23	284	1:37:25	183	2:15:48	215	1:12:55	264	233
215	451	中島 慶一	3:28:52	0:38:46	295	1:37:08	180	2:15:54	219	1:12:58	266	234
216	384	小畑 翔悟	3:29:41	0:32:52	160	1:45:17	250	2:18:09	233	1:11:32	251	236
217	475	富澤 浩一	3:29:52	0:38:58	301	1:42:59	230	2:21:57	258	1:07:55	214	238
218	486	相馬 仁	3:29:55	0:34:07	196	1:37:13	181	2:11:20	187	1:18:35	302	239
219	470	虻川 真澄	3:29:56	0:40:17	320	1:44:29	243	2:24:46	276	1:05:10	177	240
220	291	尼子 雅章	3:30:09	0:35:05	222	1:42:44	228	2:17:49	231	1:12:20	258	241
221	140	武藤 良則	3:30:13	0:27:45	60	1:44:34	245	2:12:19	195	1:17:54	295	242
222	427	榊 祐毅	3:30:53	0:31:36	134	1:39:10	198	2:10:46	181	1:20:07	310	243
223	221	金子 裕	3:30:57	0:33:16	168	1:50:30	294	2:23:46	268	1:07:11	207	244
224	386	高橋 雄大	3:31:03	0:35:03	221	1:48:40	282	2:23:43	267	1:07:20	210	245
225	246	佐藤 圭	3:31:06	0:37:30	270	1:42:59	229	2:20:29	251	1:10:37	240	246
226	218	角森 壮	3:31:08	0:32:56	161	1:46:38	272	2:19:34	244	1:11:34	253	247
227	131	石上 純	3:31:53	0:28:21	74	1:46:07	262	2:14:28	208	1:17:25	291	248
228	150	瀬古澤 直人	3:32:02	0:31:32	131	1:39:50	206	2:11:22	188	1:20:40	314	249
229	468	谷川 英士	3:32:19	0:39:07	304	1:50:55	298	2:30:02	302	1:02:17	142	250
230	293	陸田 典志	3:32:21	0:37:51	277	1:49:06	288	2:26:57	287	1:05:24	188	251
231	240	中村 錦彦	3:32:30	0:30:56	117	1:45:48	259	2:16:44	226	1:15:46	284	252
232	171	石島 健	3:32:40	0:33:25	173	1:45:34	256	2:18:59	238	1:13:41	272	253
233	305	渡部 修司	3:33:04	0:35:19	225	1:50:51	297	2:26:10	281	1:06:54	202	254
234	402	川又 永治	3:33:11	0:38:24	287	1:40:14	213	2:18:38	236	1:14:33	275	256
235	250	小松 伸弘	3:33:40	0:33:51	187	1:50:29	293	2:24:20	270	1:09:20	232	257
236	494	山口 英司	3:33:58	0:40:06	317	1:48:30	281	2:28:36	295	1:05:22	187	258
237	363	坂本 均	3:34:11	0:33:59	192	1:53:35	310	2:27:34	291	1:06:37	199	259
238	485	山根 ジョスワ正太郎	3:34:40	0:34:29	203	1:48:46	284	2:23:15	263	1:11:25	249	260
239	313	長岡 治	3:34:45	0:35:48	237	1:46:00	261	2:21:48	255	1:12:57	265	261
240	376	押田 勝義	3:34:49	0:35:37	234	1:46:18	268	2:21:55	257	1:12:54	263	262
241	393	田中 等	3:34:54	0:37:02	261	1:47:28	277	2:24:30	272	1:10:24	239	263
242	368	京谷 正広	3:35:18	0:38:26	289	1:44:29	242	2:22:55	262	1:12:23	259	264
243	344	山口 健太	3:35:36	0:34:13	200	1:49:28	290	2:23:41	266	1:11:55	256	265
244	277	石川 健一	3:35:56	0:37:24	267	1:44:41	247	2:22:05	259	1:13:51	273	266
245	268	福田 慎吾	3:36:02	0:33:17	170	1:53:51	312	2:27:08	288	1:08:54	223	267
246	223	髙橋 竜ノ介	3:36:14	0:40:22	322	1:35:28	158	2:15:50	216	1:20:24	313	268
247	436	富田 勝浩	3:36:21	0:38:23	285	1:46:25	270	2:24:48	277	1:11:33	252	269
248	450	宮坂 岳	3:37:09	0:32:38	152	1:52:04	303	2:24:42	275	1:12:27	260	270
249	249	高寄 淳一	3:37:09	0:37:54	279	1:44:01	237	2:21:55	256	1:15:14	280	271
250	311	重成 有	3:37:18	0:31:02	120	1:40:59	219	2:12:01	192	1:25:17	338	272
251	454	佐野 翼	3:37:32	0:40:22	321	1:48:50	285	2:29:12	297	1:08:20	219	273
252	471	坂本 浩之	3:37:35	0:33:28	174	1:43:58	236	2:17:26	229	1:20:09	311	274
253	332	小澤 宏明	3:37:37	0:38:18	282	1:46:09	264	2:24:27	271	1:13:10	267	275
254	453	清水 賢臣	3:37:50	0:45:49	359	1:50:41	296	2:36:30	322	1:01:20	128	276
255	497	高橋 健太郎	3:37:52	0:42:32	344	1:44:09	238	2:26:41	285	1:11:11	247	277
256	476	淡路 航也	3:38:38	0:31:04	121	1:49:04	287	2:20:08	248	1:18:30	299	278
257	197	山口 実	3:38:43	0:35:00	220	1:46:13	265	2:21:13	253	1:17:30	292	279
258	426	山口 健	3:38:51	0:39:21	307	1:46:17	266	2:25:38	280	1:13:13	268	280
259	247	古山 進	3:39:36	0:35:57	239	1:40:31	216	2:16:28	223	1:23:08	325	281
260	366	一木 伸夫	3:39:40	0:29:52	101	1:55:39	316	2:25:31	279	1:14:09	274	282
261	243	中西 賢介	3:40:05	0:34:05	195	1:47:07	275	2:21:12	252	1:18:53	304	283
262	125	虎谷 翔	3:40:07	0:37:13	264	1:52:45	307	2:29:58	301	1:10:09	237	284
263	488	土屋 英樹	3:40:08	0:41:57	335	1:38:13	192	2:20:10	249	1:19:58	309	285
264	493	中島 悟	3:40:14	0:38:08	281	1:52:44	306	2:30:52	306	1:09:22	233	286
265	199	中川 太	3:40:19	0:31:18	127	1:57:57	324	2:29:15	298	1:11:04	245	287
