総合順位	No.	氏名	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順
21	30012	秋葉 茅麦	男	東京都	2:19:57	0:25:49	74	1:11:47	9	1:37:36	18	0:42:21	46
22	20010	廣瀬 大智	男	学連	2:20:04	0:29:22	214	1:12:32	16	1:41:54	42	0:38:10	7
23	35027	江夏 志門	男	埼玉県	2:21:05	0:23:50	32	1:15:35	49	1:39:25	31	0:41:40	41
24	45151	細木 宏樹	男	滋賀県	2:21:13	0:25:02	59	1:15:20	46	1:40:22	35	0:40:51	32
25	35012	青山 太一	男	神奈川県	2:21:47	0:22:02	9	1:13:08	21	1:35:10	7	0:46:37	146
26	45112	丹野 憲仁	男	神奈川県	2:21:52	0:27:03	103	1:15:37	50	1:42:40	47	0:39:12	17
27	40063	尾林 豊治	男	東京都	2:22:32	0:24:47	55	1:13:32	27	1:38:19	24	0:44:13	82
28	40157	中津 利秋	男	千葉県	2:22:39	0:23:29	24	1:14:07	32	1:37:36	19	0:45:03	103
29	40034	石井 克利	男	東京都	2:23:06	0:24:08	41	1:17:24	79	1:41:32	40	0:41:34	39
30	45060	幸野 利彦	男	香川県	2:23:39	0:26:43	94	1:15:07	42	1:41:50	41	0:41:49	42
31	45149	藤田 茂雄	男	神奈川県	2:23:42	0:26:40	92	1:16:51	69	1:43:31	56	0:40:11	24
32	50051	椎名 克行	男	新潟県	2:23:42	0:27:43	125	1:15:16	43	1:42:59	50	0:40:43	31
33	30128	渡邉 聡一	男	静岡県	2:23:48	0:23:36	26	1:16:08	53	1:39:44	33	0:44:04	77
34	30050	鏑木 慎介	男	千葉県	2:23:49	0:24:06	39	1:19:25	125	1:43:31	55	0:40:18	27
35	45126	中島 秀彰	男	東京都	2:24:33	0:28:14	142	1:17:02	73	1:45:16	76	0:39:17	18
36	20002	奥脇 健太	男	学連	2:24:37	0:30:29	278	1:12:06	10	1:42:35	46	0:42:02	43
37	25094	渡辺 誉史	男	茨城県	2:24:51	0:25:07	62	1:16:54	70	1:42:01	43	0:42:50	56
38	30068	齋藤 宏光	男	埼玉県	2:25:01	0:21:07	2	1:15:17	44	1:36:24	13	0:48:37	199
39	25503	太田 麻衣子	女	千葉県	2:25:05	0:21:44	6	1:18:28	104	1:40:12	34	0:44:53	101
40	40070	鴨川 壯英	男	神奈川県	2:25:05	0:23:17	21	1:17:18	77	1:40:35	36	0:44:30	92
41	35053	木代 雅彦	男	東京都	2:25:16	0:29:02	196	1:14:47	40	1:43:49	63	0:41:27	38
42	40079	木村 航士	男	神奈川県	2:25:18	0:23:33	25	1:22:45	232	1:46:18	90	0:39:00	14
43	35521	松本 華奈	女	島根県	2:25:29	0:23:45	29	1:20:27	152	1:44:12	67	0:41:17	35
44	35001	Absous Olivier	男	French	2:26:04	0:22:50	14	1:20:30	153	1:43:20	53	0:42:44	54
45	35178	吉村 光司	男	埼玉県	2:26:09	0:21:57	8	1:13:59	29	1:35:56	9	0:50:13	272
46	40045	井上 伸一	男	千葉県	2:26:36	0:25:48	73	1:16:31	60	1:42:19	44	0:44:17	83
47	30111	三冨 真尚	男	神奈川県	2:26:40	0:28:20	152	1:14:27	36	1:42:47	48	0:43:53	74
48	35066	櫻井 龍太	男	神奈川県	2:26:52	0:26:00	78	1:17:16	76	1:43:16	52	0:43:36	68
49	45016	安茂 義洋	男	神奈川県	2:26:55	0:27:55	133	1:18:21	100	1:46:16	89	0:40:39	30
50	30065	小原 裕也	男	東京都	2:27:18	0:26:26	87	1:13:04	20	1:39:30	32	0:47:48	177
51	35063	小林 弘明	男	神奈川県	2:27:24	0:31:24	333	1:12:25	12	1:43:49	64	0:43:35	67
52	40162	中村 健志	男	神奈川県	2:27:32	0:27:09	107	1:15:47	52	1:42:56	49	0:44:36	95
53	40175	橋本 健	男	東京都	2:27:41	0:30:25	273	1:18:21	102	1:48:46	138	0:38:55	12
54	35043	笠井 歩	男	東京都	2:27:43	0:31:54	365	1:16:45	67	1:48:39	134	0:39:04	16
55	30126	吉田 拓也	男	愛知県	2:27:44	0:30:02	257	1:16:42	65	1:46:44	97	0:41:00	34
56	35101	寺本 芳章	男	東京都	2:27:54	0:31:28	337	1:13:21	22	1:44:49	72	0:43:05	58
57	30505	中島 聖子	女	兵庫県	2:28:02	0:23:47	30	1:23:36	264	1:47:23	108	0:40:39	29
58	40062	尾崎 敏之	男	神奈川県	2:28:03	0:27:06	105	1:16:21	56	1:43:27	54	0:44:36	94
59	25028	金井 悠二	男	千葉県	2:28:03	0:24:10	43	1:14:48	41	1:38:58	27	0:49:05	213
60	30101	廣澤 克壽	男	東京都	2:28:15	0:24:02	37	1:12:38	17	1:36:40	15	0:51:35	330
61	35157	水藤 祐之	男	東京都	2:28:23	0:31:02	314	1:14:06	31	1:45:08	74	0:43:15	63
62	40023	浅本 勝一	男	大阪府	2:28:30	0:31:26	334	1:14:34	38	1:46:00	85	0:42:30	51
63	35097	田中 康晴	男	神奈川県	2:28:47	0:31:46	354	1:14:08	33	1:45:54	82	0:42:53	57
64	35179	脇田 達司	男	佐賀県	2:28:49	0:29:53	245	1:16:33	61	1:46:26	93	0:42:23	48
65	25016	内海 敬大	男	神奈川県	2:28:53	0:29:13	208	1:20:36	158	1:49:49	153	0:39:04	15
66	30509	増田 頼子	女	東京都	2:29:16	0:22:52	15	1:22:16	209	1:45:08	73	0:44:08	79
67	35116	西山 博之	男	千葉県	2:29:31	0:25:01	58	1:16:12	54	1:41:13	38	0:48:18	188
68	30060	工藤 紳一廊	男	茨城県	2:29:45	0:26:10	83	1:17:35	85	1:43:45	61	0:46:00	127
69	40224	山本 敦	男	東京都	2:29:47	0:26:48	95	1:17:45	92	1:44:33	70	0:45:14	105
70	30096	萩原 岳人	男	東京都	2:29:54	0:23:59	35	1:21:32	183	1:45:31	78	0:44:23	87
71	35504	井上 恵理香	女	神奈川県	2:30:06	0:28:59	189	1:20:59	168	1:49:58	154	0:40:08	22
72	25005	朝田 雄介	男	兵庫県	2:30:17	0:30:15	264	1:13:26	23	1:43:41	58	0:46:36	144
73	35091	多田 将英	男	東京都	2:30:17	0:29:25	217	1:16:43	66	1:46:08	88	0:44:09	80
74	40018	赤羽 博文	男	神奈川県	2:30:19	0:29:26	220	1:17:23	78	1:46:49	100	0:43:30	66
75	40064	小柳津 智	男	東京都	2:30:44	0:30:26	274	1:16:28	59	1:46:54	103	0:43:50	72
76	30054	川村 勇気	男	静岡県	2:30:45	0:26:54	98	1:17:34	84	1:44:28	68	0:46:17	137
77	50004	Mears Kelen	男	Australia	2:30:53	0:28:10	140	1:18:37	109	1:46:47	99	0:44:06	78
78	30104	藤原 桂一郎	男	神奈川県	2:31:02	0:31:12	322	1:14:28	37	1:45:40	80	0:45:22	112
79	40025	荒木 茂	男	山形県	2:31:29	0:26:49	96	1:14:37	39	1:41:26	39	0:50:03	260
80	35009	Paul AdamRiddle	男	東京都	2:31:31	0:27:52	130	1:19:11	122	1:47:03	105	0:44:28	91
81	40213	森本 栄一	男	愛知県	2:31:46	0:25:54	75	1:22:15	206	1:48:09	126	0:43:37	69
82	20008	外山 涼太	男	学連	2:31:59	0:24:20	46	1:16:23	58	1:40:43	37	0:51:16	316
83	35515	鈴木 まさみ	女	福島県	2:32:03	0:26:40	91	1:21:05	173	1:47:45	115	0:44:18	85
84	35051	神田 茂樹	男	静岡県	2:32:08	0:30:48	297	1:16:58	71	1:47:46	116	0:44:22	86
85	35171	山田 宏一	男	東京都	2:32:09	0:24:54	56	1:17:40	90	1:42:34	45	0:49:35	235
86	35089	竹原 司郎	男	神奈川県	2:32:11	0:25:12	65	1:18:35	106	1:43:47	62	0:48:24	190
87	40093	小森 研一	男	長崎県	2:32:29	0:26:50	97	1:19:32	128	1:46:22	92	0:46:07	130
88	35114	西島 成和	男	大阪府	2:32:32	0:28:13	141	1:17:05	74	1:45:18	77	0:47:14	162
89	45068	小山 義英	男	東京都	2:32:33	0:29:40	229	1:16:22	57	1:46:02	86	0:46:31	142
90	40021	浅野 肇	男	神奈川県	2:32:37	0:31:09	320	1:17:32	82	1:48:41	137	0:43:56	75
91	40097	斎藤 雅彦	男	岩手県	2:32:40	0:28:32	166	1:17:56	93	1:46:28	94	0:46:12	134
92	25003	赤井 宏行	男	神奈川県	2:32:45	0:29:03	197	1:18:13	98	1:47:16	107	0:45:29	115
93	35061	小林 毅信	男	埼玉県	2:32:47	0:28:41	173	1:21:42	188	1:50:23	166	0:42:24	50
94	50002	John Boardman	男	USA	2:32:53	0:29:30	221	1:17:13	75	1:46:43	96	0:46:10	132
95	30100	平野 啓介	男	東京都	2:33:00	0:29:53	246	1:17:37	88	1:47:30	109	0:45:30	116
96	30501	枳穀 智恵	女	神奈川県	2:33:05	0:29:00	191	1:23:50	275	1:52:50	218	0:40:15	26
97	30001	Alexandros Tanti	男	Greece	2:33:10	0:25:04	60	1:18:01	96	1:43:05	51	0:50:05	262
98	55008	大西 哲夫	男	兵庫県	2:33:14	0:28:30	162	1:20:10	146	1:48:40	135	0:44:34	93
99	45177	山田 和夫	男	東京都	2:33:16	0:28:55	186	1:16:49	68	1:45:44	81	0:47:32	169
100	40074	河原崎 文弘	男	神奈川県	2:33:29	0:25:11	64	1:18:57	116	1:44:08	66	0:49:21	225
101	25053	鈴木 広志	男	神奈川県	2:33:37	0:28:14	144	1:18:40	111	1:46:54	102	0:46:43	149
102	40075	菊地 栄紀	男	東京都	2:33:42	0:28:31	163	1:16:38	64	1:45:09	75	0:48:33	196
103	25060	徳 厚洋	男	東京都	2:33:48	0:29:05	198	1:17:01	72	1:46:06	87	0:47:42	175
104	25086	安田 翼	男	東京都	2:33:55	0:23:49	31	1:20:06	144	1:43:55	65	0:50:00	254
105	30023	石井 裕介	男	神奈川県	2:34:12	0:31:52	362	1:15:19	45	1:47:11	106	0:47:01	156
106	45089	松月 美雄	男	神奈川県	2:34:13	0:33:10	454	1:17:38	89	1:50:48	170	0:43:25	65
107	30047	加治木 圭太	男	神奈川県	2:34:22	0:25:55	76	1:20:52	164	1:46:47	98	0:47:35	171
108	20013	山崎 晋平	男	神奈川県	2:34:40	0:23:14	20	1:15:37	51	1:38:51	26	0:55:49	509
109	45129	中野 誠	男	神奈川県	2:34:43	0:34:15	555	1:19:07	119	1:53:22	232	0:41:21	36
110	40066	加藤 荘十郎	男	栃木県	2:34:45	0:30:58	307	1:20:38	159	1:51:36	188	0:43:09	60
111	55015	佐藤 周平	男	東京都	2:34:45	0:28:21	154	1:20:13	149	1:48:34	131	0:46:11	133
112	30116	森 政史	男	神奈川県	2:34:49	0:28:50	181	1:22:52	235	1:51:42	192	0:43:07	59
113	45014	甘利 健	男	神奈川県	2:34:49	0:30:04	259	1:20:33	156	1:50:37	168	0:44:12	81
114	35044	片岡 秀臣	男	東京都	2:34:55	0:31:01	312	1:22:28	217	1:53:29	233	0:41:26	37
115	35106	中原 正智	男	京都府	2:34:56	0:30:03	258	1:18:38	110	1:48:41	136	0:46:15	136
116	40150	徳光 芳文	男	東京都	2:35:02	0:29:50	241	1:21:58	196	1:51:48	194	0:43:14	62
117	30026	和泉 潤	男	愛媛県	2:35:05	0:24:10	44	1:19:35	131	1:43:45	60	0:51:20	321
118	50070	寺田 孝	男	静岡県	2:35:12	0:31:26	335	1:19:57	139	1:51:23	179	0:43:49	71
119	30015	朝倉 太一	男	沖縄県	2:35:12	0:23:18	22	1:22:14	205	1:45:32	79	0:49:40	240
120	25502	大河内 智未	女	神奈川県	2:35:14	0:23:07	19	1:24:45	309	1:47:52	120	0:47:22	166
121	25043	崎山 恵右	男	東京都	2:35:31	0:21:34	5	1:24:46	311	1:46:20	91	0:49:11	216
122	35136	廣谷 徳永	男	千葉県	2:35:37	0:38:45	798	1:14:17	35	1:53:02	223	0:42:35	52
123	50080	沼田 真清	男	東京都	2:35:38	0:27:41	124	1:20:32	154	1:48:13	127	0:47:25	167
124	35119	能勢 鯨太	男	東京都	2:35:44	0:27:02	101	1:16:34	62	1:43:36	57	0:52:08	362
125	45114	辻 慶雄	男	神奈川県	2:35:57	0:28:56	187	1:18:51	114	1:47:47	117	0:48:10	184
126	35024	岩崎 猛朗	男	神奈川県	2:36:00	0:26:59	100	1:24:37	303	1:51:36	187	0:44:24	88
127	50077	中村 豪徳	男	神奈川県	2:36:00	0:28:21	155	1:17:33	83	1:45:54	83	0:50:06	264
128	40044	伊藤 正美	男	神奈川県	2:36:21	0:30:24	272	1:19:35	132	1:49:59	156	0:46:22	139
129	40234	若生 宏	男	東京都	2:36:22	0:29:01	192	1:19:26	126	1:48:27	129	0:47:55	180
130	40176	波床 知喜	男	兵庫県	2:36:37	0:34:11	550	1:19:03	117	1:53:14	230	0:43:23	64
131	45010	秋山 英明	男	千葉県	2:36:43	0:32:44	429	1:19:33	129	1:52:17	204	0:44:26	89
132	30013	秋山 優	男	宮城県	2:36:46	0:29:44	235	1:16:16	55	1:46:00	84	0:50:46	298
133	30098	原 健輔	男	大阪府	2:36:49	0:25:28	68	1:22:12	203	1:47:40	113	0:49:09	215
134	40202	水落 宇洋	男	神奈川県	2:36:54	0:33:57	531	1:18:40	112	1:52:37	213	0:44:17	84
135	35054	北園 八大	男	千葉県	2:37:05	0:28:19	151	1:19:17	123	1:47:36	110	0:49:29	232
136	45172	森 雅裕	男	東京都	2:37:07	0:28:06	137	1:22:16	208	1:50:22	165	0:46:45	150
137	30118	八木 洋介	男	静岡県	2:37:07	0:32:44	427	1:19:40	134	1:52:24	209	0:44:43	98
138	25015	上野 惇史	男	東京都	2:37:14	0:29:34	224	1:23:13	245	1:52:47	216	0:44:27	90
139	20003	尾崎 泰治	男	東京都	2:37:16	0:33:24	480	1:18:17	99	1:51:41	191	0:45:35	121
140	30512	山元 真理子	女	神奈川県	2:37:24	0:28:57	188	1:25:42	344	1:54:39	263	0:42:45	55
141	35125	長谷川 順久	男	神奈川県	2:37:31	0:30:16	266	1:19:58	140	1:50:14	161	0:47:17	164
142	45035	大坪 隆	男	埼玉県	2:37:34	0:26:30	88	1:25:04	317	1:51:34	186	0:46:00	128
143	40031	井崎 邦昭	男	神奈川県	2:37:35	0:29:40	230	1:24:13	288	1:53:53	242	0:43:42	70
144	50001	Ernesto A De Lima	男	MEXICO	2:37:43	0:30:40	287	1:18:51	115	1:49:31	148	0:48:12	185
145	50098	森 岩人	男	神奈川県	2:37:46	0:30:16	267	1:18:21	101	1:48:37	133	0:49:09	214
146	45155	松田 健二	男	神奈川県	2:37:47	0:29:10	204	1:22:12	204	1:51:22	178	0:46:25	140
147	30113	宮川 満寿雄	男	東京都	2:37:56	0:26:04	81	1:18:40	113	1:44:44	71	0:53:12	404
148	40027	安保 哲	男	神奈川県	2:37:57	0:31:47	355	1:21:05	172	1:52:52	220	0:45:05	104
149	25029	川合 尚	男	東京都	2:37:58	0:27:55	132	1:24:09	286	1:52:04	200	0:45:54	125
150	35121	芳賀 修	男	神奈川県	2:38:07	0:28:32	167	1:21:13	175	1:49:45	152	0:48:22	189
151	30085	塚越 景	男	神奈川県	2:38:17	0:30:13	263	1:19:54	138	1:50:07	158	0:48:10	183
152	35073	城後 信隆	男	東京都	2:38:20	0:27:39	122	1:20:17	150	1:47:56	123	0:50:24	280
153	40119	城平 徹	男	神奈川県	2:38:37	0:30:53	300	1:20:40	160	1:51:33	185	0:47:04	157
154	45515	村田 祥乃	女	静岡県	2:38:38	0:28:45	179	1:24:35	301	1:53:20	231	0:45:18	109
155	40212	森田 康二	男	千葉県	2:38:39	0:24:07	40	1:25:10	319	1:49:17	145	0:49:22	226
156	35111	生井 和平	男	東京都	2:38:55	0:29:56	249	1:20:11	147	1:50:07	159	0:48:48	205
157	50089	古川 正敏	男	東京都	2:39:07	0:28:15	145	1:21:08	174	1:49:23	146	0:49:44	242
158	45046	数本 雅幸	男	神奈川県	2:39:17	0:29:57	250	1:17:40	91	1:47:37	112	0:51:40	334
159	35016	石川 智浩	男	神奈川県	2:39:17	0:32:22	402	1:15:32	47	1:47:54	121	0:51:23	323
160	45180	湯浅 泰敏	男	東京都	2:39:18	0:33:23	478	1:21:14	176	1:54:37	259	0:44:41	97
161	40217	矢吹 輝	男	岡山県	2:39:19	0:28:08	138	1:20:53	165	1:49:01	141	0:50:18	276
162	45143	深澤 賛光	男	東京都	2:39:22	0:26:18	84	1:22:36	226	1:48:54	139	0:50:28	285
163	35165	森 聖師	男	東京都	2:39:25	0:24:13	45	1:23:49	274	1:48:02	124	0:51:23	322
164	40037	石原 輝治	男	東京都	2:39:28	0:27:44	126	1:23:43	267	1:51:27	181	0:48:01	181
165	25012	伊藤 総一	男	東京都	2:39:29	0:37:08	734	1:19:10	121	1:56:18	302	0:43:11	61
166	45098	高木 晋一	男	愛知県	2:39:41	0:29:07	202	1:30:00	526	1:59:07	375	0:40:34	28
167	35019	井出 智志	男	千葉県	2:39:43	0:30:38	283	1:17:26	81	1:48:04	125	0:51:39	332
168	25002	Giovanni Bono	男	USA	2:39:45	0:29:32	223	1:23:41	266	1:53:13	228	0:46:32	143
169	35138	藤田 大介	男	神奈川県	2:39:52	0:29:55	248	1:19:19	124	1:49:14	144	0:50:38	293
170	30107	松戸 泰樹	男	神奈川県	2:39:53	0:28:17	149	1:26:06	361	1:54:23	248	0:45:30	117
171	25020	大嶋 直樹	男	静岡県	2:40:04	0:32:39	419	1:21:52	193	1:54:31	251	0:45:33	118
172	40072	川野 裕次	男	東京都	2:40:08	0:31:54	366	1:21:35	185	1:53:29	234	0:46:39	147
173	45137	濱松 直親	男	東京都	2:40:11	0:31:27	336	1:19:48	136	1:51:15	176	0:48:56	208
174	35096	田中 徹	男	神奈川県	2:40:11	0:25:34	70	1:22:10	200	1:47:44	114	0:52:27	374
175	55009	片岡 康夫	男	茨城県	2:40:15	0:29:06	199	1:22:26	216	1:51:32	183	0:48:43	200
176	60009	岡本 正夫	男	神奈川県	2:40:17	0:31:23	332	1:17:35	86	1:48:58	140	0:51:19	319
177	40108	志賀 宏行	男	東京都	2:40:18	0:26:33	90	1:22:31	220	1:49:04	142	0:51:14	314
178	35174	尤 波	男	千葉県	2:40:27	0:27:27	117	1:20:51	163	1:48:18	128	0:52:09	364
179	40203	水落 祐二	男	東京都	2:40:35	0:30:00	255	1:22:19	210	1:52:19	206	0:48:16	187
180	40147	土谷 賢典	男	神奈川県	2:40:38	0:30:39	285	1:20:32	155	1:51:11	175	0:49:27	229
181	45111	谷山 史仁	男	神奈川県	2:40:41	0:32:43	426	1:17:58	95	1:50:41	169	0:50:00	253
182	25079	前田 繁章	男	東京都	2:40:52	0:26:58	99	1:22:42	228	1:49:40	150	0:51:12	313
183	35146	前島 大介	男	神奈川県	2:40:54	0:32:19	396	1:19:06	118	1:51:25	180	0:49:29	230
184	45093	杉浦 健文	男	千葉県	2:41:07	0:30:29	279	1:17:25	80	1:47:54	122	0:53:13	405
185	50092	本田 順	男	神奈川県	2:41:07	0:28:23	159	1:26:08	363	1:54:31	253	0:46:36	145
186	30064	小林 正典	男	東京都	2:41:12	0:28:31	165	1:22:49	233	1:51:20	177	0:49:52	248
187	45006	Ward Trevor	男	USA	2:41:18	0:29:50	242	1:21:17	178	1:51:07	174	0:50:11	269
188	45057	楜澤 信	男	神奈川県	2:41:18	0:28:36	169	1:17:57	94	1:46:33	95	0:54:45	476
189	40065	海谷 博樹	男	千葉県	2:41:24	0:25:56	77	1:20:57	167	1:46:53	101	0:54:31	462
190	45153	牧 幸一郎	男	長野県	2:41:29	0:30:45	292	1:25:27	329	1:56:12	301	0:45:17	108
191	40102	佐藤 正樹	男	東京都	2:41:31	0:29:07	203	1:22:35	224	1:51:42	193	0:49:49	246
192	25023	岡本 諭	男	神奈川県	2:41:32	0:29:12	207	1:22:50	234	1:52:02	199	0:49:30	233
193	40186	武堂 貴宏	男	埼玉県	2:41:33	0:29:18	213	1:23:12	244	1:52:30	210	0:49:03	210
194	30033	丑村 友暁	男	神奈川県	2:41:35	0:27:19	113	1:25:33	333	1:52:52	219	0:48:43	202
195	35084	高田 文洋	男	栃木県	2:41:42	0:31:57	373	1:20:08	145	1:52:05	201	0:49:37	237
196	30089	中江 俊博	男	東京都	2:41:47	0:33:38	506	1:23:29	256	1:57:07	322	0:44:40	96
197	25096	渡部 祐介	男	東京都	2:41:49	0:32:51	433	1:26:50	402	1:59:41	388	0:42:08	45
198	60024	松本 充	男	神奈川県	2:41:56	0:31:21	329	1:18:37	108	1:49:58	155	0:51:58	350
199	55033	山村 範雄	男	神奈川県	2:42:13	0:27:30	118	1:22:11	202	1:49:41	151	0:52:32	377
200	35147	前田 学	男	東京都	2:42:16	0:31:54	364	1:20:00	142	1:51:54	197	0:50:22	278
201	50044	小林 寛	男	東京都	2:42:17	0:33:58	534	1:19:08	120	1:53:06	224	0:49:11	217
202	30058	木塚 大悟	男	東京都	2:42:40	0:24:30	49	1:20:02	143	1:44:32	69	0:58:08	581
203	40106	澤田 裕行	男	神奈川県	2:42:41	0:29:17	212	1:22:21	212	1:51:38	189	0:51:03	308
204	50052	紫芝 弘之	男	千葉県	2:43:01	0:30:26	275	1:27:21	430	1:57:47	345	0:45:14	106
205	45078	猿田 克己	男	茨城県	2:43:03	0:27:32	119	1:23:26	255	1:50:58	172	0:52:05	358
206	25088	山村 勇騎	男	神奈川県	2:43:09	0:27:09	106	1:19:49	137	1:46:58	104	0:56:11	523
207	50003	Kambli Rolf	男	Swiss	2:43:13	0:30:08	261	1:22:15	207	1:52:23	208	0:50:50	301
208	50045	小山 進	男	神奈川県	2:43:13	0:29:25	218	1:23:46	270	1:53:11	226	0:50:02	257
209	35509	近藤 裕子	女	千葉県	2:43:16	0:33:34	495	1:26:58	410	2:00:32	420	0:42:44	53
210	40082	草野 善誠	男	岐阜県	2:43:16	0:27:58	134	1:21:14	177	1:49:12	143	0:54:04	441
211	35094	田中 相司	男	大阪府	2:43:19	0:29:16	211	1:23:07	240	1:52:23	207	0:50:56	304
212	30032	岩井 耕介	男	神奈川県	2:43:20	0:29:14	209	1:26:49	398	1:56:03	298	0:47:17	163
213	40083	國枝 秀行	男	東京都	2:43:21	0:34:34	572	1:19:30	127	1:54:04	245	0:49:17	222
214	35030	大野 修治	男	神奈川県	2:43:23	0:30:38	284	1:23:21	250	1:53:59	243	0:49:24	228
215	40505	川嶋 明子	女	東京都	2:43:26	0:26:10	82	1:23:16	246	1:49:26	147	0:54:00	434
216	45164	宮内 努	男	東京都	2:43:33	0:36:43	710	1:22:04	198	1:58:47	365	0:44:46	99
217	40158	中津海 哲夫	男	神奈川県	2:43:41	0:31:55	368	1:25:34	334	1:57:29	336	0:46:12	135
218	40182	福田 稔	男	東京都	2:43:51	0:33:33	494	1:20:41	161	1:54:14	246	0:49:37	238
219	40227	横瀬 隆司	男	東京都	2:43:55	0:34:01	537	1:18:13	97	1:52:14	203	0:51:41	336
220	35132	平澤 雅史	男	岐阜県	2:43:55	0:34:50	587	1:21:46	191	1:56:36	309	0:47:19	165
221	40153	内藤 洋志	男	神奈川県	2:44:00	0:27:22	114	1:24:30	295	1:51:52	195	0:52:08	363
222	45157	松本 修二	男	神奈川県	2:44:04	0:29:32	222	1:23:57	277	1:53:29	235	0:50:35	292
223	45121	冨永 武史	男	神奈川県	2:44:09	0:30:27	277	1:26:15	373	1:56:42	313	0:47:27	168
224	45081	篠崎 公一	男	神奈川県	2:44:10	0:35:58	662	1:22:22	213	1:58:20	354	0:45:50	124
225	40190	堀内 章広	男	東京都	2:44:12	0:29:59	254	1:21:28	182	1:51:27	182	0:52:45	386
226	35130	東 健太郎	男	愛媛県	2:44:12	0:31:57	372	1:20:12	148	1:52:09	202	0:52:03	352
227	35516	須見 眞左子	女	東京都	2:44:15	0:33:20	471	1:21:38	186	1:54:58	267	0:49:17	223
228	30508	細川 久実子	女	岩手県	2:44:25	0:28:44	175	1:26:24	380	1:55:08	272	0:49:17	224
229	40215	矢野 聡史	男	東京都	2:44:28	0:27:46	127	1:22:24	215	1:50:10	160	0:54:18	454
230	40181	福田 将之	男	神奈川県	2:44:30	0:28:45	178	1:21:34	184	1:50:19	164	0:54:11	448
231	30028	市川 和也	男	東京都	2:44:33	0:32:38	418	1:26:32	383	1:59:10	376	0:45:23	113
232	35103	中重 雄史	男	神奈川県	2:44:40	0:30:45	293	1:23:48	272	1:54:33	254	0:50:07	265
233	30056	北荘 正人	男	石川県	2:44:41	0:30:58	308	1:26:55	408	1:57:53	347	0:46:48	151
234	40087	後藤 武郎	男	山形県	2:44:44	0:31:44	351	1:25:20	327	1:57:04	321	0:47:40	174
235	40047	岩渕 貴光	男	岩手県	2:44:45	0:29:38	228	1:30:10	535	1:59:48	392	0:44:57	102
236	25041	坂野 圭一郎	男	神奈川県	2:44:49	0:31:58	377	1:17:36	87	1:49:34	149	0:55:15	490
237	45001	Byrd Jack	男	USA	2:44:49	0:32:00	380	1:16:36	63	1:48:36	132	0:56:13	525
238	40016	青中 伸一	男	埼玉県	2:44:49	0:28:54	184	1:22:01	197	1:50:55	171	0:53:54	427
239	35512	篠原 三陽	女	神奈川県	2:44:50	0:29:11	205	1:26:50	404	1:56:01	296	0:48:49	206
240	25095	渡辺 徹	男	神奈川県	2:44:54	0:35:26	624	1:23:21	251	1:58:47	364	0:46:07	131
241	50046	齋藤 博	男	神奈川県	2:44:54	0:29:50	240	1:26:39	391	1:56:29	306	0:48:25	191
