総合 順位	No.	氏名	性別	総合記録	msec	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子 順位	女子 順位	区分	区分 順位
81	391	花井 裕正	男	1:11:47		0:06:01	70	0:36:44	75	0:42:45	74	0:29:02	88	73		男子30-39歳	10
82	154	安藤 武蔵	男	1:11:53		0:06:21	85	0:36:48	77	0:43:09	78	0:28:44	83	74		男子30-39歳	11
83	331	小川 芳寛	男	1:12:00		0:05:35	52	0:36:30	71	0:42:05	66	0:29:55	98	75		男子50-59歳	19
84	317	大庭 亮介	男	1:12:04		0:06:40	94	0:35:46	64	0:42:26	71	0:29:38	95	76		男子40-49歳	14
85	180	北村 卓也	男	1:12:27		0:06:04	74	0:36:03	69	0:42:07	67	0:30:20	103	77		男子40-49歳	15
86	187	大野木 裕	男	1:12:40		0:06:46	100	0:36:53	80	0:43:39	81	0:29:01	87	78		男子40-49歳	16
87	197	萩原 和晃	男	1:13:18		0:05:56	67	0:37:16	86	0:43:12	79	0:30:06	100	79		男子40-49歳	17
88	361	三苫 幸雄	男	1:13:45		0:06:30	91	0:36:32	72	0:43:02	77	0:30:43	106	80		男子50-59歳	20
89	135	有田 隼	男	1:14:02		0:05:59	69	0:40:15	104	0:46:14	100	0:27:48	73	81		男子20-29歳	14
90	321	村山 正幸	男	1:14:51		0:07:06	111	0:38:29	95	0:45:35	99	0:29:16	91	82		男子50-59歳	21
91	326	堀内 雅生	男	1:15:08		0:07:00	107	0:40:11	103	0:47:11	105	0:27:57	76	83		男子50-59歳	22
92	382	原 正弘	男	1:15:20		0:06:37	93	0:37:46	88	0:44:23	92	0:30:57	108	84		男子60-69歳	1
93	380	青木 みどり	女	1:15:38		0:06:52	102	0:38:11	90	0:45:03	93	0:30:35	105		9	女子60-69歳	1
94	315	原田 哲州	男	1:15:49		0:07:00	108	0:39:57	100	0:46:57	103	0:28:52	85	85		男子40-49歳	18
95	374	古井 佳雄	男	1:15:58		0:06:57	105	0:37:06	85	0:44:03	90	0:31:55	113	86		男子60-69歳	2
96	371	北村 孝	男	1:16:05		0:05:54	66	0:38:29	94	0:44:23	91	0:31:42	112	87		男子60-69歳	3
97	164	Minami Egwin	男	1:16:08		0:06:05	76	0:39:03	97	0:45:08	95	0:31:00	109	88		男子30-39歳	12
98	387	大島 強	男	1:16:13		0:05:52	64	0:41:02	109	0:46:54	102	0:29:19	92	89		男子70歳以上	1
99	151	福沢 将也	男	1:16:20		0:06:11	81	0:39:22	98	0:45:33	97	0:30:47	107	90		男子20-29歳	15
100	328	高津 伊兵衛	男	1:16:28		0:05:52	65	0:42:12	113	0:48:04	110	0:28:24	81	91		男子50-59歳	23
101	367	種本 裕一	男	1:16:43		0:06:01	71	0:38:02	89	0:44:03	89	0:32:40	114	92		男子50-59歳	24
102	169	萱沼 宏行	男	1:16:50		0:07:22	116	0:40:07	101	0:47:29	108	0:29:21	93	93		男子30-39歳	13
103	181	間部 貴之	男	1:16:53		0:06:23	86	0:42:13	114	0:48:36	112	0:28:17	80	94		男子40-49歳	19
104	120	阿部 蒼志	男	1:17:33		0:07:16	113	0:40:10	102	0:47:26	107	0:30:07	102	95		男子19歳以下	17
105	191	加藤 雅之	男	1:17:43		0:06:49	101	0:40:47	108	0:47:36	109	0:30:07	101	96		男子40-49歳	20
106	312	芦澤 幸一	男	1:18:01		0:06:18	84	0:40:40	107	0:46:58	104	0:31:03	110	97		男子40-49歳	21
107	185	山田 智佳子	女	1:18:16		0:07:54	126	0:41:24	110	0:49:18	114	0:28:58	86		10	女子40-49歳	2
108	144	渋川 駿伍	男	1:18:35		0:04:34	17	0:40:30	105	0:45:04	94	0:33:31	121	98		男子20-29歳	16
109	178	森 賢司	男	1:19:22		0:06:04	75	0:40:38	106	0:46:42	101	0:32:40	115	99		男子40-49歳	22
110	329	種本 浩二	男	1:19:51		0:06:29	90	0:43:34	119	0:50:03	116	0:29:48	97	100		男子50-59歳	25
111	358	保母 孝一	男	1:20:04		0:07:39	120	0:44:18	125	0:51:57	121	0:28:07	79	101		男子50-59歳	26
112	303	馬場 大輔	男	1:20:08		0:07:37	119	0:43:54	122	0:51:31	119	0:28:37	82	102		男子40-49歳	23
113	369	鈴木 淳一郎	男	1:20:33		0:07:42	121	0:39:30	99	0:47:12	106	0:33:21	118	103		男子60-69歳	4
114	332	本多 淳	男	1:20:40		0:07:03	109	0:38:18	93	0:45:21	96	0:35:19	128	104		男子50-59歳	27
115	385	加藤 信之	男	1:22:29		0:07:33	118	0:43:48	121	0:51:21	118	0:31:08	111	105		男子70歳以上	2
116	313	柴田 進吾	男	1:22:37		0:08:05	128	0:47:03	131	0:55:08	130	0:27:29	70	106		男子40-49歳	24
117	175	山口 真史	男	1:22:45		0:06:41	95	0:43:05	116	0:49:46	115	0:32:59	117	107		男子40-49歳	25
118	311	清井 憲一	男	1:23:54		0:06:52	103	0:36:54	81	0:43:46	84	0:40:08	136	108		男子40-49歳	26
119	335	反町 浩一郎	男	1:24:24		0:07:19	115	0:41:45	111	0:49:04	113	0:35:20	129	109		男子50-59歳	28
120	388	西村 詮幸	男	1:24:42		0:06:27	89	0:42:08	112	0:48:35	111	0:36:07	130	110		男子70歳以上	3
121	342	新井 正	男	1:24:50		0:07:53	125	0:44:13	124	0:52:06	122	0:32:44	116	111		男子50-59歳	29
122	373	岩本 憲保	男	1:24:50		0:06:45	98	0:43:28	118	0:50:13	117	0:34:37	123	112		男子60-69歳	5
123	347	西尾 建	男	1:26:59		0:07:53	124	0:44:00	123	0:51:53	120	0:35:06	126	113		男子50-59歳	30
124	301	木村 宗一郎	男	1:27:39		0:08:51	129	0:45:07	128	0:53:58	127	0:33:41	122	114		男子40-49歳	27
125	152	石田 理紗	女	1:27:40		0:09:34	132	0:47:33	133	0:57:07	133	0:30:33	104		11	女子20-29歳	3
126	381	中野 義太郎	男	1:29:16		0:08:53	130	0:43:15	117	0:52:08	123	0:37:08	132	115		男子60-69歳	6
127	338	松浦 靖	男	1:29:20		0:09:51	135	0:45:59	130	0:55:50	132	0:33:30	120	116		男子50-59歳	31
128	386	木内 修	男	1:29:24		0:07:50	122	0:44:23	126	0:52:13	124	0:37:11	133	117		男子70歳以上	4
129	182	安田 睦	男	1:29:25		0:08:56	131	0:43:35	120	0:52:31	125	0:36:54	131	118		男子40-49歳	28
130	166	中川 真梨子	女	1:29:53		0:12:06	138	0:42:59	115	0:55:05	129	0:34:48	124		12	女子30-39歳	2
131	314	小林 理恵子	女	1:30:35		0:09:58	136	0:45:27	129	0:55:25	131	0:35:10	127		13	女子40-49歳	3
132	158	実川 大海	男	1:31:30		0:05:43	58	0:47:20	132	0:53:03	126	0:38:27	135	119		男子30-39歳	14
133	379	山口 善久	男	1:32:50		0:09:38	133	0:44:51	127	0:54:29	128	0:38:21	134	120		男子60-69歳	7
134	349	大根 純	男	1:34:11		0:07:31	117	0:51:39	136	0:59:10	134	0:35:01	125	121		男子50-59歳	32
135	316	大塚 重治	男	1:34:38		0:06:03	73	0:55:06	137	1:01:09	137	0:33:29	119	122		男子40-49歳	29
136	389	津田 昌利	男	1:40:23		0:09:50	134	0:49:49	135	0:59:39	135	0:40:44	138	123		男子70歳以上	5
137	354	小関 利明	男	1:40:48		0:11:20	137	0:49:10	134	1:00:30	136	0:40:18	137	124		男子50-59歳	33
138	372	寺脇 佳秀	男	2:15:16		0:07:57	127	1:37:17	138	1:45:14	138	0:30:02	99	125		男子60-69歳	8
DNF	130	不破 啓介	男													男子20-29歳	
DNS	106	小栗 凌河	男													男子19歳以下	
DNS	107	丹野 凛	女													女子19歳以下	
DNS	129	河口 幸之助	男													男子20-29歳	
DNS	137	有方 雄太郎	男													男子20-29歳	
DNS	140	洲上 幹太	男													男子20-29歳	
DNS	143	福羅 寛人	男													男子20-29歳	
DNS	146	伊東 洋祐	男													男子20-29歳	
DNS	157	前田 桂典	男													男子30-39歳	
DNS	159	渡邉 貴之	男													男子30-39歳	
DNS	168	平松 佑一	男													男子30-39歳	
DNS	172	野頭 雄一郎	男													男子30-39歳	
DNS	174	田中 淑之	男													男子40-49歳	
DNS	176	植松 崇	男													男子40-49歳	
DNS	177	斉藤 功	男													男子40-49歳	
DNS	179	河瀬 賢介	男													男子40-49歳	
DNS	183	渡邉 穂高	男													男子40-49歳	
DNS	186	重本 理絵	女													女子40-49歳	
DNS	195	田代 賢二郎	男													男子40-49歳	
DNS	198	高山 洋一	男													男子40-49歳	
DNS	302	渡辺 征俊	男													男子40-49歳	
DNS	305	鈴木 信也	男													男子40-49歳	
DNS	308	小池 竜平	男													男子40-49歳	
DNS	309	川西 正人	男													男子40-49歳	
DNS	310	海瀬 隆太郎	男													男子40-49歳	
DNS	318	服部 徳晃	男													男子40-49歳	
DNS	324	浅井 拓	男													男子50-59歳	
DNS	330	宮澤 典友	男													男子50-59歳	
DNS	333	渋井 信治	男													男子50-59歳	
DNS	334	長谷川 友則	男													男子50-59歳	
DNS	336	北澤 純	男													男子50-59歳	
DNS	337	小口 正人	男													男子50-59歳	
DNS	345	松田 史雄	男													男子50-59歳	
DNS	348	田島 ゆか	女													女子50-59歳	
DNS	355	岡田 展生	男													男子50-59歳	
DNS	359	中村 茂美	女													女子50-59歳	
DNS	362	佐藤 純	男													男子50-59歳	
DNS	363	牧部 豊	男													男子50-59歳	
DNS	368	山田 朗	男													男子60-69歳	
DNS	370	中之坊 学	男													男子60-69歳	
DNS	375	大島 昇	男													男子60-69歳	
DNS	376	小泉 邦明	男													男子60-69歳	
DNS	377	竹本 佳正	男													男子60-69歳	
DNS	378	安藤 秀樹	男													男子60-69歳	
DNS	383	林 龍一	男													男子60-69歳	
DNS	384	辰村 俊治	男													男子70歳以上	
