総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	区分	区分順位	選手権順
16	24	隅田 一徳	45	男	大阪府	2:30:19	0:25:42	9	1:11:35	5	1:37:17	6	0:53:02	33	15		40代男子	4	
17	14	野坂 直希	39	男	大阪府	2:30:42	0:33:50	70	1:13:31	11	1:47:21	28	0:43:21	6	16		39歳以下男子	5	
18	40	笹森 孝明	50	男	青森県	2:33:15	0:31:25	49	1:15:12	18	1:46:37	26	0:46:38	14	17		50代男子	2	2
19	31	徳久 真也	46	男	東京都	2:34:11	0:31:08	45	1:14:12	14	1:45:20	22	0:48:51	19	18		40代男子	5	
20	204	須崎 とも	40	女	東京都	2:34:56	0:29:47	30	1:15:14	19	1:45:01	21	0:49:55	24		2	40代女子		
21	66	山田 隆広	59	男	東京都	2:35:04	0:28:15	22	1:16:16	23	1:44:31	17	0:50:33	29	19		50代男子	3	
22	57	平野 博明	56	男	三重県	2:36:23	0:30:05	37	1:17:00	25	1:47:05	27	0:49:18	20	20		50代男子	4	
23	5	増村 卓也	31	男	青森県	2:37:39	0:27:54	17	1:18:33	32	1:46:27	25	0:51:12	31	21		39歳以下男子	6	3
24	63	吉川 誠司	58	男	埼玉県	2:38:13	0:28:14	21	1:16:07	22	1:44:21	16	0:53:52	35	22		50代男子	5	
25	28	永井 陽一	45	男	岩手県	2:38:27	0:30:56	43	1:17:21	28	1:48:17	32	0:50:10	26	23		40代男子	6	
26	37	井田 憲吾	49	男	大阪府	2:38:41	0:27:52	16	1:15:36	20	1:43:28	15	0:55:13	39	24		40代男子	7	
27	60	佐藤 公久	57	男	東京都	2:39:30	0:27:46	14	1:21:42	42	1:49:28	34	0:50:02	25	25		50代男子	6	
28	7	長谷川 寛一	32	男	東京都	2:39:52	0:29:02	27	1:14:22	15	1:43:24	14	0:56:28	44	26		39歳以下男子	7	
29	52	永山 史朗	54	男	岩手県	2:39:54	0:28:10	20	1:21:51	43	1:50:01	37	0:49:53	23	27		50代男子	7	
30	93	赤浜 浩二	71	男	北海道	2:40:06	0:30:08	38	1:21:53	44	1:52:01	41	0:48:05	18	28		70代男子	1	
31	225	谷川 真由子	62	女	東京都	2:40:40	0:30:57	44	1:18:34	33	1:49:31	35	0:51:09	30		3	60代女子		
32	16	太田 一宏	40	男	青森県	2:40:47	0:28:58	25	1:17:20	27	1:46:18	24	0:54:29	38	29		40代男子	8	4
33	65	松浦 正裕	58	男	神奈川県	2:40:52	0:31:47	53	1:19:25	35	1:51:12	39	0:49:40	22	30		50代男子	8	
34	56	鎌田 憲一郎	55	男	神奈川県	2:42:36	0:29:02	26	1:21:39	40	1:50:41	38	0:51:55	32	31		50代男子	9	
35	30	國原 徳太郎	46	男	青森県	2:43:15	0:28:03	18	1:24:46	57	1:52:49	44	0:50:26	28	32		40代男子	9	5
36	42	榎戸 敬人	51	男	静岡県	2:47:15	0:30:04	36	1:17:54	29	1:47:58	30	0:59:17	60	33		50代男子	10	
37	203	塚本 暁子	31	女	青森県	2:47:23	0:26:08	12	1:25:27	59	1:51:35	40	0:55:48	41		4	39歳以下女子		6
38	211	本田 真奈美	46	女	東京都	2:47:48	0:25:43	10	1:23:18	52	1:49:01	33	0:58:47	55		5	40代女子		
39	39	根岸 義博	50	男	秋田県	2:48:33	0:31:23	48	1:18:36	34	1:49:59	36	0:58:34	53	34		50代男子	11	
40	209	谷津 麻耶	46	女	神奈川県	2:48:49	0:27:52	15	1:26:57	65	1:54:49	50	0:54:00	36		6	40代女子		
41	53	小林 吉宏	55	男	青森県	2:50:14	0:33:49	69	1:20:14	37	1:54:03	49	0:56:11	43	35		50代男子	12	7
42	59	三浦 孝之	57	男	青森県	2:51:15	0:30:53	42	1:23:02	50	1:53:55	48	0:57:20	47	36		50代男子	13	8
43	17	齋藤 育実	42	男	秋田県	2:51:26	0:31:12	46	1:24:27	55	1:55:39	52	0:55:47	40	37		40代男子	10	
44	51	和久 尚史	54	男	青森県	2:51:33	0:31:55	57	1:20:21	38	1:52:16	42	0:59:17	59	38		50代男子	14	9
45	26	野田 農	45	男	東京都	2:51:55	0:29:54	33	1:18:05	30	1:47:59	31	1:03:56	72	39		40代男子	11	
46	46	南 章行	51	男	東京都	2:52:08	0:29:49	32	1:22:36	47	1:52:25	43	0:59:43	61	40		50代男子	15	
47	71	市村 隆也	59	男	埼玉県	2:52:27	0:31:44	51	1:22:00	46	1:53:44	46	0:58:43	54	41		50代男子	16	
48	83	須田 修弘	64	男	東京都	2:52:55	0:34:03	71	1:23:02	49	1:57:05	54	0:55:50	42	42		60代男子	1	
49	206	岡崎 千恵	44	女	北海道	2:53:34	0:37:43	92	1:25:27	58	2:03:10	67	0:50:24	27		7	40代女子	1	
50	89	三木 康彰	67	男	大阪府	2:53:57	0:33:35	65	1:22:44	48	1:56:19	53	0:57:38	50	43		60代男子	2	
51	76	永田 善郎	61	男	東京都	2:54:29	0:31:39	50	1:21:31	39	1:53:10	45	1:01:19	66	44		60代男子	3	
52	219	久恒 佐知子	54	女	愛知県	2:54:30	0:31:19	47	1:25:46	61	1:57:05	55	0:57:25	48		8	50代女子	1	
53	49	久岡 卓司	53	男	兵庫県	2:54:37	0:29:43	29	1:18:09	31	1:47:52	29	1:06:45	80	45		50代男子	17	
54	80	小林 浩	63	男	埼玉県	2:56:03	0:38:09	93	1:24:23	54	2:02:32	65	0:53:31	34	46		60代男子	4	
55	33	野呂 寿人	48	男	青森県	2:57:19	0:34:17	73	1:19:33	36	1:53:50	47	1:03:29	70	47		40代男子	12	10
56	70	阪本 卓	59	男	東京都	2:58:16	0:30:09	39	1:28:18	68	1:58:27	56	0:59:49	62	48		50代男子	18	
57	68	高橋 誠	59	男	秋田県	2:58:49	0:37:31	88	1:23:31	53	2:01:02	60	0:57:47	51	49		50代男子	19	
58	34	吉野 公貴	49	男	東京都	2:59:02	0:32:58	60	1:32:02	78	2:05:00	70	0:54:02	37	50		40代男子	13	
59	67	星 幸伸	59	男	東京都	2:59:15	0:38:33	94	1:34:49	85	2:13:22	91	0:45:53	13	51		50代男子	20	
60	210	山本 愛	46	女	神奈川県	2:59:20	0:33:24	62	1:29:17	71	2:02:41	66	0:56:39	46		9	40代女子	2	
61	74	中谷 正弥	61	男	大阪府	2:59:59	0:33:21	61	1:21:42	41	1:55:03	51	1:04:56	73	52		60代男子	5	
62	224	中軽米 恵子	62	女	埼玉県	3:00:42	0:33:45	67	1:27:46	66	2:01:31	61	0:59:11	58		10	60代女子	1	
63	29	八木橋 健治	45	男	岩手県	3:00:49	0:36:02	79	1:25:58	62	2:02:00	63	0:58:49	56	53		40代男子	14	
64	64	小山内 聖	58	男	青森県	3:01:15	0:36:42	81	1:21:54	45	1:58:36	57	1:02:39	69	54		50代男子	21	11
65	212	佐々木 直子	48	女	宮城県	3:04:12	0:31:45	52	1:30:43	76	2:02:28	64	1:01:44	67		11	40代女子	3	
66	217	工藤 訓子	52	女	青森県	3:05:12	0:33:26	63	1:29:45	73	2:03:11	68	1:02:01	68		12	50代女子	2	12
67	222	戸田 久美子	55	女	東京都	3:05:47	0:33:27	64	1:25:28	60	1:58:55	59	1:06:52	81		13	50代女子	3	
68	221	近藤 美佐緒	55	女	東京都	3:06:05	0:34:13	72	1:33:46	82	2:07:59	78	0:58:06	52		14	50代女子	4	
69	73	皆川 良治	61	男	青森県	3:07:36	0:33:46	68	1:27:46	67	2:01:32	62	1:06:04	77	55		60代男子	6	13
70	27	佐藤 佳之	45	男	岩手県	3:10:18	0:41:15	99	1:28:24	69	2:09:39	81	1:00:39	64	56		40代男子	15	
71	81	中川 泰司	64	男	石川県	3:10:24	0:36:08	80	1:30:41	75	2:06:49	75	1:03:35	71	57		60代男子	7	
72	50	黒田 健一	54	男	東京都	3:11:40	0:36:51	83	1:35:40	88	2:12:31	85	0:59:09	57	58		50代男子	22	
73	220	新井田 由理	55	女	東京都	3:13:06	0:37:36	89	1:30:20	74	2:07:56	77	1:05:10	75		15	50代女子	5	
74	13	越沢 卓実	39	男	青森県	3:13:44	0:35:11	75	1:37:23	95	2:12:34	86	1:01:10	65	59		39歳以下男子	8	14
75	101	永倉 光男	78	男	愛知県	3:16:07	0:32:12	58	1:26:37	63	1:58:49	58	1:17:18	99	60		70代男子	2	
76	214	南 志麻子	50	女	東京都	3:17:59	0:33:40	66	1:32:02	77	2:05:42	71	1:12:17	88		16	50代女子	6	
77	82	内山 順造	64	男	神奈川県	3:20:24	0:41:31	102	1:24:38	56	2:06:09	74	1:14:15	92	61		60代男子	8	
78	48	近藤 寿彦	52	男	徳島県	3:20:45	0:41:24	101	1:32:13	79	2:13:37	93	1:07:08	82	62		50代男子	23	
79	22	遠山 和巳	44	男	兵庫県	3:21:54	0:49:12	117	1:36:12	91	2:25:24	103	0:56:30	45	63		40代男子	16	
80	78	吉岡 朋昭	63	男	東京都	3:22:40	0:37:29	87	1:28:37	70	2:06:06	73	1:16:34	98	64		60代男子	9	
81	62	上原子 亘	58	男	青森県	3:22:57	0:42:16	106	1:34:06	84	2:16:22	97	1:06:35	79	65		50代男子	24	15
82	10	小湊 純史	35	男	青森県	3:23:50	0:41:43	104	1:29:37	72	2:11:20	82	1:12:30	89	66		39歳以下男子	9	16
83	41	大谷 賢聡	50	男	秋田県	3:23:50	0:35:59	78	1:33:37	81	2:09:36	80	1:14:14	91	67		50代男子	25	
84	79	中村 錦彦	63	男	奈良県	3:23:58	0:32:16	59	1:35:31	87	2:07:47	76	1:16:11	95	68		60代男子	10	
85	215	赤浜 絵理香	51	女	北海道	3:26:11	0:28:43	24	1:42:44	104	2:11:27	83	1:14:44	94		17	50代女子	7	
86	226	安藤 るか	64	女	北海道	3:26:28	0:31:53	55	1:33:55	83	2:05:48	72	1:20:40	102		18	60代女子	2	
87	75	山根 勝彦	61	男	山形県	3:27:07	0:31:54	56	1:32:39	80	2:04:33	69	1:22:34	104	69		60代男子	11	
88	85	和島 知己	64	男	青森県	3:28:37	0:49:38	118	1:38:44	100	2:28:22	107	1:00:15	63	70		60代男子	12	17
89	223	根來 味加	55	女	大阪府	3:28:45	0:38:54	95	1:43:44	105	2:22:38	100	1:06:07	78		19	50代女子	8	
90	6	堀田 貴彦	31	男	青森県	3:29:22	0:34:42	74	1:38:07	97	2:12:49	88	1:16:33	97	71		39歳以下男子	10	18
91	95	及川 恒	72	男	岩手県	3:29:42	0:37:15	86	1:36:04	90	2:13:19	90	1:16:23	96	72		70代男子	3	
92	69	長浜 聡	59	男	青森県	3:30:28	0:39:09	96	1:36:42	93	2:15:51	95	1:14:37	93	73		50代男子	26	19
93	207	渡辺 富美	46	女	東京都	3:31:36	0:30:02	35	1:38:17	98	2:08:19	79	1:23:17	106		20	40代女子	4	
94	92	佐々木 一之	69	男	秋田県	3:31:59	0:45:12	108	1:41:22	102	2:26:34	106	1:05:25	76	74		60代男子	13	
95	58	定 孝	56	男	青森県	3:32:37	0:36:45	82	1:42:30	103	2:19:15	98	1:13:22	90	75		50代男子	27	20
96	87	柴田 喜代司	65	男	秋田県	3:32:44	0:35:50	77	1:37:17	94	2:13:07	89	1:19:37	101	76		60代男子	14	
97	55	東山 正樹	55	男	青森県	3:34:35	0:49:04	116	1:35:59	89	2:25:03	101	1:09:32	85	77		50代男子	28	21
98	19	細田 大造	42	男	秋田県	3:35:08	0:48:15	113	1:23:18	51	2:11:33	84	1:23:35	107	78		40代男子	17	
99	36	直場 俊樹	49	男	東京都	3:35:21	0:42:08	105	1:44:12	106	2:26:20	104	1:09:01	84	79		40代男子	18	
100	91	山内 久	69	男	青森県	3:35:44	0:39:54	98	1:50:46	111	2:30:40	108	1:05:04	74	80		60代男子	15	22
101	94	森 秀美	71	男	青森県	3:36:08	0:48:39	114	1:26:43	64	2:15:22	94	1:20:46	103	81		70代男子	4	23
102	205	松山 あさみ	42	女	青森県	3:37:14	0:47:07	110	1:52:30	113	2:39:37	115	0:57:37	49		21	40代女子	5	24
103	86	佐々木 政彦	65	男	青森県	3:37:30	0:35:28	76	1:49:54	109	2:25:22	102	1:12:08	87	82		60代男子	16	25
104	21	佐藤 紘一	43	男	青森県	3:37:54	0:48:53	115	1:37:28	96	2:26:21	105	1:11:33	86	83		40代男子	19	26
105	88	池田 浩	66	男	東京都	3:38:46	0:36:56	84	1:36:27	92	2:13:23	92	1:25:23	109	84		60代男子	17	
106	72	舟木 元	60	男	秋田県	3:40:45	0:47:19	112	1:46:14	107	2:33:33	111	1:07:12	83	85		60代男子	18	
107	213	柴﨑 亜希子	48	女	埼玉県	3:41:22	0:37:37	90	1:38:30	99	2:16:07	96	1:25:15	108		22	40代女子	6	
108	100	成田 實	78	男	北海道	3:45:10	0:41:40	103	1:40:53	101	2:22:33	99	1:22:37	105	86		70代男子	5	
109	227	高坂 裕子	66	女	東京都	3:47:42	0:37:41	91	1:34:58	86	2:12:39	87	1:35:03	112		23	60代女子	3	
110	216	浅見 美香	51	女	沖縄県	3:58:13	0:47:15	111	1:51:57	112	2:39:12	114	1:19:01	100		24	50代女子	9	
111	38	千葉 和典	50	男	青森県	3:59:05	0:41:19	100	1:50:39	110	2:31:58	109	1:27:07	110	87		50代男子	29	27
DNF	98	中軽米 憲哉	73	男	埼玉県	4:06:34	0:37:14	85	1:54:52	114	2:32:06	110	1:34:28	111			70代男子		
DNF	96	佐々木 正人	72	男	岩手県	4:18:15	0:47:05	109	1:49:10	108	2:36:15	112	1:42:00	113			70代男子		
DNF	54	白井 稔	55	男	大阪府		0:25:33	6	1:13:06	9	1:38:39	7					50代男子		
DNF	97	後藤 信行	73	男	岐阜県		0:39:16	97	1:59:19	116	2:38:35	113					70代男子		
DNF	99	菊池 裕幸	77	男	岩手県		0:43:30	107	1:56:51	115	2:40:21	116					70代男子		
DNF	77	山川 雅之	62	男	東京都		0:29:05	28									60代男子		
DNF	84	志田 哲也	64	男	東京都		0:28:33	23									60代男子		
DNF	201	佐藤 加奈子	26	女	青森県		1:06:12	120									39歳以下女子		
DNF	218	中原 千穂	52	女	長崎県		0:50:30	119									50代女子		
DNS	1	山本 麟太郎	26	男	東京都												39歳以下男子		
DNS	9	後藤 稔貴	34	男	青森県												39歳以下男子		
DNS	15	大熊 公晴	39	男	青森県												39歳以下男子		
DNS	44	栗本 和泰	51	男	兵庫県												50代男子		
DNS	45	成田 貴之	51	男	青森県												50代男子		
DNS	61	高橋 玄	57	男	東京都												50代男子		
DNS	90	高坂 浩	68	男	東京都												60代男子		
DNS	202	加藤 爽	27	女	青森県												39歳以下女子		
