総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
25	4009	渡邉 慶	41	男	愛知県	1:23:01	0:28:20	50	0:01:07	0:33:11	28	0:20:23	25	22		40-44男⼦	4		
26	4521	⼭⼝ 俊輔	48	男	埼⽟県	1:23:04	0:28:07	49	0:01:10	0:33:24	33	0:20:23	26	23		45-49男⼦	3		
27	5021	三⾕ 健⼀	53	男	三重県	1:23:15	0:27:29	41	0:02:09	0:33:21	32	0:20:16	23	24		50-54男⼦	3		
28	4003	永⽥ 務	40	男	新潟県	1:23:17	0:29:27	58	0:02:39	0:33:02	26	0:18:09	4	25		40-44男⼦	5		
29	2007	中条 晃成	20	男	学連	1:23:24	0:28:02	47	0:01:07	0:33:56	39	0:20:19	24	26		20-24男⼦	5		
30	5501	井上 聡史	55	男	三重県	1:23:29	0:25:17	14	0:02:16	0:32:38	18	0:23:18	69	27		55-59男⼦	2		
31	2014	柳川 太郎	24	男	愛知県	1:23:54	0:24:41	11	0:02:11	0:34:16	46	0:22:46	59	28		20-24男⼦	6		
32	5011	⼭元 正樹	52	男	静岡県	1:24:13	0:27:17	34	0:01:10	0:32:30	17	0:23:16	68	29		50-54男⼦	4		
33	4525	林 英樹	49	男	京都府	1:24:14	0:27:31	43	0:01:22	0:33:59	40	0:21:22	39	30		45-49男⼦	4		
34	5512	市川 仁史	57	男	愛知県	1:24:46	0:27:05	29	0:02:02	0:34:43	53	0:20:56	34	31		55-59男⼦	3		
35	3007	稲葉 佑典	32	男	愛知県	1:24:58	0:27:24	38	0:01:18	0:35:42	68	0:20:34	28	32		30-34男⼦	1		
36	503	松本 華奈	51	⼥	島根県	1:25:01	0:27:01	27	0:01:10	0:34:19	47	0:22:31	54		4	50-54⼥⼦	1		
37	6004	河崎 ⾏成	60	男	三重県	1:25:12	0:29:00	56	0:01:40	0:31:51	10	0:22:41	58	33		60-64男⼦	2		
38	5030	柴⽥ 俊	54	男	岐⾩県	1:25:23	0:27:03	28	0:02:23	0:33:39	34	0:22:18	49	34		50-54男⼦	5	岐⾩県男⼦	4
39	2503	御⼦柴 恭介	26	男	⻑野県	1:25:47	0:30:34	67	0:01:03	0:34:47	54	0:19:23	11	35		25-29男⼦	3		
40	4004	⻫藤 剛史	40	男	愛知県	1:26:11	0:31:40	86	0:01:05	0:33:15	31	0:20:11	21	36		40-44男⼦	6		
41	4021	村上 貴彦	44	男	愛知県	1:26:36	0:25:07	13	0:02:23	0:36:27	84	0:22:39	56	37		40-44男⼦	7		
42	4504	斎藤 渉	45	男	⻑野県	1:26:53	0:26:47	24	0:01:49	0:33:49	37	0:24:28	91	38		45-49男⼦	5		
43	181	林⽥ ⻘空	19	⼥	学連	1:27:12	0:25:37	18	0:00:49	0:35:24	61	0:25:22	110		5	18-19⼥⼦	1		
44	1802	加藤 仙	19	男	学連	1:27:40	0:28:31	53	0:02:06	0:34:27	49	0:22:36	55	39		18-19男⼦	1		
45	5017	平⼭ 順⼀	52	男	⼤阪府	1:27:41	0:30:36	68	0:01:54	0:35:37	67	0:19:34	14	40		50-54男⼦	6		
46	4519	成⽥ 延久	48	男	愛知県	1:27:44	0:29:19	57	0:01:36	0:34:00	42	0:22:49	60	41		45-49男⼦	6		
47	1801	本間 幹⼈	18	男	学連	1:27:45	0:28:04	48	0:01:22	0:37:07	96	0:21:12	36	42		18-19男⼦	2		
48	6505	寺⽊ 忠利	66	男	愛知県	1:28:06	0:27:54	46	0:02:18	0:34:24	48	0:23:30	73	43		65-69男⼦	1		
49	4016	⼭陰 篤史	42	男	⼤阪府	1:28:17	0:27:21	36	0:01:00	0:34:30	52	0:25:26	111	44		40-44男⼦	8		
50	204	⻑藤 宏美	24	⼥	⼤阪府	1:28:33	0:24:41	10	0:00:57	0:39:44	145	0:23:11	65		6	20-24⼥⼦	1		
51	457	新⾕ 望恵	48	⼥	福井県	1:28:45	0:28:23	51	0:01:02	0:36:08	76	0:23:12	67		7	45-49⼥⼦	1		
52	3516	井端 啓輔	38	男	岐⾩県	1:28:58	0:31:20	82	0:02:03	0:34:53	55	0:20:42	29	45		35-39男⼦	4	岐⾩県男⼦	5
53	4503	堀⽥ 和剛	45	男	愛知県	1:29:05	0:27:13	32	0:01:51	0:36:24	83	0:23:37	78	46		45-49男⼦	7		
54	2003	藤邉 ⼼海	20	男	学連	1:29:18	0:29:33	61	0:02:37	0:37:14	98	0:19:54	18	47		20-24男⼦	7		
55	3512	菅沼 智也	37	男	静岡県	1:29:28	0:31:50	91	0:02:06	0:35:24	62	0:20:08	20	48		35-39男⼦	5		
56	4510	⽵村 浩和	46	男	兵庫県	1:30:03	0:33:09	106	0:01:39	0:33:01	25	0:22:14	48	49		45-49男⼦	8		
57	3011	吉本 遼	34	男	愛知県	1:30:21	0:27:18	35	0:02:31	0:34:00	41	0:26:32	130	50		30-34男⼦	2		
58	4522	井⼿ 伸⼀	48	男	⼤阪府	1:30:22	0:30:43	70	0:01:47	0:34:27	51	0:23:25	71	51		45-49男⼦	9		
59	4013	後藤 賢⼀	42	男	愛知県	1:30:28	0:25:55	21	0:02:42	0:37:13	97	0:24:38	94	52		40-44男⼦	9		
60	2504	上野 耀平	26	男	愛知県	1:30:32	0:29:32	60	0:02:07	0:36:22	81	0:22:31	53	53		25-29男⼦	4		
61	3003	松本 康弘	31	男	愛知県	1:30:45	0:25:22	15	0:01:45	0:37:01	93	0:26:37	134	54		30-34男⼦	3		
62	5007	中村 拓稔	51	男	愛知県	1:30:58	0:33:06	105	0:01:46	0:33:06	27	0:23:00	61	55		50-54男⼦	7		
63	5026	平野 博明	54	男	三重県	1:31:02	0:32:09	95	0:01:18	0:35:10	56	0:22:25	51	56		50-54男⼦	8		
64	4526	増澤 剛之	49	男	愛知県	1:31:21	0:31:46	89	0:02:31	0:33:53	38	0:23:11	66	57		45-49男⼦	10		
65	5510	藤原 成祥	57	男	愛知県	1:32:08	0:34:16	121	0:01:56	0:33:44	36	0:22:12	47	58		55-59男⼦	4		
66	6009	⼭⽥ 義仁	62	男	愛知県	1:32:16	0:27:30	42	0:02:04	0:37:48	115	0:24:54	100	59		60-64男⼦	3		
67	5503	眞⼸ 勝志	55	男	⼤阪府	1:32:22	0:31:35	85	0:01:57	0:36:21	80	0:22:29	52	60		55-59男⼦	5		
68	251	早川 優花	28	⼥	三重県	1:32:22	0:31:02	72	0:01:48	0:36:53	91	0:22:39	57		8	25-29⼥⼦	1		
69	501	北吉 舞	50	⼥	奈良県	1:32:36	0:27:33	45	0:01:20	0:39:09	135	0:24:34	92		9	50-54⼥⼦	2		
70	455	鎌⽥ 良⼦	46	⼥	⼤阪府	1:32:59	0:31:16	80	0:02:34	0:35:18	57	0:23:51	81		10	45-49⼥⼦	2		
71	4520	⽵下 直宏	48	男	静岡県	1:33:22	0:30:40	69	0:01:51	0:37:15	99	0:23:36	77	61		45-49男⼦	11		
72	6012	宮本 泰弘	63	男	千葉県	1:33:36	0:30:13	65	0:02:32	0:35:21	60	0:25:30	114	62		60-64男⼦	4		
73	5004	丸岡 正和	50	男	⼤阪府	1:33:39	0:35:03	129	0:01:18	0:32:58	23	0:24:20	87	63		50-54男⼦	9		
74	2501	井野 寛基	25	男	愛知県	1:33:50	0:26:00	22	0:02:26	0:39:11	136	0:26:13	124	64		25-29男⼦	5		
75	1803	林 愛琉	19	男	学連	1:33:54	0:31:52	92	0:04:06	0:36:42	88	0:21:14	38	65		18-19男⼦	3		
76	4002	吉⽥ 悠太	40	男	岐⾩県	1:34:18	0:30:33	66	0:01:31	0:37:35	109	0:24:39	95	66		40-44男⼦	10	岐⾩県男⼦	6
77	5008	神村 昌克	51	男	愛知県	1:34:29	0:31:59	93	0:02:41	0:36:43	89	0:23:06	63	67		50-54男⼦	10		
78	2005	福岡 功整	20	男	学連	1:34:33	0:33:22	110	0:02:39	0:37:39	111	0:20:53	33	68		20-24男⼦	8		
79	202	阿部 朋加	22	⼥	新潟県	1:34:37	0:29:32	59	0:01:38	0:35:45	70	0:27:42	149		11	20-24⼥⼦	2		
80	5525	松⽥ 庄平	59	男	愛知県	1:35:01	0:31:13	78	0:02:38	0:36:59	92	0:24:11	85	69		55-59男⼦	6		
81	302	安藤 智実	33	⼥	愛知県	1:35:03	0:33:55	116	0:01:58	0:36:02	74	0:23:08	64		12	30-34⼥⼦	1		
82	6015	柘植 孝之	64	男	愛知県	1:35:18	0:33:17	109	0:01:59	0:35:18	58	0:24:44	96	70		60-64男⼦	5		
83	5527	古⽥ 幸⽣	59	男	岐⾩県	1:35:28	0:35:19	132	0:02:23	0:34:14	44	0:23:32	75	71		55-59男⼦	7	岐⾩県男⼦	7
84	5517	秋⽥ 泰伸	57	男	岐⾩県	1:35:30	0:32:09	94	0:02:29	0:37:23	103	0:23:29	72	72		55-59男⼦	8	岐⾩県男⼦	8
85	3507	⽥中 ⼤史	36	男	愛知県	1:35:48	0:34:59	127	0:02:48	0:34:03	43	0:23:58	83	73		35-39男⼦	6		
86	6501	三⽊ 康彰	65	男	⼤阪府	1:36:00	0:33:34	112	0:02:03	0:35:59	72	0:24:24	89	74		65-69男⼦	2		
87	452	⼭下 宏美	46	⼥	三重県	1:36:10	0:32:45	102	0:01:30	0:37:06	95	0:24:49	98		13	45-49⼥⼦	3		
88	6507	平岡 司郎	67	男	岐⾩県	1:36:19	0:31:32	83	0:01:51	0:38:19	122	0:24:37	93	75		65-69男⼦	3	岐⾩県男⼦	9
89	4527	北村 友	49	男	⼤阪府	1:36:26	0:33:01	104	0:02:23	0:35:19	59	0:25:43	118	76		45-49男⼦	12		
90	3510	⻄⼭ 拓弥	37	男	愛知県	1:36:28	0:33:55	117	0:01:36	0:36:30	85	0:24:27	90	77		35-39男⼦	7		
91	5010	細渓 拓男	51	男	京都府	1:36:39	0:31:48	90	0:01:15	0:35:31	66	0:28:05	155	78		50-54男⼦	11		
92	6005	林 博樹	60	男	愛知県	1:36:42	0:31:15	79	0:02:17	0:37:55	116	0:25:15	108	79		60-64男⼦	6		
93	5012	川村 ⿓太郎	52	男	愛知県	1:36:47	0:35:54	141	0:01:42	0:35:29	64	0:23:42	80	80		50-54男⼦	12		
94	6506	江⼝ 良夫	67	男	神奈川県	1:37:05	0:31:11	77	0:02:43	0:35:27	63	0:27:44	151	81		65-69男⼦	4		
95	5523	⼭⼝ 佳克	59	男	愛知県	1:37:38	0:29:45	63	0:02:47	0:41:25	161	0:23:41	79	82		55-59男⼦	9		
96	3005	神⾕ 拓図	31	男	岐⾩県	1:37:44	0:29:46	64	0:03:14	0:38:44	129	0:26:00	122	83		30-34男⼦	4	岐⾩県男⼦	10
97	4005	川森 康裕	40	男	三重県	1:37:58	0:28:40	54	0:01:03	0:42:05	168	0:26:10	123	84		40-44男⼦	11		
98	4020	⼤⼭ 陽⼀郎	44	男	三重県	1:37:58	0:34:23	122	0:02:30	0:37:34	108	0:23:31	74	85		40-44男⼦	12		
99	3008	尾⾥ 孔規	32	男	愛知県	1:38:17	0:36:47	158	0:02:12	0:37:47	113	0:21:31	41	86		30-34男⼦	5		
100	5520	稲⼭ 勝義	58	男	愛知県	1:38:18	0:32:12	96	0:02:41	0:38:27	124	0:24:58	102	87		55-59男⼦	10		
101	2009	新川 友也	21	男	学連	1:38:22	0:24:05	8	0:01:00	0:38:58	132	0:34:19	188	88		20-24男⼦	9		
102	5511	⽊佐貫 博光	57	男	三重県	1:38:32	0:36:47	157	0:02:51	0:37:18	100	0:21:36	43	89		55-59男⼦	11		
103	7003	鈴⽊ 教之	72	男	愛知県	1:38:36	0:34:14	120	0:03:31	0:35:49	71	0:25:02	104	90		70-74男⼦	1		
104	4019	宮崎 潤平	43	男	愛知県	1:38:45	0:28:24	52	0:02:23	0:38:31	127	0:29:27	171	91		40-44男⼦	13		
105	5009	⻄⼝ 康⼆	51	男	愛知県	1:38:56	0:34:43	125	0:03:26	0:37:29	105	0:23:18	70	92		50-54男⼦	13		
106	4007	可知井 英敬	41	男	岐⾩県	1:39:20	0:37:45	168	0:03:29	0:36:34	86	0:21:32	42	93		40-44男⼦	14	岐⾩県男⼦	11
107	458	⼭⼝ 尚美	49	⼥	福井県	1:39:59	0:35:57	142	0:02:12	0:36:00	73	0:25:50	121		14	45-49⼥⼦	4		
108	4518	辻花 誠	48	男	⼤阪府	1:40:17	0:32:41	99	0:02:41	0:38:17	120	0:26:38	135	94		45-49男⼦	13		
109	3504	森本 ⿓⼀	36	男	愛知県	1:40:23	0:36:08	145	0:02:53	0:39:12	137	0:22:10	46	95		35-39男⼦	8		
110	6502	千原 寿⼀	66	男	⼤阪府	1:40:35	0:35:46	137	0:01:48	0:37:44	112	0:25:17	109	96		65-69男⼦	5		
111	5001	佐藤 英雄	50	男	愛知県	1:40:43	0:36:24	151	0:02:37	0:36:42	87	0:25:00	103	97		50-54男⼦	14		
112	5018	⾼橋 栄司	53	男	滋賀県	1:40:48	0:37:04	165	0:02:18	0:35:45	69	0:25:41	117	98		50-54男⼦	15		
113	3511	橋本 将功	37	男	愛知県	1:40:50	0:35:13	130	0:01:58	0:37:22	101	0:26:17	125	99		35-39男⼦	9		
114	3518	三浦 亮弥	39	男	愛知県	1:40:51	0:31:00	71	0:02:49	0:41:26	162	0:25:36	115	100		35-39男⼦	10		
115	5023	⾼橋 利造	54	男	愛知県	1:41:01	0:37:45	169	0:01:55	0:37:25	104	0:23:56	82	101		50-54男⼦	16		
116	5518	⼭⼝ 智	58	男	⽯川県	1:41:14	0:32:52	103	0:02:56	0:35:30	65	0:29:56	174	102		55-59男⼦	12		
117	2506	藤井 洸希	27	男	東京都	1:41:25	0:35:18	131	0:02:40	0:40:25	154	0:23:02	62	103		25-29男⼦	6		
118	7002	川崎 潔	71	男	⼤阪府	1:41:26	0:37:00	163	0:01:51	0:37:30	106	0:25:05	105	104		70-74男⼦	2		
119	4015	波多野 良彦	42	男	愛知県	1:41:26	0:38:13	172	0:02:37	0:39:44	144	0:20:52	32	105		40-44男⼦	15		
120	4011	東 ⼤作	42	男	愛知県	1:41:35	0:35:02	128	0:02:47	0:36:44	90	0:27:02	141	106		40-44男⼦	16		
121	6003	松尾 隆浩	60	男	岐⾩県	1:41:43	0:33:09	107	0:02:18	0:39:08	134	0:27:08	143	107		60-64男⼦	7	岐⾩県男⼦	12
122	5507	服部 孝司	55	男	愛知県	1:42:12	0:36:43	156	0:02:16	0:38:29	126	0:24:44	97	108		55-59男⼦	13		
123	401	松永 有⾹⼦	41	⼥	岐⾩県	1:42:15	0:33:46	115	0:02:03	0:36:18	79	0:30:08	177		15	40-44⼥⼦	1	岐⾩県⼥⼦	1
124	3509	松下 知弘	36	男	愛知県	1:42:20	0:36:50	160	0:02:18	0:37:33	107	0:25:39	116	109		35-39男⼦	11		
125	6006	吉村 貴由	61	男	東京都	1:42:31	0:36:01	143	0:02:22	0:36:23	82	0:27:45	152	110		60-64男⼦	8		
126	5506	⽶⽥ 哲康	55	男	三重県	1:42:36	0:31:05	75	0:02:35	0:39:30	141	0:29:26	170	111		55-59男⼦	14		
127	553	中⼭ いずみ	57	⼥	岐⾩県	1:42:38	0:33:42	113	0:02:24	0:42:58	180	0:23:34	76		16	55-59⼥⼦	1	岐⾩県⼥⼦	2
128	601	岡⽥ 裕美	61	⼥	福井県	1:42:40	0:34:09	119	0:02:25	0:38:55	131	0:27:11	144		17	60-64⼥⼦	1		
129	451	⻄村 千鶴	45	⼥	愛知県	1:42:45	0:31:33	84	0:02:45	0:41:50	165	0:26:37	133		18	45-49⼥⼦	5		
130	5519	⼭川 真弘	58	男	愛知県	1:42:52	0:36:20	149	0:02:45	0:39:41	143	0:24:06	84	112		55-59男⼦	15		
131	7502	⽯井 輝雄	75	男	岐⾩県	1:43:15	0:34:37	124	0:01:50	0:39:05	133	0:27:43	150	113		75-79男⼦	1	岐⾩県男⼦	13
132	5028	伊藤 泰寿	54	男	東京都	1:43:19	0:31:04	74	0:03:54	0:39:46	146	0:28:35	161	114		50-54男⼦	17		
133	5019	家⽥ 啓史	53	男	⼤阪府	1:43:39	0:36:01	144	0:01:50	0:39:13	138	0:26:35	132	115		50-54男⼦	18		
134	502	廣瀬 真美	50	⼥	兵庫県	1:43:47	0:25:33	17	0:04:00	0:47:44	193	0:26:30	129		19	50-54⼥⼦	3		
135	6010	森 信吾	62	男	愛知県	1:44:04	0:36:36	155	0:01:28	0:37:35	110	0:28:25	159	116		60-64男⼦	9		
136	5513	鈴⽊ 由信	57	男	岐⾩県	1:44:09	0:37:03	164	0:03:14	0:36:14	77	0:27:38	147	117		55-59男⼦	16	岐⾩県男⼦	14
137	504	川⾕ 陽⼦	54	⼥	愛知県	1:44:10	0:36:14	146	0:02:47	0:39:20	140	0:25:49	120		20	50-54⼥⼦	4		
138	5522	中 健⼀	59	男	富⼭県	1:44:19	0:33:31	111	0:04:43	0:39:41	142	0:26:24	126	118		55-59男⼦	17		
139	4516	吉⽥ 涼⼆	47	男	三重県	1:44:31	0:38:03	170	0:01:12	0:38:09	119	0:27:07	142	119		45-49男⼦	14		
140	454	佐野 薫	46	⼥	愛知県	1:44:39	0:36:26	152	0:01:56	0:39:52	147	0:26:25	127		21	45-49⼥⼦	6		
141	4508	中⾕ 仁	46	男	和歌⼭県	1:44:43	0:38:23	175	0:03:40	0:38:17	121	0:24:23	88	120		45-49男⼦	15		
142	2010	浅岡 ⼤輝	21	男	愛知県	1:45:02	0:37:30	167	0:02:21	0:40:03	148	0:25:08	107	121		20-24男⼦	10		
143	3505	真清 ⾼志	36	男	愛知県	1:45:06	0:35:30	134	0:03:02	0:40:07	151	0:26:27	128	122		35-39男⼦	12		
144	6001	五藤 伸賢	60	男	愛知県	1:45:09	0:36:35	154	0:02:52	0:40:36	155	0:25:06	106	123		60-64男⼦	10		
145	4023	⻘⽊ 伸也	44	男	兵庫県	1:45:57	0:32:34	98	0:03:43	0:41:08	158	0:28:32	160	124		40-44男⼦	17		
146	4018	細川 佑⼀郎	43	男	愛知県	1:46:03	0:36:58	162	0:03:43	0:38:38	128	0:26:44	137	125		40-44男⼦	18		
147	5505	瀧 康太郎	55	男	神奈川県	1:46:25	0:43:46	196	0:02:06	0:36:16	78	0:24:17	86	126		55-59男⼦	18		
148	6509	中川 敏彦	68	男	岐⾩県	1:46:47	0:36:20	150	0:02:39	0:40:56	157	0:26:52	139	127		65-69男⼦	6	岐⾩県男⼦	15
149	2001	蛯⾕ 碧	20	男	愛知県	1:46:54	0:41:44	188	0:02:18	0:37:23	102	0:25:29	113	128		20-24男⼦	11		
150	5514	鵜飼 健太郎	57	男	愛知県	1:46:56	0:32:45	101	0:03:21	0:37:03	94	0:33:47	186	129		55-59男⼦	19		
151	4524	柴⼭ 政広	49	男	愛知県	1:46:58	0:36:34	153	0:02:44	0:41:54	166	0:25:46	119	130		45-49男⼦	16		
152	5003	蒲原 秀⾼	50	男	愛知県	1:47:00	0:39:52	179	0:02:29	0:37:47	114	0:26:52	140	131		50-54男⼦	19		
153	7001	藤村 吉男	70	男	東京都	1:47:15	0:38:39	176	0:02:09	0:38:06	118	0:28:21	157	132		70-74男⼦	3		
154	301	⽊村 紗希	32	⼥	⼤阪府	1:47:34	0:36:18	148	0:02:47	0:41:45	164	0:26:44	136		22	30-34⼥⼦	2		
155	5024	服部 勝彦	54	男	愛知県	1:48:12	0:33:17	108	0:04:26	0:42:13	171	0:28:16	156	133		50-54男⼦	20		
156	4513	⽯川 浩介	47	男	愛知県	1:48:27	0:32:18	97	0:04:59	0:42:16	172	0:28:54	165	134		45-49男⼦	17		
157	5025	佐藤 伸⼀	54	男	愛知県	1:48:43	0:31:10	76	0:01:34	0:40:50	156	0:35:09	192	135		50-54男⼦	21		
158	6510	伊藤 芳夫	69	男	愛知県	1:48:52	0:36:18	147	0:02:50	0:42:04	167	0:27:40	148	136		65-69男⼦	7		
159	5006	川本 貴宏	51	男	岐⾩県	1:49:42	0:40:48	181	0:03:00	0:34:15	45	0:31:39	179	137		50-54男⼦	22	岐⾩県男⼦	16
160	4001	⼩澤 悠	40	男	愛知県	1:50:00	0:35:21	133	0:04:25	0:40:06	150	0:30:08	176	138		40-44男⼦	19		
161	6011	守護 勇⼀	63	男	三重県	1:50:14	0:34:32	123	0:03:24	0:43:04	181	0:29:14	168	139		60-64男⼦	11		
162	4512	深⾕ 博信	47	男	愛知県	1:50:32	0:38:06	171	0:03:22	0:40:08	152	0:28:56	166	140		45-49男⼦	18		
163	4501	⼩川 啓	45	男	滋賀県	1:50:54	0:36:53	161	0:03:27	0:41:14	159	0:29:20	169	141		45-49男⼦	19		
164	6503	⼀⾒ 正尚	66	男	三重県	1:51:29	0:33:44	114	0:04:18	0:46:01	191	0:27:26	145	142		65-69男⼦	8		
165	3002	後藤 卓哉	30	男	愛知県	1:51:52	0:39:06	177	0:05:35	0:38:22	123	0:28:49	163	143		30-34男⼦	6		
166	5014	⽻野 篤範	52	男	⼤阪府	1:51:54	0:35:36	135	0:04:38	0:39:16	139	0:32:24	183	144		50-54男⼦	23		
167	3006	清⽔ 夏輝	31	男	愛知県	1:52:10	0:41:23	186	0:04:26	0:37:58	117	0:28:23	158	145		30-34男⼦	7		
168	551	⾼⽥ ⾥美	55	⼥	福井県	1:52:14	0:44:02	197	0:03:10	0:38:29	125	0:26:33	131		23	55-59⼥⼦	2		
169	3009	細井 純太	34	男	愛知県	1:52:20	0:43:31	195	0:03:52	0:42:54	177	0:22:03	45	146		30-34男⼦	8		
170	4502	北村 卓也	45	男	岐⾩県	1:53:00	0:37:16	166	0:03:36	0:43:25	183	0:28:43	162	147		45-49男⼦	20	岐⾩県男⼦	17
171	5508	⽵下 祥光	56	男	愛知県	1:53:06	0:35:39	136	0:03:14	0:42:13	170	0:32:00	182	148		55-59男⼦	20		
172	8001	⼤島 強	81	男	愛知県	1:53:18	0:31:44	87	0:04:00	0:47:59	195	0:29:35	172	149		80-84男⼦	1		
173	4528	⽥畑 圭⼀	49	男	愛知県	1:54:13	0:31:19	81	0:03:29	0:42:11	169	0:37:14	193	150		45-49男⼦	21		
174	7501	⽥中 正則	75	男	三重県	1:54:19	0:41:19	184	0:04:44	0:43:24	182	0:24:52	99	151		75-79男⼦	2		
175	5022	内⽥ 忠夫	54	男	三重県	1:54:45	0:39:43	178	0:02:48	0:42:24	175	0:29:50	173	152		50-54男⼦	24		
176	3517	内藤 豊	39	男	愛知県	1:54:47	0:42:13	192	0:03:17	0:44:20	185	0:24:57	101	153		35-39男⼦	13		
177	3520	上⼭ 和也	39	男	京都府	1:55:28	0:41:48	189	0:05:15	0:42:56	178	0:25:29	112	154		35-39男⼦	14		
178	453	乾井 貴⼦	46	⼥	奈良県	1:55:56	0:41:03	183	0:03:12	0:43:51	184	0:27:50	153		24	45-49⼥⼦	7		
179	6508	⽥浦 健朗	68	男	京都府	1:56:24	0:41:22	185	0:02:59	0:42:58	179	0:29:05	167	155		65-69男⼦	9		
180	3001	笠原 ⼤史	30	男	岐⾩県	1:56:44	0:36:48	159	0:03:23	0:42:21	174	0:34:12	187	156		30-34男⼦	9	岐⾩県男⼦	18
181	5521	宇⽥津 正樹	58	男	熊本県	1:57:20	0:44:26	199	0:04:41	0:41:24	160	0:26:49	138	157		55-59男⼦	21		
182	6008	佐藤 眞	62	男	岐⾩県	1:57:31	0:32:45	100	0:05:23	0:45:44	189	0:33:39	185	158		60-64男⼦	12	岐⾩県男⼦	19
183	4012	⽴松 俊洋	42	男	愛知県	1:58:16	0:34:01	118	0:03:47	0:38:49	130	0:41:39	198	159		40-44男⼦	20		
184	4022	川崎 圭太	44	男	愛知県	1:58:25	0:34:51	126	0:07:09	0:44:40	187	0:31:45	180	160		40-44男⼦	21		
