順位	部⾨	№	⽒名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN	
59	49歳以下	223	野元 靖史	ﾉﾓﾄ ﾔｽｼ	2:47:48.582	59	0:31:59.924	71	0:05:40.425	1:14:58.283	57	0:01:53.956	0:53:15.994	70
60	49歳以下	208	⻄村 健司	ﾆｼﾑﾗ ｹﾝｼﾞ	2:48:02.282	60	0:33:09.923	88	0:05:20.704	1:15:34.431	62	0:02:55.517	0:51:01.707	53
61	49歳以下	176	中村 隆哲	ﾅｶﾑﾗ ﾀｶｱｷ	2:48:08.547	61	0:33:06.024	86	0:06:37.742	1:19:21.033	107	0:01:34.759	0:47:28.989	26
62	49歳以下	216	津曲 宏昭	ﾂﾏｶﾞﾘ ﾋﾛｱｷ	2:48:38.355	62	0:34:25.354	103	0:05:27.967	1:17:14.011	88	0:01:27.117	0:50:03.906	47
63	49歳以下	129	重久 友希	ｼｹﾞﾋｻ ﾕｳｷ	2:49:08.737	63	0:34:07.767	98	0:04:49.275	1:22:14.128	132	0:01:28.090	0:46:29.477	20
64	49歳以下	155	⽣⽥ 正⼰	ｲｸﾀ ﾏｻﾐ	2:49:12.382	64	0:22:39.145	1	0:04:27.953	1:14:02.057	41	0:02:50.652	1:05:12.575	157
65	60歳以上	337	浦⽥ 誠	ｳﾗﾀ ﾏｺﾄ	2:50:00.255	65	0:30:14.600	47	0:05:57.279	1:14:06.083	42	0:02:43.270	0:56:59.023	102
66	50歳代	314	岩⽥ 康志	ｲﾜﾀ ﾔｽｼ	2:50:03.079	66	0:35:40.451	116	0:05:05.051	1:12:31.099	30	0:02:17.645	0:54:28.833	81
67	50歳代	278	内之倉 俊朗	ｳﾁﾉｸﾗ ｼｭﾝﾛｳ	2:50:06.112	67	0:32:00.429	72	0:04:13.802	1:13:20.871	38	0:01:54.989	0:58:36.021	117
68	49歳以下	189	⽊島 啓介	ｷｼﾞﾏ ｹｲｽｹ	2:50:25.025	68	0:28:57.491	31	0:04:32.718	1:24:13.741	146	0:01:31.511	0:51:09.564	55
69	49歳以下	211	⽻島 功司	ﾊｼﾏ ｺｳｼﾞ	2:50:38.537	69	0:33:09.431	87	0:05:51.066	1:14:43.665	51	0:02:13.663	0:54:40.712	84
70	49歳以下	146	寺⽥ 翔吾	ﾃﾗﾀﾞ ｼｮｳｺﾞ	2:50:56.929	70	0:32:04.751	73	0:03:50.748	1:16:41.606	77	0:01:25.594	0:56:54.230	101
71	50歳代	259	⼩林 章浩	ｺﾊﾞﾔｼ ｱｷﾋﾛ	2:51:06.721	71	0:30:39.279	53	0:05:33.565	1:16:50.632	81	0:02:04.455	0:55:58.790	97
72	50歳代	313	佐藤 博之	ｻﾄｳ ﾋﾛﾕｷ	2:51:18.601	72	0:30:56.736	55	0:05:55.285	1:21:15.696	125	0:02:39.514	0:50:31.370	49
73	50歳代	294	⻄⽥ 英司	ﾆｼﾀﾞ ｴｲｼﾞ	2:51:27.312	73	0:32:37.715	78	0:05:22.799	1:12:12.468	26	0:02:25.098	0:58:49.232	119
74	50歳代	285	福家 健作	ﾌｸｲｴ ｹﾝｻｸ	2:51:34.818	74	0:31:45.072	68	0:05:12.230	1:19:43.639	113	0:02:22.819	0:52:31.058	64
75	49歳以下	166	榊原 ⼤輔	ｻｶｷﾊﾞﾗ ﾀﾞｲｽｹ	2:51:40.804	75	0:37:05.985	127	0:03:14.256	1:16:21.719	72	0:01:33.168	0:53:25.676	71
76	50歳代	235	綿貫 敦⽂	ﾜﾀﾇｷ ｱﾂﾌﾐ	2:51:45.450	76	0:32:37.045	77	0:05:41.884	1:21:16.885	126	0:02:43.434	0:49:26.202	42
77	49歳以下	169	緒⽅ 健太	ｵｶﾞﾀ ｹﾝﾀ	2:51:48.372	77	0:34:42.060	105	0:05:52.444	1:12:53.091	33	0:02:58.983	0:55:21.794	88
78	49歳以下	207	加藤 修⼀郎	ｶﾄｳ ｼｭｳｲﾁﾛｳ	2:51:49.891	78	0:29:21.511	37	0:05:10.654	1:14:55.417	56	0:03:42.257	0:58:40.052	118
79	50歳代	265	宮崎 ⼀朗	ﾐﾔｻﾞｷ ｲﾁﾛｳ	2:52:20.444	79	0:28:46.579	27	0:06:25.265	1:17:39.745	92	0:02:12.578	0:57:16.277	108
80	50歳代	239	廣⾕ 彰⼀	ﾋﾛﾀﾆ ｼｮｳｲﾁ	2:52:26.011	80	0:28:52.772	30	0:05:53.664	1:15:06.237	58	0:02:08.887	1:00:24.451	127
81	49歳以下	140	北嶋 充朗	ｷﾀｼﾞﾏ ｱﾂﾛｳ	2:52:46.236	81	0:32:57.238	82	0:04:49.917	1:15:52.389	66	0:01:05.872	0:58:00.820	112
82	50歳代	298	⻑⾕部 洋	ﾊｾﾍﾞ ﾋﾛｼ	2:52:57.556	82	0:34:48.697	109	0:08:45.593	1:18:25.570	99	0:02:41.715	0:48:15.981	32
83	49歳以下	184	岡城 良太	ｵｶｼﾛ ﾘｮｳﾀ	2:53:01.681	83	0:33:01.272	83	0:06:17.123	1:16:41.070	76	0:01:32.535	0:55:29.681	89
84	49歳以下	183	末松 慶⼀郎	ｽｴﾏﾂ ｹｲｲﾁﾛｳ	2:53:04.809	84	0:31:14.073	61	0:04:49.808	1:20:33.368	118	0:01:36.580	0:54:50.980	85
85	50歳代	295	⿊⽊ 統	ｸﾛｷﾞ ｵｻﾑ	2:53:29.563	85	0:33:03.243	85	0:08:08.426	1:15:58.820	67	0:03:08.749	0:53:10.325	69
86	50歳代	244	鶴⽥ 主税	ﾂﾙﾀ ﾁｶﾗ	2:53:32.380	86	0:39:01.509	145	0:05:18.252	1:17:58.789	94	0:02:23.540	0:48:50.290	38
87	50歳代	310	三井 啓史	ﾐﾂｲ ﾋﾛｼ	2:53:47.220	87	0:36:41.619	121	0:05:34.722	1:17:12.143	86	0:01:39.777	0:52:38.959	65
88	60歳以上	338	⻑⾕川 順三	ﾊｾｶﾞﾜ ｼﾞｭﾝｿﾞｳ	2:54:22.906	88	0:28:29.749	24	0:04:22.778	1:14:38.972	48	0:01:31.270	1:05:20.137	159
89	50歳代	304	⼭崎 英樹	ﾔﾏｻｷ ﾋﾃﾞｷ	2:54:28.441	89	0:39:26.875	149	0:07:20.371	1:17:00.722	84	0:02:18.980	0:48:21.493	34
90	50歳代	281	内藤 秀治郎	ﾅｲﾄｳ ﾋﾃﾞｼﾞﾛｳ	2:54:37.582	90	0:37:40.434	132	0:05:59.274	1:18:24.816	98	0:02:34.459	0:49:58.599	46
91	49歳以下	162	⾅本 隼也	ｳｽﾓﾄ ﾄｼﾔ	2:54:49.123	91	0:24:11.567	6	0:04:20.921	1:24:01.058	144	0:01:50.984	1:00:24.593	128
92	49歳以下	217	上⽥ 集宣	ｳｴﾀﾞ ﾀﾒﾉﾌﾞ	2:55:07.763	92	0:29:17.351	35	0:06:35.253	1:19:29.667	108	0:02:33.645	0:57:11.847	106
93	49歳以下	171	⿊⽥ 福太郎	ｸﾛﾀﾞ ﾌｸﾀﾛｳ	2:55:11.703	93	0:34:18.223	101	0:05:48.670	1:20:53.237	122	0:02:10.831	0:52:00.742	61
94	50歳代	284	渥美 修⼀郎	ｱﾂﾐ ｼｭｳｲﾁﾛｳ	2:55:14.283	94	0:33:13.663	89	0:04:53.797	1:17:30.454	90	0:02:00.830	0:57:35.539	110
95	50歳代	270	酒井 克幸	ｻｶｲ ｶﾂﾕｷ	2:55:53.947	95	0:36:51.739	125	0:06:19.385	1:14:50.081	53	0:02:12.815	0:55:39.927	94
96	50歳代	255	⼭⼝ 健司	ﾔﾏｸﾞﾁ ｹﾝｼﾞ	2:56:45.489	96	0:38:14.822	138	0:04:49.399	1:15:27.686	61	0:02:35.571	0:55:38.011	92
97	49歳以下	163	⼤塚 公栄	ｵｵﾂｶ ｺｳｴｲ	2:56:48.491	97	0:39:11.033	146	0:05:03.980	1:18:08.253	96	0:01:32.600	0:52:52.625	67
98	49歳以下	181	打越 ⼀幸	ｳﾁｺｼ ｶｽﾞﾕｷ	2:57:47.853	98	0:36:26.873	120	0:05:45.845	1:22:48.430	139	0:02:10.350	0:50:36.355	50
99	50歳代	269	舞⽥ 光穂	ﾏｲﾀ ﾐﾂﾎ	2:57:53.091	99	0:36:16.435	118	0:05:57.257	1:16:26.270	73	0:02:54.899	0:56:18.230	99
100	60歳以上	336	岡⽥ 慎⼆	ｵｶﾀﾞ ｼﾝｼﾞ	2:58:07.879	100	0:32:18.096	74	0:04:59.531	1:16:45.072	78	0:02:53.907	1:01:11.273	134
101	49歳以下	167	松崎 卓郎	ﾏﾂｻﾞｷ ﾀｸﾛｳ	2:59:02.251	101	0:38:31.012	141	0:05:39.430	1:16:59.370	83	0:02:12.947	0:55:39.492	93
102	50歳代	316	甲斐 積	ｶｲ ﾂﾓﾙ	2:59:43.357	102	0:31:26.426	67	0:06:14.589	1:18:00.678	95	0:02:18.285	1:01:43.379	138
103	50歳代	302	神村 正⼈	ｶﾐﾑﾗ ﾏｻﾄ	3:00:25.208	103	0:30:59.702	57	0:05:16.680	1:14:21.784	45	0:01:37.222	1:08:09.820	172
104	49歳以下	215	興梠 浩幸	ｺｳﾛｷ ﾋﾛﾕｷ	3:00:31.032	104	0:30:31.246	49	0:04:33.116	1:14:26.187	47	0:01:39.958	1:09:20.525	178
105	50歳代	231	⽑利 有孝	ﾓｳﾘ ｱﾘﾀｶ	3:00:33.957	105	0:32:50.058	80	0:08:15.178	1:23:59.723	143	0:03:18.641	0:52:10.357	62
106	49歳以下	177	岩崎 琢磨	ｲﾜｻｷ ﾀｸﾏ	3:01:25.248	106	0:33:51.224	95	0:05:11.903	1:22:35.488	137	0:01:37.091	0:58:09.542	115
107	50歳代	247	丸⼭ 琢真	ﾏﾙﾔﾏ ﾀｸﾏ	3:01:30.614	107	0:34:44.156	107	0:05:37.819	1:19:59.089	115	0:02:54.582	0:58:14.968	116
108	49歳以下	151	押川 博	ｵｼｶﾜ ﾋﾛｼ	3:01:36.297	108	0:37:34.070	131	0:06:18.851	1:26:05.022	167	0:02:21.591	0:49:16.763	40
109	49歳以下	192	井上 桂基	ｲﾉｳｴ ｹｲｷ	3:01:50.899	109	0:33:55.449	97	0:06:08.118	1:18:18.792	97	0:03:40.560	0:59:47.980	123
110	50歳代	273	秋⽉ 剛	ｱｷﾂﾞｷ ﾀｹｼ	3:01:52.914	110	0:37:47.396	134	0:07:24.570	1:16:21.710	71	0:03:10.140	0:57:09.098	104
111	60歳以上	332	⽥⼝ 義隆	ﾀｸﾞﾁ ﾖｼﾀｶ	3:03:07.959	111	0:34:15.141	100	0:06:14.092	1:18:29.072	101	0:03:17.360	1:00:52.294	130
112	49歳以下	175	伊藤 英嗣	ｲﾄｳ ﾋﾃﾞﾂｸﾞ	3:03:46.122	112	0:38:45.978	142	0:06:01.325	1:22:01.836	130	0:02:40.067	0:54:16.916	77
113	50歳代	267	櫛間 伴之	ｸｼﾏ ﾄﾓﾕｷ	3:03:56.916	113	0:37:17.923	129	0:07:31.814	1:16:58.587	82	0:02:24.602	0:59:43.990	122
114	60歳以上	350	今津 ⽂孝	ｲﾏﾂﾞ ﾌﾐﾀｶ	3:05:04.487 2	/1 154 ペ	0ー:3ジ1:45.570	69	0:05:47.918	1:18:26.128	100	0:02:27.490	1:06:37.381	168
115	50歳代	292	後藤 ⽞利	ｺﾞﾄｳ ｹﾞﾝﾘ	3:05:19.934	115	0:30:34.241	50	0:05:31.858	1:20:51.128	121	0:03:19.878	1:05:02.829	155
116	49歳以下	173	兒嶋 裕貴	ｺｼﾞﾏ ﾕｳｷ	3:05:31.732	116	0:30:56.920	56	0:05:57.456	1:20:41.052	120	0:03:05.278	1:04:51.026	153
117	50歳代	248	星野 正晶	ﾎｼﾉ ﾏｻｱｷ	3:05:32.481	117	0:30:35.151	51	0:11:21.467	1:23:51.676	142	0:02:29.553	0:57:14.634	107
118	49歳以下	125	⼾⾕ 真亜久	ﾄﾀﾆ ﾏｱｸ	3:06:39.828	118	0:36:03.890	117	0:06:24.618	1:19:52.596	114	0:02:19.159	1:01:59.565	139
119	50歳代	271	奥⾕ 幸司	ｵｸﾀﾆ ｺｳｼﾞ	3:06:56.749	119	0:37:13.400	128	0:05:28.168	1:15:48.805	64	0:02:19.258	1:06:07.118	164
120	49歳以下	160	中右 貴明	ﾅｶｳ ﾀｶｱｷ	3:07:13.920	120	0:35:07.544	111	0:06:01.345	1:16:33.520	74	0:02:44.981	1:06:46.530	169
121	49歳以下	214	福永 礼史	ﾌｸﾅｶﾞ ﾕｷﾋﾄ	3:07:42.228	121	0:37:47.363	133	0:06:15.402	1:25:19.085	163	0:02:19.261	0:56:01.117	98
122	49歳以下	139	横井 ⼀輝	ﾖｺｲ ｶｽﾞｷ	3:08:10.017	122	0:40:09.736	159	0:05:38.428	1:25:34.312	164	0:02:17.182	0:54:30.359	83
123	50歳代	303	奥 隆充	ｵｸ ﾀｶﾐﾂ	3:08:19.687	123	0:27:38.073	19	0:05:43.481	1:21:43.943	127	0:01:53.826	1:11:20.364	187
124	60歳以上	333	橋本 雅治	ﾊｼﾓﾄ ﾏｻﾊﾙ	3:08:41.658	124	0:39:43.280	154	0:08:35.331	1:16:39.266	75	0:02:49.715	1:00:54.066	131
125	50歳代	307	城崎 ⻯司	ｼﾞｮｳｻｷ ﾘｭｳｼﾞ	3:08:43.300	125	0:43:35.576	184	0:07:39.212	1:24:07.149	145	0:02:42.750	0:50:38.613	51
126	49歳以下	121	⼤野 達也	ｵｵﾉ ﾀﾂﾔ	3:09:29.276	126	SKIP			1:24:15.317	147	0:01:21.499	1:00:58.152	132
127	60歳以上	347	⽊内 勝明	ｷｳﾁ ｶﾂｱｷ	3:09:31.883	127	0:32:24.267	75	0:07:52.793	1:22:20.892	134	0:03:29.556	1:03:24.375	146
128	49歳以下	150	⼩⼭ 武⼠	ｺﾔﾏ ﾀｹｼ	3:09:36.893	128	0:41:33.868	169	0:08:51.897	1:21:47.615	129	0:03:03.529	0:54:19.984	79
129	60歳以上	345	⽊原 郁夫	ｷﾊﾗ ｲｸｵ	3:09:39.356	129	0:41:07.831	168	0:07:16.746	1:24:19.050	150	0:01:47.263	0:55:08.466	87
130	50歳代	249	⻑⾕川 洋	ﾊｾｶﾞﾜ ﾖｳ	3:10:38.109	130	0:32:29.750	76	0:06:37.766	1:26:03.034	166	0:02:23.109	1:03:04.450	144
131	49歳以下	168	荒島 康介	ｱﾗｼﾏ ｺｳｽｹ	3:10:55.515	131	0:42:29.395	177	0:06:30.682	1:16:12.778	70	0:02:18.562	1:03:24.098	145
132	49歳以下	218	松浦 秀次	ﾏﾂｳﾗ ｼｭｳｼﾞ	3:11:06.175	132	0:39:27.464	150	0:06:08.419	1:19:31.639	109	0:03:12.581	1:02:46.072	143
133	50歳代	263	清⽔ 祐治	ｼﾐｽﾞ ﾕｳｼﾞ	3:11:08.154	133	0:33:33.378	91	0:05:21.239	1:25:13.854	162	0:02:14.841	1:04:44.842	152
134	50歳代	246	井ﾉ上 陽⼀	ｲﾉｳｴ ﾖｳｲﾁ	3:11:19.440	134	0:40:25.820	161	0:06:15.225	1:17:12.571	87	0:02:00.725	1:05:25.099	160
135	50歳代	312	安⽥ 真也	ﾔｽﾀﾞ ｼﾝﾔ	3:11:20.590	135	0:35:30.145	115	0:08:31.915	1:24:37.335	155	0:02:25.035	1:00:16.160	126
136	49歳以下	210	⼤上 良介	ｵｵｳｴ ﾘｮｳｽｹ	3:11:45.147	136	0:41:05.140	167	0:07:49.493	1:18:42.834	103	0:03:01.698	1:01:05.982	133
137	50歳代	245	⾦井 ⼀⾺	ｶﾅｲ ｶｽﾞﾏ	3:11:45.378	137	0:42:50.962	179	0:06:56.913	1:21:46.961	128	0:02:01.284	0:58:09.258	114
138	49歳以下	170	鈴⽊ 啓央	ｽｽﾞｷ ﾋﾛｵ	3:11:47.839	138	0:40:49.332	164	0:10:17.128	1:26:24.304	168	0:02:21.980	0:51:55.095	60
