総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
66	660	石村 剛	38	男	愛知県	2:52:19	0:31:00	47	1:25:54	74	1:56:54	52	0:55:25	93		62		35-39歳	10
67	598	加藤 雅之	31	男	愛知県	2:52:19	0:33:54	77	1:30:15	131	2:04:09	97	0:48:10	49		63		30-34歳	10
68	532	佐藤 滉大	24	男	愛知県	2:52:31	0:41:03	250	1:27:05	91	2:08:08	133	0:44:23	23		64		20-24歳	4
69	789	勝浪 栄次	47	男	奈良県	2:52:33	0:32:35	60	1:25:55	75	1:58:30	58	0:54:03	86		65		45-49歳	9
70	782	吉澤 篤史	46	男	広島県	2:52:47	0:39:28	213	1:29:10	118	2:08:38	137	0:44:09	22		66		45-49歳	10
71	591	下釜 央	30	男	愛知県	2:52:59	0:35:50	121	1:33:13	181	2:09:03	140	0:43:56	18		67		30-34歳	11
72	891	池田 真二	56	男	静岡県	2:53:02	0:33:44	75	1:22:15	46	1:55:59	49	0:57:03	102		68		55-59歳	2
73	825	小池 宏昌	50	男	愛知県	2:53:39	0:33:52	76	1:23:28	55	1:57:20	54	0:56:19	96		69		50-54歳	7
74	667	今井 伸一	38	男	愛知県	2:53:46	0:41:05	252	1:18:48	29	1:59:53	68	0:53:53	85		70		35-39歳	11
75	739	福田 雅規	44	男	愛知県	2:53:54	0:42:43	303	1:21:23	39	2:04:06	96	0:49:48	57		71		40-44歳	16
76	924	藤城 康裕	62	男	愛知県	2:53:55	0:31:58	54	1:23:44	59	1:55:42	48	0:58:13	104		72		60-64歳	2
77	856	安藤 敏博	53	男	愛知県	2:54:28	0:32:01	55	1:27:03	88	1:59:04	63	0:55:24	92		73		50-54歳	8
78	638	冨田 裕基	35	男	愛知県	2:54:39	0:39:31	217	1:24:08	61	2:03:39	91	0:51:00	63		74		35-39歳	12
79	702	豊泉 敏	41	男	愛知県	2:55:07	0:35:16	112	1:27:05	90	2:02:21	83	0:52:46	77		75		40-44歳	17
80	557	三浦 隆慈	27	男	愛知県	2:55:48	0:34:34	96	1:24:13	62	1:58:47	61	0:57:01	101		76		25-29歳	6
81	962	福居 紀実	32	女	愛知県	2:56:05	0:35:16	111	1:28:07	104	2:03:23	90	0:52:42	76			5	30-34歳	1
82	637	長瀬 健太郎	35	男	愛知県	2:56:29	0:33:19	67	1:26:36	84	1:59:55	69	0:56:34	97		77		35-39歳	13
83	738	野岡 暁	44	男	愛知県	2:56:29	0:42:42	302	1:27:07	92	2:09:49	149	0:46:40	38		78		40-44歳	18
84	852	森下 茂	52	男	愛知県	2:56:43	0:39:37	226	1:31:43	155	2:11:20	170	0:45:23	28		79		50-54歳	9
85	892	尾崎 正明	56	男	愛知県	2:56:58	0:36:17	130	1:25:52	72	2:02:09	81	0:54:49	90		80		55-59歳	3
86	632	原田 宗隆	35	男	愛知県	2:57:01	0:38:46	188	1:29:15	121	2:08:01	131	0:49:00	51		81		35-39歳	14
87	798	深谷 真見	48	男	岐阜県	2:57:20	0:35:53	122	1:24:27	64	2:00:20	72	0:57:00	100		82		45-49歳	11
88	691	谷澤 明	40	男	愛知県	2:57:24	0:38:46	189	1:23:39	58	2:02:25	84	0:54:59	91		83		40-44歳	19
89	653	吉田 涼二	37	男	三重県	2:57:44	0:36:10	127	1:28:14	105	2:04:24	100	0:53:20	80		84		35-39歳	15
90	749	早川 仁	44	男	愛知県	2:58:11	0:48:46	388	1:23:32	56	2:12:18	179	0:45:53	30		85		40-44歳	20
91	904	丹羽 宏一	59	男	愛知県	2:58:20	0:37:29	156	1:26:36	85	2:04:05	95	0:54:15	88		86		55-59歳	4
92	581	中村 優	29	男	愛知県	2:58:25	0:38:33	181	1:23:39	57	2:02:12	82	0:56:13	94		87		25-29歳	7
93	922	伊藤 哲夫	61	男	三重県	2:58:26	0:39:34	222	1:28:03	102	2:07:37	127	0:50:49	61		88		60-64歳	3
94	722	田中 智博	43	男	愛知県	2:58:39	0:35:57	124	1:28:25	108	2:04:22	99	0:54:17	89		89		40-44歳	21
95	645	渡辺 祥正	36	男	愛知県	2:58:44	0:37:59	169	1:31:03	138	2:09:02	139	0:49:42	54		90		35-39歳	16
96	616	和久田 昌宏	33	男	愛知県	2:58:45	0:35:12	106	1:32:19	166	2:07:31	126	0:51:14	66		91		30-34歳	12
97	673	大谷 重徳	39	男	愛知県	2:59:16	0:36:34	135	1:30:05	130	2:06:39	117	0:52:37	75		92		35-39歳	17
98	622	畠山 敏治	34	男	愛知県	2:59:57	0:39:26	210	1:34:02	195	2:13:28	191	0:46:29	36		93		30-34歳	13
