順位	部門	№	氏名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN		ｸﾗｽ	ｸﾗｽ別順位	JTU登録地
283	60歳以上	603	辻 芳樹	ツジ ヨシキ	3:37:40.486	283	0:34:01.984	157	0:10:35.933	1:32:46.470	313	0:05:53.430	1:14:22.669	277	60-64M	23	大阪府
284	49歳以下	307	中  義喬	ナカ  ヨシタカ	3:37:45.594	284	0:37:01.276	216	0:09:12.370	1:32:00.847	307	0:06:19.923	1:13:11.178	272	40-44M	34	熊本県
285	50歳代	523	奥 隆充	オク タカミツ	3:37:48.910	285	0:29:59.131	80	0:14:02.030	1:27:27.281	272	0:03:12.660	1:23:07.808	312	55-59M	34	宮崎県
286	50歳代	482	宮本 昭	ミヤモト アキラ	3:38:09.334	286	0:43:33.915	304	0:06:58.719	1:22:08.356	201	0:05:30.724	1:19:57.620	307	55-59M	35	宮崎県
287	60歳以上	604	河野 俊嗣	コウノ シュンジ	3:39:08.436	287	0:33:56.275	154	0:08:02.710	1:29:47.213	292	0:04:12.831	1:23:09.407	313	60-64M	24	宮崎県
288	49歳以下	274	池田 直樹	イケダ ナオキ	3:39:28.660	288	0:51:18.568	338	0:10:15.988	1:32:28.898	310	0:04:52.785	1:00:32.421	182	35-39M	24	福岡県
289	49歳以下	305	今西 良光	イマニシ ヨシミツ	3:39:34.250	289	0:45:51.541	322	0:07:19.397	1:25:01.804	246	0:04:53.964	1:16:27.544	289	40-44M	35	東京都
290	60歳以上	658	後藤 信行	ゴトウ ノブユキ	3:39:36.335	290	0:38:12.533	237	0:08:46.515	1:32:12.701	309	0:04:54.803	1:15:29.783	286	70-74M	7	岐阜県
291	49歳以下	293	鈴木  英晃	スズキ  ヒデアキ	3:39:56.670	291	0:31:12.167	94	0:08:43.745	1:40:09.583	333	0:05:18.168	1:14:33.007	278	40-44M	36	東京都
292	49歳以下	278	永瀬 正也	ナガセ マサヤ	3:40:02.638	292	0:48:15.397	330	0:08:08.461	1:32:43.838	312	0:03:43.795	1:07:11.147	240	35-39M	25	東京都
293	60歳以上	665	中西  啓一	ナカニシ  ケイイチ	3:40:39.203	293	0:45:12.865	318	0:08:42.595	1:28:59.228	284	0:05:05.325	1:12:39.190	270	75-79M	1	岡山県
294	49歳以下	249	八郷 有輝	ハチゴウ ユウキ	3:41:27.326	294	0:44:53.361	315	0:07:00.031	1:34:43.301	319	0:02:30.842	1:12:19.791	268	30-34M	12	鹿児島県
295	60歳以上	650	橋本 信義	ハシモト ノブヨシ	3:41:37.803	295	0:36:36.376	211	0:06:11.915	1:35:25.012	322	0:04:38.131	1:18:46.369	302	65-69M	11	宮崎県
296	60歳以上	667	藤武  友喜	フジタケ  トモキ	3:42:13.417	296	0:43:01.256	302	0:08:09.123	1:22:29.664	210	0:05:09.957	1:23:23.417	314	75-79M	2	福岡県
297	49歳以下	265	石塚  直樹	イシヅカ  ナオキ	3:42:54.882	297	0:37:25.157	221	0:07:43.230	1:36:42.642	328	0:04:19.444	1:16:44.409	293	35-39M	26	東京都
298	50歳代	465	藤本 匠一	フジモト ショウイチ	3:43:01.381	298	0:46:08.378	323	0:06:29.361	1:26:39.050	264	0:04:50.882	1:18:53.710	303	50-54M	66	東京都
299	49歳以下	215	金井 泉太	カナイ センタ	3:43:03.272	299	0:44:02.887	309	0:07:30.387	1:30:09.516	293	0:03:15.967	1:18:04.515	299	20-24M	10	佐賀県
300	49歳以下	395	山下 利治	ヤマシタ トシハル	3:43:13.956	300	0:44:18.359	311	0:07:58.434	1:35:35.825	324	0:06:18.168	1:09:03.170	255	45-49M	52	鹿児島県
301	49歳以下	320	古川 徳厚	フルカワ ノリアツ	3:43:51.901	301	0:44:01.853	308	0:06:00.254	1:25:53.511	255	0:03:31.320	1:24:24.963	317	40-44M	37	東京都
302	50歳代	513	宮田  玲	ミヤタ  アキラ	3:44:15.995	302	0:48:17.662	331	0:07:24.947	1:29:25.214	287	0:05:20.515	1:13:47.657	274	55-59M	36	大阪府
303	50歳代	502	吉村 宗典	ヨシムラ ムネノリ	3:44:49.664	303	0:34:16.389	165	0:07:41.726	1:31:35.286	301	0:05:13.048	1:26:03.215	00:00.0	55-59M	37	熊本県
304	49歳以下	230	楠  秀大	クスノキ  ヒデヒロ	3:45:20.833	304	0:42:04.295	295	0:06:27.257	1:38:15.826	331	0:03:34.397	1:14:59.058	282	25-29M	19	千葉県
305	49歳以下	339	本多 哲郎	ホンダ テツロウ	3:45:27.928	305	0:35:41.083	196	0:09:08.412	1:30:19.756	294	0:04:32.957	1:25:45.720	319	45-49M	53	福岡県
306	49歳以下	302	寺村 航	テラムラ ワタル	3:45:48.913	306	0:39:29.766	267	0:13:38.643	1:26:48.242	265	0:06:49.134	1:19:03.128	304	40-44M	38	東京都
307	60歳以上	659	諌山 康成	イサヤマ ヤスナリ	3:45:53.187	307	0:39:13.621	261	0:09:58.246	1:34:34.578	318	0:05:27.664	1:16:39.078	291	70-74M	8	大分県
308	60歳以上	647	久保 明彦	クボ アキヒコ	3:46:07.500	308	0:45:11.950	317	0:09:22.506	1:26:35.542	261	0:04:56.554	1:20:00.948	308	65-69M	12	千葉県
309	49歳以下	309	付 強	フ キョウ	3:46:57.218	309	0:54:35.905	341	0:08:41.419	1:28:47.247	283	0:06:31.244	1:08:21.403	248	40-44M	39	福岡県
310	49歳以下	360	原口 一美	ハラグチ カズミ	3:47:03.880	310	0:45:03.621	316	0:07:43.131	1:28:31.734	280	0:04:32.987	1:21:12.407	311	45-49M	54	鹿児島県
311	49歳以下	325	三枝 邦廣	サエグサ クニヒロ	3:47:54.336	311	0:44:40.930	313	0:11:07.160	1:37:56.357	329	0:04:17.185	1:09:52.704	261	40-44M	40	鹿児島県
312	60歳以上	624	高浜 隆史	タカハマ タカシ	3:51:52.783	312	0:39:23.313	265	0:12:05.607	1:30:53.914	297	0:05:31.646	1:23:58.303	315	60-64M	25	宮崎県
313	60歳以上	617	矢次 泰明	ヤツギ ヤスアキ	3:52:09.290	313	0:46:36.742	325	0:06:57.032	1:35:11.061	321	0:06:12.508	1:17:11.947	295	60-64M	26	熊本県
314	60歳以上	637	大西 文昭	オオニシ フミアキ	3:52:26.067	314	0:32:23.651	112	0:06:43.821	1:29:29.175	289	0:05:32.441	1:38:16.979	328	60-64M	27	宮崎県
315	49歳以下	280	酒井  淳司	サカイ  アツシ	3:53:54.003	315	0:39:49.883	273	0:08:34.904	1:31:52.371	304	0:05:41.080	1:27:55.765	322	35-39M	27	熊本県
316	50歳代	442	廣瀬 裕一	ヒロセ ユウイチ	3:54:29.097	316	0:49:50.912	334	0:06:52.018	1:23:33.694	225	0:04:59.492	1:29:12.981	325	50-54M	67	宮崎県
317	60歳以上	631	中塚 輝夫	ナカツカ テルオ	3:58:35.136	317	0:42:35.464	299	0:06:33.699	1:35:00.312	320	0:05:27.052	1:28:58.609	323	60-64M	28	大阪府
318	60歳以上	660	平田 清巳	ヒラタ キヨミ	4:01:24.274	318	0:47:02.488	326	0:09:53.298	1:42:54.788	335	0:04:21.436	1:17:12.264	296	70-74M	9	福岡県
319	60歳以上	639	中川 隆之	ナカガワ タカユキ	4:07:13.238	319	0:39:42.866	268	0:09:46.322	1:29:27.916	288	0:05:18.799	1:42:57.335	330	65-69M	13	埼玉県
320	50歳代	521	實山 安英	ミヤマ ヤスヒデ	4:09:30.181	320	0:50:37.489	336					1:24:15.237	316	55-59M	38	鹿児島県
321	60歳以上	666	湊 昭夫	ミナト アキオ	4:11:27.098	321	0:42:32.669	298	0:07:25.050	1:38:17.092	332	0:04:28.085	1:38:44.202	329	75-79M	3	山口県
322	60歳以上	664	尾垣 有三	オガキ ユウゾウ	4:12:00.879	322	0:45:22.195	319	0:13:34.629	1:40:37.860	334	0:06:41.062	1:25:45.133	318	75-79M	4	福岡県
323	50歳代	522	長田 浩伸	ナガタ ヒロノブ	4:12:16.669	323	0:46:30.481	324	0:09:21.177	1:34:15.470	317	0:06:57.702	1:35:11.839	326	55-59M	39	宮崎県
324	49歳以下	400	山口 幹夫	ヤマグチ ミキオ	4:14:25.410	324	0:50:48.105	337	0:06:47.794	1:36:16.171	327	0:03:11.150	1:37:22.190	327	45-49M	55	宮崎県
325	49歳以下	393	森 拓哉	モリ タクヤ	4:16:29.390	325	0:35:30.694	191	0:06:49.454	1:31:37.254	302	0:04:07.686	1:58:24.302	331	45-49M	56	鹿児島県
DNF	49歳以下	207	三好 崇文	ミヨシ タカフミ											20-24M		学連
DNF	49歳以下	234	泊 翔也	トマリ ショウヤ			0:28:55.426	63	0:04:33.651	1:20:08.300	164	0:03:21.581			25-29M		宮崎県
DNF	49歳以下	256	稲永 匡祥	イナナガ マサヨシ			0:37:00.543	215	0:06:33.340	1:25:13.648	248	0:03:00.117			35-39M		福岡県
DNF	49歳以下	282	井上 泰平	イノウエ タイヘイ			0:27:48.720	48	0:05:34.862	1:31:00.089	298	0:03:36.827			35-39M		熊本県
DNF	49歳以下	332	森 泰隆	モリ ヤスタカ			0:39:45.786	270							40-44M		宮崎県
DNF	49歳以下	350	楠木 豪	クスノキ タケシ											45-49M		茨城県
DNF	49歳以下	382	長谷川 健二	ハセガワ ケンジ			0:27:12.341	37	0:04:20.740	1:12:56.839	68	0:03:02.968			45-49M		福岡県
DNF	50歳代	462	田畑 瑞穂	タバタ ミズホ			0:42:09.780	296	3:10:00.415						50-54M		鹿児島県
DNF	50歳代	486	池田 徳郎	イケダ トクロウ			0:24:38.603	19	0:03:34.897	1:21:18.048	188				55-59M		宮崎県
DNF	50歳代	512	西出 裕輔	ニシデ ユウスケ			0:39:02.899	254	0:04:44.789						55-59M		福岡県
DNF	60歳以上	605	仲谷 善文	ナカヤ ヨシフミ			0:53:27.047	340	0:08:05.597	1:37:58.609	330	0:04:37.265			60-64M		東京都
DNF	60歳以上	606	井上 正浩	イノウエ マサヒロ			0:38:32.772	248							60-64M		福岡県
DNF	60歳以上	655	朝来野 仁志	アサクノ マサシ			0:38:25.909	245	0:08:31.978	1:45:01.476	337	0:04:54.304			70-74M		大分県
DNF	60歳以上	663	岡崎 哲二	オカザキ テツジ			0:38:10.359	236	0:11:11.468						75-79M		広島県
DNF	60歳以上	669	瀬尾 清寿	セオ キヨヒサ			0:44:14.115	310	0:10:54.706	1:48:31.769	338				75-79M		神奈川県
DNS	49歳以下	201	原田 貴匠	ハラダ タカナリ											18-19M		宮崎県
DNS	49歳以下	208	伊東 政輝	イトウ マサキ											20-24M		学連
DNS	49歳以下	211	光永 豊	ミツナガ ユタカ											20-24M		学連
DNS	49歳以下	213	井上 能雅	イノウエ ノア											20-24M		岐阜県
DNS	49歳以下	235	本田 博己	ホンダ ヒロキ											25-29M		熊本県
DNS	49歳以下	251	舂田 将紀	ツクダ マサキ											35-39M		福岡県
DNS	49歳以下	253	井上  裕馬	イノウエ  ユウマ											35-39M		山口県
DNS	49歳以下	266	小玉 鉄平	コダマ テッペイ											35-39M		宮崎県
DNS	49歳以下	271	大山 誠志郎	オオヤマ セイシロウ											35-39M		鹿児島県
DNS	49歳以下	276	中村 正樹	ナカムラ マサキ											35-39M		東京都
DNS	49歳以下	283	中木原 幸作	ナカキハラ コウサク											35-39M		鹿児島県
DNS	49歳以下	290	横山  大輔	ヨコヤマ  ダイスケ											40-44M		東京都
DNS	49歳以下	297	惣司 真乃祐	ソウツカ シンノスケ											40-44M		長崎県
DNS	49歳以下	306	小玉 賢太	コダマ ケンタ											40-44M		宮崎県
DNS	49歳以下	308	前田 崇志	マエダ タカシ											40-44M		東京都
DNS	49歳以下	315	矢野 裕幸	ヤノ ヒロユキ											40-44M		千葉県
DNS	49歳以下	327	奥村 健護	オクムラ ケンゴ											40-44M		熊本県
DNS	49歳以下	330	奥村 憲市	オクムラ ケンイチ											40-44M		熊本県
DNS	49歳以下	331	松田 剛	マツダ ツヨシ											40-44M		鹿児島県
DNS	49歳以下	347	佐野 雄一郎	サノ ユウイチロウ											45-49M		東京都
DNS	49歳以下	359	吉田 丈士	ヨシダ ジョウジ											45-49M		福岡県
DNS	49歳以下	361	高橋 大輔	タカハシ ダイスケ											45-49M		東京都
DNS	49歳以下	370	木本 裕介	キモト ユウスケ											45-49M		大分県
DNS	49歳以下	383	小川 武宏	オガワ タケヒロ											45-49M		福岡県
DNS	50歳代	412	原田 貴光	ハラダ タカミツ											50-54M		宮崎県
DNS	50歳代	420	坂井 史明	サカイ フミアキ											50-54M		大分県
DNS	50歳代	421	橋口 幸治	ハシグチ コウジ											50-54M		福岡県
DNS	50歳代	423	樋口 與志	ヒグチ ヨシ											50-54M		長崎県
DNS	50歳代	425	上野 大輔	ウエノ ダイスケ											50-54M		鹿児島県
DNS	50歳代	427	GUILLERMO HORACIO	ラミレスカセレス ギジェルモオラシオ											50-54M		鹿児島県
DNS	50歳代	430	井上  剛典	イノウエ  タケノリ											50-54M		岐阜県
DNS	50歳代	443	菊池 信行	キクチ ノブユキ											50-54M		福岡県
DNS	50歳代	468	小林 章浩	コバヤシ アキヒロ											50-54M		兵庫県
DNS	50歳代	475	山本 健一郎	ヤマモト ケンイチロウ											50-54M		愛知県
DNS	50歳代	477	諸井 潤一郎	モロイ ジュンイチロウ											50-54M		宮崎県
DNS	50歳代	480	宮崎 伸哉	ミヤザキ シンヤ											50-54M		東京都
DNS	50歳代	487	北臺 茂樹	キタダイ シゲキ											55-59M		広島県
DNS	50歳代	506	菅 道文	スガ ミチフミ											55-59M		福岡県
DNS	60歳以上	620	刈田 直文	カリタ ナオブミ											60-64M		東京都
DNS	60歳以上	622	Yamaguchi Ferdinand	ヤマグチ  フェルディナント											60-64M		東京都
DNS	60歳以上	623	武田  豊三	タケダ  トヨミ											60-64M		宮城県
DNS	60歳以上	628	甲斐 敬二	カイ ケイジ											60-64M		宮崎県
DNS	60歳以上	635	松浦 一志	マツウラ カズシ											60-64M		大阪府
DNS	60歳以上	638	灘波  博司	ナンバ  ヒロシ											65-69M		香川県
DNS	60歳以上	643	松尾 正直	マツオ マサナオ											65-69M		福岡県
DNS	60歳以上	668	安永 茂美	ヤスナガ シゲミ											75-79M		福岡県
SKIP	49歳以下	245	川上 優輔	カワカミ ユウスケ			SKIP			1:30:40.424	296	0:03:14.763	1:14:55.829	280	30-34M		宮崎県
SKIP	49歳以下	268	田中 利宗	タナカ トシムネ			SKIP			1:20:43.585	181	0:03:05.806	0:53:12.054	100	35-39M		鹿児島県
SKIP	49歳以下	365	小石原 隆史	コイシハラ タカシ			SKIP								45-49M		福岡県
SKIP	49歳以下	399	内山 達彦	ウチヤマ タツヒコ			SKIP			1:36:03.624	326	0:04:10.308	1:14:08.416	276	45-49M		福岡県
SKIP	50歳代	414	上田 集宣	ウエダ タメノブ			SKIP			1:14:09.443	84	0:03:22.406	1:10:21.950	263	50-54M		宮崎県
SKIP	50歳代	518	城崎 竜司	ジョウサキ リュウジ			SKIP			1:20:08.639	166	0:03:51.309	0:51:24.615	78	55-59M		鹿児島県
SKIP	60歳以上	602	上村 聖一	ウエムラ セイイチ			SKIP								60-64M		鹿児島県
SKIP	60歳以上	611	吉岡 朋昭	ヨシオカ トモアキ			SKIP			1:12:07.225	57	0:05:15.047	1:04:17.020	219	60-64M		東京都
1	711	丹野  惠梨香	タンノ  エリカ	2:13:52.615	1	0:20:04.077	1	0:02:52.938	1:09:59.961	2	0:01:57.735	0:38:57.904	1	35-39W	1	埼玉県
2	710	松本 由衣	マツモト ユイ	2:28:06.280	2	0:22:56.503	2	0:03:09.180	1:12:35.393	3	0:01:55.079	0:47:30.125	4	30-34W	1	福岡県
3	726	森 奈津代	モリ ナツヨ	2:33:58.974	3	0:26:12.005	4	0:03:35.784	1:17:06.719	4	0:01:51.680	0:45:12.786	3	45-49W	1	熊本県
4	721	八木 恭子	ヤギ キョウコ	2:33:59.668	4	0:29:35.943	8	0:03:27.365	1:09:51.712	1	0:02:14.319	0:48:50.329	5	40-44W	1	佐賀県
5	718	坂本 純子	サカモト ジュンコ	2:40:15.667	5	0:33:25.437	15	0:05:16.731	1:17:48.301	5	0:02:24.729	0:41:20.469	2	40-44W	2	大分県
6	703	橋 英	ハシ アキ	2:43:42.690	6	0:29:14.743	7	0:03:57.624	1:18:50.518	7	0:02:13.627	0:49:26.178	6	25-29W	1	宮崎県
7	702	濵田 唯花	ハマダ	2:49:08.185	7	0:24:31.710	3	0:03:19.536	1:22:23.551	14	0:01:48.402	0:57:04.986	15	20-24W	1	学連
8	706	深野 由佳	フカノ ユカ	2:54:18.703	8	0:32:05.580	11	0:04:20.785	1:20:39.834	10	0:02:15.036	0:54:57.468	10	25-29W	2	福岡県
9	701	柳川 花緒	ヤナガワ カオ	2:55:15.307	9	0:30:02.029	9	0:05:24.230	1:18:27.308	6	0:02:33.238	0:58:48.502	17	18-19W	1	学連
10	734	一村  多美代	イチムラ  タミヨ	2:56:27.175	10	0:33:52.379	17	0:06:15.291	1:21:27.688	13	0:02:36.902	0:52:14.915	7	60-64W	1	熊本県
11	730	津江 友紀	ツエ ユキ	3:01:08.174	11	0:27:32.230	5	0:05:49.909	1:27:37.117	20	0:03:24.338	0:56:44.580	14	45-49W	2	宮崎県
12	723	米田 はる	ヨネダ ハル	3:01:23.447	12	0:33:59.011	18	0:05:28.242	1:24:35.826	18	0:03:16.659	0:54:03.709	8	45-49W	3	宮崎県
13	725	城田 全江	シロタ マサエ	3:01:55.483	13	0:37:49.580	24	0:05:24.249	1:21:10.012	11	0:02:21.677	0:55:09.965	11	45-49W	4	福岡県
14	704	平山 基子	ヒラヤマ モトコ	3:02:27.798	14	0:32:06.363	12	0:05:08.698	1:21:21.782	12	0:03:06.116	1:00:44.839	18	25-29W	3	福岡県
15	722	中井 裕佳	ナカイ ユカ	3:02:48.202	15	0:36:33.241	21	0:05:47.039	1:20:29.618	9	0:03:23.219	0:56:35.085	13	40-44W	3	京都府
16	708	山口 愛莉	ヤマグチ アイリ	3:07:28.579	16	0:39:34.668	26	0:06:21.526	1:22:54.444	16	0:03:24.110	0:55:13.831	12	30-34W	2	熊本県
17	732	渡辺 広美	ワタナベ ヒロミ	3:07:48.428	17	0:32:31.402	13	0:05:23.801	1:22:41.186	15	0:02:57.629	1:04:14.410	23	50-54W	1	東京都
18	735	永田 はるよ	ナガタ ハルヨ	3:10:47.300	18	0:36:39.638	22	0:04:46.587	1:28:10.781	23	0:03:12.464	0:57:57.830	16	60-64W	2	鹿児島県
19	714	大内 紹子	オオウチ ショウコ	3:13:07.982	19	0:28:25.252	6	0:06:21.539	1:27:37.468	21	0:03:18.028	1:07:25.695	24	35-39W	2	大分県
20	731	田島 直美	タジマ ナオミ	3:13:54.261	20	0:33:36.574	16	0:07:37.226	1:33:40.730	29	0:04:06.284	0:54:53.447	9	50-54W	2	熊本県
21	724	白川 もえぎ	シラカワ モエギ	3:14:32.713	21	0:35:18.845	19	0:07:52.138	1:23:22.825	17	0:04:58.088	1:03:00.817	20	45-49W	5	東京都
22	719	西 亜紀子	ニシ アキコ	3:23:09.347	22	0:30:38.767	10	0:07:42.248	1:27:25.187	19	0:03:32.579	1:13:50.566	29	40-44W	4	東京都
23	727	濱田 明子	ハマダ アキコ	3:24:52.938	23	0:52:05.668	33	0:07:09.872	1:19:57.604	8	0:04:06.704	1:01:33.090	19	45-49W	6	宮崎県
24	733	堀口 紫	ホリグチ ユカリ	3:28:34.650	24	0:33:17.378	14	0:07:54.692	1:30:18.623	25	0:05:51.617	1:11:12.340	27	55-59W	1	東京都
25	716	岡田 夏奈	オカダ カナ	3:32:35.435	25	0:36:21.310	20	0:08:21.868	1:38:41.119	32	0:05:45.543	1:03:25.595	21	35-39W	3	宮崎県
26	712	山岡 道子	ヤマオカ ミチコ	3:32:53.518	26	0:45:19.142	31	0:07:34.995	1:32:20.961	28	0:03:32.224	1:04:06.196	22	35-39W	4	福岡県
27	736	立蔵 順子	タチクラ ジュンコ	3:33:38.219	27	0:41:49.065	27	0:06:41.203	1:31:55.458	26	0:03:54.505	1:09:17.988	26	70-74W	1	鹿児島県
28	705	森田  ひかり	モリタ  ヒカリ	3:36:23.448	28	0:38:16.247	25	0:08:23.375	1:28:06.118	22	0:04:37.503	1:17:00.205	31	25-29W	4	東京都
29	717	須貝 佳子	スガイ ヨシコ	3:37:23.481	29	0:36:46.984	23	0:09:03.041	1:34:17.788	30	0:05:31.336	1:11:44.332	28	40-44W	5	東京都
30	728	越智 奈美江	オチ ナミエ	3:38:59.392	30	0:42:14.868	28	0:10:42.073	1:31:59.836	27	0:06:05.670	1:07:56.945	25	45-49W	7	大阪府
31	729	宮本 優子	ミヤモト ユウコ	3:45:45.325	31	0:43:18.443	29	0:11:47.965	1:29:21.273	24	0:06:52.416	1:14:25.228	30	45-49W	8	大阪府
32	709	佐藤  実咲	サトウ  ミサキ	3:51:59.419	32	0:46:20.737	32	0:08:17.468	1:35:30.926	31	0:04:16.961	1:17:33.327	32	30-34W	3	東京都
33	738	瀬々井 ハル子	セセイ ハルコ	4:14:06.039	33	0:45:02.786	30	0:08:17.667	1:47:34.326	33	0:05:15.459	1:27:55.801	33	70-74W	2	宮崎県
DNS	707	和田 紫帆里	ワダ シホリ											25-29W		熊本県
DNS	713	伏見 英	フシミ ハナ											35-39W		東京都
DNS	715	砂走 あづみ	スナバシリ アヅミ											35-39W		鹿児島県
DNS	720	榛葉 都	シンバ ミヤコ											40-44W		東京都
DNS	737	井上 富紀子	イノウエ フキコ											70-74W		岐阜県
