総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齡別順
15	9176	星 慎太郎	26	男	神奈川	1:17:04	0:14:53	38	0:39:40	19	0:54:33	21	0:22:31	15	15		20代男子	5
16	9080	大内 龍平	44	男	神奈川	1:17:15	0:12:00	6	0:38:56	15	0:50:56	9	0:26:19	60	16		40代男子	2
17	9124	甲斐 隆彦	38	男	宮﨑	1:19:05	0:17:45	87	0:38:08	9	0:55:53	24	0:23:12	20	17		30代男子	8
18	9003	岡本 正夫	64	男	神奈川	1:19:09	0:15:12	44	0:38:52	14	0:54:04	20	0:25:05	35	18		60代男子	1
19	9153	山中 貞治	31	男	東京	1:19:09	0:11:57	5	0:41:40	34	0:53:37	17	0:25:32	43	19		30代男子	9
20	8031	Chiu-Nam Chau	30	女	香港	1:19:12	0:12:21	7	0:40:30	22	0:52:51	16	0:26:21	61		1	30代女子	1
21	9151	鈴木 章弘	33	男	神奈川	1:19:38	0:17:54	94	0:40:58	26	0:58:52	42	0:20:46	4	20		30代男子	10
22	9088	谷口 健	44	男	東京	1:20:42	0:13:52	24	0:42:39	46	0:56:31	27	0:24:11	27	21		40代男子	3
23	9091	吉川 尚宏	42	男	東京	1:21:08	0:13:50	23	0:44:00	63	0:57:50	35	0:23:18	21	22		40代男子	4
24	9155	麦島 淳司	31	男	神奈川	1:21:09	0:13:24	17	0:41:27	30	0:54:51	22	0:26:18	57	23		30代男子	11
25	9033	阿部 功	52	男	神奈川	1:21:16	0:15:17	47	0:42:20	40	0:57:37	34	0:23:39	22	24		50代男子	2
26	9079	久保 健一郎	44	男	神奈川	1:21:24	0:14:05	30	0:42:43	47	0:56:48	29	0:24:36	29	25		40代男子	5
27	9090	阿二 真樹	43	男	埼玉	1:21:28	0:16:46	68	0:40:43	24	0:57:29	33	0:23:59	23	26		40代男子	6
28	9117	Noriyoshi Watanabe	39	男	東京	1:21:52	0:13:53	25	0:42:17	39	0:56:10	25	0:25:42	47	27		30代男子	12
29	9152	後藤 祐亮	33	男	東京	1:22:10	0:15:20	49	0:41:28	32	0:56:48	30	0:25:22	40	28		30代男子	13
30	9038	藤倉 充裕	50	男	埼玉	1:22:28	0:14:25	35	0:41:27	31	0:55:52	23	0:26:36	69	29		50代男子	3
31	9061	森本 将史	45	男	神奈川	1:22:39	0:15:52	56	0:40:52	25	0:56:44	28	0:25:55	52	30		40代男子	7
32	9137	岸下 顕師	36	男	東京	1:22:48	0:14:02	28	0:42:14	38	0:56:16	26	0:26:32	67	31		30代男子	14
33	9085	松本 恒一	43	男	東京	1:22:50	0:14:05	29	0:43:09	53	0:57:14	32	0:25:36	45	32		40代男子	8
34	9111	志釜 直樹	39	男	東京	1:23:47	0:16:52	73	0:41:12	28	0:58:04	40	0:25:43	48	33		30代男子	15
35	9055	野村 忠宏	47	男	神奈川	1:23:47	0:15:59	59	0:42:00	36	0:57:59	37	0:25:48	49	34		40代男子	9
36	9076	杉山 進太郎	45	男	神奈川	1:24:42	0:16:40	66	0:42:29	42	0:59:09	43	0:25:33	44	35		40代男子	10
37	9046	三浦 保志	48	男	神奈川	1:24:46	0:18:45	109	0:42:55	50	1:01:40	72	0:23:06	19	36		40代男子	11
38	9026	伏木 豊	55	男	東京	1:24:57	0:16:48	69	0:43:23	55	1:00:11	53	0:24:46	31	37		50代男子	4
39	9097	奈良 仁克	42	男	神奈川	1:25:13	0:18:13	105	0:39:51	20	0:58:04	39	0:27:09	76	38		40代男子	12
40	9063	松本 克之	46	男	神奈川	1:25:26	0:16:42	67	0:42:54	48	0:59:36	49	0:25:50	51	39		40代男子	13
41	9084	宮城 信隆	43	男	神奈川	1:25:43	0:17:21	81	0:40:36	23	0:57:57	36	0:27:46	82	40		40代男子	14
42	9039	杉野 公基	50	男	神奈川	1:25:56	0:16:12	63	0:43:49	60	1:00:01	52	0:25:55	53	41		50代男子	5
43	9065	松下 隆一	45	男	東京	1:25:59	0:13:15	12	0:44:57	78	0:58:12	41	0:27:47	83	42		40代男子	15
44	9049	松本 公三	48	男	愛知	1:26:00	0:17:50	91	0:41:39	33	0:59:29	47	0:26:31	66	43		40代男子	16
45	9134	池田 薫	36	男	神奈川	1:26:02	0:13:07	10	0:46:27	98	0:59:34	48	0:26:28	65	44		30代男子	16
46	9028	紅 孝志	53	男	神奈川	1:26:07	0:13:27	18	0:40:18	21	0:53:45	18	0:32:22	140	45		50代男子	6
47	9165	菅原 啓	29	男	東京	1:26:10	0:15:20	48	0:46:46	101	1:02:06	75	0:24:04	24	46		20代男子	6
48	9058	尾上 宜隆	46	男	千葉	1:26:24	0:15:50	55	0:44:10	66	1:00:00	51	0:26:24	63	47		40代男子	17
49	9078	芝崎 誉	44	男	千葉	1:26:29	0:16:01	61	0:43:24	56	0:59:25	46	0:27:04	73	48		40代男子	18
50	9115	青木 健	40	男	東京	1:26:34	0:19:34	124	0:42:36	44	1:02:10	78	0:24:24	28	49		40代男子	19
51	9158	岩井 竜彦	31	男	茨城	1:26:40	0:17:04	78	0:44:21	69	1:01:25	67	0:25:15	38	50		30代男子	17
52	9101	黒田 健一	41	男	東京	1:26:52	0:18:57	114	0:46:20	96	1:05:17	97	0:21:35	10	51		40代男子	20
53	9118	原田 陽一郎	38	男	神奈川	1:26:55	0:16:50	71	0:44:49	76	1:01:39	71	0:25:16	39	52		30代男子	18
54	9112	宇野 総一	39	男	神奈川	1:27:00	0:15:15	45	0:45:44	91	1:00:59	63	0:26:01	54	53		30代男子	19
55	9127	園田 英一	37	男	神奈川	1:27:04	0:18:53	113	0:43:07	51	1:02:00	73	0:25:04	34	54		30代男子	20
56	8021	柏崎 智美	36	女	神奈川	1:27:08	0:14:11	33	0:51:24	145	1:05:35	105	0:21:33	9		2	30代女子	2
57	9104	早崎 康行	40	男	愛知	1:27:23	0:15:40	52	0:44:36	73	1:00:16	55	0:27:07	74	55		40代男子	21
58	9098	長尾 敏晴	41	男	神奈川	1:27:39	0:16:54	75	0:44:12	68	1:01:06	65	0:26:33	68	56		40代男子	22
59	9048	西村 昭俊	48	男	東京	1:27:44	0:19:17	121	0:42:09	37	1:01:26	68	0:26:18	58	57		40代男子	23
60	9173	清水 貴光	28	男	東京	1:28:09	0:18:44	108	0:44:48	75	1:03:32	89	0:24:37	30	58		20代男子	7
61	9067	土屋 博	45	男	埼玉	1:28:11	0:16:31	64	0:46:36	100	1:03:07	85	0:25:04	33	59		40代男子	24
62	9107	江藤 競	41	男	神奈川	1:28:17	0:13:21	15	0:45:50	93	0:59:11	44	0:29:06	107	60		40代男子	25
63	8008	柴田 佳代子	44	女	東京	1:28:23	0:15:01	41	0:47:33	111	1:02:34	82	0:25:49	50		3	40代女子	1
64	9096	服部 徳晃	41	男	静岡	1:28:37	0:17:28	83	0:42:31	43	0:59:59	50	0:28:38	101	61		40代男子	26
65	9113	内村 友亮	39	男	東京	1:28:54	0:15:16	46	0:45:09	79	1:00:25	57	0:28:29	99	62		30代男子	21
66	9138	毛利 浩二郎	34	男	神奈川	1:28:54	0:16:09	62	0:44:28	71	1:00:37	58	0:28:17	93	63		30代男子	22
67	9016	秦 明宏	58	男	神奈川	1:28:54	0:16:59	77	0:45:14	81	1:02:13	79	0:26:41	70	64		50代男子	7
68	9017	村上 典孝	57	男	神奈川	1:29:03	0:20:05	130	0:41:22	29	1:01:27	69	0:27:36	80	65		50代男子	8
69	8025	谷津 麻耶	33	女	神奈川	1:29:09	0:13:55	26	0:47:11	107	1:01:06	64	0:28:03	89		4	30代女子	3
70	9089	竹島 啓文	43	男	東京	1:29:12	0:17:48	89	0:43:34	57	1:01:22	66	0:27:50	84	66		40代男子	27
71	9110	三田 英二	39	男	神奈川	1:29:49	0:15:53	57	0:44:21	70	1:00:14	54	0:29:35	113	67		30代男子	23
72	9136	篠原 大輔	35	男	神奈川	1:30:03	0:15:05	42	0:44:06	64	0:59:11	45	0:30:52	126	68		30代男子	24
73	9180	内山 佳祐	21	男	神奈川	1:30:06	0:18:06	101	0:44:00	62	1:02:06	76	0:28:00	88	69		20代男子	8
74	9075	間庭 裕之	45	男	東京	1:30:15	0:18:58	115	0:45:09	80	1:04:07	90	0:26:08	56	70		40代男子	28
75	9086	西山 明輝	43	男	神奈川	1:30:22	0:20:36	143	0:42:39	45	1:03:15	86	0:27:07	75	71		40代男子	29
76	9018	大河原 康弘	57	男	神奈川	1:30:27	0:17:31	84	0:44:37	74	1:02:08	77	0:28:19	95	72		50代男子	9
77	9174	黒川 裕	28	男	神奈川	1:30:57	0:14:24	34	0:43:35	58	0:57:59	38	0:32:58	145	73		20代男子	9
78	9161	金井 隼	31	男	東京	1:31:02	0:21:25	151	0:44:12	67	1:05:37	106	0:25:25	42	74		30代男子	25
79	9045	盛岡 豊	49	男	大阪	1:31:06	0:18:11	103	0:43:50	61	1:02:01	74	0:29:05	106	75		40代男子	30
80	9148	白井 克哉	33	男	神奈川	1:31:09	0:18:00	97	0:42:55	49	1:00:55	61	0:30:14	118	76		30代男子	26
81	9006	田中 辰夫	61	男	神奈川	1:31:18	0:16:57	76	0:45:35	89	1:02:32	81	0:28:46	103	77		60代男子	2
82	9123	黒川 高志	39	男	東京	1:31:26	0:17:50	90	0:43:08	52	1:00:58	62	0:30:28	124	78		30代男子	27
83	9133	池田 孝	36	男	神奈川	1:31:34	0:23:35	166	0:45:27	87	1:09:02	124	0:22:32	16	79		30代男子	28
84	9020	石田 雅美	57	男	神奈川	1:31:36	0:15:31	51	0:45:22	83	1:00:53	60	0:30:43	125	80		50代男子	10
85	9143	加藤 正友	34	男	神奈川	1:31:44	0:21:21	150	0:45:25	85	1:06:46	114	0:24:58	32	81		30代男子	29
86	9109	宮田 夏樹	40	男	東京	1:31:49	0:18:09	102	0:45:15	82	1:03:24	88	0:28:25	96	82		40代男子	31
87	9149	小鍛治 省吾	33	男	神奈川	1:31:54	0:16:00	60	0:48:23	116	1:04:23	93	0:27:31	79	83		30代男子	30
88	9093	大橋 賛誠	43	男	神奈川	1:32:07	0:13:43	22	0:47:01	103	1:00:44	59	0:31:23	132	84		40代男子	32
89	9102	堀江 康彦	41	男	神奈川	1:32:09	0:23:58	169	0:41:50	35	1:05:48	108	0:26:21	62	85		40代男子	33
90	9074	吉田 訓和	45	男	神奈川	1:32:21	0:18:30	107	0:48:38	118	1:07:08	116	0:25:13	36	86		40代男子	34
91	9126	西村 將生	37	男	神奈川	1:32:26	0:16:52	74	0:45:47	92	1:02:39	83	0:29:47	114	87		30代男子	31
92	8029	千原 由香	32	女	東京	1:32:53	0:17:09	79	0:47:02	104	1:04:11	92	0:28:42	102		5	30代女子	4
93	9014	Robert Hendryk	58	男	東京	1:33:13	0:20:50	144	0:46:20	97	1:07:10	117	0:26:03	55	88		50代男子	11
94	9025	竹本 佳正	56	男	神奈川	1:33:15	0:20:56	145	0:44:35	72	1:05:31	103	0:27:44	81	89		50代男子	12
95	9164	山田 哲平	29	男	神奈川	1:33:26	0:20:24	137	0:44:10	65	1:04:34	94	0:28:52	105	90		20代男子	10
96	9019	内田 貴之	57	男	神奈川	1:33:38	0:17:57	95	0:47:25	109	1:05:22	99	0:28:16	91	91		50代男子	13
97	9022	武藤 治雄	57	男	東京	1:33:48	0:17:52	93	0:42:27	41	1:00:19	56	0:33:29	151	92		50代男子	14
98	9050	登坂 稔	47	男	東京	1:33:56	0:21:45	153	0:43:42	59	1:05:27	102	0:28:29	98	93		40代男子	35
99	9147	中田 世一	33	男	神奈川	1:33:56	0:20:31	139	0:48:03	114	1:08:34	122	0:25:22	41	94		30代男子	32
100	8027	藤田 麻友子	32	女	東京	1:33:56	0:18:06	100	0:47:53	112	1:05:59	110	0:27:57	86		6	30代女子	5
101	9103	藤田 悟	40	男	神奈川	1:34:08	0:14:55	40	0:50:06	136	1:05:01	96	0:29:07	108	95		40代男子	36
102	9013	青木 久夫	59	男	神奈川	1:34:15	0:17:25	82	0:52:42	153	1:10:07	134	0:24:08	26	96		50代男子	15
103	8026	松浦 洋子	33	女	東京	1:34:19	0:13:35	21	0:50:35	142	1:04:10	91	0:30:09	117		7	30代女子	6
104	9071	佐田 雅史	45	男	神奈川	1:34:25	0:15:46	54	0:41:09	27	0:56:55	31	0:37:30	164	97		40代男子	37
105	9021	柳沢 明彦	56	男	東京	1:34:42	0:19:20	122	0:46:02	95	1:05:22	100	0:29:20	109	98		50代男子	16
106	8005	桑嶋 寿江	47	女	神奈川	1:34:49	0:17:18	80	0:48:06	115	1:05:24	101	0:29:25	111		8	40代女子	2
107	8015	長谷川 有理子	41	女	神奈川	1:34:54	0:14:55	39	0:47:30	110	1:02:25	80	0:32:29	141		9	40代女子	3
108	9042	齋藤 弘道	49	男	神奈川	1:34:55	0:19:00	118	0:47:25	108	1:06:25	112	0:28:30	100	99		40代男子	38
109	9059	今井 謙一郎	46	男	埼玉	1:34:58	0:15:07	43	0:46:28	99	1:01:35	70	0:33:23	149	100		40代男子	39
110	9092	守谷 健	42	男	神奈川	1:35:06	0:22:12	157	0:43:21	54	1:05:33	104	0:29:33	112	101		40代男子	40
111	9052	落合 孝之	47	男	東京	1:35:08	0:20:04	129	0:45:41	90	1:05:45	107	0:29:23	110	102		40代男子	41
112	9099	佐藤 義則	42	男	神奈川	1:35:18	0:19:48	126	0:45:32	88	1:05:20	98	0:29:58	116	103		40代男子	42
113	9106	桜井 利宏	41	男	神奈川	1:35:27	0:22:14	158	0:44:56	77	1:07:10	118	0:28:17	92	104		40代男子	43
114	8020	田中 由紀子	36	女	東京	1:35:34	0:17:58	96	0:45:26	86	1:03:24	87	0:32:10	139		10	30代女子	7
115	9057	工藤 智敬	46	男	神奈川	1:35:41	0:24:05	170	0:45:54	94	1:09:59	131	0:25:42	46	105		40代男子	44
116	8010	Naseema Roue	42	女	イギリス	1:35:56	0:19:24	123	0:48:41	119	1:08:05	120	0:27:51	85		11	40代女子	4
117	9159	Allan Wooding	31	男	東京	1:36:05	0:20:17	133	0:49:20	126	1:09:37	128	0:26:28	64	106		30代男子	33
118	9146	芳賀 洋治	34	男	神奈川	1:36:41	0:16:49	70	0:49:27	128	1:06:16	111	0:30:25	122	107		30代男子	34
119	9069	白石 哲英	46	男	神奈川	1:37:02	0:15:58	58	0:49:51	133	1:05:49	109	0:31:13	131	108		40代男子	45
120	3001	川原田 智	60	男	神奈川	1:37:10	0:18:02	98	0:51:52	148	1:09:54	130	0:27:16	78	109		60代男子	3
121	8006	高津 泉	45	女	埼玉	1:37:19	0:21:06	147	0:48:58	122	1:10:04	132	0:27:15	77		12	40代女子	5
122	9083	三宅 裕昭	43	男	神奈川	1:37:19	0:21:58	155	0:49:02	124	1:11:00	148	0:26:19	59	110		40代男子	46
123	9056	千木 良聡	46	男	東京	1:37:40	0:17:43	86	0:47:03	105	1:04:46	95	0:32:54	144	111		40代男子	47
124	9095	藤原 敏弘	42	男	神奈川	1:37:40	0:23:54	167	0:46:48	102	1:10:42	143	0:26:58	72	112		40代男子	48
125	9139	竹内 尚人	35	男	愛知	1:38:33	0:17:51	92	0:49:44	130	1:07:35	119	0:30:58	130	113		30代男子	35
126	9037	一松 宏人	51	男	神奈川	1:38:36	0:17:39	85	0:49:19	125	1:06:58	115	0:31:38	133	114		50代男子	17
127	9150	梅垣 祐哉	33	男	神奈川	1:38:47	0:24:38	171	0:48:54	120	1:13:32	157	0:25:15	37	115		30代男子	36
128	9105	白水 威彦	41	男	神奈川	1:39:17	0:18:51	112	0:52:07	150	1:10:58	147	0:28:19	94	116		40代男子	49
129	9160	立松 俊洋	31	男	愛知	1:39:19	0:14:10	32	0:56:18	164	1:10:28	140	0:28:51	104	117		30代男子	37
130	9168	新井 悟	30	男	神奈川	1:39:19	0:20:32	141	0:48:56	121	1:09:28	127	0:29:51	115	118		30代男子	38
131	9008	野口 耕司郎	60	男	東京	1:39:20	0:14:35	36	0:48:30	117	1:03:05	84	0:36:15	162	119		60代男子	4
132	9125	安田 真也	48	男	千葉	1:39:38	0:19:14	120	0:50:01	135	1:09:15	126	0:30:23	121	120		40代男子	50
133	9064	松田 智幸	46	男	神奈川	1:40:06	0:23:10	163	0:48:58	123	1:12:08	154	0:27:58	87	121		40代男子	51
134	9027	宮岡 和彦	53	男	神奈川	1:40:21	0:13:15	13	0:53:25	156	1:06:40	113	0:33:41	153	122		50代男子	18
135	9007	佐々木 誠	61	男	神奈川	1:40:35	0:15:45	53	0:52:59	154	1:08:44	123	0:31:51	135	123		60代男子	5
136	9121	座間 陽一郎	38	男	神奈川	1:40:39	0:22:20	159	0:49:52	134	1:12:12	155	0:28:27	97	124		30代男子	39
137	9077	柴田 純史	45	男	東京	1:40:57	0:18:03	99	0:51:07	144	1:09:10	125	0:31:47	134	125		40代男子	52
138	8022	松下 早苗	34	女	東京	1:41:13	0:20:28	138	0:49:51	132	1:10:19	137	0:30:54	127		13	30代女子	8
139	8018	原 季実子	38	女	東京	1:41:17	0:20:22	135	0:50:28	140	1:10:50	145	0:30:27	123		14	30代女子	9
140	9051	小堀 政彦	47	男	神奈川	1:41:35	0:22:45	161	0:47:53	113	1:10:38	142	0:30:57	128	126		40代男子	53
141	9031	西邑 昭良	52	男	神奈川	1:41:43	0:18:59	116	0:49:22	127	1:08:21	121	0:33:22	148	127		50代男子	19
142	9053	奥井 伸雄	48	男	神奈川	1:41:51	0:18:12	104	0:53:18	155	1:11:30	150	0:30:21	120	128		40代男子	54
143	8023	本間 友佳子	35	女	東京	1:43:03	0:23:01	162	0:47:09	106	1:10:10	136	0:32:53	143		15	30代女子	10
144	8014	川端 梓	41	女	神奈川	1:43:45	0:20:12	132	0:51:33	146	1:11:45	152	0:32:00	137		16	40代女子	6
145	9032	幸田 克平	52	男	千葉	1:43:46	0:19:55	128	0:50:25	137	1:10:20	139	0:33:26	150	129		50代男子	20
146	9047	鳥海 仁一	49	男	東京	1:44:13	0:18:18	106	0:55:35	161	1:13:53	158	0:30:20	119	130		40代男子	55
147	9012	榊 正人	59	男	神奈川	1:45:01	0:21:04	146	0:55:44	163	1:16:48	163	0:28:13	90	131		50代男子	21
148	8016	西村 恵美子	39	女	東京	1:45:02	0:20:21	134	0:49:47	131	1:10:08	135	0:34:54	155		17	30代女子	11
149	9036	井上 哲也	52	男	神奈川	1:45:12	0:21:26	152	0:50:25	138	1:11:51	153	0:33:21	147	132		50代男子	22
150	9094	荒木 芳友	43	男	東京	1:45:51	0:19:45	125	0:50:34	141	1:10:19	138	0:35:32	157	133		40代男子	56
151	9070	佐藤 耕己	45	男	東京	1:46:09	0:19:00	117	0:51:33	147	1:10:33	141	0:35:36	159	134		40代男子	57
152	9005	白勢 信彦	61	男	神奈川	1:46:16	0:21:12	149	0:54:06	159	1:15:18	159	0:30:58	129	135		60代男子	6
153	9015	吉川 修	59	男	神奈川	1:46:32	0:20:32	140	0:50:25	139	1:10:57	146	0:35:35	158	136		50代男子	23
154	9163	Alexander Giesswein	29	男	東京／オーストリア	1:46:44	0:15:27	50	1:04:28	171	1:19:55	167	0:26:49	71	137		20代男子	11
155	9054	畑岡 充	46	男	神奈川	1:46:49	0:19:50	127	0:50:55	143	1:10:45	144	0:36:04	160	138		40代男子	58
156	8034	本多 由佳	26	女	埼玉	1:47:42	0:16:51	72	0:54:43	160	1:11:34	151	0:36:08	161		18	20代女子	1
157	9002	栗原 敏雄	69	男	神奈川	1:49:19	0:18:46	110	0:52:15	151	1:11:01	149	0:38:18	165	139		60代男子	7
158	9001	鈴木 和夫	71	男	神奈川	1:49:31	0:19:00	119	0:58:21	166	1:17:21	164	0:32:10	138	140		70代男子	1
159	9145	村山 雄信	33	男	東京	1:49:42	0:20:10	131	0:49:33	129	1:09:43	129	0:39:59	167	141		30代男子	40
160	9009	永田 勝彦	61	男	神奈川	1:49:48	0:22:04	156	0:53:30	158	1:15:34	160	0:34:14	154	142		60代男子	8
161	8003	岩松 温子	56	女	兵庫	1:49:58	0:21:47	154	0:55:35	162	1:17:22	165	0:32:36	142		19	50代女子	1
162	8017	河上 裕子	40	女	東京	1:51:04	0:20:23	136	0:58:47	167	1:19:10	166	0:31:54	136		20	40代女子	7
163	9183	梶高 邦弘	34	男	神奈川	1:51:43	0:23:56	168	0:52:23	152	1:16:19	162	0:35:24	156	143		30代男子	41
164	9043	鹿島 聖峰	50	男	神奈川	1:52:01	0:18:49	111	0:31:31	1	0:50:20	6	1:01:41	171	144		50代男子	24
165	9023	上村 和雄	56	男	東京	1:52:11	0:21:07	148	0:51:58	149	1:13:05	156	0:39:06	166	145		50代男子	25
166	9072	小林 至	46	男	神奈川	1:53:22	0:22:42	160	0:53:29	157	1:16:11	161	0:37:11	163	146		40代男子	59
167	9129	築山 鉄平	37	男	福岡	1:54:08	0:16:34	65	1:04:27	170	1:21:01	168	0:33:07	146	147		30代男子	42
168	8007	杉浦 真理子	44	女	愛知	1:56:22	0:24:38	172	0:58:07	165	1:22:45	169	0:33:37	152		21	40代女子	8
169	9010	山岸 哲	59	男	東京	2:02:32	0:24:42	173	0:45:23	84	1:10:05	133	0:52:27	170	148		50代男子	26
170	8035	Reyna DeHenre	27	女	アメリカ	2:04:51	0:23:14	164	1:00:25	168	1:23:39	170	0:41:12	169		22	20代女子	2
171	8002	平澤 京子	60	女	東京	2:06:21	0:23:15	165	1:02:34	169	1:25:49	171	0:40:32	168		23	60代女子	1
DSQ	9128	小西 伸弥	37	男	奈良	1:06:42	0:14:37		0:44:48		0:59:25		0:07:17				30代男子	
DSQ	9154	夜久 佳晃	31	男	大阪	1:28:16	0:19:32		0:38:53		0:58:25		0:29:51				30代男子	
DNF	8024	石尾 怜子	34	女	東京		0:20:33	142									30代女子	
DNF	9044	浅野 拓哉	50	男	神奈川		0:17:46	88									50代男子	
DNF	8013	川田 真希	42	女	東京												40代女子	
DNF	8030	細江 久美子	32	女	東京												30代女子	
DNF	9081	居波 和宏	45	男	神奈川												40代男子	
DNF	9119	関 昌之	38	男	東京												30代男子	
DNF	9182	林 哲也	29	男	神奈川												20代男子	
