総合順位	No.	氏名	年齢	性別	登録地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齢別順
44	1236	福嶋　淳子	47	女	熊本県	6:20:56	0:27:18	19	3:56:21	69	4:23:39	57	1:57:17	34		5	W45～49	
45	1082	西馬　浩一	60	男	兵庫県	6:21:06	0:29:00	31	3:38:43	36	4:07:43	35	2:13:23	67	40		M60～64	5
46	1180	植山　一哉	39	男	福岡県	6:21:17	0:43:34	171	3:44:38	47	4:28:12	63	1:53:05	28	41		M35～39	3
47	1116	神代　泰男	54	男	神奈川県	6:21:49	0:32:16	60	3:39:59	38	4:12:15	38	2:09:34	60	42		M50～54	12
48	1251	倉原　未波	28	女	熊本県	6:22:30	0:28:49	28	3:54:36	64	4:23:25	56	1:59:05	37		6	W25～29	1
49	1151	田中　大輔	47	男	福岡県	6:25:08	0:34:52	94	3:38:08	34	4:13:00	41	2:12:08	64	43		M45～49	5
50	1122	菊池　信行	53	男	福岡県	6:27:31	0:32:13	59	3:53:38	63	4:25:51	61	2:01:40	43	44		M50～54	13
51	1232	松尾　由樹恵	51	女	兵庫県	6:27:58	0:29:14	35	3:50:02	55	4:19:16	52	2:08:42	58		7	W50～54	1
52	1072	室屋　剛	61	男	鹿児島県	6:28:50	0:36:59	116	4:02:33	74	4:39:32	81	1:49:18	17	45		M60～64	6
53	1225	浅野　綾子	55	女	岡山県	6:29:56	0:34:04	82	3:55:08	66	4:29:12	65	2:00:44	40		8	W55～59	1
54	1187	鎭田　頼直	33	男	神奈川県	6:32:04	0:35:05	96	3:43:52	46	4:18:57	50	2:13:07	66	46		M30～34	1
55	1063	鈴木　隆之	62	男	千葉県	6:32:47	0:32:09	57	3:53:36	62	4:25:45	60	2:07:02	54	47		M60～64	7
56	1148	久留　康晴	47	男	大阪府	6:35:01	0:41:03	154	4:04:15	78	4:45:18	87	1:49:43	19	48		M45～49	6
57	1056	呉　英仁	63	男	東京都	6:36:05	0:31:19	51	3:24:30	17	3:55:49	20	2:40:16	120	49		M60～64	8
58	1039	山田　良人	65	男	兵庫県	6:39:10	0:31:17	50	4:00:04	73	4:31:21	70	2:07:49	55	50		M65～69	1
59	1061	宮下　森光	62	男	長野県	6:39:34	0:32:07	56	3:48:19	52	4:20:26	53	2:19:08	75	51		M60～64	9
60	1041	佐藤　浩一	65	男	大分県	6:39:49	0:35:27	106	3:41:47	42	4:17:14	47	2:22:35	81	52		M65～69	2
61	1062	石坂　哲	62	男	東京都	6:40:28	0:36:52	114	4:08:25	84	4:45:17	86	1:55:11	29	53		M60～64	10
62	1140	林　健太郎	49	男	埼玉県	6:40:44	0:35:09	98	3:52:36	60	4:27:45	62	2:12:59	65	54		M45～49	7
63	1040	加藤　幸司	65	男	茨城県	6:41:42	0:34:42	92	3:49:38	54	4:24:20	58	2:17:22	72	55		M65～69	3
64	1019	稲岡　潤	70	男	長崎県	6:41:57	0:32:47	66	4:04:04	77	4:36:51	76	2:05:06	49	56		M70～74	1
65	1153	藤嶋　司	46	男	大分県	6:43:43	0:29:50	41	3:51:10	57	4:21:00	55	2:22:43	82	57		M45～49	8
66	1252	池口　いずみ	25	女	佐賀県	6:47:24	0:22:25	2	4:16:46	93	4:39:11	80	2:08:13	57		9	W25～29	2
67	1067	岩田　聖市	61	男	神奈川県	6:47:40	0:30:57	45	3:46:45	49	4:17:42	49	2:29:58	95	58		M60～64	11
68	1228	川上　元美	53	女	大阪府	6:48:41	0:36:02	108	4:07:04	82	4:43:06	83	2:05:35	50		10	W50～54	2
69	1115	高田　智広	55	男	東京都	6:49:04	0:35:37	107	3:56:33	70	4:32:10	73	2:16:54	71	59		M55～59	6
70	1094	辻田　清之	58	男	大阪府	6:51:10	0:33:31	77	3:55:59	68	4:29:30	66	2:21:40	79	60		M55～59	7
71	1248	越海　ニコール	37	女	大分県	6:52:06	0:33:33	78	3:57:36	71	4:31:09	69	2:20:57	77		11	W35～39	1
72	1066	石本　晴彦	61	男	広島県	6:53:00	0:33:27	75	4:03:42	76	4:37:09	77	2:15:51	70	61		M60～64	12
73	1226	廣岡　牧子	54	女	東京都	6:55:25	0:27:37	20	4:08:55	85	4:36:32	75	2:18:53	74		12	W50～54	3
74	1168	佐伯　琢也	43	男	佐賀県	6:57:07	0:35:15	102	4:18:50	98	4:54:05	93	2:03:02	45	62		M40～44	7
75	1208	田久世　奈々子	61	女	兵庫県	6:57:33	0:34:10	85	3:50:59	56	4:25:09	59	2:32:24	101		13	W60～64	1
76	1096	浅本　勝一	58	男	大阪府	7:01:03	0:35:15	101	3:53:29	61	4:28:44	64	2:32:19	100	63		M55～59	8
77	1171	福原　慶	42	男	東京都	7:03:52	0:37:05	121	4:03:13	75	4:40:18	82	2:23:34	84	64		M40～44	8
78	1170	ＧＯＭＥＺ　Ｊｕａｎ	43	男	東京都	7:06:20	0:33:20	71	4:23:18	108	4:56:38	98	2:09:42	61	65		M40～44	9
79	1249	水上　陽依	29	女	熊本県	7:06:33	0:25:15	12	4:13:34	90	4:38:49	79	2:27:44	90		14	W25～29	3
80	1036	松浦　宏	66	男	東京都	7:06:37	0:37:18	125	4:25:11	109	5:02:29	107	2:04:08	48	66		M65～69	4
81	1161	浦田　幸佑	44	男	千葉県	7:07:00	0:44:18	175	4:21:15	102	5:05:33	114	2:01:27	42	67		M40～44	10
82	1156	神之浦　久志	45	男	栃木県	7:07:17	0:32:05	55	3:38:20	35	4:10:25	37	2:56:52	157	68		M45～49	9
83	1018	石飛　肇	71	男	兵庫県	7:07:36	0:31:12	48	4:04:46	79	4:35:58	74	2:31:38	98	69		M70～74	2
84	1124	馬渡　敏明	52	男	佐賀県	7:08:19	0:36:08	109	3:55:38	67	4:31:46	71	2:36:33	108	70		M50～54	14
85	1203	川田　清美	64	女	長崎県	7:08:31	0:33:31	76	4:10:55	86	4:44:26	85	2:24:05	85		15	W60～64	2
86	1025	薮塚　耕二	69	男	埼玉県	7:08:48	0:28:23	24	4:17:27	94	4:45:50	88	2:22:58	83	71		M65～69	5
87	1234	平岡　今日子	50	女	東京都	7:09:27	0:33:25	73	4:05:09	80	4:38:34	78	2:30:53	96		16	W50～54	4
88	1048	渕上　義之	64	男	東京都	7:09:40	0:37:48	128	4:27:52	115	5:05:40	115	2:04:00	47	72		M60～64	13
89	1142	古賀　保隆	49	男	佐賀県	7:10:00	0:38:44	135	3:51:53	59	4:30:37	68	2:39:23	118	73		M45～49	10
90	1083	逢阪　浩嗣	60	男	埼玉県	7:10:27	0:37:10	122	3:54:51	65	4:32:01	72	2:38:26	112	74		M60～64	14
91	1206	大西　敦子	62	女	滋賀県	7:17:15	0:39:46	145	4:11:52	88	4:51:38	91	2:25:37	87		17	W60～64	3
92	1241	古賀　理恵	45	女	佐賀県	7:17:56	0:31:38	53	3:57:55	72	4:29:33	67	2:48:23	139		18	W45～49	1
93	1114	渡邊　修	55	男	福岡県	7:18:00	0:41:49	159	4:18:14	96	5:00:03	101	2:17:57	73	75		M55～59	9
94	1139	角　勇人	49	男	大分県	7:18:50	0:32:21	62	4:11:12	87	4:43:33	84	2:35:17	104	76		M45～49	11
95	1068	高橋　佳伸	61	男	福岡県	7:20:03	0:33:04	69	4:13:44	91	4:46:48	89	2:33:15	102	77		M60～64	15
96	1230	竹崎　亜紀子	52	女	鹿児島県	7:22:55	0:39:01	139	4:21:52	103	5:00:53	103	2:22:02	80		19	W50～54	5
97	1074	中島　伸之	60	男	東京都	7:23:49	0:37:03	119	4:20:00	100	4:57:03	99	2:26:46	89	78		M60～64	16
98	1045	高橋　彰	65	男	宮城県	7:26:47	0:40:34	150	4:19:50	99	5:00:24	102	2:26:23	88	79		M65～69	6
99	1237	白仁田　理恵	46	女	福岡県	7:27:58	0:42:40	165	4:37:15	134	5:19:55	141	2:08:03	56		20	W45～49	2
100	1174	大脇　隆司	41	男	長崎県	7:28:15	0:51:14	195	4:12:26	89	5:03:40	111	2:24:35	86	80		M40～44	11
101	1125	古賀　賢二郎	52	男	埼玉県	7:28:45	0:33:15	70	4:34:31	128	5:07:46	118	2:20:59	78	81		M50～54	15
102	1032	南原　好和	67	男	東京都	7:30:35	0:36:40	112	4:34:11	127	5:10:51	124	2:19:44	76	82		M65～69	7
103	1104	石塚　一志	56	男	東京都	7:35:34	0:33:23	72	4:30:42	121	5:04:05	112	2:31:29	97	83		M55～59	10
104	1049	高橋　健志	64	男	福岡県	7:37:28	0:29:12	34	3:51:42	58	4:20:54	54	3:16:34	181	84		M60～64	17
105	1238	愛波　理恵子	46	女	東京都	7:39:24	0:35:19	103	4:14:27	92	4:49:46	90	2:49:38	145		21	W45～49	3
106	1205	榊　泰子	63	女	埼玉県	7:40:08	0:29:44	40	4:40:45	141	5:10:29	123	2:29:39	93		22	W60～64	4
107	1182	向山　裕介	37	男	東京都	7:41:12	0:45:41	182	4:07:04	83	4:52:45	92	2:48:27	140	85		M35～39	4
108	1163	藤田　洋平	44	男	静岡県	7:44:06	0:49:09	192	4:06:18	81	4:55:27	95	2:48:39	141	86		M40～44	12
109	1247	古賀　花菜子	40	女	長崎県	7:44:19	0:39:17	143	4:22:39	105	5:01:56	105	2:42:23	127		23	W40～44	1
110	1033	梅津　友則	66	男	東京都	7:44:40	0:32:39	64	4:29:59	120	5:02:38	108	2:42:02	124	87		M65～69	8
111	1038	酒井　延行	65	男	京都府	7:45:05	0:37:24	126	4:18:40	97	4:56:04	96	2:49:01	142	88		M65～69	9
112	1012	伊藤　弘善	74	男	滋賀県	7:45:22	0:34:12	88	4:20:27	101	4:54:39	94	2:50:43	148	89		M70～74	3
113	1218	植田　靖子	59	女	山口県	7:45:23	0:38:40	134	4:27:09	113	5:05:49	116	2:39:34	119		24	W55～59	2
114	1005	小林　康正	76	男	神奈川県	7:45:23	0:38:47	136	4:36:47	133	5:15:34	133	2:29:49	94	90		M75～79	1
115	1042	福田　章典	65	男	滋賀県	7:47:48	0:37:46	127	4:36:01	130	5:13:47	130	2:34:01	103	91		M65～69	10
116	1008	山下　得蔵	76	男	長崎県	7:48:48	0:37:16	124	4:26:13	111	5:03:29	110	2:45:19	134	92		M75～79	2
117	1097	高橋　正浩	58	男	大阪府	7:49:15	0:40:22	149	4:29:55	119	5:10:17	122	2:38:58	115	93		M55～59	11
118	1087	井上　浩毅	59	男	東京都	7:50:05	0:34:32	91	4:21:55	104	4:56:27	97	2:53:38	153	94		M55～59	12
119	1080	平野　光司	60	男	兵庫県	7:50:23	0:49:15	193	4:22:47	106	5:12:02	127	2:38:21	111	95		M60～64	18
120	1029	伊藤　秀明	67	男	栃木県	7:52:43	0:37:00	118	4:33:17	126	5:10:17	121	2:42:26	129	96		M65～69	11
121	1059	前田　恭嗣	62	男	熊本県	7:53:34	0:38:59	137	4:32:10	123	5:11:09	125	2:42:25	128	97		M60～64	19
122	1090	榎　貴志	58	男	奈良県	7:53:52	0:31:29	52	4:32:47	125	5:04:16	113	2:49:36	144	98		M55～59	13
123	1117	高田　裕司	54	男	長崎県	7:54:59	0:45:44	183	4:17:40	95	5:03:24	109	2:51:35	149	99		M50～54	16
124	1031	高井　晴彦	67	男	神奈川県	7:56:25	0:37:58	131	4:39:44	138	5:17:42	136	2:38:43	114	100		M65～69	12
125	1245	野原　奈津子	44	女	長崎県	7:57:27	0:37:55	130	4:36:20	132	5:14:15	131	2:43:12	130		25	W40～44	2
126	1130	宮田　篤郎	51	男	佐賀県	7:57:37	0:37:03	120	4:36:04	131	5:13:07	129	2:44:30	131	101		M50～54	17
127	1137	久枝　栄二	50	男	岡山県	7:58:53	0:36:47	113	4:23:00	107	4:59:47	100	2:59:06	161	102		M50～54	18
128	1164	森田　善仁	44	男	東京都	7:59:10	0:42:29	163	4:47:44	150	5:30:13	152	2:28:57	91	103		M40～44	13
129	1064	河本　央	61	男	滋賀県	7:59:30	0:35:07	97	4:31:37	122	5:06:44	117	2:52:46	152	104		M60～64	20
130	1069	盛岡　豊	61	男	大阪府	8:00:36	0:45:06	181	4:29:51	118	5:14:57	132	2:45:39	135	105		M60～64	21
131	1147	綾川　聡司	47	男	神奈川県	8:02:58	0:34:22	89	5:13:45	175	5:48:07	171	2:14:51	68	106		M45～49	12
132	1030	山本　雅一郎	67	男	福岡県	8:04:36	0:37:00	117	4:39:53	139	5:16:53	134	2:47:43	138	107		M65～69	13
133	1017	Ｔｕｒｏｃｚｙ　Ｍｉｃｈａｅｌ	72	男	長崎県	8:06:36	0:34:03	81	4:50:57	155	5:25:00	148	2:41:36	121	108		M70～74	4
134	1020	田原　志高	70	男	愛知県	8:07:43	0:42:38	164	4:34:45	129	5:17:23	135	2:50:20	147	109		M70～74	5
135	1046	副島　哲也	65	男	長崎県	8:10:03	0:39:42	144	4:29:03	117	5:08:45	120	3:01:18	164	110		M65～69	14
136	1058	小田　英男	62	男	千葉県	8:11:42	0:42:09	160	4:40:19	140	5:22:28	146	2:49:14	143	111		M60～64	22
137	1013	岩崎　英喜	74	男	長崎県	8:11:55	0:36:36	111	4:25:40	110	5:02:16	106	3:09:39	174	112		M70～74	6
138	1144	澁谷　真彦	48	男	兵庫県	8:12:36	0:26:49	15	4:41:03	142	5:07:52	119	3:04:44	169	113		M45～49	13
139	1057	古賀　和哉	62	男	福岡県	8:13:08	0:41:38	158	4:55:59	159	5:37:37	158	2:35:31	105	114		M60～64	23
140	1060	曽根本　弘好	62	男	山口県	8:13:45	0:46:59	184	4:48:17	152	5:35:16	156	2:38:29	113	115		M60～64	24
141	1213	富樫　京子	60	女	東京都	8:14:10	0:44:22	176	4:47:44	149	5:32:06	154	2:42:04	125		26	W60～64	5
142	1023	大森　裕志	69	男	愛知県	8:14:18	0:41:35	157	4:47:52	151	5:29:27	151	2:44:51	132	116		M65～69	15
143	1073	久保　雅彦	61	男	福岡県	8:14:35	0:47:45	187	4:32:11	124	5:19:56	142	2:54:39	154	117		M60～64	25
144	1085	山路　博文	60	男	広島県	8:14:50	0:47:27	186	4:58:10	160	5:45:37	169	2:29:13	92	118		M60～64	26
145	1224	高田　友美	55	女	栃木県	8:15:43	0:36:53	115	5:03:05	166	5:39:58	163	2:35:45	106		27	W55～59	3
146	1202	白土　保子	65	女	栃木県	8:15:43	0:38:33	133	5:01:25	165	5:39:58	162	2:35:45	107		28	W65～69	1
147	1009	北川　光則	76	男	長崎県	8:16:06	0:42:28	162	4:28:42	116	5:11:10	126	3:04:56	170	119		M75～79	3
148	1037	森　孝博	66	男	香川県	8:16:40	0:33:41	79	4:45:01	147	5:18:42	138	2:57:58	160	120		M65～69	16
149	1215	吉田　喜久代	59	女	大阪府	8:17:16	0:34:45	93	4:50:02	154	5:24:47	147	2:52:29	150		29	W55～59	4
150	1071	稲角　貴則	61	男	兵庫県	8:17:27	0:47:26	185	4:44:46	145	5:32:12	155	2:45:15	133	121		M60～64	27
151	1231	岡田　知子	52	女	東京都	8:18:01	0:43:03	168	4:55:55	158	5:38:58	160	2:39:03	116		30	W50～54	6
152	1162	臼本　隼也	44	男	宮崎県	8:22:57	0:26:04	13	4:55:54	157	5:21:58	145	3:00:59	163	122		M40～44	14
153	1112	古本　憲一	55	男	兵庫県	8:23:04	0:44:46	180	4:41:39	143	5:26:25	149	2:56:39	155	123		M55～59	14
154	1034	中村　峯忠	66	男	福岡県	8:23:40	0:31:06	47	4:48:25	153	5:19:31	140	3:04:09	168	124		M65～69	17
155	1173	内山　誓一郎	42	男	東京都	8:25:23	0:34:12	86	4:27:24	114	5:01:36	104	3:23:47	186	125		M40～44	15
156	1006	松川　幹雄	76	男	兵庫県	8:28:26	0:44:39	179	5:11:45	173	5:56:24	177	2:32:02	99	126		M75～79	4
157	1054	浦山　信彰	63	男	長崎県	8:28:52	0:39:05	141	4:59:59	163	5:39:04	161	2:49:48	146	127		M60～64	28
158	1035	森　秀明	66	男	茨城県	8:31:35	0:51:47	197	4:27:06	112	5:18:53	139	3:12:42	177	128		M65～69	18
159	1178	溝口　真太朗	40	男	広島県	8:33:41	0:43:49	172	4:37:36	135	5:21:25	144	3:12:16	175	129		M40～44	16
160	1222	塚田　優子	57	女	京都府	8:34:41	0:43:01	167	4:45:59	148	5:29:00	150	3:05:41	172		31	W55～59	5
161	1076	末武　誠	60	男	神奈川県	8:36:07	0:40:51	152	5:13:26	174	5:54:17	175	2:41:50	122	130		M60～64	29
162	1088	加藤　岩大	58	男	神奈川県	8:38:54	0:39:03	140	4:39:14	137	5:18:17	137	3:20:37	184	131		M55～59	15
163	1235	小川　芙美	48	女	大阪府	8:39:07	0:42:52	166	5:18:45	179	6:01:37	181	2:37:30	109		32	W45～49	4
164	1220	高津　泉	57	女	埼玉県	8:40:47	0:43:25	170	5:19:45	181	6:03:10	182	2:37:37	110		33	W55～59	6
165	1229	綾川　亜紀子	52	女	神奈川県	8:40:55	0:34:28	90	5:13:45	176	5:48:13	172	2:52:42	151		34	W50～54	7
166	1111	沼野　賢司	55	男	兵庫県	8:41:44	0:41:21	156	5:14:37	177	5:55:58	176	2:45:46	136	132		M55～59	16
167	1242	中原　梨絵	45	女	大阪府	8:42:00	0:51:30	196	4:53:00	156	5:44:30	166	2:57:30	159		35	W45～49	5
168	1110	松本　恒一	55	男	東京都	8:43:22	0:37:13	123	5:24:16	183	6:01:29	180	2:41:53	123	133		M55～59	17
169	1102	宮本　昭	56	男	宮崎県	8:44:26	0:48:45	190	4:43:12	144	5:31:57	153	3:12:29	176	134		M55～59	18
170	1243	久保　桂	44	女	長崎県	8:46:27	0:48:51	191	5:18:14	178	6:07:05	185	2:39:22	117		36	W40～44	3
171	1108	中村　年宏	55	男	千葉県	8:46:49	0:39:00	138	5:21:47	182	6:00:47	179	2:46:02	137	135		M55～59	19
172	1181	伊藤　祐介	37	男	東京都	8:52:27	0:31:02	46	5:39:03	191	6:10:05	187	2:42:22	126	136		M35～39	5
173	1093	田村　晋一	58	男	東京都	8:53:37	0:32:16	61	5:05:19	168	5:37:35	157	3:16:02	180	137		M55～59	20
174	1207	福井　幸代	61	女	愛知県	8:57:54	0:34:12	87	4:38:29	136	5:12:41	128	3:45:13	193		37	W60～64	6
175	1227	菅　香織	53	女	神奈川県	9:00:02	0:33:48	80	5:29:26	187	6:03:14	183	2:56:48	156		38	W50～54	8
176	1118	増野　正巳	54	男	東京都	9:00:21	0:37:53	129	5:08:57	169	5:46:50	170	3:13:31	179	138		M50～54	19
177	1011	原　敏朗	75	男	長崎県	9:01:55	0:44:36	178	5:04:23	167	5:48:59	173	3:12:56	178	139		M75～79	5
178	1022	諸江　一男	69	男	佐賀県	9:03:34	0:35:25	104	4:44:54	146	5:20:19	143	3:43:15	191	140		M65～69	19
179	1219	平江　ユキ	58	女	熊本県	9:08:55	0:44:15	173	5:25:22	184	6:09:37	186	2:59:18	162		39	W55～59	7
180	1043	川崎　雅己	65	男	兵庫県	9:09:03	0:40:38	151	5:26:20	185	6:06:58	184	3:02:05	166	141		M65～69	20
181	1053	石丸　壽昭	63	男	東京都	9:09:19	0:40:59	153	5:19:24	180	6:00:23	178	3:08:56	173	142		M60～64	30
182	1078	岡本　信之	60	男	埼玉県	9:14:35	0:42:16	161	5:10:17	172	5:52:33	174	3:22:02	185	143		M60～64	31
183	1014	古賀　弘	73	男	福岡県	9:16:17	0:44:17	174	4:58:57	162	5:43:14	165	3:33:03	188	144		M70～74	7
184	1143	椎葉　圭一	48	男	宮崎県	9:18:28	0:44:28	177	5:29:01	186	6:13:29	189	3:04:59	171	145		M45～49	14
185	1221	荒川　千秋	57	女	長崎県	9:22:53	0:39:57	146	5:01:17	164	5:41:14	164	3:41:39	190		40	W55～59	8
186	1217	福嶋　純子	59	女	長崎県	9:22:54	0:47:52	188	5:37:36	189	6:25:28	190	2:57:26	158		41	W55～59	9
187	1211	小嶋　美和子	60	女	東京都	9:23:31	0:40:04	147	4:58:34	161	5:38:38	159	3:44:53	192		42	W60～64	7
188	1210	田中　美香	60	女	神奈川県	9:29:18	0:35:25	105	5:52:33	195	6:27:58	192	3:01:20	165		43	W60～64	8
189	1212	湯川　ゆかり	60	女	京都府	9:30:22	0:48:27	189	5:38:04	190	6:26:31	191	3:03:51	167		44	W60～64	9
190	1103	塚本　稔	56	男	広島県	9:32:21	0:36:26	110	5:09:07	170	5:45:33	168	3:46:48	194	146		M55～59	21
191	1010	明川　泉	75	男	熊本県	9:41:01	0:39:06	142	5:31:37	188	6:10:43	188	3:30:18	187	147		M75～79	6
192	1121	黒山　剛	53	男	福岡県	9:50:02	0:35:01	95	5:10:13	171	5:45:14	167	4:04:48	196	148		M50～54	20
193	1158	田中　俊行	45	男	兵庫県	9:50:13	0:38:07	132	5:51:57	193	6:30:04	193	3:20:09	183	149		M45～49	15
194	1004	高野　道夫	76	男	茨城県	9:56:13	0:41:20	155	5:58:16	197	6:39:36	195	3:16:37	182	150		M75～79	7
195	1027	浦中　勝美	68	男	長崎県	10:16:57	0:43:10	169	5:57:21	196	6:40:31	196	3:36:26	189	151		M65～69	21
196	1077	長田　浩伸	60	男	宮崎県	10:38:01	0:53:18	198	5:44:01	192	6:37:19	194	4:00:42	195	152		M60～64	32
197	1007	鎌田　秀明	76	男	東京都	11:27:38	0:40:06	148	6:36:03	198	7:16:09	198	4:11:29	197	153		M75～79	8
198	1105	城野　崇弘	56	男	佐賀県	12:03:43	0:49:31	194	5:52:18	194	6:41:49	197	5:21:54	198	154		M55～59	22
SKIP	1001	舘本　義勝	85	男	大阪府	10:34:01					6:32:59		4:01:02				M85～89	
SKIP	1065	篠原　永年	61	男	神奈川県	8:40:47					5:47:33		2:53:14				M60～64	
SKIP	1089	吉村　洋一	58	男	東京都	8:09:49					5:21:40		2:48:09				M55～59	
SKIP	1113	阿二　真樹	55	男	埼玉県	8:18:25					5:13:00		3:05:25				M55～59	
