総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	T1ラップ	T1順	バイクラップ	B順	スプリット	通過	T2ラップ	T2順	ランラップ	R順	年代区分	年代順位	年齢	年齢順位
8	5030	ﾋﾗﾂｶ ｼﾞｭﾝﾀ	22	男	2:19:00	0:29:23	23	0:06:27	6	1:04:23	6	1:40:13	13	0:01:48	16	0:36:59	8	男子24歳以下	6	22	
8	5034	ﾎﾝﾀﾞ ﾏﾅﾐ	44	女	3:01:44	0:32:37	3	0:09:23	10	1:26:43	27	2:08:43	6	0:02:30	10	0:50:31	14	女子40-44歳	1	44	
9	5168	ｶﾀﾔ ﾘｭｳｲﾁ	22	男	2:19:51	0:23:27	3	0:06:00	1	1:07:07	21	1:36:34	5	0:01:32	6	0:41:45	27	男子24歳以下	7	22	
9	8149	ﾐﾔﾊﾗ ﾁｱｷ	37	女	3:02:24	0:30:49	2	0:10:02	13	1:31:16	45	2:12:07	11	0:02:36	12	0:47:41	6	女子35-39歳	1	37	
10	5024	ﾓﾘ ﾕｳﾀ	19	男	2:20:16	0:21:58	1	0:07:18	15	1:02:31	3	1:31:47	1	0:01:38	7	0:46:51	83	男子24歳以下	8	19	
10	8117	ｱﾂﾞﾏ ﾕｳｶ	21	女	3:02:41	0:35:00	6	0:08:23	3	1:19:21	10	2:02:44	5	0:06:48	66	0:53:09	21	女子24歳以下	5	21	
11	5004	ﾜﾀﾅﾍﾞ ﾀｶｼ	42	男	2:20:47	0:29:52	27	0:06:50	12	1:03:14	5	1:39:56	11	0:02:05	30	0:38:46	12	男子40-44歳	1	42	
11	8115	ﾔﾅｶ ﾉｿﾞﾐ	20	女	3:03:26	0:36:12	7	0:09:38	11	1:25:39	24	2:11:29	10	0:02:02	3	0:49:55	11	女子24歳以下	6	20	
12	5023	ﾔﾏｳﾗ ｼﾝ	18	男	2:23:30	0:25:29	9	0:07:21	17	1:06:09	18	1:38:59	9	0:01:14	2	0:43:17	40	男子24歳以下	9	18	
12	5017	ﾌｼﾞｻｷ ﾏﾘﾉ	27	女	3:07:28	0:39:09	16	0:12:09	24	1:23:05	17	2:14:23	13	0:03:00	21	0:50:05	12	女子25-29歳	3	27	
13	5195	ｽｽﾞｷ ｺｳｽｹ	31	男	2:29:35	0:29:45	26	0:09:52	81	1:08:15	28	1:47:52	21	0:02:00	26	0:39:43	17	男子30-34歳	2	31	
13	8129	ﾐﾔｻﾞｷ ｱｲﾘ	27	女	3:08:51	0:37:11	12	0:11:56	23	1:24:34	22	2:13:41	12	0:03:20	28	0:51:50	16	女子25-29歳	4	27	
14	5025	ｵﾝﾀﾞ ｺｳｽｹ	20	男	2:30:24	0:25:26	8	0:07:16	14	1:13:17	69	1:45:59	16	0:01:55	23	0:42:30	35	男子24歳以下	10	20	
14	5153	ｺｸﾎﾞ ｻｷ	28	女	3:09:54	0:36:47	10	0:09:07	7	1:34:29	54	2:20:23	24	0:02:09	4	0:47:22	4	女子25-29歳	5	28	
15	5014	ﾋﾗｻﾜ ｹﾝｲﾁ	49	男	2:30:47	0:30:50	32	0:07:38	25	1:08:04	27	1:46:32	18	0:02:25	59	0:41:50	29	男子45-49歳	1	49	
15	8198	ﾉｸﾞﾁ ｹｲｺ	60	女	3:14:20	0:45:33	41	0:14:27	50	1:22:59	16	2:22:59	29	0:02:31	11	0:48:50	9	女子60-64歳	1	60	
16	8034	Barnstable Timothy	56	男	2:32:09	0:34:55	53	0:08:31	39	1:05:03	13	1:48:29	22	0:02:43	99	0:40:57	21	男子55-59歳	1	56	
16	8121	ﾖｼｵｶ ﾋﾄﾐ	21	女	3:14:53	0:40:31	18	0:13:25	39	1:32:19	48	2:26:15	37	0:02:21	7	0:46:17	3	女子24歳以下	7	21	
17	5035	ｶﾜﾑﾗ ｱｷﾗ	47	男	2:32:48	0:28:18	16	0:07:31	20	1:10:12	39	1:46:01	17	0:01:53	18	0:44:54	62	男子45-49歳	2	47	
17	8124	Schultz Abbey	25	女	3:15:35	0:45:48	42	0:09:15	8	1:23:18	19	2:18:21	19	0:02:52	16	0:54:22	25	女子25-29歳	6	25	
18	5070	ｺｼﾞﾏ ｼｮｳﾄ	24	男	2:32:57	0:40:41	122	0:06:48	11	1:08:36	30	1:56:05	38	0:01:43	10	0:35:09	1	男子24歳以下	11	24	
18	8199	ﾊﾗ ｹｲｺ	60	女	3:15:37	0:49:07	54	0:12:46	33	1:19:47	12	2:21:40	25	0:03:45	33	0:50:12	13	女子60-64歳	2	60	
19	6151	ﾀﾅｱﾐ ﾋﾛﾕｷ	40	男	2:33:56	0:28:41	18	0:07:37	24	1:10:30	41	1:46:48	19	0:03:07	162	0:44:01	51	男子40-44歳	2	40	
19	8159	Tasca Mariana	40	女	3:15:52	0:43:15	30	0:12:39	29	1:23:08	18	2:19:02	21	0:04:33	43	0:52:17	17	女子40-44歳	2	40	
20	5022	ﾜﾀﾅﾍﾞ ﾀﾞｲﾁ	19	男	2:34:06	0:25:09	7	0:08:36	43	1:10:04	38	1:43:49	14	0:02:14	44	0:48:03	103	男子24歳以下	12	19	
20	8135	ﾀﾅｶ ﾐﾎ	29	女	3:17:02	0:41:05	21	0:10:45	18	1:29:52	39	2:21:42	26	0:02:41	13	0:52:39	19	女子25-29歳	7	29	
21	5061	ｼﾗﾌｼﾞ ﾘｭｳｾｲ	21	男	2:35:04	0:27:37	12	0:08:34	41	1:12:24	53	1:48:35	23	0:01:53	18	0:44:36	60	男子24歳以下	13	21	
21	8174	ﾐﾅﾐ ｼﾏｺ	48	女	3:20:47	0:37:07	11	0:13:36	41	1:23:52	20	2:14:35	14	0:03:16	27	1:02:56	42	女子45-49歳	2	48	
22	5062	ｴﾉﾓﾄ ﾋﾛﾄ	21	男	2:35:44	0:36:42	76	0:07:32	21	1:08:38	31	1:52:52	31	0:01:54	20	0:40:58	22	男子24歳以下	14	21	
22	8176	ﾀｹﾀﾞ ﾌﾐｴ	51	女	3:21:24	0:43:58	37	0:11:21	22	1:19:51	13	2:15:10	16	0:02:55	19	1:03:19	44	女子50-54歳	1	51	
23	8634	ｲﾍﾞ ｱｷﾌﾐ	23	男	2:37:27	0:38:56	107	0:09:33	72	1:03:13	4	1:51:42	29	0:02:41	93	0:43:04	39	男子24歳以下	15	23	
23	8195	ﾖﾈﾀﾆ ｷｮｳｺ	59	女	3:23:10	0:41:13	23	0:12:15	27	1:25:49	25	2:19:17	22	0:03:02	23	1:00:51	39	女子55-59歳	1	59	
24	5021	ﾀｶﾐ ﾏｻﾊﾙ	19	男	2:37:48	0:33:45	46	0:07:36	22	1:07:46	26	1:49:07	24	0:03:25	220	0:45:16	67	男子24歳以下	16	19	
24	8130	ｸﾎﾞ ﾅﾅﾐ	27	女	3:23:59	0:43:41	34	0:14:45	52	1:26:50	28	2:25:16	35	0:02:53	17	0:55:50	28	女子25-29歳	8	27	
25	5020	ｵｵﾓﾘ ｱﾏﾈ	21	男	2:38:28	0:36:34	73	0:07:38	25	1:07:40	24	1:51:52	30	0:02:13	42	0:44:23	55	男子24歳以下	17	21	
25	8123	ﾀﾅｶ ﾋﾗﾘ	22	女	3:24:58	0:49:10	55	0:10:22	14	1:19:04	9	2:18:36	20	0:03:02	23	1:03:20	45	女子24歳以下	8	22	
26	5063	ｽｽﾞｷ ﾀﾞｲﾁ	21	男	2:39:55	0:29:34	24	0:07:56	30	1:15:50	108	1:53:20	33	0:02:49	110	0:43:46	48	男子24歳以下	18	21	
26	8139	ｶﾝﾍﾞ ﾐｵ	32	女	3:25:40	0:43:37	33	0:13:46	43	1:30:55	41	2:28:18	38	0:04:38	45	0:52:44	20	女子30-34歳	1	32	
27	5126	ｺﾊﾞﾔｼ ﾘｮｳﾏ	27	男	2:40:29	0:27:40	13	0:07:50	29	1:14:24	84	1:49:54	25	0:05:00	412	0:45:35	73	男子25-29歳	2	27	
27	8169	ｲﾑﾗ ﾏﾐ	45	女	3:26:16	0:46:25	45	0:10:34	16	1:19:45	11	2:16:44	17	0:04:59	48	1:04:33	49	女子45-49歳	3	45	
28	8622	ｱｻｶﾜ ﾋﾛﾐﾁ	48	男	2:40:30	0:38:20	97	0:08:58	48	1:05:57	17	1:53:15	32	0:02:08	36	0:45:07	64	男子45-49歳	3	48	
28	8627	ﾂﾙｵｶ ﾄﾓﾐ	44	女	3:26:57	0:37:58	13	0:12:28	28	1:32:14	47	2:22:40	27	0:03:15	26	1:01:02	40	女子40-44歳	3	44	
29	5007	ｷｸﾀ ﾘｭｳｼﾞ	48	男	2:40:50	0:29:21	22	0:08:48	46	1:12:14	51	1:50:23	26	0:02:58	137	0:47:29	94	男子45-49歳	4	48	
29	8151	ﾔﾅﾀﾞ ｶﾅｺ	38	女	3:27:17	0:56:13	70	0:14:25	49	1:18:10	6	2:28:48	39	0:05:54	60	0:52:35	18	女子35-39歳	2	38	
30	7154	ｽｶ ｱﾂｼ	51	男	2:41:07	0:30:28	30	0:09:53	83	1:11:12	45	1:51:33	28	0:02:34	82	0:47:00	88	男子50-54歳	1	51	
30	8127	ﾀﾒｶﾞｲ ﾕｲ	27	女	3:28:01	0:36:44	9	0:11:07	20	1:29:17	36	2:17:08	18	0:02:53	17	1:08:00	53	女子25-29歳	9	27	
31	6067	ﾎﾝﾏ ﾋﾛｱｷ	34	男	2:41:13	0:36:03	64	0:08:13	35	1:12:41	56	1:56:57	40	0:02:07	32	0:42:09	32	男子30-34歳	3	34	
31	8193	ﾔﾏｸﾞﾁ ｻﾁｺ	56	女	3:30:16	0:42:59	28	0:15:14	59	1:21:49	15	2:20:02	23	0:05:46	57	1:04:28	48	女子55-59歳	2	56	
32	5056	ｻｲﾄｳ ﾋﾛﾐﾂ	44	男	2:41:18	0:27:19	10	0:07:39	27	1:12:44	57	1:47:42	20	0:02:06	31	0:51:30	168	男子40-44歳	3	44	
32	8144	ﾏﾁﾀﾞ ｴﾘ	33	女	3:30:21	0:47:51	50	0:10:36	17	1:27:40	32	2:26:07	36	0:03:49	34	1:00:25	37	女子30-34歳	2	33	
33	6162	ｷｻﾞｷ ｽﾐﾄﾓ	40	男	2:41:30	0:37:53	87	0:10:05	88	1:09:31	36	1:57:29	41	0:02:39	89	0:41:22	25	男子40-44歳	4	40	
33	8201	ﾜﾀﾅﾍﾞ ｷﾐｺ	63	女	3:30:48	0:40:42	19	0:16:24	61	1:33:43	53	2:30:49	44	0:06:08	62	0:53:51	23	女子60-64歳	3	63	
34	5010	ｺﾊﾞﾔｼ ﾏｻﾉﾘ	52	男	2:41:52	0:30:46	31	0:07:36	22	1:12:52	62	1:51:14	27	0:02:53	124	0:47:45	98	男子50-54歳	2	52	
34	8183	ｻｻｷ ﾕﾐ	53	女	3:30:59	0:47:46	49	0:13:05	35	1:32:25	49	2:33:16	48	0:03:43	32	0:54:00	24	女子50-54歳	2	53	
35	5156	ﾔﾅｾ ﾘｮｳ	18	男	2:41:59	0:39:20	112	0:07:18	15	1:15:25	97	2:02:03	57	0:01:46	15	0:38:10	11	男子24歳以下	19	18	
35	8152	ﾖｼｻﾞﾜ ｱﾕﾐ	39	女	3:31:06	0:51:38	58	0:13:09	37	1:27:50	33	2:32:37	47	0:03:36	31	0:54:53	27	女子35-39歳	3	39	
36	6172	ﾄｺﾛ ｶｽﾞﾋﾄ	41	男	2:42:08	0:46:35	233	0:08:03	33	1:01:29	1	1:56:07	39	0:01:59	25	0:44:02	52	男子40-44歳	5	41	
36	8186	ﾂﾁﾔ ｻｴｺ	53	女	3:31:18	0:39:08	15	0:12:14	26	1:33:10	51	2:24:32	32	0:03:28	30	1:03:18	43	女子50-54歳	3	53	
37	7062	ｽﾊﾗ ﾔｽｼ	47	男	2:42:22	0:38:27	99	0:08:59	49	1:08:31	29	1:55:57	37	0:02:27	65	0:43:58	49	男子45-49歳	5	47	
37	8172	ﾉﾄ ﾖｳｺ	47	女	3:31:52	0:45:59	43	0:17:53	68	1:32:48	50	2:36:40	55	0:05:23	52	0:49:49	10	女子45-49歳	4	47	
38	5097	ｱﾝﾌﾞﾂ ﾅｵｷ	29	男	2:43:12	0:46:26	228	0:09:00	50	1:06:45	20	2:02:11	58	0:01:45	13	0:39:16	15	男子25-29歳	3	29	
38	8188	ｱｵｷ ｼﾞｭﾝｺ	54	女	3:31:53	0:44:28	38	0:16:36	62	1:29:48	38	2:30:52	45	0:04:41	46	0:56:20	30	女子50-54歳	4	54	
39	7186	ｲｼｲ ｹｲﾀ	53	男	2:44:17	0:32:21	37	0:08:45	45	1:14:09	80	1:55:15	34	0:02:11	38	0:46:51	83	男子50-54歳	3	53	
39	8616	ﾌｼﾞｼﾛ ｻﾔｶ	29	女	3:33:03	0:38:48	14	0:11:03	19	1:40:08	62	2:29:59	43	0:02:50	15	1:00:14	36	女子25-29歳	10	29	
40	5043	ﾅﾘﾀ ｶｽﾞﾏ	35	男	2:44:24	0:36:10	65	0:10:07	92	1:16:48	130	2:03:05	61	0:02:25	59	0:38:54	14	男子35-39歳		35	
40	8194	ﾖｺﾁ ｻﾄﾐ	57	女	3:33:54	0:45:15	40	0:12:11	25	1:37:39	60	2:35:05	50	0:05:24	55	0:53:25	22	女子55-59歳		57	
41	7077	ｵｵﾇﾏ ﾘｮｳ	48	男	2:45:38	0:36:28	70	0:08:06	34	1:12:57	63	1:57:31	42	0:02:17	48	0:45:50	74	男子45-49歳	6	48	
41	8184	ｲﾇﾂﾞｶ ﾋﾛﾐ	53	女	3:34:15	0:45:13	39	0:13:43	42	1:30:58	43	2:29:54	42	0:03:01	22	1:01:20	41	女子50-54歳	5	53	
42	6103	ﾏｽﾊﾗ ﾕｳﾀﾛｳ	37	男	2:45:52	0:46:36	234	0:07:46	28	1:08:56	33	2:03:18	62	0:01:43	10	0:40:51	20	男子35-39歳	2	37	
42	8618	ｲｼｶﾜ ﾅﾂｷ	36	女	3:37:13	0:40:53	20	0:14:09	46	1:29:52	39	2:24:54	33	0:04:06	38	1:08:13	54	女子35-39歳	4	36	
43	5005	ﾔﾏｻｷ ﾌﾐﾀｶ	46	男	2:46:08	0:33:10	42	0:09:10	55	1:18:04	156	2:00:24	48	0:03:43	269	0:42:01	31	男子45-49歳	7	46	
43	8640	ﾜﾀﾅﾍﾞ ﾐﾕｷ	57	女	3:37:18	0:55:32	67	0:13:08	36	1:27:31	31	2:36:11	53	0:04:25	42	0:56:42	31	女子55-59歳	4	57	
44	5008	ﾓﾘｼﾀ ﾘｸﾛｳ	30	男	2:47:18	0:32:27	39	0:08:15	36	1:04:46	10	1:45:28	15	0:02:26	64	0:59:24	314	男子30-34歳	4	30	
44	8145	ﾏﾂｵｶ ﾕｷ	34	女	3:37:30	0:48:03	53	0:14:46	53	1:30:57	42	2:33:46	49	0:05:23	52	0:58:21	34	女子30-34歳	3	34	
45	7125	ﾀﾉ ﾔｽｵ	50	男	2:47:37	0:36:29	71	0:10:25	108	1:08:54	32	1:55:48	36	0:03:15	190	0:48:34	111	男子50-54歳	4	50	
45	8181	ﾋｻﾓﾘ ﾕｷｺ	52	女	3:40:39	0:41:25	24	0:14:01	45	1:27:15	30	2:22:41	28	0:03:20	28	1:14:38	61	女子50-54歳	6	52	
46	5158	ｺｼﾞﾏ ｶﾂﾋｺ	27	男	2:47:47	0:45:26	206	0:08:37	44	1:15:26	98	2:09:29	100	0:02:59	139	0:35:19	2	男子25-29歳	4	27	
46	8170	ｱｶﾞｵｶ ｱﾔ	46	女	3:41:08	0:43:11	29	0:14:57	55	1:25:25	23	2:23:33	31	0:04:04	37	1:13:31	59	女子45-49歳	5	46	
47	5060	ﾅｶﾔ ｼﾞｭﾝﾔ	20	男	2:48:18	0:40:50	126	0:07:56	30	1:15:17	95	2:04:03	66	0:02:04	29	0:42:11	33	男子24歳以下	20	20	
47	8155	ﾔﾏｼﾀ ﾄﾓﾐ	40	女	3:41:13	0:41:53	27	0:12:58	34	1:28:35	35	2:23:26	30	0:03:59	36	1:13:48	60	女子40-44歳	4	40	
48	7006	ｳｵﾂﾞ ﾕｳｽｹ	44	男	2:48:47	0:41:13	128	0:10:25	108	1:12:46	59	2:04:24	68	0:03:23	211	0:41:00	23	男子40-44歳	6	44	
48	8113	ﾀｶﾔ ﾊﾅ	18	女	3:42:13	0:47:31	48	0:11:08	21	1:26:21	26	2:25:00	34	0:02:25	9	1:14:48	63	女子24歳以下	9	18	
49	8066	ﾏﾉ ｲｻﾑ	59	男	2:49:56	0:38:03	90	0:08:35	42	1:14:36	88	2:01:14	54	0:02:15	46	0:46:27	79	男子55-59歳	2	59	
49	8147	ﾐｽﾞｺｼ ﾕｶ	35	女	3:43:01	0:51:42	59	0:12:45	32	1:36:29	59	2:40:56	60	0:05:06	51	0:56:59	32	女子35-39歳	5	35	
50	6086	ﾄﾐﾀ ﾘｮｳ	36	男	2:50:50	0:43:56	171	0:10:37	117	1:09:18	35	2:03:51	65	0:02:25	59	0:44:34	57	男子35-39歳	3	36	
50	8157	ｱﾝｾｲ ｻｸﾗ	40	女	3:43:15	0:48:00	52	0:14:42	51	1:26:55	29	2:29:37	41	0:04:33	43	1:09:05	56	女子40-44歳	5	40	
51	5041	ﾀﾅｶ ﾄﾖﾕｷ	46	男	2:50:57	0:37:17	84	0:07:22	18	1:13:30	73	1:58:09	44	0:01:54	20	0:50:54	158	男子45-49歳	8	46	
51	8132	ﾖｼﾀｶ ｱｲ	28	女	3:43:58	0:57:58	73	0:10:32	15	1:31:11	44	2:39:41	58	0:06:14	64	0:58:03	33	女子25-29歳	11	28	
52	5182	ﾔｽｶﾜ ｹｲﾀﾛｳ	30	男	2:51:05	0:32:33	40	0:13:41	324	1:13:13	68	1:59:27	47	0:03:33	245	0:48:05	104	男子30-34歳	5	30	
52	8160	ｻﾉ ﾏｻﾐ	41	女	3:43:58	0:52:03	62	0:14:55	54	1:32:04	46	2:39:02	57	0:05:03	50	0:59:53	35	女子40-44歳	6	41	
53	5090	ﾐﾔｻﾞｷ ﾕｳ	27	男	2:51:06	0:36:32	72	0:09:19	63	1:19:11	177	2:05:02	74	0:02:31	73	0:43:33	45	男子25-29歳	5	27	
53	8173	ﾀﾅｶ ｲｽﾞﾐ	47	女	3:45:35	0:51:50	60	0:17:15	66	1:34:50	55	2:43:55	62	0:07:14	67	0:54:26	26	女子45-49歳	6	47	
54	5164	ｱｵｷ ﾊﾙ	20	男	2:51:45	0:45:21	204	0:07:12	13	1:14:03	78	2:06:36	80	0:01:40	8	0:43:29	43	男子24歳以下	21	20	
54	8182	ｺｲｽﾞﾐ ﾐｴｺ	52	女	3:46:40	0:47:57	51	0:15:04	57	1:33:30	52	2:36:31	54	0:03:49	34	1:06:20	51	女子50-54歳	7	52	
55	7017	ﾀｶﾊｼ ｹｲﾀ	44	男	2:52:37	0:39:32	114	0:09:14	61	1:12:05	50	2:00:51	51	0:02:08	34	0:49:38	129	男子40-44歳	7	44	
55	8166	ﾂﾎﾞｺ ﾕｶﾘ	45	女	3:47:44	0:53:40	64	0:13:51	44	1:29:47	37	2:37:18	56	0:05:23	52	1:05:03	50	女子45-49歳	7	45	
56	6134	ｴﾉｷﾀﾞ ﾀﾞｲｽｹ	39	男	2:52:50	0:30:06	28	0:10:48	127	1:16:41	127	1:57:35	43	0:02:11	38	0:53:04	195	男子35-39歳	4	39	
56	8625	ﾑｶｲ ｲｸｺ	53	女	3:52:33	0:41:43	26	0:15:06	58	1:18:14	7	2:15:03	15	0:04:21	41	1:33:09	68	女子50-54歳	8	53	
57	5012	ｶﾏｸﾗ ﾋﾛﾄ	38	男	2:53:05	0:31:21	34	0:10:05	88	1:19:12	178	2:00:38	49	0:02:31	73	0:49:56	134	男子35-39歳	5	38	
57	8140	ﾌﾅﾓﾄ ﾕﾂﾞｷ	32	女	3:55:27	0:46:24	44	0:14:09	46	1:51:18	67	2:51:51	65	0:03:05	25	1:00:31	38	女子30-34歳	4	32	
58	8615	ｵﾄﾞｩﾝﾗﾐ ｼﾞｬﾝﾌｨﾘｯﾌﾟ	45	男	2:53:06	0:42:58	151	0:11:32	175	1:10:49	44	2:05:19	76	0:02:22	52	0:45:25	68	男子45-49歳	9	45	
58	8141	ﾖｼｻﾞﾜ ﾘｻ	32	女	3:57:56	0:53:11	63	0:14:14	48	1:40:59	64	2:48:24	63	0:06:11	63	1:03:21	46	女子30-34歳	5	32	
59	5150	ﾓﾄﾑﾗ ﾊﾙﾄ	22	男	2:53:35	0:51:59	368	0:08:17	37	1:12:45	58	2:13:01	139	0:02:31	73	0:38:03	10	男子24歳以下	22	22	
59	8177	ｸﾂｶﾜ ｼﾉﾌﾞ	51	女	3:58:00	0:47:29	47	0:13:09	37	1:28:25	34	2:29:03	40	0:05:02	49	1:23:55	66	女子50-54歳	9	51	
60	8058	ﾐﾅｶﾜ ｹﾝｼﾞ	58	男	2:53:35	0:45:17	203	0:10:05	88	1:13:47	75	2:09:09	94	0:03:19	200	0:41:07	24	男子55-59歳	3	58	
60	8197	ﾀｶﾉ ﾅｵﾐ	59	女	3:58:01	0:41:39	25	0:18:39	70	1:35:12	56	2:35:30	52	0:06:36	65	1:15:55	64	女子55-59歳	5	59	
61	5074	ｵｶﾀﾞ ﾘｸﾄｼ	26	男	2:54:34	0:33:03	41	0:10:59	140	1:24:33	304	2:08:35	89	0:02:41	93	0:43:18	41	男子25-29歳	6	26	
61	8185	ｻﾙﾀ ｱｺ	53	女	3:58:02	0:43:15	31	0:14:59	56	1:52:11	69	2:50:25	64	0:04:16	39	1:03:21	46	女子50-54歳	10	53	
62	6124	ﾀﾆｸﾞﾁ ﾀｸﾔ	38	男	2:55:07	0:51:26	358	0:09:38	76	1:06:26	19	2:07:30	82	0:02:23	54	0:45:14	66	男子35-39歳	6	38	
62	8158	ｻｲﾄｳ ﾕｶ	40	女	3:58:36	0:43:48	36	0:22:06	71	1:35:30	57	2:41:24	61	0:08:17	69	1:08:55	55	女子40-44歳	7	40	
63	6164	ﾀｻﾞｷ ｼﾝﾍﾟｲ	41	男	2:55:08	0:46:41	236	0:10:29	112	1:12:19	52	2:09:29	100	0:02:52	121	0:42:47	37	男子40-44歳	8	41	
63	8180	ﾊﾏﾉ ｶｵﾘ	51	女	3:59:39	0:57:52	72	0:18:19	69	1:23:53	21	2:40:04	59	0:04:57	47	1:14:38	61	女子50-54歳	11	51	
64	5011	ﾀｹﾓﾄ ﾛｸﾖｼ	51	男	2:55:26	0:55:18	430	0:07:22	18	1:05:41	15	2:08:21	87	0:02:43	99	0:44:22	54	男子50-54歳	5	51	
64	8202	ﾀｷｻﾞﾜ ﾐﾖｺ	72	女	4:02:05	0:43:43	35	0:12:44	31	1:35:56	58	2:32:23	46	0:04:18	40	1:25:24	67	女子65歳以上	1	72	
65	5051	ｵｶﾍﾞ ﾀｶﾌﾐ	34	男	2:55:35	0:33:57	49	0:09:29	68	1:17:56	153	2:01:22	56	0:02:07	32	0:52:06	178	男子30-34歳	6	34	
65	8112	ｲﾁｶﾜ ﾘﾎ	18	女	4:02:51	0:39:14	17	0:15:30	60	1:40:25	63	2:35:09	51	0:05:58	61	1:21:44	65	女子24歳以下	10	18	
66	7134	ｽｽﾞｷ ﾏｻﾀｹ	50	男	2:55:52	0:38:05	91	0:09:31	71	1:13:10	67	2:00:46	50	0:02:51	116	0:52:15	182	男子50-54歳	6	50	
66	8621	ｶﾅｲｽﾞﾐ ｱｲ	50	女	4:09:08	0:51:53	61	0:12:41	30	1:51:40	68	2:56:14	67	0:05:51	58	1:07:03	52	女子50-54歳	12	50	
67	5065	ｿﾘﾏﾁ ﾋﾃﾞｷ	21	男	2:55:56	0:50:47	339	0:09:03	51	1:10:31	43	2:10:21	113	0:02:15	46	0:43:20	42	男子24歳以下	23	21	
67	8133	ﾄﾖﾀﾞ ｻｷｺ	28	女	4:11:29	0:55:41	69	0:16:45	64	1:42:48	65	2:55:14	66	0:05:45	56	1:10:30	58	女子25-29歳	12	28	
68	6181	ﾌｼﾞﾀ ﾏﾅﾌﾞ	42	男	2:56:00	0:36:35	74	0:10:52	133	1:11:47	49	1:59:14	46	0:03:03	147	0:53:43	218	男子40-44歳	9	42	
68	8143	ﾔﾏｵｶ ﾊﾙﾅ	32	女	4:13:12	0:49:48	56	0:17:43	67	1:49:32	66	2:57:03	68	0:05:51	58	1:10:18	57	女子30-34歳	6	32	
69	7008	ｻﾄｳ ﾏｻﾙ	44	男	2:56:28	0:35:25	59	0:13:37	320	1:16:45	129	2:05:47	77	0:03:50	294	0:46:51	83	男子40-44歳	10	44	
70	7112	ｽｹｶﾞﾜ ﾀﾞｲ	50	男	2:57:47	0:38:58	108	0:10:37	117	1:11:44	48	2:01:19	55	0:03:18	195	0:53:10	197	男子50-54歳	7	50	
