総合順位	No.	氏名	年齢	性別	居住地	総合記録	バイクラップ	B順	ランラップ	R順	男子順位	女子順位	区分	区分順位
145	1223	福田 仁美	42	女	埼玉県	1:25:47	0:51:26	116	0:34:21	166		12	40-49女子	1
146	1054	大沢 拓也	32	男	東京都	1:25:48	0:51:14	111	0:34:34	167	134		30-39男子	25
147	1059	長野 将吾	33	男	東京都	1:26:20	0:54:16	154	0:32:04	146	135		30-39男子	26
148	1039	高堀 裕太	30	男	東京都	1:26:21	0:57:23	170	0:28:58	91	136		30-39男子	27
149	1141	伊東 秀朗	51	男	東京都	1:26:28	0:57:59	172	0:28:29	81	137		50-59男子	44
150	1040	村松 宏紀	30	男	東京都	1:26:48	0:58:50	176	0:27:58	75	138		30-39男子	28
151	1071	中川 成一郎	35	男	茨城県	1:27:02	0:55:03	161	0:31:59	143	139		30-39男子	29
152	1227	鈴木 ゆかり	49	女	東京都	1:27:08	0:57:51	171	0:29:17	100		13	40-49女子	2
153	1086	武藤 寛樹	39	男	神奈川県	1:27:08	0:54:25	155	0:32:43	153	140		30-39男子	30
154	1228	明石 まほし	49	女	東京都	1:27:23	0:53:19	139	0:34:04	164		14	40-49女子	3
155	1162	田中 利和	54	男	東京都	1:27:24	0:52:47	133	0:34:37	170	141		50-59男子	45
156	1202	クガパネン ハルトムート	66	男	東京都	1:27:30	0:52:55	134	0:34:35	168	142		60-69男子	9
157	1085	福中 保	39	男	千葉県	1:27:48	0:55:45	166	0:32:03	144	143		30-39男子	31
158	1158	宮澤 茂宏	54	男	東京都	1:27:51	0:54:58	160	0:32:53	155	144		50-59男子	46
159	1031	永井 賢吾	29	男	東京都	1:28:11	0:54:56	159	0:33:15	158	145		20-29男子	20
160	1241	林 廣子	65	女	東京都	1:28:17	0:55:35	165	0:32:42	152		15	60-69女子	3
161	1030	中山 駿吾	29	男	東京都	1:28:51	0:55:49	167	0:33:02	156	146		20-29男子	21
162	1053	高坂 直矢	32	男	東京都	1:29:06	0:50:11	102	0:38:55	192	147		30-39男子	32
163	1242	大熊 志保子	73	女	千葉県	1:29:14	0:53:24	140	0:35:50	174		16	70-79女子	1
164	1064	平野 祐一	34	男	千葉県	1:29:35	0:59:23	182	0:30:12	118	148		30-39男子	33
165	1057	稲毛 茂樹	32	男	東京都	1:29:41	0:58:56	178	0:30:45	126	149		30-39男子	34
166	1005	設楽 晴貴	19	男	東京都	1:30:18	0:45:19	44	0:44:59	202	150		10-19男子	2
167	1146	小宮山 実	52	男	神奈川県	1:30:44	1:01:31	189	0:29:13	97	151		50-59男子	47
168	1032	竹浦 正起	29	男	東京都	1:30:58	0:54:11	150	0:36:47	182	152		20-29男子	22
169	1226	長谷部 真美	46	女	東京都	1:31:13	1:01:36	190	0:29:37	108		17	40-49女子	4
170	1236	関口 江里香	58	女	埼玉県	1:31:15	0:54:14	153	0:37:01	183		18	50-59女子	4
171	1084	青山 佳史	39	男	神奈川県	1:31:15	0:51:47	122	0:39:28	193	153		30-39男子	35
172	1060	廣本 隆	33	男	千葉県	1:31:35	0:55:13	162	0:36:22	179	154		30-39男子	36
173	1147	原 英治	53	男	大阪府	1:31:42	0:52:07	127	0:39:35	194	155		50-59男子	48
174	1013	松永 徹生	25	男	東京都	1:31:46	1:03:06	198	0:28:40	85	156		20-29男子	23
175	1193	松下 実	59	男	東京都	1:32:07	0:56:22	169	0:35:45	173	157		50-59男子	49
176	1069	飯村 亮祐	35	男	神奈川県	1:32:16	0:53:37	141	0:38:39	188	158		30-39男子	37
177	1136	井川 一幸	50	男	茨城県	1:32:36	0:58:35	174	0:34:01	163	159		50-59男子	50
178	1116	晝間 伸一郎	46	男	埼玉県	1:32:52	0:53:59	145	0:38:53	191	160		40-49男子	35
179	1082	田辺 大二	38	男	千葉県	1:34:08	1:01:49	191	0:32:19	150	161		30-39男子	38
180	1164	前田 秀敏	55	男	東京都	1:34:20	0:54:37	158	0:39:43	195	162		50-59男子	51
181	1235	渡部 佳子	57	女	千葉県	1:34:24	1:02:20	194	0:32:04	145		19	50-59女子	5
182	1006	鈴木 駿也	23	男	埼玉県	1:35:00	0:53:05	137	0:41:55	201	163		20-29男子	24
183	1033	藤村 純也	29	男	神奈川県	1:35:20	0:59:43	184	0:35:37	172	164		20-29男子	25
184	1022	野口 裕樹	27	男	東京都	1:35:45	1:01:53	192	0:33:52	162	165		20-29男子	26
185	1023	長谷部 友樹	27	男	東京都	1:36:12	1:06:14	200	0:29:58	114	166		20-29男子	27
186	1103	阿部 真司	43	男	千葉県	1:36:55	1:01:00	187	0:35:55	176	167		40-49男子	36
187	1034	塚本 征也	29	男	東京都	1:37:48	0:59:03	180	0:38:45	190	168		20-29男子	28
188	1210	津田 昌利	86	男	神奈川県	1:38:02	0:59:53	185	0:38:09	185	169		80-89男子	1
189	1155	小林 雄一郎	54	男	神奈川県	1:38:29	0:58:12	173	0:40:17	198	170		50-59男子	52
190	1229	大森 文子	50	女	神奈川県	1:38:50	0:58:54	177	0:39:56	196		20	50-59女子	6
191	1008	望月 雄友	25	男	神奈川県	1:39:07	1:02:56	197	0:36:11	178	171		20-29男子	29
192	1215	日中 有里子	30	女	神奈川県	1:39:35	0:59:33	183	0:40:02	197		21	30-39女子	3
193	1167	門倉 淳	55	男	神奈川県	1:40:57	1:02:45	196	0:38:12	186	172		50-59男子	53
194	1233	深澤 かおり	54	女	東京都	1:41:06	1:02:24	195	0:38:42	189		22	50-59女子	7
195	1134	石田 高俊	50	男	東京都	1:42:08	1:01:28	188	0:40:40	199	173		50-59男子	54
196	1201	廣部 昌弘	64	男	千葉県	1:42:54	1:01:53	193	0:41:01	200	174		60-69男子	10
197	1209	大熊 和夫	74	男	千葉県	1:43:23	1:06:51	201	0:36:32	181	175		70-79男子	2
198	1015	藤野 晃士朗	26	男	神奈川県	1:44:04	0:58:47	175	0:45:17	203	176		20-29男子	30
199	1207	獅倉 隆三	69	男	千葉県	1:45:17	1:07:28	202	0:37:49	184	177		60-69男子	11
200	1216	大久保 柚里	32	女	東京都	1:46:15	1:13:24	206	0:32:51	154		23	30-39女子	4
201	1183	清野 美勝	57	男	千葉県	1:47:10	1:08:41	204	0:38:29	187	178		50-59男子	55
202	1096	小林 慎	42	男	東京都	1:47:26	1:11:33	205	0:35:53	175	179		40-49男子	37
203	1197	竹内 正昭	63	男	東京都	1:48:51	0:59:14	181	0:49:37	204	180		60-69男子	12
204	1087	山口 祐介	40	男	千葉県	1:50:17	1:00:12	186	0:50:05	206	181		40-49男子	38
205	1129	真野 貴光	49	男	埼玉県	1:57:44	1:05:09	199	0:52:35	207	182		40-49男子	39
206	1140	高谷 慎太郎	51	男	東京都	1:58:32	1:08:27	203	0:50:05	205	183		50-59男子	56
207	1130	角谷 真一	49	男	東京都	2:10:03	1:40:57	207	0:29:06	95	184		40-49男子	40
DNF	1222	山根 史子	40	女	埼玉県								40-49女子	
DNF	1004	Maruyama Lance	18	男	東京都								10-19男子	
DNF	1028	鬼木 駿一	28	男	東京都								20-29男子	
総合
順位	No.	氏名	年齢	性別	居住地	総合記録	バイクラップ	B順	ランラップ	R順	男子
順位	女子
順位	区分	区分
順位
DNF	1067	菊地 康宏	34	男	東京都								30-39男子	
DNF	1076	手嶋 翔	36	男	東京都								30-39男子	
DNF	1142	川田 毅	51	男	神奈川県								50-59男子	
DNF	1143	川島 逸雄	51	男	東京都								50-59男子	
SKIP	1237	石野 ちはる	60	女	埼玉県				0:35:29				60-69女子	
DSQ	1122	中曽 極	48	男	東京都	1:01:30	0:45:16		0:16:14				40-49男子	
DSQ	1212	名越 真由	24	女	神奈川県	1:06:57	0:36:54		0:30:03				20-29女子	
DSQ	1219	島袋 彩夏	36	女	東京都	1:21:20	1:01:25		0:19:55				30-39女子	
DNS	1009	牧野 照平	25	男	東京都								20-29男子	
DNS	1014	宮本 大輔	25	男	徳島県								20-29男子	
DNS	1042	菊池 広海	30	男	神奈川県								30-39男子	
DNS	1047	山下 和真	31	男	東京都								30-39男子	
DNS	1070	樋口 康太	35	男	東京都								30-39男子	
DNS	1072	小股 幸生	35	男	東京都								30-39男子	
DNS	1077	小牧 彬	36	男	千葉県								30-39男子	
DNS	1078	狩宿 良太	36	男	東京都								30-39男子	
DNS	1080	先崎 薫	37	男	埼玉県								30-39男子	
DNS	1092	森本 裕太郎	41	男	神奈川県								40-49男子	
DNS	1098	OGA-BALDWIN QUINT	42	男	東京都								40-49男子	
DNS	1120	河村 玲	47	男	神奈川県								40-49男子	
DNS	1125	戸井田 進之介	49	男	神奈川県								40-49男子	
DNS	1126	鎗田 哲夫	49	男	千葉県								40-49男子	
DNS	1127	揚山 武篤	49	男	千葉県								40-49男子	
DNS	1135	山岸 延好	50	男	神奈川県								50-59男子	
DNS	1185	平山 経政	58	男	神奈川県								50-59男子	
DNS	1192	恵川 哲明	59	男	東京都								50-59男子	
DNS	1195	新井 宏之	62	男	東京都								60-69男子	
DNS	1204	飯 三木康	66	男	東京都								60-69男子	
DNS	1217	石出 裕美	32	女	東京都								30-39女子	
DNS	1218	立石 綾	33	女	神奈川県								30-39女子	
DNS	1224	小林 里奈	44	女	東京都								40-49女子	
DNS	1225	小林 恵理子	46	女	千葉県								40-49女子	
DNS	1238	vonderOsten Beate	61	女	東京都								60-69女子	
総合
順位	No.	チーム名	総合記録	スイム氏名	スイムラップ	S順	T1	バイク氏名	バイクラップ	B順	ラン氏名	ランラップ	R順	区分	区分
順位
1	1508	飛杉隊	2:16:02	杉本 宏哉	0:20:33	2	0:01:51	関 裕也	1:17:11	6	斉藤 陽平	0:36:27	2		
2	1521	ガッツ妙典	2:20:25	堀 裕子	0:23:08	4	0:02:18	戸國 素直	1:13:57	4	内田 豊	0:41:02	5	混合	
3	1504	河村組	2:21:54	河村 慎	0:23:00	3	0:02:08	柳下 真理子	1:21:20	13	田中 友歩	0:35:26	1	混合	
4	1522	妥協なき医師団	2:24:59	亀山 啓吾	0:20:23	1	0:02:04	今村 俊直	1:20:18	10	横田 昂之	0:42:14	6		
5	1519	TeamArchi-B	2:27:09	森本 晃叶	0:31:07	17	0:02:18	大場 望舜	1:14:20	5	池井 丈喜	0:39:24	3		
6	1535	武尊会	2:30:42	三谷 大賀	0:32:06	20	0:01:37	佐藤 喜康	1:13:52	1	塩島 亮市	0:43:07	7		
7	1515	EH	2:32:48	上島 啓靖	0:30:55	15	0:01:59	岡本 夏樹	1:13:53	2	池松 敦	0:46:01	9		
8	1512	Kisarazu Fire Dept.	2:33:22	村上 将基	0:29:47	11	0:01:56	門澤 健太	1:22:05	16	大須賀 剛	0:39:34	4		
9	1531	青トラ ムー一族	2:39:42	小柳 友香里	0:33:34	22	0:02:06	広谷 俊太郎	1:18:01	7	宗像 孝文	0:46:01	8	混合	1
10	1532	青トラ ミー一族	2:40:37	本澤 実央	0:28:04	8	0:02:22	宮本 純子	1:21:41	14	打越 三紀恵	0:48:30	16	女性	1
11	1533	青トラ マー一族	2:40:55	菅 優	0:30:05	13	0:02:14	森本 正法	1:20:19	11	尾崎 正宏	0:48:17	15		
12	1529	青トラ ジー一族	2:43:23	日下部 朋久	0:28:36	10	0:02:05	境 勉	1:25:15	18	小西 裕二	0:47:27	10		
13	1524	バタースコッチ	2:44:02	村尾 彩恵	0:35:21	24	0:02:38	川畑 幸大	1:18:21	8	山口 叶	0:47:42	12	混合	2
14	1523	NT Racing	2:44:17	堀田 葉子	0:24:56	7	0:02:18	國谷 智宏	1:20:28	12	鈴木 浩輝	0:56:35	27	混合	3
15	1503	Clique d'As_B	2:45:52	稲田 美咲	0:30:03	12	0:02:02	工藤 篤博	1:18:33	9	中島 拓也	0:55:14	24	混合	4
16	1510	Ascot Mixed	2:47:08	安藤 ひとみ	0:35:55	26	0:02:29	小倉 拓也	1:13:53	3	佐藤 明	0:54:51	23	混合	5
17	1528	アクアかずさスポーツSAR	2:48:16	斉藤 俊明	0:33:42	23	0:02:32	中野 茂樹	1:21:58	15	伴田 理恵	0:50:04	18	混合	6
