総合順位	No.	氏名	年齢	性別	総合記録	スイムラップ	S順	T1	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	年齢区分	年齡別順
53	404	矢口 照彦	50	男	1:24:44	0:15:41	51	0:03:48	0:38:19	41	0:57:48	34	0:26:56	110	46		50代男子	15	
54	532	小井戸 亮太	34	男	1:24:54	0:17:22	79	0:04:42	0:41:39	81	1:03:43	76	0:21:11	31	47		30代男子	4	
55	306	Lionel Albert Desclee	41	男	1:24:57	0:18:09	101	0:04:52	0:38:09	39	1:01:10	59	0:23:47	64	48		40代男子	14	
56	433	高木 裕二	54	男	1:24:58	0:16:57	71	0:04:32	0:38:41	45	1:00:10	49	0:24:48	77	49		50代男子	16	
57	539	鈴木 広志	36	男	1:25:26	0:16:27	65	0:04:27	0:39:45	57	1:00:39	53	0:24:47	76	50		30代男子	5	
58	215	小林 聡	57	男	1:25:38	0:18:02	98	0:05:12	0:39:25	54	1:02:39	69	0:22:59	52	51		50代男子	17	
59	531	松田 脩平	34	男	1:25:44	0:17:17	76	0:04:01	0:40:24	66	1:01:42	62	0:24:02	66	52		30代男子	6	
60	203	野村 忠宏	55	男	1:25:45	0:17:06	73	0:05:27	0:38:57	48	1:01:30	60	0:24:15	68	53		50代男子	18	
61	512	平井 誠之	25	男	1:25:50	0:21:07	137	0:05:25	0:37:59	36	1:04:31	80	0:21:19	34	54		20代男子	11	
62	252	北島 明生	67	男	1:25:51	0:15:00	36	0:04:37	0:39:49	60	0:59:26	43	0:26:25	104	55		60代男子	3	2
63	347	田中 義哲	48	男	1:26:00	0:17:43	89	0:04:29	0:40:04	63	1:02:16	66	0:23:44	63	56		40代男子	15	2
64	510	中野 昴	24	男	1:26:22	0:16:21	63	0:03:58	0:43:13	102	1:03:32	74	0:22:50	50	57		20代男子	12	2
65	210	福間 純	56	男	1:26:24	0:14:07	18	0:04:56	0:40:47	71	0:59:50	45	0:26:34	105	58		50代男子	19	2
66	432	中野 伸一	54	男	1:27:00	0:15:25	45	0:05:15	0:39:16	53	0:59:56	46	0:27:04	112	59		50代男子	20	2
67	229	天野 一彦	59	男	1:27:00	0:14:44	28	0:05:08	0:42:15	88	1:02:07	65	0:24:53	80	60		50代男子	21	2
68	308	永持 徹也	42	男	1:27:03	0:15:43	53	0:04:42	0:41:23	74	1:01:48	63	0:25:15	88	61		40代男子	16	2
69	352	小山 恵三	49	男	1:27:23	0:17:07	74	0:04:47	0:40:28	67	1:02:22	67	0:25:01	83	62		40代男子	17	2
70	429	望月 秀直	54	男	1:27:46	0:18:02	99	0:04:27	0:37:53	34	1:00:22	50	0:27:24	116	63		50代男子	22	2
71	522	高橋 直也	29	男	1:27:54	0:19:30	119	0:06:14	0:39:47	59	1:05:31	86	0:22:23	44	64		20代男子	13	2
72	216	粕谷 政則	57	男	1:28:12	0:19:26	118	0:04:21	0:41:59	84	1:05:46	90	0:22:26	45	65		50代男子	23	2
73	331	南 章行	46	男	1:28:41	0:14:14	19	0:05:02	0:41:36	79	1:00:52	56	0:27:49	120	66		40代男子	18	2
74	402	福井 盛一	50	男	1:28:41	0:18:12	104	0:04:13	0:40:18	65	1:02:43	70	0:25:58	99	67		50代男子	24	2
75	355	へファー クリストファー	49	男	1:28:42	0:17:54	93	0:04:19	0:40:38	70	1:02:51	71	0:25:51	97	68		40代男子	19	2
76	538	城下 泰裕	36	男	1:29:15	0:15:21	40	0:07:07	0:41:51	82	1:04:19	79	0:24:56	81	69		30代男子	7	2
77	530	Vella Peter	33	男	1:29:20	0:20:22	131	0:05:05	0:41:24	76	1:06:51	97	0:22:29	47	70		30代男子	8	2
78	241	小泉 邦明	62	男	1:29:24	0:19:09	116	0:04:51	0:39:08	50	1:03:08	73	0:26:16	101	71		60代男子	4	2
79	541	小野 慎一郎	37	男	1:29:28	0:17:33	84	0:04:34	0:41:53	83	1:04:00	77	0:25:28	91	72		30代男子	9	2
80	121	羽田 紀子	46	女	1:29:34	0:12:25	6	0:05:31	0:46:11	128	1:04:07	78	0:25:27	90		8	40代女子	4	2
81	146	釜池 美智子	47	女	1:29:36	0:14:58	33	0:05:55	0:44:35	112	1:05:28	84	0:24:08	67		9	40代女子	5	2
82	140	吉岡 憲子	56	女	1:29:43	0:20:20	129	0:04:43	0:41:08	73	1:06:11	91	0:23:32	60		10	50代女子	1	2
83	223	宮崎 隆	58	男	1:29:45	0:16:00	56	0:04:46	0:38:47	47	0:59:33	44	0:30:12	140	73		50代男子	25	2
84	412	新田 豪	52	男	1:30:08	0:18:11	103	0:06:35	0:42:24	94	1:07:10	100	0:22:58	51	74		50代男子	26	2
85	129	新井田 由理	50	女	1:30:15	0:18:54	112	0:04:45	0:42:58	99	1:06:37	94	0:23:38	61		11	50代女子	2	2
86	431	芳賀 俊夫	54	男	1:30:36	0:12:57	8	0:04:50	0:47:46	138	1:05:33	87	0:25:03	84	75		50代男子	27	2
87	326	山本 輝樹	45	男	1:30:41	0:20:46	135	0:05:38	0:39:56	62	1:06:20	92	0:24:21	71	76		40代男子	20	2
88	142	川端 麻美	60	女	1:30:50	0:18:10	102	0:04:26	0:42:18	90	1:04:54	81	0:25:56	98		12	60代女子	1	2
89	135	小田 智子	55	女	1:30:52	0:17:17	75	0:04:54	0:43:03	100	1:05:14	83	0:25:38	92		13	50代女子	3	2
90	405	田島 康成	51	男	1:30:55	0:20:11	126	0:05:14	0:42:19	93	1:07:44	101	0:23:11	55	77		50代男子	28	2
91	535	小丸 尭	35	男	1:31:09	0:16:14	61	0:04:41	0:45:53	124	1:06:48	96	0:24:21	70	78		30代男子	10	2
92	105	黒澤 春香	23	女	1:31:10	0:17:40	87	0:05:33	0:42:18	92	1:05:31	85	0:25:39	93		14	20代女子	1	2
93	116	新井 美幸	45	女	1:31:12	0:15:07	37	0:04:16	0:46:59	132	1:06:22	93	0:24:50	78		15	40代女子	6	2
94	349	隈部 敏隆	48	男	1:31:20	0:17:47	91	0:04:36	0:40:11	64	1:02:34	68	0:28:46	131	79		40代男子	21	2
95	212	河原 浩史	56	男	1:31:25	0:20:16	128	0:04:51	0:41:31	77	1:06:38	95	0:24:47	75	80		50代男子	29	2
96	410	大橋 賛誠	51	男	1:31:53	0:14:27	23	0:04:38	0:44:37	114	1:03:42	75	0:28:11	126	81		50代男子	30	2
97	236	亀森 一好	61	男	1:31:58	0:18:40	110	0:04:46	0:42:09	87	1:05:35	88	0:26:23	103	82		60代男子	5	2
98	120	鬼塚 朗子	46	女	1:32:02	0:16:51	70	0:05:16	0:45:02	119	1:07:09	99	0:24:53	79		16	40代女子	7	2
99	529	Philip Moynihan	31	男	1:32:29	0:17:45	90	0:07:04	0:44:15	108	1:09:04	112	0:23:25	59	83		30代男子	11	2
100	319	上光 陽	43	男	1:32:31	0:21:07	136	0:07:40	0:39:49	61	1:08:36	108	0:23:55	65	84		40代男子	22	2
101	117	南 志麻子	45	女	1:33:03	0:17:59	96	0:04:53	0:42:07	85	1:04:59	82	0:28:04	124		17	40代女子	8	2
102	230	関口 修一	60	男	1:33:20	0:16:21	64	0:07:13	0:42:08	86	1:05:42	89	0:27:38	119	85		60代男子	6	2
103	119	ヘファー 英子	46	女	1:34:03	0:17:20	77	0:04:41	0:46:23	129	1:08:24	106	0:25:39	94		18	40代女子	9	2
104	519	平柳 尊	27	男	1:34:25	0:18:15	105	0:05:56	0:43:37	104	1:07:48	103	0:26:37	106	86		20代男子	14	2
105	350	中山 健司	49	男	1:34:52	0:18:28	108	0:07:28	0:40:59	72	1:06:55	98	0:27:57	122	87		40代男子	23	2
106	521	松原 涼太	28	男	1:35:33	0:19:37	123	0:05:20	0:48:21	141	1:13:18	132	0:22:15	42	88		20代男子	15	2
107	339	永田 仁	46	男	1:35:42	0:16:12	60	0:07:27	0:46:42	130	1:10:21	117	0:25:21	89	89		40代男子	24	2
108	202	落合 孝之	55	男	1:35:44	0:21:44	142	0:05:43	0:41:23	75	1:08:50	111	0:26:54	109	90		50代男子	31	2
109	413	城戸 雄介	52	男	1:35:45	0:21:42	141	0:06:27	0:40:28	68	1:08:37	109	0:27:08	114	91		50代男子	32	2
110	342	菱川 浩一郎	47	男	1:35:46	0:17:32	82	0:10:05	0:42:27	95	1:10:04	115	0:25:42	95	92		40代男子	25	2
111	316	山口 智永	43	男	1:36:03	0:21:33	140	0:04:55	0:42:16	89	1:08:44	110	0:27:19	115	93		40代男子	26	2
112	110	松井 郷美	35	女	1:36:38	0:17:39	86	0:05:08	0:48:44	143	1:11:31	121	0:25:07	86		19	30代女子	1	2
113	240	小高 勝	62	男	1:38:03	0:19:49	124	0:05:55	0:44:28	110	1:10:12	116	0:27:51	121	94		60代男子	7	2
114	525	小倉 拓馬	29	男	1:38:16	0:15:21	41	0:06:56	0:45:57	125	1:08:14	105	0:30:02	139	95		20代男子	16	2
115	112	Florence LEPELLETIER	37	女	1:38:44	0:18:44	111	0:06:50	0:46:03	127	1:11:37	122	0:27:07	113		20	30代女子	2	2
116	218	グリーンバーグ ラーリ	57	男	1:39:11	0:18:18	107	0:07:09	0:47:22	134	1:12:49	130	0:26:22	102	96		50代男子	33	2
117	126	及川 暁美	50	女	1:39:14	0:20:39	132	0:06:41	0:44:54	118	1:12:14	123	0:27:00	111		21	50代女子	4	2
118	425	杉山 進太郎	53	男	1:39:20	0:19:33	120	0:05:52	0:44:36	113	1:10:01	114	0:29:19	136	97		50代男子	34	2
119	139	綱川 さえ美	56	女	1:39:23	0:19:17	117	0:06:18	0:48:47	144	1:14:22	135	0:25:01	82		22	50代女子	5	2
120	401	新楽 羊三	50	男	1:39:29	0:17:20	78	0:06:21	0:44:50	117	1:08:31	107	0:30:58	145	98		50代男子	35	2
121	330	Williams  James	45	男	1:39:51	0:20:44	134	0:07:03	0:44:29	111	1:12:16	124	0:27:35	117	99		40代男子	27	2
122	536	田代 修久	35	男	1:40:14	0:17:42	88	0:07:18	0:43:11	101	1:08:11	104	0:32:03	149	100		30代男子	12	2
123	318	稲田 里樹	43	男	1:40:25	0:25:10	156	0:09:27	0:42:31	96	1:17:08	141	0:23:17	57	101		40代男子	28	2
124	544	椎橋 和之	38	男	1:40:39	0:22:35	145	0:05:45	0:45:35	121	1:13:55	133	0:26:44	107	102		30代男子	13	2
125	337	鳥越 雅文	46	男	1:40:56	0:17:25	80	0:07:13	0:46:49	131	1:11:27	120	0:29:29	138	103		40代男子	29	2
126	243	竹本 佳正	64	男	1:40:57	0:24:30	151	0:04:58	0:43:22	103	1:12:50	131	0:28:07	125	104		60代男子	8	2
127	255	中島 安興	72	男	1:41:06	0:17:56	95	0:05:37	0:44:12	107	1:07:45	102	0:33:21	154	105		70代男子	1	2
128	419	戸部田 哲也	53	男	1:41:26	0:23:01	148	0:07:00	0:42:44	97	1:12:45	129	0:28:41	130	106		50代男子	36	2
129	213	森 弘志	57	男	1:41:28	0:21:24	139	0:05:37	0:47:39	136	1:14:40	136	0:26:48	108	107		50代男子	37	2
130	415	三澤 康行	52	男	1:41:29	0:19:07	115	0:07:14	0:44:37	115	1:10:58	118	0:30:31	142	108		50代男子	38	2
131	217	猪飼 誉之	57	男	1:41:43	0:18:01	97	0:06:55	0:44:21	109	1:09:17	113	0:32:26	150	109		50代男子	39	3
132	133	鈴木 香	55	女	1:41:53	0:18:17	106	0:07:36	0:52:55	158	1:18:48	147	0:23:05	53		23	50代女子	6	3
133	251	倉島 勝治	66	男	1:41:54	0:16:41	67	0:08:18	0:47:29	135	1:12:28	126	0:29:26	137	110		60代男子	9	3
134	244	児玉 行雄	64	男	1:42:33	0:23:06	150	0:06:15	0:45:36	122	1:14:57	137	0:27:36	118	111		60代男子	10	3
135	143	宮岡 恵美	61	女	1:43:39	0:15:59	55	0:06:24	0:50:08	150	1:12:31	127	0:31:08	146		24	60代女子	2	3
136	111	浅井 久美子	36	女	1:44:01	0:28:05	162	0:05:33	0:46:02	126	1:19:40	151	0:24:21	69		25	30代女子	3	3
137	253	川村 隆一	69	男	1:44:44	0:20:42	133	0:06:06	0:48:47	145	1:15:35	139	0:29:09	134	112		60代男子	11	3
138	256	大橋 徹	74	男	1:44:52	0:19:35	122	0:07:34	0:47:03	133	1:14:12	134	0:30:40	143	113		70代男子	2	3
139	205	遠藤 正浩	55	男	1:45:00	0:22:58	147	0:05:48	0:43:45	105	1:12:31	128	0:32:29	152	114		50代男子	40	3
140	220	藤林 保信	58	男	1:45:02	0:26:25	161	0:08:08	0:44:43	116	1:19:16	148	0:25:46	96	115		50代男子	41	3
141	144	林 廣子	62	女	1:45:53	0:17:37	85	0:06:05	0:51:41	155	1:15:23	138	0:30:30	141		26	60代女子	3	3
142	237	塚本 英博	61	男	1:46:05	0:19:57	125	0:07:37	0:50:11	151	1:17:45	143	0:28:20	127	116		60代男子	12	3
143	128	山根 由夏	50	女	1:46:18	0:20:14	127	0:07:00	0:44:11	106	1:11:25	119	0:34:53	156		27	50代女子	7	3
144	224	前田 耕治	58	男	1:46:40	0:26:07	159	0:06:51	0:47:43	137	1:20:41	153	0:25:59	100	117		50代男子	42	3
145	247	内田 貴之	65	男	1:46:42	0:23:02	149	0:07:11	0:47:51	139	1:18:04	144	0:28:38	129	118		60代男子	13	3
146	145	井川 俊子	68	女	1:47:17	0:19:34	121	0:06:55	0:49:08	146	1:15:37	140	0:31:40	147		28	60代女子	4	3
147	317	大藪 健	43	男	1:47:31	0:26:11	160	0:06:23	0:45:48	123	1:18:22	146	0:29:09	135	119		40代男子	30	3
148	322	赤沼 正太郎	44	男	1:48:44	0:25:59	158	0:06:03	0:48:11	140	1:20:13	152	0:28:31	128	120		40代男子	31	3
149	527	高鍋 彰文	31	男	1:50:32	0:24:31	152	0:07:38	0:49:27	148	1:21:36	154	0:28:56	132	121		30代男子	14	3
150	234	宮岡 和彦	61	男	1:50:58	0:14:51	32	0:06:01	0:51:28	154	1:12:20	125	0:38:38	161	122		60代男子	14	3
151	336	戸井田 進之介	46	男	1:51:19	0:25:49	157	0:08:20	0:45:11	120	1:19:20	149	0:31:59	148	123		40代男子	32	3
152	113	鈴木 沙波	38	女	1:51:54	0:22:40	146	0:05:54	0:50:53	152	1:19:27	150	0:32:27	151		29	30代女子	4	3
153	340	Gonzalez Alejandro	46	男	1:52:11	0:22:07	144	0:07:35	0:48:24	142	1:18:06	145	0:34:05	155	124		40代男子	33	3
154	526	黒田 理人	30	男	1:53:18	0:24:57	155	0:08:19	0:50:54	153	1:24:10	157	0:29:08	133	125		30代男子	15	3
155	254	佐々木 誠	69	男	1:53:58	0:17:55	94	0:07:39	0:52:01	156	1:17:35	142	0:36:23	159	126		60代男子	15	3
156	248	真鍋 信介	65	男	1:55:12	0:21:47	143	0:10:08	0:52:30	157	1:24:25	158	0:30:47	144	127		60代男子	16	3
157	232	加藤 正都	60	男	1:58:06	0:16:01	57	0:08:32	0:57:14	160	1:21:47	155	0:36:19	158	128		60代男子	17	3
158	123	山下 基子	48	女	1:59:24	0:30:02	163	0:06:55	0:49:18	147	1:26:15	159	0:33:09	153		30	40代女子	10	3
159	344	石田 高俊	47	男	2:00:20	0:24:34	153	0:09:24	0:49:29	149	1:23:27	156	0:36:53	160	129		40代男子	34	3
160	118	原田 あい	45	女	2:00:42	0:21:18	138	0:13:31	1:01:10	162	1:35:59	162	0:24:43	73		31	40代女子	11	3
161	409	林 清里	51	男	2:06:31	0:24:49	154	0:10:25	0:55:18	159	1:30:32	161	0:35:59	157	130		50代男子	43	3
162	257	松山 国男	83	男	2:10:08	0:18:38	109	0:08:56	0:59:33	161	1:27:07	160	0:43:01	162	131		80代男子	1	3
DNF	325	古沢 元揮	45	男		0:20:21	130	0:05:40									40代男子		3
DNF	315	木村 淳	43	男													40代男子		3
DNF	403	熊坂 聡	50	男													50代男子		3
DNF	523	廣瀬 友樹	29	男													20代男子		3
DNF	524	伊井 武	29	男													20代男子		3
DNF	528	保住 広太	31	男													30代男子		3
DNF	547	田淵 勇太	39	男													30代男子		3
SKIP	108	宮岡 ひかる	29	女					0:56:24				0:36:01				20代女子		3
SKIP	209	高木 敏夫	56	男					0:54:40				0:32:46				50代男子		3
DSQ	408	栗原 誠仁	51	男	1:10:35	0:13:49		0:03:16	0:34:30		0:51:35		0:19:00				50代男子		3
DNS	106	クーゲル 有咲	25	女													20代女子		3
DNS	107	河野 悠樹	27	女													20代女子		3
DNS	109	増田 宏美	29	女													20代女子		3
DNS	124	三渡 範子	48	女													40代女子		3
DNS	125	佐藤 良子	50	女													50代女子		3
DNS	127	鈴木 純子	50	女													50代女子		3
DNS	130	島 康子	53	女													50代女子		3
DNS	131	田中 純子	54	女													50代女子		3
DNS	132	菅野 効子	54	女													50代女子		3
DNS	134	佐川 潤子	55	女													50代女子		3
DNS	136	桑嶋 寿江	55	女													50代女子		3
DNS	137	柏 昌子	56	女													50代女子		3
DNS	138	梅田 香世子	56	女													50代女子		3
DNS	141	井上 侑子	59	女													50代女子		3
DNS	201	原 弘	55	男													50代男子		3
DNS	204	溝口 昭成	55	男													50代男子		3
DNS	208	西村 昭俊	56	男													50代男子		3
DNS	211	鈴木 幸一	56	男													50代男子		3
DNS	214	松井 伸一郎	57	男													50代男子		3
DNS	222	小清水 潔	58	男													50代男子		3
DNS	227	亀田 清重	58	男													50代男子		3
DNS	228	齊藤 和範	59	男													50代男子		3
DNS	235	紅 孝志	61	男													60代男子		3
DNS	238	尾崎 正明	62	男													60代男子		3
DNS	239	北村 孝	62	男													60代男子		3
DNS	242	高坂 浩	63	男													60代男子		3
DNS	245	柳沢 明彦	64	男													60代男子		3
DNS	246	滝口 康之	65	男													60代男子		4
DNS	249	武藤 治雄	65	男													60代男子		4
DNS	250	山西 冬彦	65	男													60代男子		4
DNS	302	魚津 悠介	41	男													40代男子		4
DNS	303	大倉 裕史	41	男													40代男子		4
DNS	304	清水 幸明	41	男													40代男子		4
DNS	305	河原 勇一	41	男													40代男子		4
DNS	309	橘 良祐	42	男													40代男子		4
DNS	310	米山 貴之	42	男													40代男子		4
DNS	313	栃澤 政哉	42	男													40代男子		4
DNS	314	永松 聡一郎	43	男													40代男子		4
DNS	320	池田 伸吾	44	男													40代男子		4
DNS	321	菅野 大輔	44	男													40代男子		4
DNS	328	高山 一樹	45	男													40代男子		4
DNS	333	政田 智	46	男													40代男子		4
DNS	334	佐藤 亨	46	男													40代男子		4
DNS	335	齋間 秀雄	46	男													40代男子		4
DNS	338	古賀 拓	46	男													40代男子		4
DNS	345	吉川 健志	47	男													40代男子		4
DNS	348	石川 広親	48	男													40代男子		4
DNS	353	小林 正英	49	男													40代男子		4
DNS	354	藤村 幸彦	49	男													40代男子		4
DNS	407	大津 和義	51	男													50代男子		4
DNS	411	浅原 恵太	51	男													50代男子		4
DNS	414	小西 俊一郎	52	男													50代男子		4
DNS	416	今井 達也	52	男													50代男子		4
DNS	417	伊藤 集一	52	男													50代男子		4
DNS	418	間庭 裕之	53	男													50代男子		4
DNS	422	林 直孝	53	男													50代男子		4
DNS	427	千木良 聡	54	男													50代男子		4
DNS	434	矢倉 貴	54	男													50代男子		4
DNS	501	伊藤 大和	17	男													10代男子		4
DNS	503	大畑 遼汰	17	男													10代男子		4
DNS	509	コーツ リアム	22	男													20代男子		4
DNS	518	林 祐輝	26	男													20代男子		4
DNS	534	加藤 勲	34	男													30代男子		4
DNS	537	滝澤 有三	36	男													30代男子		4
DNS	542	丹沢 茂樹	38	男													30代男子		4
DNS	543	清水 晃治	38	男													30代男子		4
DNS	545	岩田 淳	38	男													30代男子		4
DNS	548	根岸 亮三	39	男													30代男子		4
