Pos	StartNum	Name	Affiliation	YOB	Time	Swim	T1	Bike	T2	Split	Run
52	36	木下 裕司	香 川 県		2:03:54	0:20:48	0:01:22	1:01:06	0:01:09	1:24:25	0:39:29
53	46	鮫嶋 浩生	鹿児島県		2:04:00	0:20:12	0:01:13	1:01:53	0:01:15	1:24:33	0:39:27
54	93	前田 凰樹	熊 本 県		2:04:13	0:20:54	0:01:12	1:01:04	0:00:56	1:24:06	0:40:07
55	67	山浦 信	長 野 県		2:04:25	0:19:07	0:01:08	1:03:15	0:01:10	1:24:40	0:39:45
56	66	相﨑 隆成	新 潟 県		2:05:02	0:18:24	0:01:10	1:00:02	0:01:03	1:20:39	0:44:23
57	9	渡邉 優介	栃 木 県		2:05:32	0:23:53	0:01:10	1:03:43	0:00:55	1:29:41	0:35:51
58	1	古謝 孝明	北 海 道		2:05:43	0:19:08	0:01:12	1:02:18	0:01:12	1:23:50	0:41:53
59	54	髙平 丈	宮 城 県		2:06:40	0:20:16	0:01:07	1:02:09	0:01:11	1:24:43	0:41:57
60	86	竹川 博	香 川 県		2:07:04	0:21:18	0:01:16	1:04:24	0:01:00	1:27:58	0:39:06
61	90	黒田 縁	福 岡 県		2:07:06	0:20:46	0:01:07	1:01:18	0:00:55	1:24:06	0:43:00
62	59	恩田 康佑	栃 木 県		2:07:21	0:18:44	0:01:11	1:03:26	0:01:07	1:24:28	0:42:53
63	51	長沼 拳	北 海 道		2:07:58	0:22:03	0:01:17	1:05:24	0:01:21	1:30:05	0:37:53
64	3	岩渕 努	岩 手 県		2:08:29	0:22:27	0:01:17	1:04:58	0:01:08	1:29:50	0:38:39
65	5	佐藤 快	秋 田 県		2:08:51	0:18:44	0:01:08	1:03:49	0:01:17	1:24:58	0:43:53
66	42	池田 圭介	長 崎 県		2:09:11	0:20:53	0:01:18	1:07:06	0:01:07	1:30:24	0:38:47
67	80	原田 洋旭	和歌山県		2:09:22	0:20:10	0:01:16	1:01:48	0:00:57	1:24:11	0:45:11
68	6	齋藤 智哉	山 形 県		2:09:56	0:27:30	0:01:13	1:03:54	0:01:05	1:33:42	0:36:14
69	57	菊地 優志	福 島 県		2:10:45	0:23:53	0:01:12	1:05:06	0:01:01	1:31:12	0:39:33
70	32	高見 雅晴	島 根 県		2:10:50	0:24:11	0:01:06	1:07:57	0:00:52	1:34:06	0:36:44
71	56	小野 陽平	山 形 県		2:11:35	0:23:15	0:01:22	1:05:39	0:01:09	1:31:25	0:40:10
72	35	吉村 優介	山 口 県		2:11:35	0:23:25	0:01:28	1:06:22	0:01:18	1:32:33	0:39:02
73	7	須賀 祥太	福 島 県		2:11:46	0:18:09	0:01:24	1:04:02	0:01:12	1:24:47	0:46:59
74	68	小西 拓海	富 山 県		2:12:49	0:23:36	0:01:15	1:06:15	0:01:01	1:32:07	0:40:42
75	74	里見 隼人	岐 阜 県		2:14:27	0:18:37	0:01:17	1:11:48	0:01:02	1:32:44	0:41:43
76	95	佐藤 輝茂	宮 崎 県		2:14:53	0:23:14	0:01:20	1:06:21	0:01:03	1:31:58	0:42:55
77	94	鈴木 凰太	大 分 県		2:15:44	0:18:55	0:01:15	1:12:43	0:01:08	1:34:01	0:41:43
78	37	佐々木 秀一	徳 島 県		2:15:55	0:27:01	0:01:24	1:04:37	0:01:02	1:34:04	0:41:51
79	53	服部 勇佑	岩 手 県		2:16:07	0:23:56	0:02:04	1:09:00	0:01:05	1:36:05	0:40:02
80	82	渡部 創平	島 根 県		2:17:30	0:23:48	0:01:13	1:08:18	0:00:57	1:34:16	0:43:14
81	45	松元 潤也	宮 崎 県		2:18:42	0:23:11	0:01:25	1:10:21	0:01:00	1:35:57	0:42:45
82	52	野田頭 優作	青 森 県		2:19:05	0:24:28	0:01:09	1:09:18	0:00:57	1:35:52	0:43:13
83	96	米倉 亮太	鹿児島県		2:19:17	0:20:36	0:01:20	1:11:49	0:01:26	1:35:11	0:44:06
84	55	塚田 広和	秋 田 県		2:19:56	0:31:21	0:01:24	1:07:21	0:01:22	1:41:28	0:38:28
85	87	滝沢 進	徳 島 県		2:20:17	0:20:19	0:01:19	1:12:03	0:01:02	1:34:43	0:45:34
86	30	南川 和也	和歌山県		2:20:33	0:23:49	0:01:18	1:13:00	0:01:18	1:39:25	0:41:08
87	43	大嶋 力	熊 本 県		2:22:04	0:20:23	0:01:13	1:11:15	0:01:08	1:33:59	0:48:05
88	20	大西 智広	福 井 県		2:23:13	0:29:38	0:01:35	1:11:19	0:01:17	1:43:49	0:39:24
89	2	笹森 孝明	青 森 県		2:32:48	0:30:37	0:01:24	1:15:01	0:01:31	1:48:33	0:44:15
DNS	89	筒井 佑	高 知 県								
