総合順位	No.	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位
23	7	小澤 一友	40	男	茨城県	2:15:28	0:06:11	20	1:13:04	13	1:19:15	14	0:56:13	27	22	
24	42	新谷 昌平	29	男	千葉県	2:18:10	0:05:21	4	1:25:47	32	1:31:08	32	0:47:02	11	23	
25	24	影山 孝一	68	男	千葉県	2:19:49	0:07:36	38	1:15:31	16	1:23:07	19	0:56:42	29	24	
26	40	山本 英司	59	男	千葉県	2:21:20	0:06:41	26	1:19:51	25	1:26:32	24	0:54:48	26	25	
27	35	佐藤 一良	55	男	千葉県	2:21:44	0:06:05	15	1:23:54	30	1:29:59	29	0:51:45	21	26	
28	3	寺門 智	51	男	神奈川県	2:24:07	0:07:04	31	1:20:49	27	1:27:53	26	0:56:14	28	27	
29	25	松村 宜久	57	男	千葉県	2:24:18	0:07:21	35	1:19:33	24	1:26:54	25	0:57:24	31	28	
30	5	神田 恵一	53	男	茨城県	2:28:17	0:06:12	21	1:24:01	31	1:30:13	30	0:58:04	33	29	
31	47	河野 隆之	63	男	埼玉県	2:35:54	0:07:20	34	1:31:11	34	1:38:31	34	0:57:23	30	30	
32	31	米倉 駿	24	男	東京都	2:38:23	0:06:54	29	1:37:21	40	1:44:15	40	0:54:08	25	31	
33	6	鯉渕 雅人	43	男	茨城県	2:39:18	0:06:39	25	1:18:02	23	1:24:41	23	1:14:37	39	32	
34	34	平井 幸夫	74	男	千葉県	2:43:56	0:07:14	32	1:36:38	39	1:43:52	38	1:00:04	34	33	
35	28	大澤 公宏	67	男	栃木県	2:44:33	0:08:12	40	1:38:27	41	1:46:39	41	0:57:54	32	34	
36	32	平野 慶一	37	男	千葉県	2:49:21	0:06:42	27	1:29:42	33	1:36:24	33	1:12:57	38	35	
37	26	小川 孝史	52	男	千葉県	2:50:01	0:07:34	37	1:36:20	38	1:43:54	39	1:06:07	35	36	
38	20	会田 恵	58	女	千葉県	2:52:56	0:09:08	41	1:34:40	36	1:43:48	37	1:09:08	36		2
39	37	森 元毅	20	男	埼玉県	2:55:01	0:06:42	28	1:35:28	37	1:42:10	36	1:12:51	37	37	
40	43	芳志戸 啓	47	男	東京都	3:04:49	0:07:53	39	1:22:58	29	1:30:51	31	1:33:58	41	38	
41	21	北村 恒	47	男	千葉県	3:06:03	0:09:50	42	1:32:12	35	1:42:02	35	1:24:01	40	39	
42	30	日野原 敬	49	男	千葉県	3:47:17	0:11:03	44	1:53:49	42	2:04:52	42	1:42:25	42	40	
DNF	19	伊藤 麻美	48	女	千葉県		0:09:53	43								
DNF	33	本間 敬之佑	26	男	神奈川県		0:05:53	10								
DNS	4	千葉 公介	62	男	神奈川県											
DNS	9	松田 広無	28	男	埼玉県											
DNS	17	鵜瀬 和秀	37	男	茨城県											
DNS	36	平塚 知成	37	男	千葉県											
