順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	ハンデ記録	HC男	HC女
41	188	豊福 政博	54	男	神奈川県	2:59:49	0:40:22	49	1:32:10	63	2:12:32	59	0:47:17	15	37		2:40:49	20	
42	163	大西 健資	47	男	東京都	3:00:09	0:41:55	61	1:27:43	47	2:09:38	50	0:50:31	29	38		2:48:09	30	
43	147	本岡 恭平	38	男	東京都	3:00:13	0:48:07	84	1:21:52	32	2:09:59	51	0:50:14	27	39		2:57:13	42	
44	109	ライリー ベン	27	男	神奈川県	3:01:39	0:43:01	65	1:29:39	51	2:12:40	60	0:48:59	25	40		3:01:39	47	
45	126	裏山 昌平	32	男	東京都	3:01:40	0:41:51	60	1:26:26	43	2:08:17	44	0:53:23	39	41		3:01:40	48	
46	136	阿部 裕泰	34	男	東京都	3:02:05	0:41:19	56	1:34:26	74	2:15:45	65	0:46:20	12	42		3:02:05	49	
47	105	内藤 雅之	23	男	東京都	3:04:47	0:54:30	93	1:23:47	35	2:18:17	71	0:46:30	13	43		3:04:47	54	
48	165	磯野 昭光	47	男	東京都	3:04:53	0:33:02	22	1:30:54	59	2:03:56	41	1:00:57	66	44		2:52:53	34	
49	196	岩田 恭彦	57	男	東京都	3:06:09	0:45:27	74	1:26:50	45	2:12:17	57	0:53:52	41	45		2:44:09	24	
50	151	古新 輝久	39	男	東京都	3:06:16	0:36:58	38	1:25:29	38	2:02:27	35	1:03:49	79	46		3:02:16	50	
51	301	屋代 沙由未	23	女	東京都	3:06:53	0:36:18	32	1:36:14	81	2:12:32	58	0:54:21	44		5	3:06:53		11
52	157	早野 陽人	43	男	東京都	3:07:02	0:40:23	50	1:29:10	50	2:09:33	49	0:57:29	52	47		2:59:02	44	
53	162	岡田 栄徳	46	男	神奈川県	3:10:04	0:41:42	59	1:31:12	60	2:12:54	61	0:57:10	51	48		2:59:04	45	
54	309	小海 智子	42	女	神奈川県	3:10:35	0:39:24	43	1:31:40	62	2:11:04	54	0:59:31	58		6	3:03:35		9
55	177	小野 晴信	50	男	千葉県	3:10:41	0:47:24	80	1:25:46	42	2:13:10	62	0:57:31	53	49		2:55:41	38	
56	317	齋藤 純子	51	女	東京都	3:10:44	0:44:00	70	1:32:31	65	2:16:31	68	0:54:13	43		7	2:54:44		5
57	132	橋本 諭	33	男	神奈川県	3:10:45	0:44:58	72	1:25:24	37	2:10:22	53	1:00:23	63	50		3:10:45	61	
58	123	伊藤 幹崇	32	男	埼玉県	3:13:56	0:40:27	51	1:39:48	88	2:20:15	76	0:53:41	40	51		3:13:56	64	
59	156	山岡 義正	43	男	東京都	3:14:47	0:43:44	68	1:27:44	48	2:11:28	55	1:03:19	77	52		3:06:47	56	
60	184	土肥 靖弘	53	男	神奈川県	3:15:08	0:40:17	48	1:29:47	54	2:10:04	52	1:05:04	85	53		2:57:08	41	
61	170	大瀧 真道	49	男	東京都	3:15:08	0:42:05	63	1:32:24	64	2:14:29	64	1:00:39	64	54		3:01:08	46	
62	319	小林 弘子	52	女	東京都	3:15:12	0:34:44	29	1:37:18	84	2:12:02	56	1:03:10	76		8	2:58:12		6
63	311	藤本 優子	48	女	東京都	3:15:55	0:42:00	62	1:44:08	95	2:26:08	85	0:49:47	26		9	3:02:55		8
64	164	石倉 崇史	47	男	埼玉県	3:16:15	0:45:43	75	1:23:48	36	2:09:31	48	1:06:44	87	55		3:04:15	53	
65	119	稲見 聡	30	男	東京都	3:16:49	0:41:24	57	1:34:44	76	2:16:08	66	1:00:41	65	56		3:16:49	66	
66	178	平野 亘介	50	男	神奈川県	3:17:25	0:41:41	58	1:34:33	75	2:16:14	67	1:01:11	67	57		3:02:25	51	
67	145	金光 智弘	38	男	東京都	3:17:32	0:47:49	82	1:29:50	55	2:17:39	70	0:59:53	60	58		3:14:32	65	
68	318	立原 真由美	52	女	東京都	3:19:02	0:46:48	79	1:32:35	66	2:19:23	73	0:59:39	59		10	3:02:02		7
69	158	江島 敏博	44	男	東京都	3:19:53	0:32:41	21	1:30:46	58	2:03:27	39	1:16:26	98	59		3:10:53	62	
70	117	小倉 崚平	29	男	東京都	3:21:46	0:43:39	67	1:35:54	80	2:19:33	74	1:02:13	74	60		3:21:46	69	
71	189	伊藤 尚真	54	男	東京都	3:21:49	0:39:25	44	1:29:43	53	2:09:08	46	1:12:41	94	61		3:02:49	52	
72	310	正戸 知穂	48	女	神奈川県	3:21:52	0:43:48	69	1:37:45	86	2:21:33	78	1:00:19	61		11	3:08:52		12
73	175	安川 崇秋	49	男	東京都	3:21:54	0:43:00	64	1:34:09	71	2:17:09	69	1:04:45	83	62		3:07:54	57	
74	140	水柿 康一	36	男	神奈川県	3:24:16	0:59:34	102	1:25:35	40	2:25:09	83	0:59:07	57	63		3:23:16	70	
75	182	高林 信康	51	男	神奈川県	3:24:39	0:40:55	53	1:46:35	99	2:27:30	88	0:57:09	50	64		3:08:39	58	
76	321	小澤 雅子	55	女	東京都	3:25:23	0:39:54	46	1:42:24	93	2:22:18	80	1:03:05	75		12	3:05:23		10
77	185	服部 泰典	54	男	東京都	3:25:43	0:50:00	86	1:35:21	77	2:25:21	84	1:00:22	62	65		3:06:43	55	
78	138	松下 達也.	34	男	東京都	3:25:57	0:38:55	41	1:30:35	57	2:09:30	47	1:16:27	99	66		3:25:57	71	
79	139	蓮尾 亮	35	男	東京都	3:25:57	0:56:39	96	1:34:20	72	2:30:59	89	0:54:58	46	67		3:25:57	72	
80	115	平田 智昭	29	男	埼玉県	3:26:34	0:47:48	81	1:25:46	41	2:13:34	63	1:13:00	96	68		3:26:34	74	
81	307	今 佑華	36	女	東京都	3:26:56	0:51:12	88	1:33:35	70	2:24:47	82	1:02:09	73		13	3:25:56		15
82	173	小澤 英久	49	男	埼玉県	3:27:33	0:44:43	71	1:36:21	82	2:21:04	77	1:06:29	86	69		3:13:33	63	
83	144	榎木 厚介	37	男	東京都	3:27:59	0:50:13	87	1:33:07	68	2:23:20	81	1:04:39	82	70		3:25:59	73	
84	302	岩本 英里	23	女	埼玉県	3:28:33	0:40:56	54	1:46:03	98	2:26:59	87	1:01:34	69		14	3:28:33		16
85	320	吉橋 久美子	52	女	東京都	3:28:41	0:37:08	40	1:44:36	96	2:21:44	79	1:06:57	88		15	3:11:41		13
86	194	天野 恵一郎	56	男	東京都	3:30:16	0:43:33	66	1:35:48	78	2:19:21	72	1:10:55	92	71		3:09:16	60	
87	108	佐々木 泰介	26	男	千葉県	3:30:23	0:57:33	98	1:34:24	73	2:31:57	91	0:58:26	55	72		3:30:23	75	
88	305	田中 美咲	34	女	神奈川県	3:31:34	0:49:09	85	1:37:33	85	2:26:42	86	1:04:52	84		16	3:31:34		18
89	197	保母 孝一	58	男	神奈川県	3:31:49	0:59:13	101	1:40:08	89	2:39:21	99	0:52:28	35	73		3:08:49	59	
90	137	森田 達也	34	男	神奈川県	3:35:40	0:46:28	77	1:33:19	69	2:19:47	75	1:15:53	97	74		3:35:40	79	
91	124	大藏 裕也	32	男	埼玉県	3:36:33	0:53:06	92	1:41:36	90	2:34:42	93	1:01:51	72	75		3:36:33	80	
92	183	星野 雅史	52	男	東京都	3:38:39	0:54:38	94	1:42:24	92	2:37:02	97	1:01:37	70	76		3:21:39	68	
93	322	櫻井 弘美	56	女	神奈川県	3:38:58	0:52:34	91	1:42:57	94	2:35:31	95	1:03:27	78		17	3:17:58		14
94	134	井上 真吾	33	男	東京都	3:41:14	0:57:24	97	1:44:48	97	2:42:12	100	0:59:02	56	77		3:41:14	81	
95	199	北澤 正	58	男	神奈川県	3:42:58	0:52:12	90	1:41:41	91	2:33:53	92	1:09:05	90	78		3:19:58	67	
96	312	白石 絵里子	49	女	神奈川県	3:43:11	0:54:56	95	1:36:55	83	2:31:51	90	1:11:20	93		18	3:29:11		17
97	171	今泉 景太	49	男	埼玉県	3:46:36	0:57:34	99	1:39:12	87	2:36:46	96	1:09:50	91	79		3:32:36	78	
98	176	阿部 秀弥	50	男	千葉県	3:47:19	0:51:50	89	1:46:35	100	2:38:25	98	1:08:54	89	80		3:32:19	77	
99	316	小相澤 南美江	51	女	神奈川県	3:53:22	0:59:12	100	1:35:54	79	2:35:06	94	1:18:16	100		19	3:37:22		19
100	200	尾崎 哲也	59	男	神奈川県	3:54:47	0:47:56	83	2:02:49	101	2:50:45	101	1:04:02	81	81		3:30:47	76	
TOV	116	富田 舜	29	男	神奈川県	3:15:21	1:02:16		1:20:21		2:22:37		0:52:44						
TOV	127	佐藤 圭介	33	男	東京都	3:36:13	1:02:10		1:27:11		2:29:21		1:06:52						
DNF	152	西崎 昌宏	40	男	東京都		0:23:48	1	1:08:07	4	1:31:55	1							
DNF	187	Rubenstein David	54	男	静岡県		0:33:22	23											
DNF	104	宮本 大暉	23	男	埼玉県														
DNF	112	齋藤 凌	28	男	東京都														
DNF	114	鈴木 昌幸	29	男	神奈川県														
DNF	121	前田 拓也	31	男	東京都														
DNF	154	木本 恭介	40	男	東京都														
DNF	161	小田 裕平	46	男	東京都														
DNF	172	高橋 昌三	49	男	埼玉県														
DNF	180	岡田 尚之	51	男	東京都														
DNF	195	竹前 信行	57	男	神奈川県														
DNF	204	菊井 栄治	60	男	東京都														
DNF	303	丸山 果恋	28	女	神奈川県														
DNF	313	杉山 千夏	50	女	神奈川県														
DNF	324	山丸 ふみ子	57	女	東京都														
SKIP	205	今井 一則	61	男	東京都				1:20:33				0:59:11						
DNS	118	村上 央樹	29	男	神奈川県														
DNS	125	渡邊 悠太	32	男	東京都														
DNS	142	若松 洋輔	37	男	東京都														
DNS	159	中川 友和	45	男	東京都														
DNS	167	橋本 智志	48	男	東京都														
DNS	179	田村 昌義	51	男	神奈川県														
DNS	191	柴田 俊一	55	男	東京都														
DNS	193	石田 純治	56	男	東京都														
DNS	206	佐藤 真治	62	男	埼玉県														
DNS	314	新倉 寛子	51	女	神奈川県														
DNS	323	島村 岳美	57	女	東京都														
DNS	325	井上 恵子	63	女	神奈川県														
1	407	原田 哲弥	37	男	神奈川県	1:09:07	0:11:34	1	0:35:06	2	0:46:40	1	0:22:27	2	1		1:07:07	3	
2	402	川瀬 佑太	28	男	大 島	1:15:55	0:19:51	7	0:34:39	1	0:54:30	2	0:21:25	1	2		1:15:55	5	
3	414	境 広志	56	男	東京都	1:19:58	0:17:11	5	0:39:13	3	0:56:24	3	0:23:34	4	3		0:58:58	2	
4	501	香取 真奈	23	女	東京都	1:22:55	0:18:37	6	0:40:53	4	0:59:30	5	0:23:25	3		1	1:22:55		1
5	415	曽根 敏樹	68	男	東京都	1:28:15	0:16:57	3	0:42:14	5	0:59:11	4	0:29:04	8	4		0:55:15	1	
6	413	冨田 仁一郎	55	男	大 島	1:31:11	0:17:07	4	0:46:35	8	1:03:42	6	0:27:29	7	5		1:11:11	4	
7	405	オールド アレクサンダー	35	男	神奈川県	1:39:35	0:24:15	8	0:45:43	7	1:09:58	8	0:29:37	10	6		1:39:35	7	
8	504	萩原 友子	48	女	東京都	1:40:02	0:16:42	2	0:50:38	13	1:07:20	7	0:32:42	16		2	1:27:02		2
9	408	マクダッド マークステファン	39	男	京都府	1:41:00	0:26:08	9	0:44:27	6	1:10:35	9	0:30:25	11	7		1:37:00	6	
10	401	岩田 和也	24	男	愛知県	1:45:16	0:29:50	14	0:50:01	11	1:19:51	13	0:25:25	5	8		1:45:16	10	
11	410	武藤 靖	41	男	東京都	1:46:12	0:27:13	12	0:48:02	10	1:15:15	11	0:30:57	12	9		1:40:12	8	
12	409	Hallahan Kieran	40	男	東京都	1:46:18	0:26:17	11	0:47:56	9	1:14:13	10	0:32:05	14	10		1:41:18	9	
13	502	西村 有紗	32	女	奈良県	1:48:46	0:26:17	10	0:50:35	12	1:16:52	12	0:31:54	13		3	1:48:46		3
14	406	宮良 アレキサンダー真平	36	男	神奈川県	1:52:36	0:33:35	16	0:52:39	16	1:26:14	16	0:26:22	6	11		1:51:36	12	
15	404	佐久間 涼平	30	男	埼玉県	1:54:02	0:29:27	13	0:52:04	15	1:21:31	14	0:32:31	15	12		1:54:02	13	
16	412	杉山 博則	46	男	東京都	1:59:05	0:34:57	17	0:51:16	14	1:26:13	15	0:32:52	17	13		1:48:05	11	
17	503	原田 あい	45	女	神奈川県	2:02:56	0:31:35	15	1:01:47	17	1:33:22	17	0:29:34	9		4	1:52:56		4
DNF	505	バズリー かおり	51	女	東京都														
DNS	403	野上 和希	28	男	東京都														
DNS	411	Knebel Paul	42	男	東京都														
1	601	御神火温泉&サーフステーションハブシ	水沼 祐介 / 春山 祐一郎 / 大沼 良平	2:09:25	0:23:18	1	1:04:18	1	1:27:36	2	0:41:49	1							
2	604	70’ボウリング団	伊東 良之 / 田中 晴春 / 嶋崎 純	2:50:57	0:37:03	3	1:22:29	3	1:59:32	4	0:51:25	4							
3	610	チームケンズD	新妻 豊太 / 高橋 直樹 / 津田 佳奈美	2:51:07	0:38:21	4	1:24:54	4	2:03:15	5	0:47:52	2							
4	609	チームケンズ 1962	波多野 勝彦 / 波多野 勝彦 / 高橋 恵み	2:52:16	0:36:22	2	1:21:15	2	1:57:37	3	0:54:39	5							
5	606	杉山一家	杉山 豊二 / 杉山 耕平 / 杉山 裕樹	3:08:03	0:39:04	5	1:29:49	6	2:08:53	6	0:59:10	7							
6	607	ハーキュリーズ26A	松田 裕 / 川井 克紀 / 松田 裕	3:21:57	0:52:03	8	1:28:52	5	2:20:55	7	1:01:02	8							
7	608	ハーキュリーズ26B	丹羽 宏和 / 中村 幸成 / 福本 年秀	3:27:16	0:42:16	6	1:46:50	9	2:29:06	8	0:58:10	6							
8	603	山田夫妻	山田 耕太郎 / 山田 晴美 / 山田 晴美	3:48:12	0:48:58	7	1:40:59	8	2:29:57	9	1:18:15	9							
DNF	602	チームなべお	芹澤 剛 / 渡邊 直樹 / 久保 賢司				1:30:41	7			0:50:28	3							
