Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
213	Marco Bustamante-Nadeau	M	M25-29	34	4:57:08	0:32:35	2:38:03	1:40:35
214	Joel Maddock	M	M30-34	26	4:57:13	0:33:55	2:42:32	1:35:25
215	Lexi Wright	F	F25-29	3	4:57:13	0:34:43	2:37:18	1:39:44
216	Peter Edmonds	M	M35-39	20	4:57:21	0:35:23	2:43:17	1:33:05
217	Sam Kapner	M	M30-34	27	4:57:37	0:39:37	2:38:06	1:33:15
218	Scott Fulkerson	M	M40-44	18	4:57:46	0:34:13	2:38:02	1:39:50
219	Tim Olson	M	M40-44	19	4:57:49	0:39:55	2:31:47	1:41:35
220	Robert Tanner	M	M30-34	28	4:57:50	0:31:50	2:36:26	1:42:55
221	Julià Mesquida	M	M30-34	29	4:57:51	0:33:50	2:40:15	1:37:55
222	Jason Kenney	M	M45-49	13	4:57:57	0:33:43	2:33:32	1:43:59
223	Alan Lin	M	M25-29	35	4:58:03	0:30:14	2:38:38	1:42:14
224	Stephanie Doyon	F	F30-34	1	4:58:09	0:31:39	2:45:28	1:35:22
225	Savanah Gibbs	F	F30-34	2	4:58:11	0:33:57	2:32:47	1:46:28
226	Christian Olson	M	M25-29	36	4:58:13	0:34:16	2:30:56	1:48:35
227	Donatas Ereminas	M	M40-44	20	4:58:13	0:33:30	2:39:12	1:38:59
228	John Estes	M	M35-39	21	4:58:26	0:31:08	2:30:15	1:49:05
229	Glen Osmond	M	M50-54	9	4:59:13	0:29:53	2:41:28	1:42:23
230	Kelsey Barnholt	F	F35-39	2	4:59:24	0:36:15	2:47:44	1:30:09
231	Tom Mi	M	M18-24	13	4:59:52	0:28:22	2:41:49	1:41:40
232	David Sheeran	M	M40-44	21	4:59:53	0:34:17	2:35:59	1:43:30
233	Mitchell Dejong	M	M25-29	37	4:59:53	0:32:42	2:31:36	1:50:24
234	Gustavo Aguilar	M	M45-49	14	4:59:58	0:28:32	2:46:41	1:38:33
