順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子	女子	年齢区分	年齡別順	選手権順
38	38	冨居 公泰	51	男	東京都	1:31:59	0:47:06	44	0:44:53	25	34		50代男子	6	
39	23	村田 孝寛	41	男	日立市	1:32:16	0:41:06	38	0:51:10	37	35		40代男子	9	20
40	33	三谷 勇二	48	男	千葉県	1:32:24	0:40:16	36	0:52:08	39	36		40代男子	10	
41	20	柴崎 建輔	40	男	東京都	1:35:05	0:41:39	41	0:53:26	40	37		40代男子	11	
42	37	澤崎 益朗	51	男	千葉県	1:35:16	0:41:29	39	0:53:47	41	38		50代男子	7	
43	34	八重田 享司	48	男	静岡県	1:35:35	0:41:32	40	0:54:03	42	39		40代男子	12	
44	14	仲山 功	36	男	鉾田市	1:37:00	0:41:03	37	0:55:57	44	40		30代男子	10	21
	28	吉田 祥悟	43	男	取手市								40代男子		
	46	高野 道夫	61	男	水戸市								60以上男子		
	48	森 俊樹	30	男	東京都								30代男子		
	108	土屋 玲子	50	女	神栖市								50代女子		
順位	チーム名	合計	No	１位氏名	１位記録	No	２位氏名	２位記録	No	３位氏名	３位記録				
1	チームはるごん	3:21:09	1005	遠藤 孝治	1:04:51	1006	藤田 康平	1:05:21	1004	矢作 駿	1:10:57				
2	石岡トライアスロンクラブ	3:33:50	1002	工藤 紳一廊	1:06:39	1003	小室 明彦	1:12:30	1001	明珍 建次	1:14:41				
3	鹿嶋鉄人会	3:37:25	1016	佐藤 大輔	1:05:12	1019	安藤 智希	1:07:22	1017	小沼 忠	1:24:51				
4	黒タイツ被り隊	3:38:42	1014	大橋 明行	1:03:57	1013	乾 元気	1:14:47	1015	鈴木 愛奈	1:19:58				
5	のんべ～ずＡ	4:18:54	1007	大岩 洋	1:20:29	1008	伊之澤 修	1:23:55	1009	深谷 良	1:34:30				
	のんべ～ずＢ		1011	加瀬 恵美	1:09:23	1012	本城 勉	1:29:09							
