順位	ナンバー	氏名	年齢	最終タイム	スイム記録	バイク記録	ラン記録
5	162	富松 雪乃	18	1:54:29	0:23:13	1:05:47	0:25:29
6	165	武田 久美子	59	1:54:35	0:27:27	1:02:05	0:25:03
7	161	萱野 真理子	52	1:55:33	0:26:10	1:05:00	0:24:23
8	177	伊藤 あゆみ	49	2:03:21	0:26:54	1:07:59	0:28:28
9	175	毛利 文恵	56	2:18:16	0:44:48	1:06:10	0:27:18
10	163	塩見 真由	35	2:19:34	0:37:57	1:09:30	0:32:07
11	174	堀次 千春	42	2:29:31	0:37:26	1:17:09	0:34:56
12	170	中根 典子	52	2:41:06	0:46:47	1:11:58	0:42:21
13	168	佐藤 理子	20	3:19:55	1:06:32	1:31:24	0:41:59
1	364	川口 遼	28	2:14:02	0:25:47	1:03:10	0:45:05
2	456	前田 良孝	48	2:15:05	0:28:12	1:05:25	0:41:28
3	368	松井 裕樹	33	2:16:57	0:24:59	1:07:49	0:44:09
4	305	田中 秀和	39	2:18:55	0:26:58	1:05:53	0:46:04
5	431	松本 響平	21	2:19:57	0:25:19	1:09:34	0:45:04
6	320	丸岡 正和	46	2:20:12	0:27:29	1:05:18	0:47:25
7	328	森永 幸希	43	2:22:50	0:28:39	1:11:04	0:43:07
8	420	広本 成志	44	2:24:27	0:28:51	1:13:43	0:41:53
9	400	松下 友吾	49	2:26:30	0:34:37	1:05:59	0:45:54
10	391	野嵜 親次	52	2:28:06	0:29:07	1:10:42	0:48:17
11	385	中島 一樹	45	2:29:42	0:28:33	1:12:51	0:48:18
12	362	呉 越	39	2:32:34	0:34:17	1:10:53	0:47:24
13	346	小倉 崚司	27	2:33:38	0:23:12	1:12:52	0:57:34
14	422	Masaki Kawamura	41	2:33:46	0:32:02	1:13:03	0:48:41
15	375	八山 雅幸	33	2:34:14	0:32:03	1:15:38	0:46:33
16	344	大嶋 健太	27	2:35:00	0:26:16	1:15:43	0:53:01
17	338	小路 廣輔	39	2:35:30	0:30:44	1:16:34	0:48:12
18	355	原 光洋	28	2:35:40	0:27:33	1:17:13	0:50:54
19	377	西尾 昇悟	20	2:35:46	0:29:05	1:10:51	0:55:50
20	407	平川 貴嗣	40	2:37:40	0:33:22	1:07:44	0:56:34
21	352	稲田 大郎	51	2:37:46	0:30:00	1:16:31	0:51:15
22	439	吉谷 邦宏	49	2:37:54	0:29:54	1:18:52	0:49:08
23	318	中西 晋	55	2:38:47	0:34:48	1:14:25	0:49:34
24	366	西川 智之	45	2:39:09	0:30:16	1:12:40	0:56:13
25	343	船岡 洋	50	2:39:10	0:45:17	1:10:29	0:43:24
26	308	川西 太一郎	47	2:39:18	0:38:18	1:14:49	0:46:11
27	396	小橋 駿輝	28	2:39:54	0:32:11	1:15:14	0:52:29
28	317	大家 秀行	52	2:40:46	0:40:13	1:10:36	0:49:57
29	434	赤坂 健太	29	2:41:00	0:35:19	1:18:43	0:46:58
30	384	上妻 卓矢	29	2:42:30	0:34:18	1:12:09	0:56:03
31	397	吉岡 将太郎	27	2:42:42	0:35:08	1:08:54	0:58:40
32	406	宮本 直樹	49	2:42:47	0:39:50	1:13:33	0:49:24
33	374	矢部 昂文	27	2:43:07	0:37:13	1:14:28	0:51:26
34	393	山本 賢也	44	2:43:32	0:36:28	1:14:27	0:52:37
35	334	遠山 剛	43	2:43:45	0:34:00	1:13:47	0:55:58
36	321	坂元 靖昌	39	2:44:52	0:33:31	1:18:17	0:53:04
37	386	山陰 篤史	38	2:46:10	0:28:16	1:15:20	1:02:34
38	452	北野 信英	49	2:46:38	0:30:35	1:15:30	1:00:33
39	381	松富 圭介	52	2:47:21	0:34:47	1:19:19	0:53:15
40	307	土井 誠	51	2:47:33	0:28:47	1:26:39	0:52:07
41	421	石川 尊士	42	2:47:41	0:34:59	1:20:48	0:51:54
42	430	元平 伊作	25	2:47:46	0:39:49	1:18:52	0:49:05
43	445	岡田 浩	56	2:48:03	0:38:52	1:18:37	0:50:34
44	383	今中 慎	45	2:48:48	0:33:12	1:22:09	0:53:27
45	313	赤松 直也	46	2:49:13	0:37:08	1:14:59	0:57:06
46	443	佐藤 哲夫	48	2:49:26	0:40:35	1:17:19	0:51:32
47	453	杉江 真和	43	2:49:28	0:38:33	1:14:37	0:56:18
48	323	大西 哲平	22	2:49:40	0:36:46	1:22:41	0:50:13
49	437	森下 陽介	44	2:50:36	0:26:43	1:22:46	1:01:07
50	398	加藤 亮太	20	2:50:44	0:33:09	1:18:50	0:58:45
51	326	小川 佳宏	48	2:51:21	0:42:25	1:23:24	0:45:32
52	436	橋本 潔	32	2:52:23	0:39:28	1:24:57	0:47:58
53	353	林 健	48	2:53:39	0:38:28	1:20:16	0:54:55
54	423	加藤 慶宣	41	2:53:46	0:41:44	1:18:09	0:53:53
55	325	岡崎 卓次	49	2:54:10	0:37:20	1:23:11	0:53:39
56	369	桝井 亮甫	28	2:55:01	0:28:09	1:14:00	1:12:52
57	390	岡崎 進一	45	2:55:08	0:40:28	1:17:54	0:56:46
58	361	細川 大介	27	2:55:10	0:34:07	1:18:59	1:02:04
59	424	新井 博文	38	2:56:07	0:40:52	1:17:49	0:57:26
60	401	藤岡 伸英	51	2:56:44	0:37:22	1:21:54	0:57:28
61	342	光高 茂樹	46	2:57:04	0:43:12	1:21:32	0:52:20
62	350	天田 広	30	2:57:16	0:32:55	1:23:26	1:00:55
63	306	乾 靖	39	2:57:43	0:30:23	1:21:55	1:05:25
64	335	乾 哲也	35	2:57:44	0:30:57	1:23:13	1:03:34
65	451	田中 和也	47	2:57:52	0:33:22	1:29:03	0:55:27
66	450	井本 浩史	34	2:57:57	0:38:32	1:23:58	0:55:27
67	415	堀内 章広	53	2:58:46	0:38:45	1:15:24	1:04:37
68	309	大関 康太	33	2:58:59	0:37:19	1:19:06	1:02:34
69	429	垂井 祐貴	26	2:59:04	0:43:48	1:20:42	0:54:34
70	389	高柳 淳一	49	3:00:10	0:31:36	1:26:36	1:01:58
71	382	野田 晋平	49	3:02:30	0:37:35	1:25:26	0:59:29
72	341	三木 健	53	3:02:31	0:43:51	1:26:39	0:52:01
73	425	大高 泰平	31	3:04:16	0:43:50	1:24:42	0:55:44
74	373	井上 圭右	52	3:04:20	0:44:02	1:21:59	0:58:19
75	302	今井 一喜	39	3:04:52	0:32:47	1:19:12	1:12:53
76	340	穐山 智樹	44	3:05:00	0:30:13	1:26:51	1:07:56
77	331	西山 潤	38	3:06:12	0:37:28	1:24:50	1:03:54
78	418	大嶋 豪	50	3:06:23	0:38:09	1:27:32	1:00:42
79	394	立木 守幸	42	3:06:42	0:30:42	1:26:46	1:09:14
80	363	瀬間 竜一	51	3:06:47	0:39:32	1:30:13	0:57:02
81	322	生田 博幸	48	3:08:24	0:44:07	1:22:57	1:01:20
82	365	川田 祐志	38	3:08:35	0:52:03	1:17:21	0:59:11
83	446	小林 誠	52	3:09:08	0:46:07	1:27:26	0:55:35
84	454	枡野 禎秀	33	3:09:47	0:39:37	1:25:44	1:04:26
85	348	関戸 健太	22	3:09:58	0:36:47	1:29:25	1:03:46
86	411	松浦 一志	61	3:10:45	0:42:30	1:17:30	1:10:45
87	405	中塚 篤志	39	3:11:05	0:34:05	1:46:33	0:50:27
88	354	山野 正高	48	3:11:44	0:36:54	1:26:30	1:08:20
89	455	上坪 正人	54	3:13:53	0:39:21	1:25:48	1:08:44
90	449	松川 将久	35	3:14:36	1:01:13	1:23:32	0:49:51
91	330	田中 千暁	25	3:14:46	0:46:47	1:23:02	1:04:57
92	419	大森 潤一	50	3:14:52	0:35:50	1:24:10	1:14:52
93	311	藤井 裕大	49	3:16:11	0:41:53	1:25:10	1:09:08
94	303	流王 祥男	73	3:16:50	0:38:42	1:23:46	1:14:22
95	432	井関 毅	53	3:17:05	0:40:34	1:29:04	1:07:27
96	336	岡室 克也	50	3:19:39	0:42:06	1:29:32	1:08:01
97	356	西原 直明	32	3:21:04	0:52:57	1:28:03	1:00:04
98	435	雀部 英樹	46	3:21:34	0:46:12	1:50:16	0:45:06
99	444	野中 良祐	40	3:22:00	0:45:51	1:27:30	1:08:39
100	314	天満 栄太	31	3:23:08	0:42:41	1:27:30	1:12:57
101	367	田浦 健朗	65	3:24:27	0:42:24	1:34:06	1:07:57
102	412	宇都宮 博	58	3:25:22	0:40:16	1:31:25	1:13:41
103	324	大島 章	36	3:26:54	0:38:23	1:22:18	1:26:13
104	416	前島 利昭	53	3:27:35	0:38:20	1:28:16	1:20:59
105	333	長田 耕治	58	3:28:13	0:39:08	1:38:52	1:10:13
106	332	鈴 賢一	41	3:28:50	0:38:58	1:37:45	1:12:07
107	440	大島 司	29	3:31:08	0:43:09	1:31:14	1:16:45
108	315	中村 豊	58	3:33:11	0:40:49	1:31:40	1:20:42
109	310	阿部 正純	42	3:35:09	0:35:22	1:37:17	1:22:30
110	378	住所 和彦	43	3:36:33	0:35:48	1:22:49	1:37:56
111	387	岸田 安弘	58	3:38:36	0:52:15	1:31:05	1:15:16
112	388	田中 敬次郎	37	3:40:34	0:47:38	1:30:52	1:22:04
113	337	前川 博輝	50	3:41:49	0:57:25	1:42:01	1:02:23
114	370	神門 英昭	60	4:04:31	0:52:53	1:34:27	1:37:11
115	413	甲斐 昭成	53	4:06:29	0:52:24	1:44:17	1:29:48
1	482	重成 かおり	45	2:21:58	0:25:56	1:12:33	0:43:29
2	483	日生 麻美	40	2:44:04	0:30:39	1:18:29	0:54:56
3	484	蛯名 茜	36	2:54:15	0:34:46	1:17:30	1:01:59
4	489	立木 亜希子	38	3:10:29	0:29:21	1:27:29	1:13:39
5	492	藤田 尚子	47	3:11:09	0:33:21	1:27:39	1:10:09
6	481	松本 明莉	26	3:12:05	0:39:05	1:25:09	1:07:51
7	486	飯尾 圭子	49	3:17:17	0:49:54	1:24:33	1:02:50
8	488	田中 愛子	37	3:20:19	0:38:06	1:31:25	1:10:48
9	485	嶋田 扶佐惠	61	3:30:13	0:41:59	1:32:20	1:15:54
10	487	住所 ひとみ	37	3:36:34	0:55:54	1:34:36	1:06:04
11	490	橋口 久美子	36	3:56:21	0:44:11	1:34:01	1:38:09
1	127	加納 侑士	28	1:31:54	0:21:12	0:51:44	0:18:58
2	130	阿部 倭	15	1:36:44	0:23:52	0:52:31	0:20:21
3	41	民部 晏基	20	1:38:24	0:23:49	0:55:16	0:19:19
4	66	羽田 悠人	22	1:38:34	0:23:59	0:56:07	0:18:28
5	59	杉浦 貴之	27	1:41:01	0:18:55	0:59:59	0:22:07
6	32	太原 裕誠	21	1:41:59	0:20:18	0:59:39	0:22:02
7	40	吉田 陣平	22	1:48:15	0:31:55	0:54:28	0:21:52
8	151	ｳｨﾝﾁｪｽﾀ ｻﾞｯｶﾘｰ	27	1:49:57	0:31:25	0:57:09	0:21:23
9	19	藤原 郁也	21	1:51:56	0:24:01	0:59:52	0:28:03
10	44	宮本 海	27	1:54:18	0:27:05	1:00:32	0:26:41
11	132	目木 智也	29	2:02:37	0:27:21	1:06:00	0:29:16
12	45	菊池 雄一郎	24	2:04:41	0:27:59	1:04:55	0:31:47
13	85	佐竹 康志	24	2:06:15	0:28:26	1:13:57	0:23:52
14	29	森 彩翔	21	2:12:43	0:31:10	1:16:10	0:25:23
15	67	三江 弘貴	28	2:15:30	0:34:21	1:15:45	0:25:24
16	86	吉田 正太郎	15	2:20:14	0:36:58	1:15:31	0:27:45
17	4	松岡 弘之	28	2:21:22	0:24:34	1:22:04	0:34:44
18	145	北野 聡之	29	2:32:46	0:58:36	1:08:55	0:25:15
19	129	三戸 隆成	21	2:51:13	0:29:09	1:26:59	0:55:05
1	49	松浦 吉晃	34	1:31:39	0:19:34	0:52:44	0:19:21
2	121	堀田 和則	36	1:37:11	0:22:27	0:53:05	0:21:39
3	123	喜多 秀樹	33	1:37:16	0:19:01	0:56:27	0:21:48
4	33	小原 健	31	1:41:22	0:21:31	0:56:58	0:22:53
5	35	西棟 真太郎	37	1:41:45	0:22:18	0:58:21	0:21:06
6	149	小竹 佑治	32	1:41:50	0:23:39	0:58:10	0:20:01
7	52	垣屋 成宏	37	1:42:28	0:25:17	0:58:39	0:18:32
8	54	井端 啓輔	34	1:51:46	0:32:04	0:58:45	0:20:57
9	47	伊藤 禎志	33	1:51:47	0:30:02	0:57:59	0:23:46
10	126	田中 紘太	30	2:04:00	0:28:42	1:08:07	0:27:11
11	15	佐藤 悠貴	33	2:07:08	0:31:08	1:12:19	0:23:41
12	122	香林 正樹	33	2:08:50	0:21:57	1:22:36	0:24:17
13	146	志水 宏行	34	2:12:05	0:24:59	0:54:41	0:52:25
14	120	山本 雄介	38	2:15:20	0:38:31	1:08:34	0:28:15
15	119	田中 和宏	38	2:15:38	0:30:33	1:15:10	0:29:55
16	37	西棟 大	33	2:22:59	0:37:59	1:14:02	0:30:58
17	88	安藤 亮介	34	2:47:35	0:53:36	1:24:17	0:29:42
1	1	辻 巨樹	41	1:26:05	0:17:41	0:49:51	0:18:33
2	53	長谷川 敏二	42	1:30:55	0:19:53	0:51:01	0:20:01
3	116	齋藤 求	41	1:33:42	0:19:02	0:55:18	0:19:22
4	113	倉田 芳信	43	1:34:54	0:21:57	0:54:50	0:18:07
5	72	平山 順一	48	1:35:32	0:23:28	0:54:32	0:17:32
6	111	井手 伸一	45	1:42:31	0:21:41	0:58:38	0:22:12
7	73	中野 耕介	42	1:44:20	0:24:44	0:56:38	0:22:58
8	117	山内 武士	40	1:44:57	0:18:05	1:03:05	0:23:47
9	118	佐々木 隆	40	1:46:15	0:24:50	0:54:55	0:26:30
10	23	渡邉 賢二	40	1:46:36	0:19:40	1:00:27	0:26:29
11	109	宮前 俊介	46	1:48:28	0:27:37	0:58:19	0:22:32
12	142	田中 豊己	49	1:48:49	0:24:56	0:57:49	0:26:04
13	36	谷田 映広	47	1:48:57	0:30:35	0:56:06	0:22:16
14	104	金村 論益	49	1:50:54	0:25:39	1:01:36	0:23:39
15	16	湯淺 貴弘	49	1:51:08	0:27:33	1:00:03	0:23:32
16	105	金井 孝	49	1:51:11	0:30:34	1:01:08	0:19:29
17	79	出口 隆啓	40	1:54:18	0:29:34	0:56:02	0:28:42
18	108	三戸 昌人	46	1:57:20	0:28:04	1:04:59	0:24:17
19	115	村上 裕之	41	1:57:29	0:27:34	1:02:02	0:27:53
20	26	志方 達哉	44	2:01:05	0:30:57	1:06:43	0:23:25
21	106	岸本 啓司	48	2:01:06	0:36:05	1:02:31	0:22:30
22	80	小河 潤	48	2:02:05	0:25:58	1:01:42	0:34:25
23	135	深川 幹夫	46	2:02:13	0:24:37	1:05:24	0:32:12
24	9	松尾 年和	48	2:07:22	0:24:41	1:10:28	0:32:13
25	74	塩崎 宏一	44	2:08:58	0:33:47	1:05:57	0:29:14
26	3	芳村 茂樹	45	2:10:49	0:35:42	1:06:52	0:28:15
27	69	黒田 知宏	46	2:15:56	0:32:53	1:16:15	0:26:48
28	61	田中 隆之	47	2:19:16	0:33:27	1:13:52	0:31:57
29	139	髙木 剛	44	2:20:47	0:34:48	1:15:52	0:30:07
30	51	柴田 嘉宏	49	2:21:09	0:35:37	1:11:55	0:33:37
31	112	太田 貴久	43	2:22:11	0:41:47	1:08:08	0:32:16
32	50	宮崎 隆人	42	2:25:00	0:36:24	1:14:40	0:33:56
1	102	高橋 泰夫	54	1:21:21	0:17:36	0:47:27	0:16:18
2	25	新井 孝史	50	1:28:29	0:19:20	0:50:57	0:18:12
3	82	明石 隆之	54	1:42:13	0:23:48	0:58:28	0:19:57
4	43	田中 一正	54	1:42:23	0:19:39	0:57:52	0:24:52
5	101	松島 順也	55	1:47:17	0:24:11	0:57:02	0:26:04
6	91	山本 義夫	59	1:47:18	0:30:24	0:54:49	0:22:05
7	56	青森 直人	57	1:47:49	0:26:45	0:59:05	0:21:59
8	24	矢部 宰文	59	1:51:23	0:25:52	0:59:35	0:25:56
9	5	山嵜 清張	57	1:53:05	0:28:01	1:00:29	0:24:35
10	99	武田 豊三	59	1:53:28	0:29:11	1:02:24	0:21:53
11	81	鶴和 義朗	51	1:55:55	0:27:30	1:01:06	0:27:19
12	87	吉田 悠	55	1:58:35	0:28:59	1:03:25	0:26:11
13	70	松井 直人	53	1:59:02	0:27:18	1:03:33	0:28:11
14	75	畠中 登	54	2:03:24	0:31:37	1:07:15	0:24:32
15	78	仲川 豪	51	2:03:32	0:26:57	1:03:45	0:32:50
16	7	寺薗 賢隆	51	2:04:24	0:32:02	1:08:55	0:23:27
17	58	向 敏史	56	2:08:28	0:28:11	1:07:31	0:32:46
18	148	湯川 啓次	51	2:09:36	0:35:54	1:08:06	0:25:36
19	71	国本 恭	57	2:12:28	0:28:30	1:15:35	0:28:23
20	14	湊 康行	57	2:16:45	0:28:10	1:09:46	0:38:49
21	100	赤木 政春	57	2:22:48	0:38:02	1:09:43	0:35:03
22	55	梶川 彰三	58	2:45:19	0:40:24	1:19:05	0:45:50
1	138	川崎 潔	68	1:45:33	0:24:26	0:59:20	0:21:47
2	152	万庭 浄	65	1:50:46	0:32:35	0:58:01	0:20:10
3	21	畑田 章夫	62	1:52:08	0:27:56	1:01:44	0:22:28
4	6	野場 尚	63	1:54:25	0:23:44	1:07:22	0:23:19
5	98	小田 哲靖	60	1:56:06	0:28:38	1:03:44	0:23:44
6	11	原 聖雅	66	1:57:57	0:27:30	1:04:03	0:26:24
7	13	尼崎 佳三	66	2:02:16	0:29:56	1:08:57	0:23:23
8	10	吉川 一義	63	2:09:26	0:30:06	1:07:24	0:31:56
9	12	里見 貞二	66	2:10:00	0:28:23	1:09:57	0:31:40
10	57	岡田 勝善	73	2:10:56	0:27:50	1:11:08	0:31:58
11	140	道川 成一	62	2:11:47	0:31:06	1:10:01	0:30:40
12	84	深坂 健太郎	63	2:12:19	0:23:19	1:09:53	0:39:07
13	96	門場 靖司	64	2:17:48	0:35:19	1:10:53	0:31:36
14	20	谷口 博志	70	2:18:12	0:31:59	1:11:25	0:34:48
15	97	辻本 正一	60	2:21:03	0:40:16	1:09:37	0:31:10
16	92	中西 啓一	73	2:22:26	0:37:37	1:16:05	0:28:44
17	8	阪口 利彦	75	2:44:56	0:33:10	1:28:21	0:43:25
1	172	野口 花音	16	1:38:29	0:16:10	0:59:47	0:22:32
2	162	富松 雪乃	18	1:54:29	0:23:13	1:05:47	0:25:29
3	168	佐藤 理子	20	3:19:55	1:06:32	1:31:24	0:41:59
1	164	牛塚 諒子	33	1:39:53	0:20:40	0:58:16	0:20:57
2	163	塩見 真由	35	2:19:34	0:37:57	1:09:30	0:32:07
1	176	松本 華奈	47	1:32:42	0:18:11	0:54:47	0:19:44
2	167	橘 知恵	48	1:49:02	0:20:15	1:02:42	0:26:05
3	177	伊藤 あゆみ	49	2:03:21	0:26:54	1:07:59	0:28:28
4	174	堀次 千春	42	2:29:31	0:37:26	1:17:09	0:34:56
1	165	武田 久美子	59	1:54:35	0:27:27	1:02:05	0:25:03
2	161	萱野 真理子	52	1:55:33	0:26:10	1:05:00	0:24:23
3	175	毛利 文恵	56	2:18:16	0:44:48	1:06:10	0:27:18
4	170	中根 典子	52	2:41:06	0:46:47	1:11:58	0:42:21
1	364	川口 遼	28	2:14:02	0:25:47	1:03:10	0:45:05
2	431	松本 響平	21	2:19:57	0:25:19	1:09:34	0:45:04
3	346	小倉 崚司	27	2:33:38	0:23:12	1:12:52	0:57:34
