順位	ナンバー	氏名	年齢	最終タイム	スイム記録	バイク記録	ラン記録
36	334	遠山 剛	43	2:43:45	0:34:00	1:13:47	0:55:58
37	483	日生 麻美	40	2:44:04	0:30:39	1:18:29	0:54:56
38	321	坂元 靖昌	39	2:44:52	0:33:31	1:18:17	0:53:04
39	386	山陰 篤史	38	2:46:10	0:28:16	1:15:20	1:02:34
40	452	北野 信英	49	2:46:38	0:30:35	1:15:30	1:00:33
41	381	松富 圭介	52	2:47:21	0:34:47	1:19:19	0:53:15
42	307	土井 誠	51	2:47:33	0:28:47	1:26:39	0:52:07
43	421	石川 尊士	42	2:47:41	0:34:59	1:20:48	0:51:54
44	430	元平 伊作	25	2:47:46	0:39:49	1:18:52	0:49:05
45	445	岡田 浩	56	2:48:03	0:38:52	1:18:37	0:50:34
46	383	今中 慎	45	2:48:48	0:33:12	1:22:09	0:53:27
47	313	赤松 直也	46	2:49:13	0:37:08	1:14:59	0:57:06
48	443	佐藤 哲夫	48	2:49:26	0:40:35	1:17:19	0:51:32
49	453	杉江 真和	43	2:49:28	0:38:33	1:14:37	0:56:18
50	323	大西 哲平	22	2:49:40	0:36:46	1:22:41	0:50:13
51	437	森下 陽介	44	2:50:36	0:26:43	1:22:46	1:01:07
52	398	加藤 亮太	20	2:50:44	0:33:09	1:18:50	0:58:45
53	326	小川 佳宏	48	2:51:21	0:42:25	1:23:24	0:45:32
54	436	橋本 潔	32	2:52:23	0:39:28	1:24:57	0:47:58
55	353	林 健	48	2:53:39	0:38:28	1:20:16	0:54:55
56	423	加藤 慶宣	41	2:53:46	0:41:44	1:18:09	0:53:53
57	325	岡崎 卓次	49	2:54:10	0:37:20	1:23:11	0:53:39
58	484	蛯名 茜	36	2:54:15	0:34:46	1:17:30	1:01:59
59	369	桝井 亮甫	28	2:55:01	0:28:09	1:14:00	1:12:52
60	390	岡崎 進一	45	2:55:08	0:40:28	1:17:54	0:56:46
61	361	細川 大介	27	2:55:10	0:34:07	1:18:59	1:02:04
62	424	新井 博文	38	2:56:07	0:40:52	1:17:49	0:57:26
63	401	藤岡 伸英	51	2:56:44	0:37:22	1:21:54	0:57:28
64	342	光高 茂樹	46	2:57:04	0:43:12	1:21:32	0:52:20
65	350	天田 広	30	2:57:16	0:32:55	1:23:26	1:00:55
66	306	乾 靖	39	2:57:43	0:30:23	1:21:55	1:05:25
67	335	乾 哲也	35	2:57:44	0:30:57	1:23:13	1:03:34
68	451	田中 和也	47	2:57:52	0:33:22	1:29:03	0:55:27
69	450	井本 浩史	34	2:57:57	0:38:32	1:23:58	0:55:27
70	415	堀内 章広	53	2:58:46	0:38:45	1:15:24	1:04:37
71	309	大関 康太	33	2:58:59	0:37:19	1:19:06	1:02:34
72	429	垂井 祐貴	26	2:59:04	0:43:48	1:20:42	0:54:34
73	389	高柳 淳一	49	3:00:10	0:31:36	1:26:36	1:01:58
74	382	野田 晋平	49	3:02:30	0:37:35	1:25:26	0:59:29
75	341	三木 健	53	3:02:31	0:43:51	1:26:39	0:52:01
76	425	大高 泰平	31	3:04:16	0:43:50	1:24:42	0:55:44
77	373	井上 圭右	52	3:04:20	0:44:02	1:21:59	0:58:19
78	302	今井 一喜	39	3:04:52	0:32:47	1:19:12	1:12:53
79	340	穐山 智樹	44	3:05:00	0:30:13	1:26:51	1:07:56
80	331	西山 潤	38	3:06:12	0:37:28	1:24:50	1:03:54
81	418	大嶋 豪	50	3:06:23	0:38:09	1:27:32	1:00:42
82	394	立木 守幸	42	3:06:42	0:30:42	1:26:46	1:09:14
83	363	瀬間 竜一	51	3:06:47	0:39:32	1:30:13	0:57:02
84	322	生田 博幸	48	3:08:24	0:44:07	1:22:57	1:01:20
85	365	川田 祐志	38	3:08:35	0:52:03	1:17:21	0:59:11
86	446	小林 誠	52	3:09:08	0:46:07	1:27:26	0:55:35
87	454	枡野 禎秀	33	3:09:47	0:39:37	1:25:44	1:04:26
88	348	関戸 健太	22	3:09:58	0:36:47	1:29:25	1:03:46
89	489	立木 亜希子	38	3:10:29	0:29:21	1:27:29	1:13:39
90	411	松浦 一志	61	3:10:45	0:42:30	1:17:30	1:10:45
91	405	中塚 篤志	39	3:11:05	0:34:05	1:46:33	0:50:27
92	492	藤田 尚子	47	3:11:09	0:33:21	1:27:39	1:10:09
93	354	山野 正高	48	3:11:44	0:36:54	1:26:30	1:08:20
94	481	松本 明莉	26	3:12:05	0:39:05	1:25:09	1:07:51
95	455	上坪 正人	54	3:13:53	0:39:21	1:25:48	1:08:44
96	449	松川 将久	35	3:14:36	1:01:13	1:23:32	0:49:51
97	330	田中 千暁	25	3:14:46	0:46:47	1:23:02	1:04:57
98	419	大森 潤一	50	3:14:52	0:35:50	1:24:10	1:14:52
99	311	藤井 裕大	49	3:16:11	0:41:53	1:25:10	1:09:08
100	303	流王 祥男	73	3:16:50	0:38:42	1:23:46	1:14:22
101	432	井関 毅	53	3:17:05	0:40:34	1:29:04	1:07:27
102	486	飯尾 圭子	49	3:17:17	0:49:54	1:24:33	1:02:50
103	336	岡室 克也	50	3:19:39	0:42:06	1:29:32	1:08:01
104	488	田中 愛子	37	3:20:19	0:38:06	1:31:25	1:10:48
105	356	西原 直明	32	3:21:04	0:52:57	1:28:03	1:00:04
106	435	雀部 英樹	46	3:21:34	0:46:12	1:50:16	0:45:06
107	444	野中 良祐	40	3:22:00	0:45:51	1:27:30	1:08:39
108	314	天満 栄太	31	3:23:08	0:42:41	1:27:30	1:12:57
109	367	田浦 健朗	65	3:24:27	0:42:24	1:34:06	1:07:57
110	412	宇都宮 博	58	3:25:22	0:40:16	1:31:25	1:13:41
111	324	大島 章	36	3:26:54	0:38:23	1:22:18	1:26:13
112	416	前島 利昭	53	3:27:35	0:38:20	1:28:16	1:20:59
113	333	長田 耕治	58	3:28:13	0:39:08	1:38:52	1:10:13
114	332	鈴 賢一	41	3:28:50	0:38:58	1:37:45	1:12:07
115	485	嶋田 扶佐惠	61	3:30:13	0:41:59	1:32:20	1:15:54
116	440	大島 司	29	3:31:08	0:43:09	1:31:14	1:16:45
117	315	中村 豊	58	3:33:11	0:40:49	1:31:40	1:20:42
118	310	阿部 正純	42	3:35:09	0:35:22	1:37:17	1:22:30
119	378	住所 和彦	43	3:36:33	0:35:48	1:22:49	1:37:56
120	487	住所 ひとみ	37	3:36:34	0:55:54	1:34:36	1:06:04
121	387	岸田 安弘	58	3:38:36	0:52:15	1:31:05	1:15:16
122	388	田中 敬次郎	37	3:40:34	0:47:38	1:30:52	1:22:04
123	337	前川 博輝	50	3:41:49	0:57:25	1:42:01	1:02:23
124	490	橋口 久美子	36	3:56:21	0:44:11	1:34:01	1:38:09
125	370	神門 英昭	60	4:04:31	0:52:53	1:34:27	1:37:11
126	413	甲斐 昭成	53	4:06:29	0:52:24	1:44:17	1:29:48
