総合順位	No.	氏名	性別	都道府県	総合記録	ｽｲﾑﾗｯﾌﾟ	S順	ﾊﾞｲｸﾗｯﾌﾟ	B順	スプリット	通過	ﾗﾝﾗｯﾌﾟ	R順	男子順位	女子順位	近畿順位
44	68	北吉 舞	女	奈良県	1:14:58	0:14:39	49	0:36:29	46	0:51:08	48	0:23:50	38		11	
TOV	64	小林 奈央	女	大阪府	1:16:48	0:10:53	23	0:39:46	48	0:50:39	47	0:26:09	45			
TOV	65	川久保 恵里	女	奈良県	1:17:14	0:14:10	46	0:36:08	44	0:50:18	45	0:26:56	46			
TOV	55	大谷 真子	女	学連	1:17:47	0:14:11	47	0:36:09	45	0:50:20	46	0:27:27	47			
TOV	52	林田 青空	女	京都府	1:20:30	0:11:54	34	0:36:49	47	0:48:43	43	0:31:47	48			
DNF	22	松本 敬之	男	学連		0:11:52	33									
DNS	13	前田 諒飛	男	学連												
DNS	20	植松 圭吾	男	学連												
DNS	35	外山 高広	男	東京都												
DNS	53	木谷 唯花	女	滋賀県												
DNS	58	白石 怜佳	女	学連												
DNS	62	瀬賀 楓佳	女	大阪府												
