Overall_Rank	Gender_Rank	Div_Rank	Bib	Name	Gender	Division	Country	Club	Penalty	Swim	T1	Bike	T2	Run	Total_Time
82	77	9	487	Bastien Ibanez	M	M25-29	FRA			00:59:07	00:02:46	04:41:52	00:02:22	02:59:12	08:45:16
83	6	6	109	Merle Brunnée	F	WPRO	DEU	TSV Mannheim - engelhorn sports team		01:11:30	00:02:13	04:30:02	00:01:12	03:00:51	08:45:45
84	78	13	330	Sascha Ludwig	M	M30-34	DEU	SV Teuto Riesenbeck / TV Lengerich		00:58:57	00:01:34	04:34:53	00:01:23	03:09:10	08:45:55
85	79	14	248	Michael Diensthuber-Linner	M	M30-34	DEU	TSV Reischach		01:04:30	00:02:27	04:42:30	00:01:44	02:54:48	08:45:57
86	80	2	182	Tobias Schillo	M	M20-24	DEU			00:55:09	00:02:06	04:37:48	00:02:51	03:09:00	08:46:52
87	81	15	268	Aled Jenkins	M	M30-34	GBR	RAS		00:58:28	00:02:36	04:45:09	00:01:50	02:58:55	08:46:56
88	82	16	147	Jonas Rabenstein	M	M30-34	DEU	RSC Neukirchen		01:04:19	00:02:36	04:24:24	00:01:52	03:14:08	08:47:16
89	83	17	150	Lukas Mazur	M	M30-34	DEU	KTT 01		00:50:56	00:02:20	04:28:47	00:02:07	03:23:47	08:47:55
90	84	18	157	Michael Wocker	M	M30-34	DEU	DJK SG St. Ingbert		00:51:04	00:01:39	04:37:08	00:02:23	03:15:53	08:48:05
91	85	5	155	Laurent Marcilloux	M	M40-44	FRA	Rougeot Beaune Triathlon		01:06:07	00:03:21	04:34:09	00:01:32	03:03:29	08:48:36
92	86	46	43	Niels Vanhove	M	MPRO	BEL	Lommelse Triatleten		00:54:08	00:02:01	04:25:47	00:02:27	03:24:42	08:49:03
93	87	6	204	Hendrik Althoff	M	M35-39	DEU	TUS Drevenack		00:55:13	00:02:40	04:31:41	00:02:15	03:18:03	08:49:50
94	88	19	404	Brett Musco	M	M30-34	USA	Power2Tri		01:10:48	00:02:49	04:42:35	00:03:11	02:50:30	08:49:52
95	89	20	156	Andreas Sindel	M	M30-34	DEU	1. FCN Schwimmen		01:16:04	00:03:21	04:31:52	00:01:20	02:57:38	08:50:13
96	90	10	471	Brent Van Lierde	M	M25-29	BEL			01:04:26	00:02:47	04:39:49	00:02:44	03:00:44	08:50:28
97	91	6	228	Fabian Conrad	M	M40-44	DEU			00:58:26	00:01:49	04:49:11	00:01:52	02:59:49	08:51:03
98	92	7	380	Stefan Wieland	M	M35-39	DEU	Trifit Vallried e.V.		01:07:08	00:02:34	04:41:51	00:01:15	02:58:22	08:51:08
99	93	7	176	Mathieu Paolillo	M	M40-44	FRA	Team Argon 18 France		00:58:40	00:03:11	04:37:39	00:02:14	03:09:32	08:51:15
100	94	2	284	Gabor Horanyi	M	M45-49	HUN			01:06:23	00:02:07	04:40:13	00:02:47	03:00:01	08:51:29
101	95	21	198	Korbinian Sautter	M	M30-34	DEU	LC Buchendorf		01:01:06	00:03:46	04:46:53	00:02:29	02:57:21	08:51:33
102	96	22	299	Ben Peeters	M	M30-34	BEL	PHNX		00:58:28	00:02:37	04:30:42	00:01:25	03:18:33	08:51:44
103	97	8	191	Filipe Henriques	M	M35-39	PRT	Sporting C Espinho		01:11:46	00:02:12	04:35:15	00:01:31	03:01:04	08:51:46
104	98	9	432	Joshua Gordon	M	M35-39	USA			01:05:25	00:02:27	04:36:25	00:02:13	03:05:19	08:51:48
105	99	11	326	Tobias Rink	M	M25-29	DEU	team-naunheim.de / Trail Made Endurance Coaching		00:56:52	00:02:28	04:39:21	00:02:52	03:10:33	08:52:03
106	100	23	273	Joel Wächter	M	M30-34	CHE	Trigethwr		01:04:15	00:02:44	04:35:09	00:01:25	03:08:56	08:52:26
107	101	24	361	Marcel Nägele	M	M30-34	DEU	DV Deuchelried		01:02:50	00:02:23	04:37:57	00:01:36	03:07:54	08:52:37
108	102	25	290	Moritz Steinig	M	M30-34	DEU	VfV Spandau		01:11:35	00:02:40	04:35:01	00:01:28	03:01:58	08:52:40
109	7	7	111	Nina Derron	F	WPRO	CHE			00:58:08	00:01:33	04:45:35	00:01:11	03:06:34	08:53:00
110	103	10	405	Daan Born	M	M35-39	BEL	PHNX		01:02:57	00:02:07	04:34:03	00:01:44	03:13:05	08:53:54
111	104	26	210	Maximilian Korn	M	M30-34	DEU			01:09:12	00:02:36	04:36:56	00:01:02	03:04:20	08:54:04
112	105	11	348	Matthias Welther	M	M35-39	DEU	RSC Untermosel		01:08:02	00:03:06	04:33:05	00:01:59	03:08:02	08:54:12
113	106	47	63	Raphael Junghans	M	MPRO	DEU	TSG 08 Roth		00:57:05	00:02:22	04:40:59	00:02:04	03:11:54	08:54:22
114	107	12	278	Raphael Schertenleib	M	M35-39	CHE	tripl3.ch		01:04:37	00:02:42	04:38:43	00:01:35	03:06:53	08:54:28
115	108	8	346	Bernardo Cadeiras	M	M40-44	PRT	Louletano Desportos Clube		01:02:25	00:03:10	04:41:07	00:03:07	03:04:41	08:54:28
116	109	9	233	Golwen Kauffmann	M	M40-44	FRA	TAC Colmar		01:02:22	00:02:49	04:33:55	00:01:10	03:14:16	08:54:30
117	110	27	423	Maximilian Widera	M	M30-34	DEU	Eintracht Frankfurt Triathlon		00:55:21	00:02:17	04:36:38	00:01:21	03:19:03	08:54:38
118	111	28	298	Dario Flohr	M	M30-34	DEU	Nine Sub 9 - Forice 89 Dachau		01:01:07	00:02:50	04:36:25	00:02:17	03:12:07	08:54:44
119	112	13	260	Stefan Mayer	M	M35-39	DEU	Schneck Schaal Braun Tragwerksplanung		01:08:18	00:02:25	04:33:58	00:01:30	03:08:41	08:54:50
120	113	48	31	Miguel Mattox	M	MPRO	USA	Working Triathlete		00:51:17	00:01:55	04:28:01	00:02:50	03:31:00	08:55:01
121	114	14	145	Oliver Bridge	M	M35-39	GBR	Tri Team Lutry		01:03:47	00:03:19	04:55:38	00:01:38	02:50:48	08:55:08
122	115	10	159	Sergey Khazov	M	M40-44		Triatleta		00:54:55	00:03:15	04:30:21	00:04:32	03:22:20	08:55:23
123	116	15	223	Loïc Lemaître	M	M35-39	BEL	PHNX		01:08:20	00:02:10	04:36:53	00:02:42	03:05:22	08:55:24
124	117	16	276	Wout Wera	M	M35-39	BEL	PHNX		01:01:11	00:02:42	04:48:20	00:01:37	03:02:00	08:55:48
125	118	17	468	Patrick Lach	M	M35-39	AUT	Latschi Racing Team		01:11:43	00:03:20	04:36:24	00:02:54	03:02:02	08:56:21
126	119	29	187	Simon Partl	M	M30-34	AUT	1. TTCI		00:58:24	00:03:16	04:39:51	00:01:25	03:13:39	08:56:32
127	120	3	620	Josef Stone	M	M20-24	USA			01:03:45	00:03:26	04:46:14	00:01:46	03:01:32	08:56:42
128	121	30	283	Daniel Kropp	M	M30-34	DEU			00:58:22	00:02:30	04:43:19	00:01:34	03:11:10	08:56:54
129	122	12	158	Joery Wouters	M	M25-29	BEL			00:54:32	00:02:00	04:44:07	00:02:06	03:14:26	08:57:09
130	123	31	540	Luuk Molenaar	M	M30-34	NLD	Move the Limit		01:04:06	00:02:09	04:52:27	00:02:21	02:56:16	08:57:17
131	124	13	207	Samuel Möhler	M	M25-29	DEU	Karlsruher Lemminge		00:56:43	00:01:43	04:35:14	00:01:25	03:22:29	08:57:30
132	125	18	397	Lukasz Skrzypiec	M	M35-39	NZL	Canterbury Triathlon Club		01:07:54	00:03:08	04:46:41	00:01:25	02:58:29	08:57:34
133	126	19	244	Christopher Pocock	M	M35-39	GBR			01:08:16	00:03:02	04:39:23	00:02:05	03:05:02	08:57:46
134	127	20	443	Sam De Knop	M	M35-39	BEL			01:01:42	00:02:23	04:46:57	00:02:06	03:04:40	08:57:46
135	128	21	239	Tobias Ibrahim	M	M35-39	DEU	Team Hotel Jakob		01:09:02	00:02:51	04:37:21	00:03:21	03:05:43	08:58:15
136	129	22	249	Moritz Pleyer	M	M35-39	DEU	MTC Munich		01:04:27	00:02:22	04:34:38	00:03:20	03:13:34	08:58:18
137	130	11	382	Martin Siemann	M	M40-44	DEU	TV Werne 03 Wasserfreunde e.V		01:03:46	00:02:38	04:40:00	00:01:46	03:10:56	08:59:03
138	131	12	412	Johannes Scherer	M	M40-44	DEU	PSV Wengerohr		01:03:18	00:02:20	04:46:35	00:01:15	03:06:15	08:59:41
139	132	13	231	Benedikt Feuerecker	M	M40-44	DEU	MRRC München		01:08:12	00:02:33	04:37:57	00:01:57	03:09:41	09:00:17
140	133	14	344	Maarten Vermeulen	M	M40-44	BEL	AATT		01:07:47	00:03:23	04:49:08	00:01:25	02:59:34	09:01:14
141	134	23	402	Stefan Landgraf	M	M35-39	DEU	#NGTRNG		01:04:46	00:03:33	04:48:37	00:01:58	03:02:43	09:01:34
142	8	8	113	Katharina Wolff	F	WPRO	DEU	Tri-Team Heuchelber		00:59:12	00:01:36	04:48:53	00:01:28	03:10:44	09:01:53
143	135	15	275	Till Schaefer	M	M40-44	DEU	PV Triathlon TG Witten		01:07:08	00:02:32	04:32:23	00:02:42	03:17:31	09:02:14
144	136	14	1048	Fabian Nickl	M	M25-29	DEU	SpVgg Tannmoos		01:02:35	00:01:51	04:41:17	00:01:31	03:15:04	09:02:15
145	137	1	637	Ricardo Garcia	M	M50-54	ARG	GiddyUp		01:04:21	00:02:20	04:46:07	00:03:26	03:06:25	09:02:38
146	138	32	406	Simon Elshorst	M	M30-34	DEU	SSF Bonn Triathlon Team		01:01:49	00:02:36	04:39:54	00:01:41	03:16:50	09:02:48
147	139	2	528	Rait Pallo	M	M50-54	EST	AT SPORT		01:10:35	00:02:40	04:41:52	00:02:44	03:05:08	09:02:58
148	140	33	568	Philipp Oeggerli	M	M30-34	CHE			01:04:28	00:03:51	04:42:43	00:03:22	03:08:36	09:02:59
149	141	34	453	Michael Mochart	M	M30-34	AUT	ReWork		01:03:31	00:02:17	04:45:45	00:01:46	03:09:46	09:03:02
150	142	35	391	Bastian Lehnert	M	M30-34	DEU	TV 1848 Erlangen		01:06:32	00:03:06	04:45:12	00:01:30	03:06:51	09:03:09
151	143	36	790	Gianni Di Matteo	M	M30-34	BEL	OCTANE RACING		00:58:39	00:02:34	05:04:32	00:02:54	02:54:49	09:03:26
152	144	1	648	Gordo Byrn	M	M55-59	USA			01:01:32	00:02:29	04:44:18	00:01:45	03:13:38	09:03:38
153	145	24	202	Aragón Gutiérrez Rubén	M	M35-39	ESP	DESAM.ES		00:58:08	00:02:00	04:44:27	00:03:47	03:15:34	09:03:55
154	146	3	269	Martin Bürßner	M	M45-49	DEU	Team Silla Hopp		00:55:51	00:03:04	04:30:26	00:01:45	03:32:58	09:04:02
155	147	37	357	Bram Vanelverdinghe	M	M30-34	BEL	Mr. T. Triathlonclub Gent		01:13:20	00:05:27	04:54:09	00:03:29	02:48:35	09:04:57
156	148	15	264	Timo Schärz	M	M25-29	CHE	ALPHA Racing Team Switzerland		01:02:18	00:02:43	04:35:25	00:02:04	03:22:35	09:05:03
157	149	38	407	Jan Maier	M	M30-34	DEU	SG Landesgrenze		01:15:39	00:01:55	04:38:53	00:01:59	03:06:41	09:05:05
158	150	16	1206	Dylan Clough	M	M25-29	AUS	Sydney Triathlon Group		00:54:28	00:02:45	05:05:47	00:02:32	02:59:37	09:05:07
159	151	4	545	Olivier Cornelis	M	M45-49	BEL	SP&O triatlon Mechelen		01:04:25	00:03:23	04:49:39	00:01:27	03:06:15	09:05:07
160	152	16	3006	Marcin Misztal	M	M40-44	POL			01:34:50	00:09:22	07:09:52	00:03:55		09:05:17
161	153	5	293	Tim Vandepoel	M	M45-49	BEL	TDL		01:02:47	00:02:51	04:40:10	00:02:09	03:17:26	09:05:22
162	154	25	167	James Hedley-Hamilton	M	M35-39	GBR			01:12:37	00:02:32	04:36:16	00:01:09	03:13:01	09:05:33
163	155	6	224	Carsten Demant Sørensen	M	M45-49	DNK	Aalborg Triathlon Klub		00:54:32	00:03:08	04:45:46	00:02:16	03:19:58	09:05:37
164	156	26	436	Eric Gonderinger	M	M35-39	LUX	Team Snooze X3M		01:05:10	00:02:29	04:47:40	00:02:02	03:08:22	09:05:41
165	157	39	746	Kevin Schnegg	M	M30-34	CHE	Kein Verein		01:06:00	00:04:01	04:50:26	00:01:49	03:03:45	09:05:59
166	158	40	350	Leonhard Mandl	M	M30-34	DEU	LC Buchendorf		01:05:11	00:02:05	04:36:59	00:01:47	03:20:16	09:06:16
167	159	17	442	Julian Minde	M	M25-29	NOR	Spirit Tri		01:03:22	00:02:44	04:48:07	00:01:36	03:10:41	09:06:28
168	160	27	327	Ulli Birner	M	M35-39	DEU	Anza Racing		01:07:58	00:03:12	04:39:54	00:01:51	03:13:43	09:06:36
169	161	18	526	Marco Hofbeck	M	M25-29	DEU	MS Elektro		01:02:57	00:03:06	04:46:01	00:01:13	03:13:26	09:06:40
170	162	41	485	Edouard Chretien	M	M30-34	FRA	Triathlon Amberieu En Bugey		01:01:57	00:03:31	04:37:07	00:04:30	03:19:47	09:06:50
171	9	9	118	Laura Kessler	F	WPRO	CHE	Trigether		01:08:58	00:02:32	04:44:48	00:02:02	03:09:44	09:08:02
172	163	17	255	Trond Smedsrud	M	M40-44	ATA			01:11:22	00:02:59	04:49:15	00:02:31	03:02:15	09:08:19
173	164	28	611	Manuel Scharnweber	M	M35-39	DEU	TSV Stein Triathlon		01:04:47	00:02:36	04:45:55	00:02:10	03:13:03	09:08:29
174	165	29	345	Ricardo Carvalho	M	M35-39	PRT	Sporting clube espinho		01:08:00	00:02:03	04:44:47	00:01:45	03:13:12	09:09:45
175	166	19	497	Radu Moga	M	M25-29	ROU			01:06:19	00:02:06	04:48:51	00:01:13	03:11:35	09:10:02
176	167	18	678	Borja Franco Moreu	M	M40-44	ESP	DESAM.ES		01:03:58	00:04:13	05:01:04	00:03:29	02:57:41	09:10:23
177	168	30	385	Hendrik Scheyda	M	M35-39	DEU	Erdinger Active Team		01:10:44	00:02:54	04:41:11	00:01:08	03:14:41	09:10:36
178	169	19	360	Pierre Pignede	M	M40-44	FRA	Pep's Performance		01:01:45	00:02:13	04:45:07	00:02:58	03:18:51	09:10:52
179	170	20	388	Marco Axmann	M	M25-29	DEU			01:11:36	00:03:08	04:46:03	00:01:19	03:09:05	09:11:08
180	171	20	247	Juanma Cardenas	M	M40-44	ESP	DESAM.ES		01:09:04	00:02:16	04:48:54	00:03:03	03:08:08	09:11:23
181	172	21	395	Floris Eggers	M	M25-29	BEL	PHNX		01:01:08	00:02:54	04:35:08	00:03:12	03:29:11	09:11:32
182	173	31	416	Johan Pujol	M	M35-39	FRA	Cercle Triathlon Toulouse		01:04:28	00:02:07	04:58:04	00:01:15	03:05:46	09:11:37
183	174	32	533	Roman Breitwieser	M	M35-39	AUT	Union Pennewang		01:01:49	00:02:16	04:47:39	00:00:56	03:19:00	09:11:38
184	175	22	482	Luca Bauer	M	M25-29	DEU	Twin Neumarkt		00:56:47	00:02:39	05:05:50	00:02:14	03:04:30	09:11:59
185	176	21	214	Jirí Kaplan	M	M40-44	CZE	Trimarni Coaching and Nutrition		01:13:06	00:03:31	04:41:38	00:01:43	03:12:12	09:12:08
186	10	10	117	Lisa-Maria Dornauer	F	WPRO	AUT			00:58:27	00:01:45	04:51:14	00:01:43	03:19:04	09:12:11
187	11	11	115	Stephanie Wunderle	F	WPRO	DEU	SG Niederwangen		01:08:56	00:02:06	04:40:20	00:01:18	03:19:36	09:12:14
188	177	33	562	Steffen De Geyter	M	M35-39	BEL	Beweeg Meer Triatlon Team		01:11:01	00:02:59	04:45:03	00:02:41	03:10:41	09:12:24
189	178	49	57	Adam Goulet	M	MPRO	USA	Team F3		01:05:09	00:04:18	04:36:53	00:02:56	03:23:26	09:12:40
190	179	34	354	Sven Weisser	M	M35-39	DEU	team-naunheim.de		01:03:18	00:01:44	04:38:12	00:01:53	03:27:49	09:12:55
