総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
49	801	西塔 柚琶	19	女	学連	1:01:29	0:13:16	14	0:01:54	0:30:04	60	0:16:15	56		5	F16-19	1		
50	905	中村 悠人	17	男	東京都	1:01:45	0:14:41	36	0:01:00	0:26:34	31	0:19:30	77	45		M16-19	3		
51	980	駒井 浩	64	男	埼玉県	1:01:52	0:17:51	62	0:01:37	0:27:29	44	0:14:55	47	46		M60-64	3		
52	802	レイモンド メイ	19	女	学連	1:02:01	0:15:45	45	0:01:58	0:31:37	69	0:12:41	20		6	F16-19	2		
53	907	佳山 鐘太	18	男	愛知県	1:02:27	0:17:52	63	0:02:15	0:30:30	62	0:11:50	9	47		M16-19	4		
54	986	谷田 賢二	70	男	富山県	1:03:00	0:17:19	58	0:02:46	0:29:06	53	0:13:49	34	48		M70-74	1		
55	906	片桐 正翔	18	男	神奈川県	1:03:12	0:15:45	46	0:02:21	0:30:39	65	0:14:27	42	49		M16-19	5		
56	924	藤田 侑己	28	男	大阪府	1:03:17	0:17:27	59	0:03:14	0:29:19	55	0:13:17	27	50		M25-29	5		
57	973	池田 勝次	60	男	神奈川県	1:03:34	0:17:49	61	0:01:50	0:29:15	54	0:14:40	46	51		M60-64	4		
58	904	岡部 慶	17	男	東京都	1:04:36	0:17:42	60	0:01:41	0:32:19	71	0:12:54	24	52		M16-19	6		
59	812	西津 菜穂子	57	女	愛知県	1:05:23	0:15:53	49	0:02:12	0:29:54	58	0:17:24	65		7	F55-59	1		
60	810	佐野 薫	48	女	愛知県	1:05:28	0:18:44	68	0:02:12	0:29:52	56	0:14:40	45		8	F45-49	3		
61	975	國分 仁	62	男	京都府	1:06:16	0:15:10	40	0:03:50	0:30:43	67	0:16:33	61	53		M60-64	5		
62	978	西田 真人	64	男	福岡県	1:07:11	0:15:47	47	0:05:48	0:27:45	46	0:17:51	69	54		M60-64	6		
63	956	三輪 博一	54	男	岐阜県	1:07:25	0:20:10	73	0:03:15	0:25:48	23	0:18:12	71	55		M50-54	7	岐阜県男子	4
64	968	菅野 大輔	57	男	愛知県	1:08:00	0:20:50	76	0:03:05	0:28:39	51	0:15:26	52	56		M55-59	6		
65	983	池田 浩	66	男	千葉県	1:09:47	0:19:08	70	0:02:21	0:30:32	63	0:17:46	67	57		M65-69	3		
66	809	佐藤 裕子	48	女	大阪府	1:10:53	0:14:32	31	0:02:15	0:33:22	74	0:20:44	79		9	F45-49	4		
67	922	望月 映佑	27	男	東京都	1:11:50	0:16:19	53	0:02:12	0:34:46	76	0:18:33	73	58		M25-29	6		
68	988	上田 桂造	75	男	大阪府	1:12:30	0:18:56	69	0:04:13	0:29:59	59	0:19:22	76	59		M75-79	1		
69	951	村澤 哲	51	男	長野県	1:13:20	0:18:00	64	0:02:09	0:36:36	82	0:16:35	62	60		M50-54	8		
70	806	土田 彩佳	39	女	長野県	1:13:45	0:21:46	79	0:03:53	0:31:33	68	0:16:33	60		10	F35-39	1		
71	974	柏木 文雄	61	男	三重県	1:14:25	0:26:23	89	0:01:20	0:30:23	61	0:16:19	58	61		M60-64	7		
72	976	鈴木 慎一	62	男	埼玉県	1:14:30	0:18:27	67	0:02:34	0:35:43	78	0:17:46	68	62		M60-64	8		
73	952	宮島 弘充	51	男	長野県	1:15:40	0:24:16	86	0:02:14	0:32:39	72	0:16:31	59	63		M50-54	9		
74	814	武川 明子	59	女	東京都	1:17:09	0:22:42	80	0:03:21	0:32:19	70	0:18:47	74		11	F55-59	2		
75	979	永瀬 龍洋	64	男	愛知県	1:17:10	0:20:46	75	0:02:45	0:33:40	75	0:19:59	78	64		M60-64	9		
76	987	伊藤 芳夫	71	男	愛知県	1:17:56	0:19:24	71	0:04:10	0:35:53	79	0:18:29	72	65		M70-74	2		
77	989	相澤 英敏	76	男	愛知県	1:18:20	0:24:13	85	0:04:32	0:30:34	64	0:19:01	75	66		M75-79	2		
78	813	菅野 直美	58	女	愛知県	1:18:54	0:23:53	83	0:05:01	0:33:14	73	0:16:46	63		12	F55-59	3		
79	921	小谷 啓太	27	男	東京都	1:22:29	0:24:43	87	0:03:43	0:36:19	80	0:17:44	66	67		M25-29	7		
80	933	デ ソウザ カルロス ラファエル	39	男	石川県	1:26:48	0:23:31	81	0:04:08	0:36:36	81	0:22:33	80	68		M35-39	3		
81	982	日比野 幸喜	66	男	愛知県	1:27:15	0:20:14	74	0:03:44	0:37:22	83	0:25:55	84	69		M65-69	4		
82	811	明石 まほし	51	女	東京都	1:30:30	0:21:34	78	0:06:02	0:39:54	86	0:23:00	81		13	F50-54	1		
83	990	中島 安興	77	男	富山県	1:36:15	0:21:18	77	0:03:19	0:39:49	85	0:31:49	86	70		M75-79	3		
84	929	山崎 信吾	36	男	愛知県	1:38:11	0:24:09	84	0:03:33	0:44:56	87	0:25:33	83	71		M35-39	4		
TOV	919	オカムラ グスタヴォ	26	男	岐阜県	1:30:36	0:25:36	88	0:02:57	0:35:34	77	0:26:29	85			M25-29		岐阜県男子	
TOV	815	長尾 紀子	65	女	静岡県	1:36:56	0:28:14	90	0:06:23	0:38:26	84	0:23:53	82			F65-69			
DNF	984	柘植 孝之	66	男	愛知県		0:14:51	38	0:01:55	0:25:53	25					M65-69			
DNF	962	三田村 達也	55	男	石川県		0:14:07	26	0:01:19							M55-59			
DNF	960	安達 邦宏	54	男	愛知県		0:20:08	72								M50-54			
DNF	969	渋井 信治	57	男	埼玉県		0:23:49	82								M55-59			
DNF	941	渡辺 真澄	44	男	愛知県		0:29:42	91								M40-44			
DNF	920	羽田 悠人	27	男	兵庫県		0:36:48	92								M25-29			
DNF	931	藤元 孝裕	37	男	富山県											M35-39			
DSQ	954	洲嵜 幸雄	53	男	三重県	0:58:27	0:19:48		0:03:17	0:21:00		0:14:22				M50-54			
DSQ	932	池田 翼	37	男	愛知県	0:59:17	0:23:25		0:04:58	0:23:20		0:07:34				M35-39			
DSQ	915	知久 颯馬	24	男	長野県	1:00:17	0:20:43		0:03:24	0:20:22		0:15:48				M20-24			
DNS	804	山本 麻衣	31	女	高知県											F30-34			
DNS	902	山口 虎徹	16	男	フクオカ											M16-19			
DNS	936	井上 雄太	42	男	滋賀県											M40-44			
DNS	945	川野 武紀	47	男	神奈川県											M45-49			
DNS	948	大松 寛	49	男	和歌山県											M45-49			
DNS	953	中川 健一	53	男	兵庫県											M50-54			
DNS	959	山元 正樹	54	男	静岡県											M50-54			
DNS	967	瀧 康太郎	57	男	神奈川県											M55-59			
