総合順位	No.	氏名	性別	居住地	総合記録	1st ラン	1R順	ﾊﾞｲｸﾗｯﾌﾟ	B順	ｽﾌﾟﾘｯﾄ	通過	2nd ラン	2R順	PNLT	男子順位	女子順位	区分	区分順位
56	532	石川 昌幸	男	愛知県	2:15:34	0:24:30	59	1:24:26	59	1:48:56	59	0:26:38	54		53		50-59歳男子	16
57	544	小林 誠	男	岐阜県	2:15:41	0:24:03	53	1:27:10	68	1:51:13	64	0:24:28	32		54		50-59歳男子	17
58	322	今津 雄一郎	男	岐阜県	2:16:20	0:24:32	60	1:25:31	63	1:50:03	62	0:26:17	50		55		30-39歳男子	11
59	554	松原 隆仁	男	愛知県	2:18:44	0:26:55	71	1:25:15	62	1:52:10	66	0:26:34	53		56		50-59歳男子	18
60	442	伊藤 泰之	男	愛知県	2:18:51	0:23:54	51	1:27:35	71	1:51:29	65	0:27:22	57		57		40-49歳男子	15
61	550	棚橋 宏泰	男	岐阜県	2:19:02	0:24:51	62	1:24:16	58	1:49:07	60	0:29:55	65		58		50-59歳男子	19
62	539	吉田 玲	男	愛知県	2:19:41	0:26:50	70	1:23:11	56	1:50:01	61	0:29:40	62		59		50-59歳男子	20
63	631	中川 敏彦	男	岐阜県	2:21:19	0:27:06	72	1:27:05	67	1:54:11	69	0:27:08	56		60		60-69歳男子	4
64	448	本山 宏行	男	京都府	2:21:43	0:26:05	65	1:26:12	65	1:52:17	67	0:29:26	61		61		40-49歳男子	16
65	446	長島 健太郎	男	大阪府	2:21:49	0:21:40	35	1:31:48	78	1:53:28	68	0:28:21	59		62		40-49歳男子	17
66	527	福嶋 竜也	男	愛知県	2:23:16	0:28:18	80	1:21:46	49	1:50:04	63	0:33:12	76		63		50-59歳男子	21
67	534	山田 耕司	男	愛知県	2:24:50	0:27:46	77	1:27:21	69	1:55:07	70	0:29:43	63		64		50-59歳男子	22
68	502	西津 菜穂子	女	愛知県	2:25:21	0:28:41	81	1:26:50	66	1:55:31	71	0:29:50	64			4	50-59歳女子	1
69	623	池田 雅一	男	三重県	2:25:43	0:22:02	36	1:14:15	25	1:36:17	30	0:49:26	85		65		60-69歳男子	5
70	433	長井 理	男	愛知県	2:27:24	0:28:02	78	1:28:39	73	1:56:41	73	0:30:43	70		66		40-49歳男子	18
71	432	白瀧 栄紀	男	愛知県	2:28:05	0:28:02	79	1:28:39	72	1:56:41	72	0:31:24	74		67		40-49歳男子	19
72	625	國分 仁	男	京都府	2:29:03	0:27:33	74	1:31:10	76	1:58:43	77	0:30:20	67		68		60-69歳男子	6
73	551	村尾 昌亮	男	愛知県	2:29:13	0:26:11	66	1:32:24	79	1:58:35	76	0:30:38	69		69		50-59歳男子	23
74	621	井出 充	男	大阪府	2:29:57	0:28:51	82	1:30:16	74	1:59:07	79	0:30:50	71		70		60-69歳男子	7
75	441	森谷 貢	男	三重県	2:31:21	0:23:53	50	1:40:56	84	2:04:49	83	0:26:32	52		71		40-49歳男子	20
76	227	小林 純也	男	愛知県	2:32:08	0:26:15	67	1:30:30	75	1:56:45	74	0:35:23	79		72		29歳以下男子	8
77	302	加藤 佐代	女	三重県	2:32:42	0:27:26	73	1:34:16	80	2:01:42	80	0:31:00	73			5	30-39歳女子	1
78	627	伊藤 巧	男	静岡県	2:34:51	0:30:55	85	1:27:26	70	1:58:21	75	0:36:30	81		73		60-69歳男子	8
79	436	竹内 昌人	男	愛知県	2:36:16	0:22:12	39	1:22:11	51	1:44:23	50	0:51:53	86		74		40-49歳男子	21
80	301	竹島 友香	女	愛知県	2:37:04	0:29:37	83	1:34:30	82	2:04:07	82	0:32:57	75			6	30-39歳女子	2
81	626	中西 弘毅	男	奈良県	2:39:04	0:29:41	84	1:34:22	81	2:04:03	81	0:35:01	77		75		60-69歳男子	9
82	548	伊藤 浩二	男	愛知県	2:39:22	0:27:46	76	1:31:16	77	1:59:02	78	0:40:20	84		76		50-59歳男子	24
83	427	乾 靖	男	大阪府	2:39:55	0:24:11	54	1:20:57	46	1:45:08	53	0:54:47	87		77		40-49歳男子	22
84	552	岩田 聡	男	愛知県	2:42:40	0:26:18	69	1:41:08	85	2:07:26	84	0:35:14	78		78		50-59歳男子	25
85	531	新地 雅博	男	愛知県	2:49:03	0:34:15	87	1:35:49	83	2:10:04	85	0:38:59	82		79		50-59歳男子	26
86	526	林 信義	男	岐阜県	2:54:22	0:27:41	75	1:50:56	87	2:18:37	87	0:35:45	80		80		50-59歳男子	27
87	434	渡部 剛	男	愛知県	2:54:45	0:32:41	86	1:42:06	86	2:14:47	86	0:39:58	83		81		40-49歳男子	23
DNS	228	林 竜弘	男	愛知県													29歳以下男子	
DNS	303	藤木 春美	女	福井県													30-39歳女子	
DNS	421	増田 雄介	男	三重県													40-49歳男子	
DNS	426	服部 勉	男	愛知県													40-49歳男子	
DNS	428	大内 晶	男	愛知県													40-49歳男子	
DNS	429	後藤 賢一	男	愛知県													40-49歳男子	
DNS	528	富山 哲成	男	岐阜県													50-59歳男子	
DNS	533	山下 精	男	愛知県													50-59歳男子	
DNS	536	倉本 武寿	男	岐阜県													50-59歳男子	
DNS	540	井上 聡史	男	三重県													50-59歳男子	
DNS	543	江幡 則行	男	岐阜県													50-59歳男子	
DNS	545	高塚 純	男	静岡県													50-59歳男子	
DNS	547	秋田 泰伸	男	岐阜県													50-59歳男子	
DNS	555	森岡 信行	男	岐阜県													50-59歳男子	
DNS	630	後藤 至宏	男	岐阜県													60-69歳男子	
