順位	No.	氏名	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	総合順位
18	176	安原 尚哉	2:32:43	0:28:39	75	1:20:12	29	1:48:51	36	0:43:52	6	19
19	485	今井 隆昭	2:33:29	0:24:22	19	1:19:27	25	1:43:49	18	0:49:40	31	20
20	111	福田 勇希	2:33:51	0:22:44	11	1:24:02	44	1:46:46	28	0:47:05	21	21
21	165	畠山 秀彦	2:35:29	0:28:19	72	1:18:16	17	1:46:35	27	0:48:54	26	22
22	247	後藤 壱	2:35:48	0:29:37	92	1:21:43	36	1:51:20	46	0:44:28	9	23
23	109	木村 俊夫	2:35:51	0:24:44	22	1:19:25	24	1:44:09	19	0:51:42	47	24
24	232	土谷 祐行	2:35:58	0:28:03	65	1:16:40	14	1:44:43	22	0:51:15	43	25
25	129	藤田 具和	2:36:36	0:27:25	52	1:25:41	58	1:53:06	54	0:43:30	5	26
26	379	田原 聖一	2:37:01	0:28:04	66	1:19:46	28	1:47:50	34	0:49:11	29	27
27	142	佐藤 浩二	2:37:04	0:26:01	34	1:15:56	10	1:41:57	13	0:55:07	82	28
28	177	林 雄介	2:37:30	0:30:35	111	1:24:12	46	1:54:47	61	0:42:43	3	29
29	116	藤倉 充裕	2:38:07	0:24:54	25	1:20:35	31	1:45:29	25	0:52:38	54	30
30	119	小板橋 宏康	2:38:38	0:24:51	24	1:20:49	34	1:45:40	26	0:52:58	57	31
31	117	平澤 健市	2:39:53	0:26:13	39	1:24:32	49	1:50:45	43	0:49:08	27	32
32	146	堀越 耕平	2:40:18	0:26:07	36	1:19:19	23	1:45:26	24	0:54:52	78	33
33	123	鈴木 耕太朗	2:40:31	0:25:37	29	1:18:33	19	1:44:10	20	0:56:21	97	34
34	160	池亀 晃	2:40:52	0:27:26	53	1:22:25	41	1:49:51	42	0:51:01	38	35
35	175	藤井 彰	2:41:02	0:29:32	90	1:24:10	45	1:53:42	57	0:47:20	22	37
36	273	鹿野 颯太	2:41:10	0:31:13	131	1:18:34	20	1:49:47	39	0:51:23	44	38
37	158	高橋 克昭	2:41:29	0:27:36	58	1:19:38	27	1:47:14	31	0:54:15	67	39
38	208	木崎 純友	2:42:10	0:27:17	47	1:20:25	30	1:47:42	33	0:54:28	71	40
39	130	野中 剛志	2:42:18	0:25:11	26	1:22:20	40	1:47:31	32	0:54:47	77	41
40	134	鳥野見 泰嗣	2:42:19	0:29:25	87	1:21:45	37	1:51:10	45	0:51:09	41	42
41	436	平林 大河	2:42:22	0:27:55	62	1:21:52	38	1:49:47	40	0:52:35	53	43
42	164	浅川 大道	2:42:51	0:29:32	91	1:19:06	22	1:48:38	35	0:54:13	65	45
43	234	木村 琢磨	2:44:08	0:25:46	31	1:25:02	55	1:50:48	44	0:53:20	58	46
44	206	渡辺 崇	2:45:55	0:27:19	49	1:25:54	60	1:53:13	55	0:52:42	55	48
45	376	林 亮輔	2:46:29	0:28:23	73	1:24:29	48	1:52:52	52	0:53:37	61	49
46	152	道家 実	2:46:46	0:27:01	42	1:27:10	70	1:54:11	58	0:52:35	52	50
47	184	松尾 和弥	2:46:52	0:30:50	118	1:21:23	35	1:52:13	48	0:54:39	74	51
48	202	遠山 誠也	2:46:54	0:31:36	140	1:25:17	56	1:56:53	70	0:50:01	32	52
49	140	藤井 雄司	2:47:04	0:25:19	27	1:27:29	77	1:52:48	51	0:54:16	68	53
50	153	星 孝明	2:47:25	0:31:04	128	1:24:48	53	1:55:52	66	0:51:33	45	54
51	226	上根 壽久	2:47:30	0:30:55	123	1:24:24	47	1:55:19	64	0:52:11	49	55
52	205	鈴木 耕児	2:47:56	0:29:55	95	1:22:52	42	1:52:47	50	0:55:09	83	56
53	265	大美 周一	2:48:15	0:29:06	85	1:28:10	84	1:57:16	74	0:50:59	36	57
54	182	小泉 朋輝	2:48:30	0:26:13	38	1:19:03	21	1:45:16	23	1:03:14	179	58
55	470	桒野 友佑	2:48:30	0:33:02	185	1:29:36	100	2:02:38	106	0:45:52	15	59
56	115	星野 達也	2:48:59	0:23:44	16	1:25:44	59	1:49:28	38	0:59:31	134	60
57	124	遠藤 慧	2:49:59	0:27:07	46	1:22:11	39	1:49:18	37	1:00:41	149	61
58	339	皆川 健次	2:50:25	0:34:14	227	1:26:00	61	2:00:14	89	0:50:11	33	62
59	228	竹倉 朗	2:51:16	0:33:56	219	1:26:06	62	2:00:02	86	0:51:14	42	63
60	133	加茂前 佳男	2:51:25	0:22:54	12	1:29:14	96	1:52:08	47	0:59:17	131	64
61	245	藤谷 伸一	2:51:25	0:30:52	120	1:27:48	80	1:58:40	80	0:52:45	56	65
62	193	中西 俊平	2:52:27	0:29:06	84	1:28:58	91	1:58:04	78	0:54:23	69	66
63	295	田中 遼平	2:53:05	0:30:26	107	1:32:04	122	2:02:30	104	0:50:35	35	67
64	262	沖津 功	2:54:12	0:31:36	138	1:31:35	115	2:03:11	114	0:51:01	37	68
65	288	内山 和幸	2:54:44	0:32:27	164	1:28:14	86	2:00:41	94	0:54:03	64	70
66	131	多度津 芳夫	2:55:00	0:26:10	37	1:27:07	69	1:53:17	56	1:01:43	161	71
67	194	狩野 雄三	2:55:06	0:31:11	130	1:31:29	114	2:02:40	107	0:52:26	50	72
68	249	福薗 孝一	2:55:24	0:31:29	134	1:29:02	93	2:00:31	91	0:54:53	80	73
69	285	小川 均	2:56:35	0:27:29	55	1:28:27	87	1:55:56	68	1:00:39	148	75
70	276	大瀬戸 啓	2:56:43	0:32:32	166	1:28:49	90	2:01:21	100	0:55:22	86	76
71	394	上村 重来	2:57:01	0:27:19	50	1:27:59	83	1:55:18	63	1:01:43	162	77
72	114	買手屋 昌己	2:57:17	0:26:23	40	1:26:14	64	1:52:37	49	1:04:40	198	78
73	331	柳澤 久永	2:57:18	0:32:10	158	1:27:30	78	1:59:40	83	0:57:38	108	79
74	272	前殿 翔太	2:57:38	0:32:37	168	1:31:11	109	2:03:48	118	0:53:50	62	80
75	201	吉江 俊一	2:57:52	0:36:11	269	1:27:11	72	2:03:22	115	0:54:30	73	81
76	211	谷 章生	2:58:05	0:28:28	74	1:24:36	50	1:53:04	53	1:05:01	203	82
77	159	松橋 正人	2:58:19	0:29:29	88	1:31:52	118	2:01:21	99	0:56:58	103	83
78	171	東風谷 寛	2:58:20	0:30:08	100	1:26:58	67	1:57:06	71	1:01:14	156	84
79	472	酒見 賢昌	2:58:30	0:33:34	208	1:33:52	138	2:07:26	154	0:51:04	40	85
80	286	伊藤 信一	2:58:35	0:35:20	250	1:24:51	54	2:00:11	87	0:58:24	117	86
81	287	末冨 典男	2:58:39	0:30:58	125	1:31:12	110	2:02:10	102	0:56:29	99	87
82	255	江野 史人	2:58:48	0:33:06	189	1:29:34	98	2:02:40	108	0:56:08	95	88
83	241	田中 康晴	2:59:09	0:31:50	148	1:28:40	88	2:00:30	90	0:58:39	121	90
84	212	中山 陽右	2:59:28	0:34:47	237	1:36:55	173	2:11:42	192	0:47:46	23	91
85	321	覚張 正樹	2:59:35	0:36:05	268	1:31:01	107	2:07:06	145	0:52:29	51	92
86	168	平野 龍一	2:59:37	0:28:40	76	1:29:00	92	1:57:40	76	1:01:57	165	93
87	242	福田 泰史	3:00:19	0:30:31	108	1:35:22	155	2:05:53	137	0:54:26	70	94
88	305	安島 広道	3:00:27	0:33:06	188	1:28:14	85	2:01:20	98	0:59:07	128	95
89	185	佐藤 択海	3:01:00	0:33:32	204	1:42:18	245	2:15:50	230	0:45:10	12	96
90	218	山岸 陸弘	3:01:00	0:30:24	105	1:33:30	136	2:03:54	119	0:57:06	105	97
91	271	秦 岳杜	3:01:01	0:32:50	176	1:24:40	52	1:57:30	75	1:03:31	182	98
92	260	安藤 幸明	3:01:01	0:34:44	236	1:28:40	89	2:03:24	116	0:57:37	107	99
93	368	萩原 靖久	3:01:14	0:31:08	129	1:38:00	190	2:09:08	170	0:52:06	48	100
94	210	柿原 裕介	3:01:20	0:32:27	165	1:23:23	43	1:55:50	65	1:05:30	207	101
95	170	北村 光	3:01:24	0:30:25	106	1:27:16	73	1:57:41	77	1:03:43	187	102
96	449	桜井 真郷	3:01:36	0:28:13	69	1:34:36	147	2:02:49	110	0:58:47	123	103
97	279	金子 浩一	3:01:59	0:31:53	151	1:32:11	124	2:04:04	122	0:57:55	113	104
98	248	秋元 真心	3:02:09	0:33:28	201	1:31:58	121	2:05:26	132	0:56:43	100	105
99	200	森村 貴紘	3:02:32	0:42:30	343	1:24:38	51	2:07:08	146	0:55:24	87	107
100	227	安藤 智希	3:02:46	0:39:23	316	1:27:51	82	2:07:14	149	0:55:32	88	110
101	319	加藤 俊吾	3:02:58	0:33:18	199	1:31:49	117	2:05:07	129	0:57:51	112	111
102	157	佐藤 和幸	3:03:01	0:26:52	41	1:29:02	94	1:55:54	67	1:07:07	221	112
103	143	田中 豊	3:03:05	0:28:55	81	1:27:16	74	1:56:11	69	1:06:54	218	113
104	304	師岡 丈司	3:03:11	0:30:48	117	1:37:13	179	2:08:01	159	0:55:10	84	114
105	148	秋本 伊知郎	3:03:17	0:27:06	43	1:27:39	79	1:54:45	60	1:08:32	244	115
106	103	小平 義久	3:03:17	0:34:59	241	1:34:04	141	2:09:03	169	0:54:14	66	116
107	136	森田 充	3:03:29	0:27:28	54	1:27:11	71	1:54:39	59	1:08:50	247	117
108	251	北島 一広	3:03:32	0:31:02	126	1:30:14	103	2:01:16	97	1:02:16	170	118
109	154	安田 光司	3:03:33	0:30:36	112	1:26:40	65	1:57:16	73	1:06:17	212	119
110	349	荻原 弘	3:03:39	0:30:22	104	1:32:12	125	2:02:34	105	1:01:05	151	120
111	353	平山 容丈	3:04:16	0:31:47	146	1:32:21	126	2:04:08	123	1:00:08	139	121
112	370	小此木 宏仁	3:04:18	0:32:18	160	1:33:29	134	2:05:47	136	0:58:31	119	122
113	335	田之頭 宏明	3:04:42	0:36:20	271	1:31:56	119	2:08:16	164	0:56:26	98	123
114	196	Selig Christopher	3:05:14	0:25:57	33	1:34:04	142	2:00:01	85	1:05:13	205	124
115	275	正木 一之	3:05:15	0:30:38	114	1:30:36	104	2:01:14	96	1:04:01	191	125
116	437	岩田 大樹	3:05:29	0:31:41	142	1:37:42	185	2:09:23	173	0:56:06	94	126
117	190	檜垣 瞭	3:05:39	0:27:06	44	1:31:16	112	1:58:22	79	1:07:17	226	127
118	308	安藤 哲雄	3:05:49	0:38:27	306	1:27:01	68	2:05:28	133	1:00:21	144	128
119	369	金子 紀丈	3:05:54	0:36:52	283	1:27:50	81	2:04:42	124	1:01:12	155	129
120	301	谷川 英士	3:06:07	0:33:36	211	1:33:02	130	2:06:38	142	0:59:29	133	130
121	338	川窪 正	3:06:17	0:30:20	103	1:35:39	160	2:05:59	139	1:00:18	143	131
122	277	熊谷 剛史	3:06:20	0:31:39	141	1:36:27	165	2:08:06	161	0:58:14	115	132
123	181	島﨑 拓	3:06:36	0:33:37	212	1:33:41	137	2:07:18	150	0:59:18	132	134
124	356	馬場 勉	3:06:37	0:36:36	279	1:34:49	150	2:11:25	186	0:55:12	85	135
125	187	青山 翼	3:06:56	0:31:18	132	1:29:19	97	2:00:37	92	1:06:19	213	136
126	132	高本 直彰	3:07:06	0:28:17	71	1:39:56	216	2:08:13	162	0:58:53	125	137
127	320	堀 邦久	3:07:16	0:35:06	245	1:32:56	128	2:08:02	160	0:59:14	129	138
128	326	小松 俊介	3:07:19	0:33:33	206	1:34:41	148	2:08:14	163	0:59:05	127	139
129	373	矢島 正邦	3:07:35	0:29:58	96	1:30:44	106	2:00:42	95	1:06:53	217	141
130	291	柳川 拓弥	3:07:39	0:32:10	157	1:29:51	102	2:02:01	101	1:05:38	208	142
131	300	水口 直也	3:07:39	0:32:42	171	1:38:56	199	2:11:38	188	0:56:01	93	143
132	195	中倉 駿	3:07:42	0:32:26	163	1:40:31	224	2:12:57	202	0:54:45	76	144
133	366	保住 広太	3:08:01	0:34:50	239	1:39:49	213	2:14:39	219	0:53:22	59	145
134	303	小林 一幸	3:08:09	0:31:21	133	1:33:29	135	2:04:50	126	1:03:19	180	146
135	270	小西 正宣	3:08:15	0:35:02	243	1:35:27	156	2:10:29	182	0:57:46	110	147
136	231	平塚 幹隆	3:08:15	0:29:32	89	1:37:09	178	2:06:41	143	1:01:34	160	148
137	322	高橋 浩	3:08:30	0:37:17	293	1:36:44	169	2:14:01	213	0:54:29	72	149
138	454	三村 賢司	3:08:40	0:37:43	300	1:27:16	75	2:04:59	127	1:03:41	186	150
139	250	小林 隆	3:08:55	0:33:12	192	1:29:11	95	2:02:23	103	1:06:32	214	151
140	290	久保田 穂高	3:08:59	0:31:51	149	1:36:52	171	2:08:43	168	1:00:16	141	152
141	266	秤屋 尚生	3:09:08	0:29:59	98	1:30:42	105	2:00:41	93	1:08:27	241	153
142	233	髙瀬 倫治	3:09:13	0:27:45	60	1:37:52	187	2:05:37	134	1:03:36	184	154
143	150	若林 宏幸	3:09:27	0:24:28	21	1:42:45	255	2:07:13	147	1:02:14	167	155
144	459	泉原 智史	3:09:28	0:36:52	282	1:29:36	99	2:06:28	141	1:03:00	177	156
145	395	玉舎 久幸	3:09:28	0:35:21	251	1:32:59	129	2:08:20	167	1:01:08	153	157
146	197	新島 譲	3:09:47	0:30:54	122	1:47:19	294	2:18:13	250	0:51:34	46	158
147	243	佐久間 俊彰	3:10:04	0:28:42	77	1:31:13	111	1:59:55	84	1:10:09	259	159
148	357	久保 幹夫	3:10:16	0:37:29	295	1:34:32	145	2:12:01	195	0:58:15	116	160
149	222	石原 淳一	3:10:36	0:32:51	177	1:35:05	154	2:07:56	158	1:02:40	175	161
150	274	橋本 拓也	3:10:46	0:30:10	102	1:44:44	273	2:14:54	223	0:55:52	90	162
151	474	中井 智明	3:11:02	0:34:23	231	1:38:09	191	2:12:32	198	0:58:30	118	164
152	198	中田 真央	3:11:20	0:33:03	186	1:39:44	210	2:12:47	201	0:58:33	120	166
153	183	繁澤 快	3:11:35	0:26:05	35	1:37:21	180	2:03:26	117	1:08:09	239	168
154	468	小橋 義純	3:12:15	0:35:12	248	1:39:20	203	2:14:32	217	0:57:43	109	169
155	365	大澤 祐太	3:12:18	0:35:25	253	1:40:07	218	2:15:32	225	0:56:46	101	170
156	391	内藤 秀治郎	3:12:28	0:36:28	277	1:37:59	189	2:14:27	215	0:58:01	114	171
157	163	西 理広	3:12:30	0:31:54	152	1:39:28	205	2:11:22	185	1:01:08	154	172
158	167	矢口 照彦	3:13:04	0:30:34	109	1:34:35	146	2:05:09	130	1:07:55	234	173
159	441	斎藤 拓実	3:13:32	0:30:36	113	1:40:41	225	2:11:17	184	1:02:15	169	174
160	388	小山 茂雄	3:13:47	0:34:50	238	1:39:03	200	2:13:53	209	0:59:54	137	175
161	298	牧田 誠	3:13:53	0:33:35	210	1:39:11	201	2:12:46	200	1:01:07	152	177
162	387	山岸 正幸	3:14:00	0:34:02	225	1:49:43	300	2:23:45	287	0:50:15	34	178
163	296	宇都宮 隼	3:14:03	0:33:07	190	1:40:08	219	2:13:15	207	1:00:48	150	179
164	192	塚本 健二	3:14:06	0:29:06	83	1:40:29	223	2:09:35	174	1:04:31	196	180
165	135	宮崎 拓巳	3:14:15	0:24:26	20	1:38:23	193	2:02:49	109	1:11:26	271	181
166	406	李 紀煌	3:14:18	0:33:39	213	1:41:59	241	2:15:38	228	0:58:40	122	182
167	445	小副川 隆章	3:14:50	0:37:31	296	1:42:27	250	2:19:58	263	0:54:52	79	184
168	330	竹島 博行	3:14:53	0:31:49	147	1:42:47	256	2:14:36	218	1:00:17	142	185
169	314	櫻木 太	3:15:05	0:31:52	150	1:36:27	166	2:08:19	166	1:06:46	216	186
170	444	町田 秀樹	3:15:17	0:33:54	218	1:36:25	164	2:10:19	180	1:04:58	201	187
171	151	中川 倫夫	3:15:19	0:27:31	56	1:35:30	157	2:03:01	112	1:12:18	277	188
172	258	中西 賢介	3:15:41	0:29:42	93	1:37:31	182	2:07:13	148	1:08:28	242	189
173	375	冨田 直哉	3:15:42	0:40:35	327	1:32:36	127	2:13:11	205	1:02:31	174	190
174	299	石河 智章	3:16:10	0:37:08	289	1:34:32	144	2:11:40	190	1:04:30	195	191
175	188	渋江 彰寛	3:16:18	0:34:00	223	1:37:30	181	2:11:30	187	1:04:48	200	192
176	378	丸山 登士	3:16:32	0:35:44	258	1:33:27	133	2:09:11	171	1:07:21	228	193
177	377	服部 卓也	3:16:33	0:32:39	169	1:42:32	252	2:15:11	224	1:01:22	157	194
178	343	千田 茂雄	3:16:42	0:32:54	181	1:39:30	206	2:12:24	197	1:04:18	193	195
179	306	大野 貞夫	3:16:43	0:33:35	209	1:43:34	260	2:17:09	241	0:59:34	135	196
180	244	高野 輝明	3:16:46	0:32:46	174	1:31:18	113	2:04:04	121	1:12:42	279	197
181	254	山崎 教雄	3:17:17	0:29:02	82	1:34:53	152	2:03:55	120	1:13:22	284	199
182	253	町田 幸宏	3:17:32	0:32:03	155	1:39:37	209	2:11:40	189	1:05:52	210	200
183	257	宮本 善章	3:17:35	0:30:50	119	1:37:04	176	2:07:54	157	1:09:41	254	201
184	309	山崎 武	3:17:38	0:37:04	286	1:39:56	215	2:17:00	240	1:00:38	147	202
185	341	鈴木 英明	3:17:41	0:32:51	178	1:38:53	197	2:11:44	193	1:05:57	211	203
186	209	新井 崇康	3:17:47	0:36:21	272	1:40:56	229	2:17:17	242	1:00:30	146	204
187	362	是津 裕也	3:17:47	0:33:48	217	1:39:17	202	2:13:05	203	1:04:42	199	205
188	316	石塚 英樹	3:18:42	0:31:57	153	1:36:21	163	2:08:18	165	1:10:24	261	206
189	347	五十嵐 万晴	3:18:48	0:33:58	220	1:42:25	249	2:16:23	234	1:02:25	172	207
190	311	吉田 智昭	3:18:52	0:30:35	110	1:37:02	175	2:07:37	155	1:11:15	270	208
191	267	大塚 貴生	3:19:32	0:35:15	249	1:42:05	242	2:17:20	243	1:02:12	166	209
192	354	村井 健一	3:19:34	0:34:19	229	1:32:09	123	2:06:28	140	1:13:06	282	210
193	203	藤崎 裕章	3:20:06	0:33:12	193	1:47:05	290	2:20:17	265	0:59:49	136	211
194	334	新藤 健司	3:20:12	0:33:45	216	1:44:57	274	2:18:42	255	1:01:30	159	212
195	345	根岸 雅彦	3:20:26	0:32:52	180	1:45:06	277	2:17:58	248	1:02:28	173	214
196	393	松井 誠	3:20:35	0:34:14	228	1:44:04	267	2:18:18	252	1:02:17	171	216
197	162	熊野 善康	3:20:47	0:32:07	156	1:39:55	214	2:12:02	196	1:08:45	245	217
198	230	玉井 勝士	3:20:48	0:32:44	173	1:40:28	222	2:13:12	206	1:07:36	230	218
199	283	田 義幸	3:20:49	0:37:13	292	1:35:33	158	2:12:46	199	1:08:03	237	219
200	372	関 宏行	3:20:58	0:35:23	252	1:35:50	161	2:11:13	183	1:09:45	255	220
201	457	塚本 一三	3:21:07	0:40:37	329	1:47:07	292	2:27:44	308	0:53:23	60	221
202	281	武藤 浩行	3:21:09	0:31:44	143	1:41:22	234	2:13:06	204	1:08:03	238	222
203	216	茂野 大樹	3:21:12	0:31:35	137	1:42:23	248	2:13:58	211	1:07:14	224	223
204	235	阿部 雅也	3:21:29	0:33:58	221	1:36:21	162	2:10:19	179	1:11:10	268	224
205	462	伊藤 良	3:21:33	0:41:42	334	1:36:57	174	2:18:39	254	1:02:54	176	225
206	469	佐藤 隆寛	3:21:55	0:39:21	314	1:39:34	207	2:18:55	259	1:03:00	178	226
207	329	内田 進	3:22:16	0:36:31	278	1:37:56	188	2:14:27	214	1:07:49	232	227
208	313	小島 浩	3:22:16	0:33:33	207	1:36:37	168	2:10:10	178	1:12:06	275	228
209	264	白土 秀樹	3:22:38	0:35:48	259	1:44:35	272	2:20:23	266	1:02:15	168	230
210	464	妻木 脩人	3:22:49	0:42:05	341	1:41:53	240	2:23:58	292	0:58:51	124	231
211	332	門平 俊之	3:22:57	0:32:52	179	1:50:50	308	2:23:42	286	0:59:15	130	232
212	337	有賀 浩一	3:23:06	0:36:21	273	1:41:00	230	2:17:21	244	1:05:45	209	234
213	450	高佐 郁	3:23:14	0:38:47	309	1:42:38	254	2:21:25	270	1:01:49	163	235
214	461	菅原 朋樹	3:23:35	0:40:51	331	1:33:53	139	2:14:44	220	1:08:51	248	236
215	400	加野 浩之	3:24:05	0:38:16	305	1:37:50	186	2:16:06	233	1:07:59	235	238
216	410	辻 一勢	3:24:56	0:35:58	265	1:42:16	244	2:18:14	251	1:06:42	215	240
217	405	江口 瑛	3:25:23	0:39:51	318	1:38:19	192	2:18:10	249	1:07:13	223	241
218	427	佐⾧ 功	3:25:39	0:36:00	266	1:39:35	208	2:15:35	227	1:10:04	258	242
219	174	櫻井 勉	3:25:41	0:33:24	200	1:34:02	140	2:07:26	153	1:18:15	309	243
220	421	芹澤 大輔	3:26:02	0:42:00	338	1:43:49	264	2:25:49	301	1:00:13	140	244
221	225	中田 大祐	3:26:03	0:41:37	333	1:37:08	177	2:18:45	256	1:07:18	227	245
222	256	重成 有	3:26:11	0:30:09	101	1:34:53	151	2:05:02	128	1:21:09	325	246
223	292	飯田 篤史	3:26:25	0:39:03	312	1:43:35	262	2:22:38	276	1:03:47	189	248
224	346	中林 毅	3:26:31	0:31:47	145	1:45:40	280	2:17:27	245	1:09:04	249	249
225	149	山田 吉彦	3:26:48	0:30:40	115	1:48:19	295	2:18:59	260	1:07:49	231	250
226	199	岡本 祥太	3:26:53	0:39:19	313	1:44:01	266	2:23:20	283	1:03:33	183	251
227	169	瀬古澤 直人	3:27:06	0:27:07	45	1:42:11	243	2:09:18	172	1:17:48	306	252
228	221	井上 太陽	3:27:10	0:35:51	260	1:41:08	231	2:16:59	238	1:10:11	260	253
229	344	吉本 敦	3:27:28	0:33:14	194	1:29:40	101	2:02:54	111	1:24:34	336	254
230	223	遠山 功	3:27:52	0:33:04	187	1:43:36	263	2:16:40	236	1:11:12	269	256
231	414	黒田 康正	3:27:59	0:32:44	172	1:43:17	259	2:16:01	232	1:11:58	273	257
232	240	小川原 泰文	3:28:11	0:35:55	262	1:42:37	253	2:18:32	253	1:09:39	253	258
233	213	遠藤 広基	3:28:26	0:33:41	214	1:44:15	270	2:17:56	247	1:10:30	264	259
234	269	綿貫 聡志	3:28:31	0:32:57	183	1:43:35	261	2:16:32	235	1:11:59	274	260
235	127	城田 広樹	3:28:51	0:31:03	127	1:39:23	204	2:10:26	181	1:18:25	311	261
236	396	吉田 敦	3:28:54	0:34:31	233	1:41:21	233	2:15:52	231	1:13:02	281	262
237	238	野村 守	3:28:55	0:33:32	205	1:45:23	278	2:18:55	258	1:10:00	257	263
238	317	小松 宏哉	3:29:19	0:36:48	281	1:34:59	153	2:11:47	194	1:17:32	304	264
239	402	田中 等	3:29:40	0:35:03	244	1:47:11	293	2:22:14	273	1:07:26	229	265
240	324	伊藤 誠一	3:30:03	0:32:11	159	1:37:42	184	2:09:53	177	1:20:10	321	266
241	289	青砥 健太郎	3:30:05	0:35:06	246	1:42:27	251	2:17:33	246	1:12:32	278	267
242	352	田上 崇弘	3:31:53	0:34:02	224	1:41:31	236	2:15:33	226	1:16:20	297	268
243	467	信沢 慎也	3:31:54	1:03:08	362	1:31:48	116	2:34:56	330	0:56:58	104	269
244	426	斎川 雄弘	3:32:08	0:41:49	335	1:38:41	196	2:20:30	268	1:11:38	272	270
245	431	富澤 浩一	3:32:23	0:39:02	311	1:45:27	279	2:24:29	296	1:07:54	233	271
246	374	園田 貴之	3:33:03	0:36:46	280	1:47:07	291	2:23:53	291	1:09:10	251	272
247	144	青野 晴成	3:33:03	0:28:44	79	1:53:52	322	2:22:36	275	1:10:27	263	273
248	236	山岸 延彦	3:33:41	0:31:30	135	1:50:00	303	2:21:30	271	1:12:11	276	275
249	360	齊藤 幸一	3:33:52	0:40:00	324	1:48:48	296	2:28:48	311	1:05:04	204	276
250	178	山根 ジョスワ正太郎	3:34:02	0:37:18	294	1:46:20	285	2:23:38	285	1:10:24	262	277
251	404	近藤 隆	3:34:06	0:35:10	247	1:49:07	297	2:24:17	295	1:09:49	256	278
252	215	金子 裕	3:34:13	0:32:40	170	1:54:16	325	2:26:56	306	1:07:17	225	279
253	442	堀 元気	3:34:47	0:37:06	287	1:41:48	238	2:18:54	257	1:15:53	295	280
254	282	田岡 文利	3:35:08	0:33:16	197	1:41:13	232	2:14:29	216	1:20:39	322	281
255	327	松井 正典	3:35:14	0:36:26	276	1:33:09	131	2:09:35	175	1:25:39	339	282
256	432	竹内 雅一	3:36:03	0:38:16	304	1:42:21	247	2:20:37	269	1:15:26	291	284
257	419	萩原 拓人	3:36:16	0:34:39	234	1:45:49	281	2:20:28	267	1:15:48	294	285
258	475	斉藤 昇幸	3:36:18	0:36:00	267	1:44:05	268	2:20:05	264	1:16:13	296	286
259	364	江戸 勇雄	3:36:22	0:35:35	256	1:52:31	316	2:28:06	309	1:08:16	240	287
260	408	田中 淳也	3:36:37	0:36:17	270	1:55:43	332	2:32:00	325	1:04:37	197	288
261	423	水谷 伸	3:36:53	0:37:11	290	1:46:36	287	2:23:47	288	1:13:06	283	289
262	407	外囿 隆太郎	3:37:38	0:43:33	345	1:43:05	258	2:26:38	305	1:11:00	266	290
263	484	富澤 勇	3:38:11	0:32:50	175	1:50:46	307	2:23:36	284	1:14:35	288	291
264	229	押田 勝義	3:38:24	0:38:16	303	1:51:20	311	2:29:36	318	1:08:48	246	292
265	409	安澤 佳希	3:38:53	0:34:07	226	1:40:44	226	2:14:51	222	1:24:02	335	293
