総合順位	No.	氏名	性別	年齢区分	Swimラップ	バイクラップ	ランラップ	合計タイム	年代別順位
	213	安⻫ 昌照	男	30代	0:28:21	1:30:12	0:55:26	2:53:58	24
	252	中塚 潔	男	30代	0:32:21	1:22:18	0:59:29	2:54:06	25
	259	安慶田 康夫	男	30代	0:39:48	1:20:46	0:54:12	2:54:45	26
	203	平安 馨	男	30代	0:28:14	1:18:45	1:07:53	2:54:50	27
	217	中丸 大輔	男	30代	0:32:53	1:27:50	0:54:09	2:54:51	28
	212	堀内 浩貴	男	30代	0:36:41	1:19:38	0:58:49	2:55:07	29
	208	西山 紀章	男	30代	0:32:01	1:28:24	0:54:54	2:55:17	30
	263	内田 強	男	30代	0:36:44	1:28:27	0:50:15	2:55:25	31
	226	川田 浩史	男	30代	0:35:56	1:20:41	0:59:26	2:56:03	32
	233	結城 達也	男	30代	0:31:13	1:25:04	1:00:03	2:56:19	33
	249	正岡 晃	男	30代	0:27:56	1:26:14	1:02:14	2:56:23	34
	234	服部 ⾠樹	男	30代	0:33:50	1:17:44	1:05:05	2:56:38	35
	260	松高 健司	男	30代	0:31:47	1:26:33	0:58:35	2:56:53	36
	222	向川 徳明	男	30代	0:33:02	1:32:10	0:52:27	2:57:37	37
	254	一久保 直也	男	30代	0:34:02	1:24:29	0:59:25	2:57:55	38
	261	田中 雅之	男	30代	0:33:04	1:25:36	1:00:28	2:59:07	39
	228	手嶋 大介	男	30代	0:36:51	1:34:44	0:48:25	2:59:58	40
	227	伊東 和則	男	30代	0:27:21	1:21:54	1:11:05	3:00:19	41
	211	大瀧 睦廷	男	30代	0:34:01	1:25:12	1:01:29	3:00:41	42
	241	中川 大輔	男	30代	0:41:35	1:24:45	0:54:43	3:01:01	43
	242	楮原 裕二	男	30代	0:34:14	1:25:15	1:01:36	3:01:04	44
	219	山中 武	男	30代	0:33:35	1:32:52	0:57:33	3:03:59	45
	210	榊原 弘之	男	30代	0:26:18	1:22:24	1:17:20	3:06:01	46
	200	中塚 友一朗	男	30代	0:31:03	1:32:25	1:05:02	3:08:29	47
	223	松本 光一	男	30代	0:28:56	1:37:39	1:04:07	3:10:41	48
	256	田村 吉朗	男	30代	0:30:28	1:24:55	1:17:23	3:12:45	49
	247	下末 大輔	男	30代	0:32:56	1:35:41	1:09:10	3:17:46	50
	225	森元 孝典	男	30代	0:33:15	1:43:26	1:01:44	3:18:24	51
	218	宮本 圭一	男	30代	0:37:38	1:30:45	1:14:13	3:22:35	52
	214	松永 健	男	30代	0:44:58	1:32:27	1:05:25	3:22:49	53
	240	名畑 聡	男	30代	0:51:49	1:27:54	1:04:12	3:23:54	54
	245	小倉 佑⽃	男	30代	0:32:09	2:08:30	0:50:08	3:30:46	55
	257	Anthony Douglas	男	30代	0:38:30	1:35:45	1:18:58	3:33:12	56
	266	溝口 真太朗	男	30代	0:43:57	1:35:51	1:15:27	3:35:15	57
	237	大浦 敏隆	男	30代	0:40:19	1:41:20	1:16:24	3:38:02	58
	204	白木 智宏	男	30代	0:44:59	1:37:13	1:18:21	3:40:31	59
	253	福田 猶基	男	30代	0:51:43	1:49:04	1:13:23	3:54:09	60
	231	宮城 直志	男	30代	0:47:58	1:52:52	1:31:21	4:12:10	61
DNF	202	山本 直樹 34:15 skip 49:01	男	30代					
DNS	224	松崎 周平	男	30代					
DNS	246	小野 友義	男	30代					
DNS	236	今村 俊介	男	30代					
	324	村岡 賢一郎	男	30代	0:30:15	1:10:54	0:44:14	2:25:22	1
	334	廣本 成志	男	30代	0:27:25	1:15:18	0:42:50	2:25:32	2
	303	細川 政浩	男	30代	0:27:21	1:11:08	0:49:00	2:27:28	3
	311	高本 浩司	男	30代	0:31:35	1:12:50	0:44:06	2:28:30	4
	310	沖野 剛久	男	30代	0:31:54	1:15:20	0:43:47	2:31:00	5
	341	吉崎 晋平	男	30代	0:26:57	1:14:05	0:51:01	2:32:02	6
	309	池田 浩二	男	30代	0:27:40	1:13:47	0:50:51	2:32:17	7
	316	請川 亙	男	30代	0:28:30	1:15:05	0:48:50	2:32:24	8
	348	木南 和彦	男	30代	0:31:20	1:20:17	0:48:53	2:40:29	9
	331	石井 伸佑	男	30代	0:27:45	1:22:21	0:52:24	2:42:29	10
	340	木村 哲也	男	30代	0:29:48	1:24:38	0:49:35	2:44:00	11
	318	梶山 英昭	男	30代	0:30:27	1:19:32	0:54:26	2:44:25	12
	323	堀田 圭介	男	30代	0:37:45	1:15:54	0:51:08	2:44:46	13
	301	⽚山 晃	男	30代	0:27:46	1:23:02	0:55:54	2:46:40	14
	328	厨司 幸裕	男	30代	0:27:46	1:22:57	0:57:38	2:48:21	15
	300	鮫島 博⼠	男	30代	0:34:03	1:26:31	0:48:49	2:49:22	16
	330	⽵本 康介	男	30代	0:37:45	1:16:08	0:57:10	2:51:02	17
	321	真田 祐治	男	30代	0:37:34	1:21:08	0:53:46	2:52:26	18
	343	安田 淳	男	30代	0:38:13	1:17:39	0:56:41	2:52:31	19
	317	多葉西 邦行	男	30代	0:33:38	1:25:53	0:53:17	2:52:48	20
	304	江原 研	男	30代	0:34:57	1:19:56	1:00:19	2:55:11	21
	342	横田 学	男	30代	0:32:30	1:22:28	1:01:19	2:56:16	22
	336	金子 真悟	男	30代	0:33:51	1:25:59	0:57:55	2:57:45	23
	312	鈴木 勝弘	男	30代	0:29:47	1:21:22	1:06:59	2:58:07	24
	322	佐藤 淳嗣	男	30代	0:35:38	1:35:23	0:54:29	3:05:29	25
	314	田島 憲一	男	30代	0:48:21	1:25:55	0:52:12	3:06:26	26
	319	安田 法敬	男	30代	0:28:05	1:28:18	1:12:52	3:09:14	27
	302	伊藤 俊一朗	男	30代	0:36:17	1:23:49	1:13:05	3:13:10	28
	344	原田 修一	男	30代	0:37:13	1:33:09	1:04:06	3:14:27	29
	345	葛原 一彦	男	30代	0:36:54	1:36:54	1:02:40	3:16:27	30
	315	宮⾕ 直希	男	30代	0:41:17	1:25:10	1:14:14	3:20:40	31
	307	松村 裕司	男	30代	0:27:04	1:33:18	1:24:21	3:24:42	32
	306	嵯峨根 康之	男	30代	0:45:07	1:33:47	1:07:04	3:25:56	33
	339	吉本 隆司	男	30代	0:35:19	1:31:28	1:20:04	3:26:50	34
	326	和田 繁基	男	30代	0:49:54	1:35:15	1:03:32	3:28:40	35
	332	小蔦 道雄	男	30代	0:44:44	1:28:59	1:16:59	3:30:41	36
	347	佐藤 孝徳	男	30代	0:41:26	1:33:58	1:17:44	3:33:07	37
	325	岡崎 太	男	30代	0:38:01	1:36:50	1:25:19	3:40:10	38
	320	藤田 真吾	男	30代	0:34:35	1:43:34	1:22:08	3:40:16	39
	327	渡辺 裕晃	男	30代	0:50:00	1:45:49	1:09:29	3:45:17	40
DNS	335	古葉 靖尚	男	30代					
DNS	349	山本 温	男	30代					
DNS	305	小澤 隆之	男	30代					
DNS	308	石川 吾郎	男	30代					
DNS	313	渡辺 英靖	男	30代					
DNS	338	新⾕ 隆英	男	30代					
	439	田島 大介	男	30代	0:27:37	1:16:54	0:41:38	2:26:07	1
	402	奥山 知昭	男	30代	0:27:42	1:11:37	0:47:36	2:26:54	2
	415	⾕岡 道悦	男	30代	0:26:15	1:18:12	0:45:52	2:30:18	3
	438	國次 真通	男	30代	0:31:27	1:13:26	0:45:51	2:30:43	4
	433	前田 雅人	男	30代	0:28:35	1:18:12	0:46:56	2:33:41	5
	404	高⾕ 佳宏	男	30代	0:34:16	1:17:22	0:44:43	2:36:19	6
	432	山下 優一	男	30代	0:30:31	1:13:55	0:52:32	2:36:57	7
	431	小峠 尚睦	男	30代	0:31:27	1:14:38	0:51:23	2:37:28	8
	409	坂本 宗章	男	30代	0:27:55	1:20:07	0:50:27	2:38:29	9
	428	富澤 裕行	男	30代	0:30:20	1:20:27	0:47:50	2:38:37	10
	412	石村 和之	男	30代	0:29:10	1:17:50	0:54:09	2:41:08	11
	407	石井 竜宏	男	30代	0:27:37	1:15:29	0:58:10	2:41:15	12
	414	渡邊 悟	男	30代	0:27:06	1:21:20	0:53:00	2:41:25	13
	401	松岡 直幹	男	30代	0:37:46	1:17:36	0:52:10	2:47:32	14
	435	田中 隆司	男	30代	0:32:50	1:21:38	0:59:53	2:54:20	15
	416	川村 史明	男	30代	0:37:26	1:28:03	0:50:22	2:55:49	16
	418	関 典昭	男	30代	0:28:12	1:26:57	1:01:27	2:56:35	17
	423	野田 剛	男	30代	0:32:46	1:23:54	1:02:18	2:58:57	18
	422	沖原 昌幸	男	30代	0:34:01	1:28:05	0:57:26	2:59:31	19
	400	稲田 修敏	男	30代	0:30:40	1:24:33	1:05:20	3:00:32	20
	421	井上 圭右	男	30代	0:35:50	1:33:25	1:00:29	3:09:43	21
	436	古賀 信洋	男	30代	0:33:27	1:31:42	1:10:08	3:15:16	22
	408	安齋 清志	男	30代	0:40:22	1:26:18	1:10:12	3:16:51	23
	426	鎌田 隆司	男	30代	0:38:45	1:31:30	1:06:43	3:16:57	24
	425	岡田 幸司	男	30代	0:36:04	1:30:22	1:12:40	3:19:05	25
	406	長田 勲	男	30代	0:36:43	1:29:13	1:13:27	3:19:22	26
	405	児⽟ 哲洋	男	30代	0:34:17	1:42:03	1:06:03	3:22:22	27
	419	藤原 昭宏	男	30代	0:40:23	1:40:57	1:02:14	3:23:34	28
	413	元家 考治	男	30代	0:37:03	1:35:55	1:11:24	3:24:20	29
	424	島図 久之	男	30代	0:31:41	1:35:37	1:18:02	3:25:19	30
	410	⽵田 典裕	男	30代	0:43:11	1:43:36	1:00:01	3:26:48	31
	411	寺田 源一郎	男	30代	0:44:30	1:33:46	1:10:10	3:28:25	32
	434	濱田 和宏	男	30代	0:37:37	1:40:06	1:15:04	3:32:46	33
	427	百田 淳之介	男	30代	0:31:08	1:57:22	1:13:19	3:41:49	34
	430	上杉 正明	男	30代	0:44:28	1:37:04	1:30:30	3:52:01	35
DNS	420	山下 直行	男	30代					
DNS	429	永尾 弘志	男	30代					
DNS	417	染⾕ 貴志	男	30代					
	531	坪井 修一	男	50代	0:24:59	1:12:47	0:51:05	2:28:50	1
	544	本部 伸一	男	50代	0:27:42	1:12:53	0:51:34	2:32:08	2
	510	井上 盛⽂	男	50代	0:29:35	1:18:13	0:44:43	2:32:30	3
	514	尾崎 宏康	男	50代	0:28:57	1:19:26	0:47:55	2:36:16	4
	525	酒井 竜司	男	50代	0:28:59	1:17:17	0:53:48	2:40:03	5
	523	下 隆俊	男	50代	0:27:44	1:20:43	0:53:26	2:41:52	6
	532	同免 幸範	男	50代	0:31:52	1:22:43	0:56:25	2:50:59	7
	516	前川 雅洋	男	50代	0:30:54	1:26:52	0:53:46	2:51:30	8
	504	安田 寛治	男	50代	0:29:01	1:24:31	0:58:30	2:52:00	9
	527	茅野 真	男	50代	0:34:13	1:28:48	0:49:30	2:52:29	10
	512	太田 ⽂章	男	50代	0:34:49	1:27:57	0:51:04	2:53:49	11
	545	國本 歩	男	50代	0:39:11	1:27:13	0:48:59	2:55:22	12
	528	山本 昌樹	男	50代	0:32:41	1:25:51	0:57:39	2:56:11	13
	533	中村 恭之	男	50代	0:32:58	1:22:11	1:02:42	2:57:50	14
	520	渡部 良太	男	50代	0:29:19	1:26:19	1:04:07	2:59:43	15
	529	佐藤 栄作	男	50代	0:36:38	1:32:41	0:50:39	2:59:58	16
	508	中山 浩一	男	50代	0:30:05	1:30:30	1:00:35	3:01:08	17
	501	樋口 芳紀	男	50代	0:33:03	1:27:28	1:00:47	3:01:17	18
	505	福本 雅和	男	50代	0:32:20	1:27:17	1:04:44	3:04:19	19
	537	三宅 正夫	男	50代	0:32:55	1:26:32	1:08:06	3:07:33	20
	515	尾藤 幸治	男	50代	0:36:18	1:26:15	1:06:13	3:08:45	21
	511	平松 隆広	男	50代	0:32:24	1:33:13	1:03:14	3:08:50	22
	503	木村 孝	男	50代	0:38:06	1:32:47	1:00:18	3:11:10	23
	524	尾崎 修	男	50代	0:31:52	1:38:03	1:02:43	3:12:38	24
	518	岡田 富⼠雄	男	50代	0:35:01	1:35:38	1:02:11	3:12:49	25
	522	正長 伸二	男	50代	0:34:30	1:37:43	1:01:10	3:13:22	26
	539	植月 真一郎	男	50代	0:35:22	1:27:12	1:10:58	3:13:31	27
	534	兼子 進	男	50代	0:35:07	1:31:06	1:09:39	3:15:52	28
	540	高橋 浩一	男	50代	0:39:58	1:37:45	1:01:16	3:18:58	29
	521	熊佐 俊介	男	50代	0:27:41	1:35:56	1:19:29	3:23:05	30
	506	三好 研治	男	50代	0:44:24	1:33:11	1:11:03	3:28:37	31
	530	石田 一美	男	50代	0:34:02	1:34:19	1:22:20	3:30:39	32
	509	槇岡 裕治	男	50代	0:36:27	1:35:40	1:23:59	3:36:05	33
	519	土師 弘幸	男	50代	0:43:26	1:44:35	1:12:55	3:40:55	34
	526	多田 明弘	男	50代	0:37:19	1:39:19	1:25:09	3:41:46	35
	536	池田 尚明	男	50代	0:52:32	1:35:47	1:25:41	3:53:58	36
	535	吉岡 宏志	男	50代	0:49:04	1:43:08	1:31:30	4:03:40	37
	403	鳴輪 幸治	男	50代	0:54:26	1:57:09	1:37:45	4:29:18	38
DNF	517	小林 栄治 1:05:30 DNF 1:54:42	男	50代					
DNS	502	山本 浩二	男	50代					
DNS	507	横尾 和俊	男	50代					
DNS	500	久重 和敬	男	50代					
DNS	542	秋山 研竜	男	50代					
DNS	543	三宅 一善	男	50代					
DNS	541	小川 浩二	男	50代					
DNS	538	西村 俊一	男	50代					
	623	昌子 一郎	男	60以上	0:31:12	1:26:16	0:51:52	2:49:19	1
	602	原田 雄二	男	60以上	0:33:18	1:20:04	0:57:49	2:51:09	2
	621	⾕本 佳昭	男	60以上	0:31:35	1:25:12	0:55:37	2:52:22	3
	604	杉原 正一	男	60以上	0:31:10	1:28:19	0:57:21	2:56:49	4
	620	岡本 豪	男	60以上	0:33:42	1:26:21	0:58:07	2:58:09	5
	607	岡崎 節男	男	60以上	0:30:36	1:25:50	1:05:18	3:01:43	6
	611	権 明燦	男	60以上	0:32:05	1:27:11	1:07:05	3:06:20	7
	610	岡崎 哲二	男	60以上	0:28:58	1:31:06	1:12:22	3:12:25	8
	615	⽵田 秋雄	男	60以上	0:38:19	1:33:12	1:02:47	3:14:17	9
	612	安井 正⽂	男	60以上	0:28:29	1:26:28	1:22:39	3:17:35	10
	618	船津 啓二	男	60以上	0:36:16	1:47:57	1:02:56	3:27:08	11
	601	中川 和夫	男	60以上	0:44:11	1:32:59	1:12:38	3:29:48	12
	622	松山 哲也	男	60以上	0:39:46	1:41:07	1:10:09	3:31:01	13
	616	⽷賀 栄司	男	60以上	0:35:48	1:43:31	1:12:56	3:32:14	14
	603	川本 正行	男	60以上	0:35:43	1:55:04	1:03:23	3:34:09	15
	605	広中 利次	男	60以上	0:35:47	1:32:23	1:31:39	3:39:48	16
DNF	624	実藤 正登 1:03:49 DNF 1:05:16	男	60以上					
DNF	606	福島 恒明 1:03:04 DNF 1:00:13	男	60以上					
DNF	617	梶田 長吉 skip 1:57:28 2:16:03	男	60以上					
DNS	613	中川 吉晴	男	60以上					
DNS	600	岡丸 正典	男	60以上					
DNS	619	吉本 洋⽂	男	60以上					
DNS	609	石川 芳秀	男	60以上					
DNS	608	宮丸 公三	男	60以上					
	705	佐々木 美和	女	45未満	0:29:57	1:22:09	0:56:36	2:48:40	1
	703	宮崎 有希那	女	45未満	0:32:02	1:25:41	0:55:50	2:53:32	2
	711	小⽟ 聖理菜	女	45未満	0:25:40	1:32:34	0:58:41	2:56:54	3
	700	椙本 裕美	女	45未満	0:34:31	1:40:39	0:57:54	3:13:03	4
	710	塚本 宜恵	女	45未満	0:38:45	1:35:30	1:05:11	3:19:24	5
	701	津村 綾	女	45未満	0:43:13	1:35:05	1:02:19	3:20:37	6
	709	吉松 里⾹	女	45未満	0:45:47	1:39:12	1:00:01	3:24:59	7
	708	山西 美奈子	女	45未満	0:34:28	1:42:20	1:13:17	3:30:03	8
	712	チェルシー ハセット	女	45未満	0:30:39	1:48:33	1:13:17	3:32:28	9
	702	池田 夢花	女	45未満	0:40:49	1:39:43	1:12:08	3:32:39	10
	714	植田 郁子	女	45未満	0:54:17	2:03:38	1:25:08	4:23:02	11
DNS	707	⾕本 葉子	女	45未満					
DNS	715	宇野 真理子	女	45未満					
DNS	706	長尾 好子	女	45未満					
	808	林 ⾹	女	45以上	0:28:39	1:22:18	0:55:41	2:46:38	1
	810	植田 靖子	女	45以上	0:34:10	1:29:31	0:55:55	2:59:35	2
	807	永島 真理	女	45以上	0:36:10	1:34:55	1:08:08	3:19:12	3
	812	大内 和枝	女	45以上	0:39:03	1:37:13	1:09:51	3:26:06	4
	804	⻲島 朋美	女	45以上	0:40:47	1:41:17	1:06:11	3:28:14	5
	803	田邊 妙子	女	45以上	0:35:45	1:33:08	1:19:28	3:28:19	6
	811	稲村 範子	女	45以上	0:35:31	1:38:47	1:14:41	3:28:58	7
	806	向井 美樹	女	45以上	0:37:43	1:46:32	1:05:34	3:29:47	8
	802	小⽟ 容子	女	45以上	0:36:54	1:41:10	1:12:19	3:30:22	9
	805	吉田 誠子	女	45以上	0:37:20	1:58:04	1:24:26	3:59:50	10
	809	大下 理栄	女	45以上	0:45:58	1:46:47	1:27:11	3:59:56	11
	801	河西 智美	女	45以上	1:03:07	2:00:39	1:22:04	4:25:48	12
DNF	814	明賀 孝子 1:03:34 DNF 1:45:29	女	45以上					
DNS	813	殿山 恭代	女	45以上					
