総合順位	No.	氏名	性別	都道府県	総合記録	スイムラップ	S順	ミニラン	バイクラップ	B順	スプリット	通過	ランラップ	R順	男子順位	女子順位	区分	区分順位
30	352	内田 智恵子	女	新潟県	02:18:08	00:12:19	33	00:09:21	01:14:13	29	01:35:53	34	00:42:15	28		4	女子50-59歳	1
31	363	大矢 復	男	神奈川県	02:19:31	00:11:37	24	00:06:41	01:15:35	33	01:33:53	31	00:45:38	32	27		男子60-69歳	2
32	355	中川 清美	女	新潟県	02:20:13	00:12:06	30	00:08:00	01:18:24	36	01:38:30	35	00:41:43	27		5	女子60-69歳	1
33	339	佐藤 大輔	男	埼玉県	02:20:57	00:11:43	25	00:09:48	01:18:08	35	01:39:39	36	00:41:18	26	28		男子50-59歳	10
34	351	後藤 誠	男	宮城県	02:21:37	00:12:36	38	00:10:01	01:11:04	26	01:33:41	30	00:47:56	36	29		男子50-59歳	11
35	313	横見 竜也	男	東京都	02:23:35	00:12:31	36	00:06:53	01:15:33	32	01:34:57	32	00:48:38	37	30		男子30-39歳	4
36	301	大久保 ジェーリナガ	女	滋賀県	02:27:15	00:14:18	40	00:05:32	01:15:29	31	01:35:19	33	00:51:56	42		6	女子18-19歳	1
37	345	鈴木 かおる	女	東京都	02:30:19	00:12:13	31	00:08:02	01:20:34	38	01:40:49	37	00:49:30	39		7	女子50-59歳	2
38	310	小野里 太志	男	新潟県	02:31:12	00:12:32	37	00:08:33	01:21:13	39	01:42:18	38	00:48:54	38	31		男子20-29歳	6
39	366	川崎 潔	男	大阪府	02:31:47	00:13:00	39	00:11:27	01:19:30	37	01:43:57	39	00:47:50	35	32		男子70-79歳	1
40	354	丸崎 恭子	女	埼玉県	02:35:37	00:11:22	22	00:09:19	01:29:06	43	01:49:47	41	00:45:50	33		8	女子60-69歳	2
41	358	外山 剛	男	新潟県	02:39:56	00:17:03	42	00:10:31	01:21:49	40	01:49:23	40	00:50:33	41	33		男子60-69歳	3
42	329	桶川 友里恵	女	埼玉県	02:41:18	00:19:30	43	00:07:43	01:24:06	41	01:51:19	42	00:49:59	40		9	女子40-49歳	1
43	362	伊藤 道宏	男	宮城県	02:53:13	00:15:54	41	00:12:13	01:27:32	42	01:55:39	43	00:57:34	43	34		男子60-69歳	4
44	335	曽我 匡	男	埼玉県	02:59:13	00:12:31	35	00:07:05	01:39:32	44	01:59:08	44	01:00:05	44	35		男子50-59歳	12
DNF	330	西野 健介	男	東京都													男子40-49歳	
DNF	348	渋井 信治	男	埼玉県													男子50-59歳	
DNF	360	嶋谷 宣子	女	大阪府													女子60-69歳	
SKIP	314	桑原 周平	男	山形県					01:19:39				00:55:42				男子30-39歳	
SKIP	318	小熊 晃太	男	宮城県					01:36:06				01:04:40				男子30-39歳	
SKIP	323	井上 貴至	男	山形県					01:09:45				00:40:02				男子40-49歳	
SKIP	325	菊地 洋平	男	宮城県					01:27:22				00:48:56				男子40-49歳	
SKIP	331	辻川 雅	男	奈良県					01:11:34				00:46:29				男子40-49歳	
SKIP	357	菅原 康弘	男	山形県													男子60-69歳	
SKIP	365	鈴木 紳	男	山形県		00:16:37		00:15:20					00:24:13				男子60-69歳	
DNS	309	井上 皓介	男	東京都													男子20-29歳	
DNS	316	市井 諒	男	宮城県													男子30-39歳	
DNS	320	成本 めぐみ	女	埼玉県													女子40-49歳	
DNS	326	山下 賢之介	男	宮城県													男子40-49歳	
DNS	334	坪内 啓	男	宮城県													男子50-59歳	
DNS	337	高田 耕平	男	大阪府													男子50-59歳	
DNS	349	宇田津 慎一	男	大阪府													男子50-59歳	
DNS	353	長井 武稔	男	新潟県													男子60-69歳	
DNS	359	中村 俊規	男	東京都													男子60-69歳	
DNS	361	高橋 修	男	宮城県													男子60-69歳	
DNS	364	駒井 浩	男	埼玉県													男子60-69歳	
