総合順位	No.	氏名	居住地	性別	年齢区分	Swimラップ	バイクラップ	ランラップ	合計タイム	年代別順位
11	65	後藤 周作	広島	男	30代	0:26:59	1:12:58	0:44:30	2:24:28	8
22	46	⾨田 貴志	広島	男	30代	0:25:06	1:15:08	0:44:47	2:25:02	9
17	62	有働 豊秋	兵庫	男	30代	0:30:04	1:14:17	0:41:39	2:26:01	10
26	54	上杉 剛志	広島	男	30代	0:26:12	1:15:49	0:44:19	2:26:21	11
31	33	丸尾 公貞	愛媛	男	30代	0:25:57	1:16:15	0:44:11	2:26:24	12
27	42	津和野 太史	広島	男	30代	0:26:18	1:16:00	0:46:30	2:28:48	13
16	75	中井 晋平	広島	男	30代	0:38:01	1:13:47	0:39:32	2:31:21	14
67	36	平本 昌樹	広島	男	30代	0:36:28	1:20:26	0:36:51	2:33:45	15
18	72	神崎 宏治	広島	男	30代	0:35:48	1:14:28	0:46:17	2:36:34	16
48	67	中増 裕輔	広島	男	30代	0:29:16	1:18:22	0:49:17	2:36:56	17
56	77	平安 馨	広島	男	30代	0:28:28	1:19:34	0:49:49	2:37:51	18
64	38	正岡 晃	広島	男	30代	0:28:41	1:20:06	0:49:33	2:38:20	19
52	56	坂田 陽介 徳島		男	30代	0:31:30	1:19:02	0:50:40	2:41:12	20
35	41	瀧 敬⼠	広島	男	30代	0:38:35	1:16:36	0:46:11	2:41:23	21
63	53	山本 浩史	広島	男	30代	0:35:22	1:20:04	0:46:31	2:41:58	22
104	78	赤松 剛	福岡	男	30代	0:33:39	1:25:33	0:43:12	2:42:25	23
77	66	高尾 進之介	広島	男	30代	0:30:45	1:21:47	0:51:42	2:44:16	24
59	73	菅野 敏広	広島	男	30代	0:36:01	1:19:47	0:49:59	2:45:48	25
66	81	江原 研	広島	男	30代	0:35:01	1:20:18	0:51:00	2:46:20	26
82	45	小西 勇一	広島	男	30代	0:35:29	1:22:36	0:48:25	2:46:31	27
29	79	酒井 秀和	広島	男	30代	0:33:26	1:16:02	0:57:19	2:46:48	28
71	48	内田 強	広島	男	30代	0:38:14	1:21:06	0:48:03	2:47:24	29
58	57	田中 雅章	広島	男	30代	0:36:13	1:19:45	0:52:59	2:48:58	30
119	64	⽚山 善友	広島	男	30代	0:29:14	1:27:52	0:56:46	2:53:53	31
124	51	後藤 大輔	熊本	男	30代	0:35:44	1:28:48	0:49:38	2:54:11	32
105	70	向井 智	広島	男	30代	0:41:24	1:25:34	0:52:33	2:59:32	33
131	40	江籠 直之	広島	男	30代	0:44:47	1:30:26	0:45:36	3:00:50	34
165	71	山中 武	広島	男	30代	0:34:25	1:36:20	0:50:59	3:01:46	35
122	61	松高 健司	広島	男	30代	0:45:27	1:28:08	0:48:46	3:02:22	36
108	43	中川 大輔	広島	男	30代	0:44:13	1:26:15	0:52:03	3:02:32	37
154	85	田中 実⽣	広島	男	30代	0:35:51	1:34:11	0:53:25	3:03:28	38
141	60	中島 大悟	広島	男	30代	0:31:13	1:31:35	1:02:07	3:04:56	39
107	34	溝口 真太朗	広島	男	30代	0:44:55	1:25:49	0:55:15	3:06:00	40
79	35	津田 真一	広島	男	30代	0:47:27	1:22:14	0:59:08	3:08:50	41
168	86	寺岡 浩⽂	広島	男	30代	0:36:58	1:37:00	0:55:07	3:09:06	42
132	39	Anthony Douglas	広島	男	30代	0:37:39	1:30:55	1:00:46	3:09:21	43
144	82	阪口 誠司	広島	男	30代	0:39:26	1:31:41	1:00:01	3:11:10	44
146	47	伊藤 剛志	広島	男	30代	0:37:26	1:32:06	1:02:27	3:11:59	45
173	87	安本 孝造	広島	男	30代	0:39:36	1:38:09	0:54:51	3:12:37	46
175	37	平山 浩雅	広島	男	30代	0:38:21	1:38:40	0:56:09	3:13:10	47
151	44	郡嶋 秀樹	広島	男	30代	0:56:53	1:33:01	0:44:19	3:14:13	48
197	58	田村吉朗	愛媛	男	30代	0:35:23	1:44:54	0:58:20	3:18:38	49
150	31	仲野 亮太	広島	男	30代	0:47:39	1:32:36	0:59:02	3:19:18	50
184	69	宮下 琢司	広島	男	30代	0:47:33	1:40:55	1:01:27	3:29:56	51
194	68	蒔田 誠	愛媛	男	30代	0:42:15	1:43:58	1:06:59	3:33:13	52
187	55	小川 啓太	岡山	男	30代	0:46:44	1:41:28	1:14:00	3:42:13	53
203	49	岡村 慶彦	兵庫	男	30代	0:28:32	2:01:33	1:12:51	3:42:57	54
4	146	奥山 知昭	岡山	男	40代	0:30:04	1:10:31	0:45:06	2:25:41	1
10	103	加納 裕忠	広島	男	40代	0:34:15	1:12:14	0:40:18	2:26:47	2
20	111	⾺淵 紀行	広島	男	40代	0:26:46	1:14:52	0:45:28	2:27:08	3
41	134	坂本 宗章	広島	男	40代	0:29:49	1:17:15	0:41:22	2:28:27	4
13	142	高田 一治	広島	男	40代	0:27:49	1:13:22	0:48:13	2:29:26	5
15	154	小峠 尚睦	広島	男	40代	0:33:00	1:13:47	0:43:14	2:30:02	6
28	147	高⾕ 佳宏	広島	男	40代	0:34:36	1:16:01	0:40:24	2:31:01	7
46	126	原田 尚幸	広島	男	40代	0:29:36	1:18:14	0:45:59	2:33:50	8
47	112	石川 吾郎	広島	男	40代	0:31:19	1:18:18	0:44:34	2:34:12	9
70	101	石井 伸佑	広島	男	40代	0:08:01	1:20:55	0:45:59	2:34:57	10
39	139	石村 和之	岡山	男	40代	0:30:56	1:16:54	0:48:51	2:36:42	11
61	167	今井 博隆	広島	男	40代	0:30:21	1:19:49	0:46:47	2:36:57	12
24	152	倉本 昌司	広島	男	40代	0:31:25	1:15:24	0:50:34	2:37:24	13
44	131	入江 誠	岡山	男	40代	0:32:46	1:17:31	0:48:39	2:38:58	14
72	113	小村 敏広	岡山	男	40代	0:29:07	1:21:07	0:49:18	2:39:33	15
68	84	鮫島 博⼠	広島	男	40代	0:36:34	1:20:29	0:43:03	2:40:07	16
14	108	⽵本 康介	京都	男	40代	0:37:35	1:13:39	0:51:03	2:42:18	17
53	151	金井 将能	大阪	男	40代	0:37:44	1:19:04	0:47:13	2:44:02	18
103	104	木村 哲也	広島	男	40代	0:31:05	1:25:33	0:47:32	2:44:12	19
84	149	友井 則美	広島	男	40代	0:28:03	1:22:50	0:54:28	2:45:21	20
92	107	厨司 幸裕	岡山	男	40代	0:31:54	1:23:28	0:49:59	2:45:22	21
98	140	川村 真礼	広島	男	40代	0:35:25	1:24:51	0:45:41	2:45:59	22
57	109	田島 憲一	兵庫	男	40代	0:42:46	1:19:40	0:44:27	2:46:55	23
30	122	真田 祐治	広島	男	40代	0:37:46	1:16:14	0:53:00	2:47:01	24
118	158	吉田 隆三郎	愛媛	男	40代	0:30:01	1:27:43	0:50:18	2:48:03	25
60	138	脇地 康二	広島	男	40代	0:35:56	1:19:47	0:53:28	2:49:12	26
62	110	徳永 誠司	岡山	男	40代	0:37:56	1:19:52	0:52:09	2:49:58	27
83	117	山本 温	岡山	男	40代	0:32:18	1:22:47	0:55:15	2:50:20	28
97	143	⽟本 義忠	広島	男	40代	0:33:30	1:24:38	0:52:46	2:50:54	29
116	155	森岡 克洋	山口	男	40代	0:32:57	1:27:26	0:50:44	2:51:08	30
88	150	古⾕ 仁	山口	男	40代	0:35:25	1:23:11	0:54:49	2:53:25	31
93	145	山下 直行	兵庫	男	40代	0:35:40	1:23:39	0:54:44	0:54:04	32
106	165	新山 忠	広島	男	40代	0:30:17	1:25:35	0:58:18	2:54:11	33
129	168	堀田 朝和	山口	男	40代	0:41:15	1:29:29	0:43:40	2:54:26	34
110	118	⽚山 晃	岡山	男	40代	0:31:27	1:26:27	0:57:14	2:55:09	35
75	135	長田 勲	広島	男	40代	0:39:27	1:21:20	0:54:40	2:55:28	36
49	115	中嶋 一也	広島	男	40代	0:43:14	1:18:41	0:54:38	2:56:34	37
99	148	高山 成竜	広島	男	40代	0:35:45	1:25:00	0:56:57	2:57:43	38
55	105	古葉 靖尚	広島	男	40代	0:35:48	1:19:27	1:02:59	2:58:14	39
123	125	武村 貴行	大阪	男	40代	0:39:16	1:28:21	0:50:45	2:58:24	40
138	144	森重 伸之	広島	男	40代	0:35:04	1:31:17	0:53:15	2:59:36	41
78	102	折橋 健治	広島	男	40代	0:45:26	1:22:11	0:54:39	3:02:17	42
113	166	乾 浩之	京都	男	40代	0:39:21	1:26:50	0:57:13	3:03:25	43
89	128	丸本 尚志	広島	男	40代	0:39:49	1:23:13	1:00:37	3:03:40	44
90	121	小蔦 道雄	広島	男	40代	0:44:37	1:23:17	0:57:31	3:05:26	45
111	136	村上 通宏	広島	男	40代	0:45:01	1:26:32	0:53:58	3:05:33	46
76	120	河本 修	広島	男	40代	0:37:32	1:21:36	1:07:31	3:06:39	47
155	129	安田 法敬	広島	男	40代	0:30:53	1:34:23	1:02:49	3:08:06	48
149	133	沖原 昌幸	広島	男	40代	0:40:11	1:32:33	0:55:57	3:08:42	49
133	169	山本 昌樹	広島	男	40代	0:43:40	1:31:04	0:55:58	3:10:43	50
109	130	荒川 学	兵庫	男	40代	0:44:23	1:26:19	1:00:47	3:11:31	51
191	137	百田 淳之介	広島	男	40代	0:31:57	1:42:13	1:01:09	3:15:20	52
193	161	松本 哲男 ⾹川		男	40代	0:42:03	1:42:39	0:50:44	3:15:27	53
189	124	高島 俊思	広島	男	40代	0:40:41	1:42:08	0:55:29	3:18:19	54
126	156	山田 剛	大阪	男	40代	0:45:28	1:29:01	1:06:35	3:21:05	55
152	123	新⾕ 隆英	広島	男	40代	0:36:56	1:33:26	1:13:06	3:23:29	56
195	127	藤原 昭宏	山口	男	40代	0:43:02	1:44:02	0:56:52	3:23:56	57
182	164	沢井 淳二	兵庫	男	40代	0:34:53	1:40:09	1:10:44	3:25:46	58
147	141	齋藤 祐介	広島	男	40代	0:47:12	1:32:27	1:06:54	3:26:34	59
167	153	桑崎 伸彦	広島	男	40代	0:55:07	1:36:15	1:02:38	3:34:01	60
198	163	植田 浩之	広島	男	40代	0:45:23	1:45:26	1:10:49	3:41:39	61
199	116	湊 圭介	広島	男	40代	0:32:16	1:49:44	1:26:48	3:48:50	62
196	159	鳴輪 幸治	広島	男	40代	0:55:37	1:44:03	1:10:53	3:50:33	63
192	106	嵯峨根 康之	広島	男	40代	1:06:40	1:42:16	1:20:37	4:09:33	64
12	坂村	陽平	広島	男	40代	0:26:30	1:13:11	1:39:41		114
34	201	入野 隆久	福岡	男	50代	0:26:17	1:16:25	0:46:53	2:29:36	1
23	225	秋山 研竜	広島	男	50代	0:28:13	1:15:17	0:49:15	2:32:46	2
45	235	杉岡 一樹	岡山	男	50代	0:32:54	1:17:46	0:44:01	2:34:42	3
36	237	美山 俊一	岡山	男	50代	0:34:30	1:16:38	0:44:57	2:36:06	4
73	214	河原 仁	岡山	男	50代	0:33:29	1:21:09	0:46:09	2:40:48	5
32	218	北本 大	茨城	男	50代	0:40:56	1:16:24	0:50:49	2:48:10	6
80	210	福本 雅和	山口	男	50代	0:30:09	1:22:25	0:55:57	2:48:33	7
121	216	中山 浩一	広島	男	50代	0:31:48	1:28:05	0:51:08	2:51:02	8
125	209	坂野 郁夫	広島	男	50代	0:39:45	1:28:55	0:45:48	2:54:29	9
134	228	尾崎 修	広島	男	50代	0:35:21	1:31:04	0:50:21	2:56:47	10
74	215	澤志 泰正	岡山	男	50代	0:32:50	1:21:12	1:03:16	2:57:19	11
142	233	岡本 豪	広島	男	50代	0:36:26	1:31:37	0:54:17	3:02:21	12
101	212	山田 洋二郎	広島	男	50代	0:42:11	1:25:12	0:55:46	3:03:10	13
143	224	岡田 富⼠雄	広島	男	50代	0:35:46	1:31:40	0:57:36	3:05:03	14
171	207	岡本 尚久	岡山	男	50代	0:28:16	1:37:44	1:02:00	3:08:01	15
158	230	伊藤 耕治	岡山	男	50代	0:37:52	1:35:33	0:54:49	3:08:15	16
140	227	安田 正彦	広島	男	50代	0:42:02	1:31:33	0:56:49	3:10:24	17
178	204	藤井 央⼰	広島	男	50代	0:36:15	1:38:56	0:55:22	3:10:34	18
185	203	大坪 俊彦	広島	男	50代	0:39:15	1:40:59	0:51:31	3:11:46	19
135	208	兼子 進 愛知		男	50代	0:36:59	1:31:07	1:04:19	3:12:27	20
163	229	山縣 邦彦	広島	男	50代	0:46:24	1:36:12	0:50:38	3:13:14	21
159	213	吉川 啓太	愛媛	男	50代	0:40:09	1:35:40	0:57:53	3:13:43	22
148	232	吉村 千春	広島	男	50代	0:35:47	1:32:33	1:05:42	3:14:03	23
160	217	細⾕ 浩隆	広島	男	50代	0:35:39	1:36:03	1:04:47	3:16:31	24
137	221	尾藤 幸治	愛媛	男	50代	0:51:50	1:31:13	0:55:06	3:18:10	25
157	226	三好 道宏	愛媛	男	50代	0:34:23	1:34:53	1:09:19	3:18:36	26
162	206	岡田 正博	福岡	男	50代	0:46:22	1:36:07	0:56:59	3:19:28	27
181	234	岡丸 正典	広島	男	50代	0:35:38	1:40:04	1:10:57	3:26:41	28
145	219	志田 寿男	大阪	男	50代	0:53:28	1:31:43	1:13:34	3:38:46	29
170	211	三好 研治	広島	男	50代	0:58:00	1:37:23	1:03:31	3:38:55	30
176	231	⽵田 秋雄	広島	男	50代	0:52:40	1:38:46	1:09:52	3:41:19	31
139	223	横尾 和俊	広島	男	50代	0:47:07	1:31:19	1:26:49	3:45:16	32
167	222	槇岡 裕治	広島	男	50代	0:42:41	1:36:55	1:28:02	3:47:39	33
50	251	佐伯 稔	広島	男	60以上	0:29:11	1:18:45	0:45:08	2:33:05	1
38	257	原田 雄二 滋賀		男	60以上	0:33:55	1:16:49	0:48:07	2:38:51	2
51	255	岡崎 節男	広島	男	60以上	0:31:05	1:18:48	0:53:06	2:43:00	3
94	260	⾕本 佳昭	広島	男	60以上	0:32:16	1:24:14	0:46:42	2:43:12	4
114	252	杉原 正一	岡山	男	60以上	0:32:11	1:26:54	0:48:28	2:47:34	5
100	267	平岡 明則 沖縄		男	60以上	0:27:44	1:25:03	0:55:08	2:47:56	6
112	256	権 明燦	広島	男	60以上	0:33:33	1:26:46	0:57:37	2:57:58	7
120	258	下村 明敬	広島	男	60以上	0:34:37	1:28:05	0:57:33	3:00:17	8
115	263	広中 利次	広島	男	60以上	0:39:05	1:27:18	0:56:22	3:02:46	9
136	254	水久保 恵 ⾹川		男	60以上	0:37:37	1:31:09	0:55:42	3:04:29	10
166	266	川本 正行	広島	男	60以上	0:35:10	1:36:38	0:54:15	3:06:04	11
156	269	湊 昭夫	山口	男	60以上	0:35:29	1:34:24	0:58:43	3:08:38	12
177	264	⽷賀 栄司	広島	男	60以上	0:37:04	1:38:54	1:04:04	3:20:03	13
172	261	松浦 幹夫	広島	男	60以上	0:47:57	1:37:45	1:00:13	3:25:56	14
179	272	吉本 洋⽂	広島	男	60以上	0:39:50	1:39:21	1:08:42	3:27:54	15
201	265	岡野 仁	岡山	男	60以上	0:36:11	1:54:39	0:57:18	3:28:09	16
200	262	日山 保次郎	広島	男	60以上	0:44:15	1:51:55	1:09:21	3:45:32	17
202	273	⻲井 克応	愛媛	男	60以上	0:39:43	2:00:40	1:18:53	3:59:17	18
204	253	西崎 久	愛媛	男	60以上	0:57:08	2:07:37	1:19:52	4:24:37	19
40	304	長尾 好子	兵庫	女	45未満	0:31:39	1:17:01	0:48:23	2:37:04	1
96	308	⻫藤 浩美	広島	女	45未満	0:28:11	1:24:27	0:49:08	2:41:47	2
91	301	岩原 愛	広島	女	45未満	0:34:00	1:23:19	0:55:32	2:52:51	3
117	303	早瀬 恵子	広島	女	45未満	0:46:15	1:27:31	0:58:42	3:12:29	4
180	307	津村 綾	広島	女	45未満	0:41:23	1:39:38	0:56:58	3:18:00	5
174	309	塚本 宜恵	広島	女	45未満	0:41:38	1:38:19	1:01:25	3:21:23	6
186	305	山西 美奈子	広島	女	45未満	0:45:18	1:41:09	1:08:31	3:34:59	7
190	302	小川 純代	岡山	女	45未満	0:46:41	1:42:10	1:16:05	3:44:58	8
188	306	⾕本 葉子	広島	女	45未満	0:52:51	1:41:34	1:13:25	3:47:51	9
65	356	殿山 恭代	広島	女	45以上	0:28:23	1:20:12	0:46:49	2:35:26	1
95	355	⽟⾕ りさ	岡山	女	45以上	0:37:01	1:24:19	0:52:14	2:53:35	2
128	353	永島 真理	広島	女	45以上	0:34:37	1:29:08	0:51:11	2:54:57	3
127	351	稲田 吉映	岡山	女	45以上	0:34:08	1:29:03	1:02:49	3:06:01	4
153	352	大貫 千春	茨城	女	45以上	0:35:59	1:34:02	0:56:47	3:06:49	5
183	354	⻲島 朋美	広島	女	45以上	0:41:20	1:40:25	0:59:05	3:20:51	6
