総合順位	No.	氏名	年齢	性別	所属・登録	総合記録	スイムラップ	S順	バイク	B順	スプリット	通過	ランラップ	Ｒ順	男子順位	女子順位	年齢区分	年齡別順
162	9052	梅森 慎	33	男	東京	1:42:47	0:20:39	167	0:47:24	100	1:08:03	121	0:34:44	196	148		30代男子	44
163	9032	新井 悟	31	男	神奈川	1:42:51	0:20:48	172	0:51:12	171	1:12:00	174	0:30:51	151	149		30代男子	45
164	9266	安田 まこと	68	男	神奈川	1:43:08	0:20:58	183	0:54:16	204	1:15:14	200	0:27:54	87	150		60代男子	8
165	9245	丸尾 昭二	57	男	神奈川	1:43:11	0:22:04	208	0:49:33	138	1:11:37	170	0:31:34	163	151		50代男子	21
166	9232	重松 史孝	53	男	神奈川	1:43:24	0:23:29	228	0:51:05	164	1:14:34	193	0:28:50	108	152		50代男子	22
167	9154	清水 裕一	45	男	神奈川	1:43:24	0:21:08	186	0:54:12	202	1:15:20	201	0:28:04	92	153		40代男子	60
168	1025	川端 梓	42	女	神奈川	1:43:38	0:20:48	173	0:50:03	142	1:10:51	159	0:32:47	176		15	40代女子	7
169	9173	間庭 裕之	46	男	東京	1:43:41	0:21:52	202	0:49:15	131	1:11:07	164	0:32:34	175	154		40代男子	61
170	9104	井出 雅久	41	男	神奈川	1:43:43	0:21:11	188	0:51:07	166	1:12:18	177	0:31:25	158	155		40代男子	62
171	9043	小宮 圭太	32	男	東京	1:43:46	0:20:10	150	0:53:24	192	1:13:34	186	0:30:12	138	156		30代男子	46
172	1009	千原 由香	33	女	東京	1:44:00	0:22:06	209	0:53:18	191	1:15:24	202	0:28:36	105		16	30代女子	7
173	1036	大谷 朝子	46	女	神奈川	1:44:13	0:19:25	127	0:52:41	185	1:12:06	176	0:32:07	170		17	40代女子	8
174	1014	松下 早苗	35	女	東京	1:44:14	0:20:42	169	0:52:00	181	1:12:42	179	0:31:32	161		18	30代女子	8
175	9024	飯田 貢大	30	男	神奈川	1:44:16	0:17:44	87	0:56:16	221	1:14:00	189	0:30:16	139	157		30代男子	47
176	1006	横田 香織	29	女	東京	1:44:18	0:20:36	165	0:50:24	152	1:11:00	161	0:33:18	181		19	20代女子	3
177	9183	千木良 聡	47	男	東京	1:44:28	0:20:13	152	0:49:08	130	1:09:21	139	0:35:07	203	158		40代男子	63
178	9118	白水 威彦	42	男	千葉	1:44:30	0:20:00	144	0:53:30	193	1:13:30	184	0:31:00	153	159		40代男子	64
179	9237	紅 孝志	54	男	神奈川	1:44:35	0:15:59	53	0:48:52	127	1:04:51	91	0:39:44	233	160		50代男子	23
